#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005F-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 2:11:34 PM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005F-J3                                     
#SAMPLE MASS /mg:            ,4.0                                         
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-4/4                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:05/100›C                           
#SEG. 3:                     ,100›C/10.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 35.04700, 0.00000,      4.02245,    100.00000,50.00000,55.00000,            ,0.92441,1
 35.22000, 0.06667,      3.67365,     99.85575,50.00000,55.00000,3.573225e-09,0.92441,1
 35.33900, 0.13333,      3.36533,     99.68325,50.00000,55.00000,3.590598e-09,0.92443,1
 35.46700, 0.20000,      3.08425,     99.59550,50.00000,54.00000,3.590598e-09,0.92443,1
 35.59100, 0.26667,      2.82465,     99.47400,50.00000,54.00000,3.587152e-09,0.92445,1
 35.70200, 0.33333,      2.58631,     99.42875,50.00000,54.00000,3.587152e-09,0.92445,1
 35.80400, 0.40000,      2.37295,     99.38350,50.00000,54.00000,3.587152e-09,0.92445,1
 35.91600, 0.46667,      2.17774,     99.33250,50.00000,54.00000,3.589990e-09,0.92447,1
 36.01500, 0.53333,      1.99987,     99.29850,50.00000,53.00000,3.589990e-09,0.92447,1
 36.10600, 0.60000,      1.83852,     99.26450,50.00000,53.00000,3.598374e-09,0.92449,1
 36.19700, 0.66667,      1.69203,     99.18825,50.00000,53.00000,3.598374e-09,0.92449,1
 36.29100, 0.73333,      1.56080,     99.18825,50.00000,53.00000,3.598374e-09,0.92449,1
 36.37600, 0.80000,      1.44010,     99.15425,50.00000,53.00000,3.590867e-09,0.92450,1
 36.45600, 0.86667,      1.32972,     99.12025,50.00000,52.00000,3.590867e-09,0.92450,1
 36.55000, 0.93333,      1.22903,     99.14575,50.00000,52.00000,3.584409e-09,0.92452,1
 36.63300, 1.00000,      1.13743,     99.11475,50.00000,52.00000,3.584409e-09,0.92452,1
 36.71600, 1.06667,      1.05470,     99.08075,50.00000,52.00000,3.584409e-09,0.92452,1
 36.78500, 1.13333,      0.97981,     99.08075,50.00000,52.00000,3.594412e-09,0.92454,1
 36.83800, 1.20000,      0.91029,     99.04675,50.00000,51.00000,3.594412e-09,0.92454,1
 36.92300, 1.26667,      0.84798,     99.04675,50.00000,51.00000,3.589154e-09,0.92455,1
 36.99000, 1.33333,      0.79042,     99.02125,50.00000,51.00000,3.589154e-09,0.92455,1
 37.05000, 1.40000,      0.73555,     99.01275,50.00000,51.00000,3.589154e-09,0.92455,1
 37.11000, 1.46667,      0.68707,     98.86575,50.00000,51.00000,3.590352e-09,0.92456,1
 37.17200, 1.53333,      0.64189,     91.82875,50.00000,51.00000,3.590352e-09,0.92456,1
 37.21400, 1.60000,      0.60064,     90.09500,50.00000,51.00000,3.589639e-09,0.92458,1
 37.28000, 1.66667,      0.56020,     89.24375,50.00000,51.00000,3.589639e-09,0.92458,1
 37.33300, 1.73333,      0.52575,     88.83075,50.00000,51.00000,3.589639e-09,0.92458,1
 37.37700, 1.80000,      0.49708,     88.70075,50.00000,51.00000,3.591576e-09,0.92459,1
 37.43000, 1.86667,      0.46469,     88.62425,50.00000,51.00000,3.591576e-09,0.92459,1
 37.46200, 1.93333,      0.43726,     88.55075,50.00000,51.00000,3.600566e-09,0.92460,1
 37.50800, 2.00000,      0.41127,     88.55075,50.00000,51.00000,3.600566e-09,0.92460,1
 37.52900, 2.06667,      0.38714,     88.55075,50.00000,51.00000,3.600566e-09,0.92460,1
 37.58300, 2.13333,      0.36692,     88.48000,50.00000,51.00000,3.594459e-09,0.92461,1
 37.61900, 2.20000,      0.34464,     88.44625,50.00000,51.00000,3.594459e-09,0.92461,1
 37.64700, 2.26667,      0.32257,     88.44625,50.00000,51.00000,3.599065e-09,0.92463,1
 37.69900, 2.33333,      0.30483,     88.44625,50.00000,51.00000,3.599065e-09,0.92463,1
 37.73100, 2.40000,      0.28854,     88.44625,50.00000,51.00000,3.599065e-09,0.92463,1
 37.73600, 2.46667,      0.27163,     88.48000,50.00000,51.00000,3.604118e-09,0.92464,1
