#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_15K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005f-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 11:49:19 AM (UTC-5)              
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005f-J3                                     
#SAMPLE MASS /mg:            ,4.25                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 34.07400, 0.01352,6.478602e-11,8.397597e-10,3.131586e-11,1.055556e-10,5.534172e-12,9.545326e-12,5.242347e-12,5.581856e-12,6.133079e-12,6.365776e-12,7.349968e-12,9.984016e-12,2.879429e-11,7.148874e-10,2.602100e-11,3.505808e-11,5.957704e-11,1.341915e-09,7.498741e-12,6.989479e-12,2.350807e-12,2.425194e-12,2.255440e-12,2.635002e-12,3.912926e-12,5.022913e-11,2.284050e-12,4.117012e-12,2.140999e-12,1.215076e-11,1.952171e-12,1.862526e-12,1.812935e-12,2.087593e-12,1.780510e-12,1.730919e-12,1.740456e-12,1.729011e-12,1.770973e-12,1.742363e-12,1.715660e-12,1.702309e-12,1.671791e-12,1.631737e-12,1.688957e-12,1.605034e-12,1.666069e-12,1.603126e-12,1.605034e-12,1.667976e-12,1.603126e-12,1.627922e-12,1.629829e-12,1.587868e-12,1.595497e-12,1.608849e-12,1.629829e-12,1.570702e-12,1.591682e-12,1.585960e-12,1.563072e-12,1.576424e-12,1.559257e-12,1.563072e-12,1.503944e-12,1.511574e-12,1.557350e-12,1.540184e-12,1.526833e-12,1.460075e-12,1.505852e-12,1.542091e-12,1.517296e-12,1.553535e-12,1.505852e-12,1.502037e-12,1.542091e-12,1.513481e-12,1.524925e-12,1.503944e-12,1.481056e-12,1.454353e-12,1.505852e-12,1.448631e-12,1.494408e-12,1.427650e-12,1.450539e-12,1.467705e-12,1.439095e-12,1.410484e-12,1.450539e-12,1.444817e-12,1.399040e-12,1.429558e-12,1.393318e-12,1.412392e-12,1.433372e-12,1.450539e-12,1.427650e-12,1.427650e-12,1.423836e-12,1.427650e-12,1.442909e-12,1.439095e-12,1.387596e-12,1.399040e-12,1.378059e-12,1.391411e-12,1.397133e-12,1.353264e-12,1.393318e-12,1.345634e-12,1.341820e-12,1.372337e-12,1.324654e-12,1.400948e-12,1.313210e-12,1.317024e-12,1.397133e-12,1.366615e-12,1.357079e-12,1.378059e-12,1.317024e-12,1.374245e-12,1.332283e-12,1.288414e-12,1.294136e-12,1.343727e-12,1.378059e-12,1.282692e-12,1.307487e-12,1.336098e-12,1.357079e-12,1.296043e-12,1.294136e-12,1.297951e-12
 35.38100, 0.18216,6.487757e-11,8.443449e-10,3.130442e-11,1.059161e-10,5.534172e-12,9.507179e-12,5.211830e-12,5.539894e-12,6.043434e-12,6.449699e-12,7.468223e-12,9.997368e-12,2.901173e-11,7.152307e-10,2.623272e-11,3.504282e-11,5.990511e-11,1.342297e-09,7.540702e-12,7.122993e-12,2.341270e-12,2.408028e-12,2.341270e-12,2.640724e-12,3.956795e-12,5.049425e-11,2.297401e-12,4.082680e-12,2.078056e-12,1.230907e-11,1.961708e-12,1.864433e-12,1.795769e-12,2.104759e-12,1.820564e-12,1.763344e-12,1.738548e-12,1.790047e-12,1.704216e-12,1.746178e-12,1.708031e-12,1.740456e-12,1.704216e-12,1.662254e-12,1.643181e-12,1.729011e-12,1.656532e-12,1.614571e-12,1.624107e-12,1.614571e-12,1.645088e-12,1.608849e-12,1.549721e-12,1.654625e-12,1.635551e-12,1.580238e-12,1.612663e-12,1.563072e-12,1.580238e-12,1.582146e-12,1.610756e-12,1.549721e-12,1.547813e-12,1.505852e-12,1.561165e-12,1.530647e-12,1.523018e-12,1.511574e-12,1.587868e-12,1.555443e-12,1.555443e-12,1.494408e-12,1.511574e-12,1.500130e-12,1.511574e-12,1.488686e-12,1.502037e-12,1.515388e-12,1.429558e-12,1.471519e-12,1.490593e-12,1.437187e-12,1.494408e-12,1.503944e-12,1.439095e-12,1.410484e-12,1.429558e-12,1.473427e-12,1.477242e-12,1.452446e-12,1.442909e-12,1.439095e-12,1.467705e-12,1.435280e-12,1.488686e-12,1.442909e-12,1.452446e-12,1.439095e-12,1.358986e-12,1.408577e-12,1.420021e-12,1.448631e-12,1.389503e-12,1.406670e-12,1.349449e-12,1.362801e-12,1.383781e-12,1.379967e-12,1.374245e-12,1.387596e-12,1.393318e-12,1.381874e-12,1.406670e-12,1.355171e-12,1.383781e-12,1.379967e-12,1.376152e-12,1.341820e-12,1.353264e-12,1.336098e-12,1.353264e-12,1.282692e-12,1.332283e-12,1.372337e-12,1.339912e-12,1.336098e-12,1.309395e-12,1.301765e-12,1.305580e-12,1.303673e-12,1.296043e-12,1.288414e-12,1.324654e-12,1.292229e-12,1.297951e-12,1.280785e-12
 36.13400, 0.34656,6.492907e-11,8.438472e-10,3.148562e-11,1.061317e-10,5.471229e-12,9.510994e-12,5.160331e-12,5.646705e-12,6.089210e-12,6.371498e-12,7.477760e-12,9.982109e-12,2.903843e-11,7.213456e-10,2.616024e-11,3.525644e-11,6.072336e-11,1.347065e-09,7.569313e-12,6.989479e-12,2.316475e-12,2.392769e-12,2.324104e-12,2.621651e-12,3.926277e-12,5.041224e-11,2.266884e-12,4.137993e-12,2.116203e-12,1.229191e-11,2.003670e-12,1.849174e-12,1.801491e-12,2.047539e-12,1.797676e-12,1.782417e-12,1.723289e-12,1.725197e-12,1.719475e-12,1.736641e-12,1.648903e-12,1.717567e-12,1.629829e-12,1.690864e-12,1.612663e-12,1.641273e-12,1.666069e-12,1.637459e-12,1.658440e-12,1.612663e-12,1.626015e-12,1.582146e-12,1.597404e-12,1.608849e-12,1.568794e-12,1.584053e-12,1.561165e-12,1.606941e-12,1.570702e-12,1.589775e-12,1.521110e-12,1.519203e-12,1.549721e-12,1.542091e-12,1.507759e-12,1.542091e-12,1.515388e-12,1.526833e-12,1.532555e-12,1.591682e-12,1.534462e-12,1.475334e-12,1.513481e-12,1.549721e-12,1.528740e-12,1.515388e-12,1.481056e-12,1.519203e-12,1.481056e-12,1.542091e-12,1.473427e-12,1.469612e-12,1.492500e-12,1.410484e-12,1.490593e-12,1.498222e-12,1.442909e-12,1.437187e-12,1.492500e-12,1.441002e-12,1.465797e-12,1.505852e-12,1.433372e-12,1.475334e-12,1.441002e-12,1.452446e-12,1.427650e-12,1.410484e-12,1.427650e-12,1.416206e-12,1.408577e-12,1.404762e-12,1.397133e-12,1.383781e-12,1.421928e-12,1.397133e-12,1.402855e-12,1.389503e-12,1.379967e-12,1.374245e-12,1.393318e-12,1.378059e-12,1.378059e-12,1.347542e-12,1.391411e-12,1.393318e-12,1.360893e-12,1.324654e-12,1.339912e-12,1.360893e-12,1.364708e-12,1.297951e-12,1.378059e-12,1.341820e-12,1.360893e-12,1.318932e-12,1.334190e-12,1.296043e-12,1.339912e-12,1.297951e-12,1.292229e-12,1.315117e-12,1.343727e-12,1.353264e-12,1.326561e-12,1.299858e-12
 37.74900, 0.67681,6.457621e-11,8.463668e-10,3.157336e-11,1.063339e-10,5.524635e-12,9.608268e-12,5.135536e-12,5.639076e-12,6.058693e-12,6.321907e-12,7.527351e-12,1.002788e-11,2.908993e-11,7.190740e-10,2.619457e-11,3.508097e-11,6.032472e-11,1.339626e-09,7.613182e-12,7.027626e-12,2.358437e-12,2.451897e-12,2.308845e-12,2.619743e-12,3.962517e-12,5.057436e-11,2.299309e-12,4.067421e-12,2.118111e-12,1.242733e-11,1.992226e-12,1.843452e-12,1.816750e-12,2.102852e-12,1.749992e-12,1.795769e-12,1.790047e-12,1.723289e-12,1.732826e-12,1.711845e-12,1.709938e-12,1.662254e-12,1.687050e-12,1.696587e-12,1.669884e-12,1.654625e-12,1.618385e-12,1.627922e-12,1.612663e-12,1.605034e-12,1.584053e-12,1.587868e-12,1.591682e-12,1.646995e-12,1.568794e-12,1.578331e-12,1.612663e-12,1.572609e-12,1.599312e-12,1.614571e-12,1.545906e-12,1.576424e-12,1.511574e-12,1.540184e-12,1.566887e-12,1.566887e-12,1.521110e-12,1.498222e-12,1.563072e-12,1.547813e-12,1.523018e-12,1.517296e-12,1.578331e-12,1.542091e-12,1.458168e-12,1.498222e-12,1.488686e-12,1.503944e-12,1.479149e-12,1.477242e-12,1.452446e-12,1.469612e-12,1.482963e-12,1.461983e-12,1.465797e-12,1.448631e-12,1.441002e-12,1.477242e-12,1.425743e-12,1.425743e-12,1.481056e-12,1.385689e-12,1.412392e-12,1.442909e-12,1.429558e-12,1.389503e-12,1.399040e-12,1.433372e-12,1.425743e-12,1.406670e-12,1.389503e-12,1.389503e-12,1.452446e-12,1.423836e-12,1.374245e-12,1.389503e-12,1.391411e-12,1.366615e-12,1.404762e-12,1.372337e-12,1.402855e-12,1.353264e-12,1.378059e-12,1.374245e-12,1.383781e-12,1.383781e-12,1.345634e-12,1.370430e-12,1.364708e-12,1.360893e-12,1.406670e-12,1.351356e-12,1.303673e-12,1.315117e-12,1.332283e-12,1.263618e-12,1.294136e-12,1.374245e-12,1.324654e-12,1.299858e-12,1.303673e-12,1.326561e-12,1.292229e-12,1.282692e-12,1.378059e-12,1.292229e-12
 38.57700, 0.84583,6.488138e-11,8.463191e-10,3.174120e-11,1.068774e-10,5.515098e-12,9.591102e-12,5.183220e-12,5.597114e-12,6.136894e-12,6.348610e-12,7.479667e-12,1.006603e-11,2.901173e-11,7.180803e-10,2.624607e-11,3.507715e-11,6.115251e-11,1.338863e-09,7.557868e-12,7.027626e-12,2.364159e-12,2.379417e-12,2.320290e-12,2.671242e-12,3.943443e-12,5.063921e-11,2.224922e-12,4.122734e-12,2.081871e-12,1.247311e-11,2.005577e-12,1.885414e-12,1.797676e-12,2.137184e-12,1.761436e-12,1.746178e-12,1.776695e-12,1.730919e-12,1.719475e-12,1.759529e-12,1.679420e-12,1.685142e-12,1.721382e-12,1.664162e-12,1.675606e-12,1.620293e-12,1.637459e-12,1.679420e-12,1.618385e-12,1.624107e-12,1.580238e-12,1.643181e-12,1.578331e-12,1.580238e-12,1.605034e-12,1.589775e-12,1.650810e-12,1.566887e-12,1.568794e-12,1.576424e-12,1.540184e-12,1.549721e-12,1.532555e-12,1.601219e-12,1.524925e-12,1.536369e-12,1.509666e-12,1.542091e-12,1.540184e-12,1.570702e-12,1.505852e-12,1.492500e-12,1.515388e-12,1.475334e-12,1.517296e-12,1.482963e-12,1.427650e-12,1.488686e-12,1.477242e-12,1.473427e-12,1.481056e-12,1.521110e-12,1.494408e-12,1.484871e-12,1.427650e-12,1.448631e-12,1.461983e-12,1.446724e-12,1.467705e-12,1.477242e-12,1.437187e-12,1.431465e-12,1.420021e-12,1.442909e-12,1.420021e-12,1.397133e-12,1.425743e-12,1.370430e-12,1.444817e-12,1.406670e-12,1.416206e-12,1.397133e-12,1.366615e-12,1.402855e-12,1.412392e-12,1.402855e-12,1.387596e-12,1.351356e-12,1.389503e-12,1.408577e-12,1.353264e-12,1.341820e-12,1.418114e-12,1.420021e-12,1.341820e-12,1.324654e-12,1.355171e-12,1.450539e-12,1.400948e-12,1.370430e-12,1.336098e-12,1.336098e-12,1.339912e-12,1.328468e-12,1.334190e-12,1.294136e-12,1.317024e-12,1.309395e-12,1.370430e-12,1.318932e-12,1.334190e-12,1.324654e-12,1.347542e-12,1.336098e-12,1.351356e-12,1.311302e-12
 39.05200, 1.01587,6.511599e-11,8.454646e-10,3.168398e-11,1.067153e-10,5.490303e-12,9.686470e-12,5.204201e-12,5.532265e-12,5.986214e-12,6.409645e-12,7.393836e-12,9.890556e-12,2.919865e-11,7.181718e-10,2.623272e-11,3.522593e-11,6.045252e-11,1.341343e-09,7.521629e-12,7.035255e-12,2.322197e-12,2.396584e-12,2.346992e-12,2.684593e-12,3.943443e-12,5.067736e-11,2.255440e-12,4.193306e-12,2.125740e-12,1.236439e-11,1.973152e-12,1.885414e-12,1.835823e-12,2.079964e-12,1.746178e-12,1.721382e-12,1.770973e-12,1.704216e-12,1.706123e-12,1.715660e-12,1.681328e-12,1.671791e-12,1.704216e-12,1.662254e-12,1.622200e-12,1.635551e-12,1.683235e-12,1.614571e-12,1.601219e-12,1.631737e-12,1.616478e-12,1.606941e-12,1.616478e-12,1.564979e-12,1.593590e-12,1.601219e-12,1.618385e-12,1.574516e-12,1.572609e-12,1.574516e-12,1.580238e-12,1.572609e-12,1.601219e-12,1.524925e-12,1.517296e-12,1.551628e-12,1.534462e-12,1.530647e-12,1.540184e-12,1.524925e-12,1.538277e-12,1.526833e-12,1.540184e-12,1.536369e-12,1.503944e-12,1.492500e-12,1.469612e-12,1.481056e-12,1.519203e-12,1.475334e-12,1.452446e-12,1.461983e-12,1.498222e-12,1.488686e-12,1.454353e-12,1.458168e-12,1.442909e-12,1.435280e-12,1.442909e-12,1.463890e-12,1.473427e-12,1.416206e-12,1.429558e-12,1.452446e-12,1.439095e-12,1.452446e-12,1.444817e-12,1.442909e-12,1.421928e-12,1.395226e-12,1.418114e-12,1.374245e-12,1.351356e-12,1.399040e-12,1.381874e-12,1.406670e-12,1.391411e-12,1.412392e-12,1.368523e-12,1.366615e-12,1.372337e-12,1.339912e-12,1.379967e-12,1.370430e-12,1.324654e-12,1.372337e-12,1.379967e-12,1.393318e-12,1.334190e-12,1.368523e-12,1.389503e-12,1.339912e-12,1.292229e-12,1.404762e-12,1.290321e-12,1.315117e-12,1.296043e-12,1.307487e-12,1.286507e-12,1.341820e-12,1.353264e-12,1.269340e-12,1.294136e-12,1.265526e-12,1.334190e-12,1.297951e-12
 39.71300, 1.17883,6.524950e-11,8.487242e-10,3.158861e-11,1.065818e-10,5.509376e-12,9.572029e-12,5.162239e-12,5.599022e-12,6.077766e-12,6.390571e-12,7.506371e-12,9.976387e-12,2.906513e-11,7.201097e-10,2.614689e-11,3.500086e-11,6.023126e-11,1.342678e-09,7.571221e-12,7.023811e-12,2.299309e-12,2.423286e-12,2.305031e-12,2.682686e-12,3.905296e-12,5.073267e-11,2.234459e-12,4.084587e-12,2.125740e-12,1.238537e-11,2.026558e-12,1.898765e-12,1.811027e-12,2.060890e-12,1.772880e-12,1.751900e-12,1.732826e-12,1.732826e-12,1.727104e-12,1.729011e-12,1.721382e-12,1.696587e-12,1.667976e-12,1.664162e-12,1.667976e-12,1.603126e-12,1.641273e-12,1.646995e-12,1.664162e-12,1.624107e-12,1.608849e-12,1.563072e-12,1.603126e-12,1.595497e-12,1.601219e-12,1.564979e-12,1.521110e-12,1.582146e-12,1.576424e-12,1.564979e-12,1.601219e-12,1.553535e-12,1.559257e-12,1.515388e-12,1.601219e-12,1.564979e-12,1.509666e-12,1.528740e-12,1.517296e-12,1.536369e-12,1.542091e-12,1.473427e-12,1.521110e-12,1.505852e-12,1.503944e-12,1.458168e-12,1.486778e-12,1.473427e-12,1.515388e-12,1.545906e-12,1.484871e-12,1.513481e-12,1.498222e-12,1.492500e-12,1.486778e-12,1.473427e-12,1.463890e-12,1.460075e-12,1.448631e-12,1.463890e-12,1.456261e-12,1.456261e-12,1.425743e-12,1.442909e-12,1.429558e-12,1.439095e-12,1.461983e-12,1.399040e-12,1.402855e-12,1.404762e-12,1.404762e-12,1.391411e-12,1.429558e-12,1.383781e-12,1.389503e-12,1.412392e-12,1.391411e-12,1.393318e-12,1.372337e-12,1.383781e-12,1.343727e-12,1.305580e-12,1.322746e-12,1.425743e-12,1.372337e-12,1.358986e-12,1.381874e-12,1.383781e-12,1.410484e-12,1.343727e-12,1.339912e-12,1.347542e-12,1.318932e-12,1.339912e-12,1.322746e-12,1.341820e-12,1.309395e-12,1.324654e-12,1.299858e-12,1.343727e-12,1.299858e-12,1.292229e-12,1.303673e-12,1.280785e-12,1.328468e-12,1.299858e-12
 40.11600, 1.34319,6.537920e-11,8.491419e-10,3.160769e-11,1.066104e-10,5.539894e-12,9.642601e-12,5.246162e-12,5.661964e-12,6.070137e-12,6.358147e-12,7.502556e-12,9.898186e-12,2.943706e-11,7.201574e-10,2.628422e-11,3.515345e-11,6.014735e-11,1.344967e-09,7.620811e-12,6.999016e-12,2.350807e-12,2.423286e-12,2.276421e-12,2.596855e-12,4.021645e-12,5.060679e-11,2.297401e-12,4.111290e-12,2.142906e-12,1.255321e-11,1.997948e-12,1.845360e-12,1.761436e-12,2.110481e-12,1.778603e-12,1.736641e-12,1.732826e-12,1.709938e-12,1.727104e-12,1.675606e-12,1.730919e-12,1.702309e-12,1.645088e-12,1.667976e-12,1.650810e-12,1.610756e-12,1.624107e-12,1.601219e-12,1.631737e-12,1.646995e-12,1.585960e-12,1.593590e-12,1.599312e-12,1.568794e-12,1.620293e-12,1.574516e-12,1.601219e-12,1.584053e-12,1.553535e-12,1.559257e-12,1.526833e-12,1.564979e-12,1.524925e-12,1.568794e-12,1.528740e-12,1.538277e-12,1.500130e-12,1.543999e-12,1.561165e-12,1.532555e-12,1.519203e-12,1.471519e-12,1.519203e-12,1.507759e-12,1.521110e-12,1.523018e-12,1.458168e-12,1.507759e-12,1.471519e-12,1.502037e-12,1.509666e-12,1.500130e-12,1.450539e-12,1.442909e-12,1.412392e-12,1.503944e-12,1.414299e-12,1.448631e-12,1.406670e-12,1.467705e-12,1.378059e-12,1.429558e-12,1.421928e-12,1.435280e-12,1.412392e-12,1.414299e-12,1.399040e-12,1.389503e-12,1.376152e-12,1.442909e-12,1.408577e-12,1.364708e-12,1.378059e-12,1.418114e-12,1.385689e-12,1.379967e-12,1.406670e-12,1.397133e-12,1.353264e-12,1.353264e-12,1.383781e-12,1.383781e-12,1.374245e-12,1.366615e-12,1.381874e-12,1.347542e-12,1.355171e-12,1.358986e-12,1.332283e-12,1.383781e-12,1.336098e-12,1.362801e-12,1.328468e-12,1.315117e-12,1.349449e-12,1.345634e-12,1.297951e-12,1.317024e-12,1.345634e-12,1.288414e-12,1.305580e-12,1.296043e-12,1.320839e-12,1.309395e-12,1.288414e-12,1.311302e-12
 40.65600, 1.50558,6.464678e-11,8.509863e-10,3.155047e-11,1.065952e-10,5.534172e-12,9.648323e-12,5.160331e-12,5.591392e-12,5.974769e-12,6.398201e-12,7.449150e-12,1.006031e-11,2.928066e-11,7.233331e-10,2.634334e-11,3.518206e-11,6.080157e-11,1.349926e-09,7.407189e-12,6.981850e-12,2.371788e-12,2.417564e-12,2.314568e-12,2.625465e-12,3.886223e-12,5.093103e-11,2.251625e-12,4.166603e-12,2.154350e-12,1.241779e-11,2.081871e-12,1.919746e-12,1.795769e-12,2.100944e-12,1.759529e-12,1.780510e-12,1.763344e-12,1.708031e-12,1.677513e-12,1.729011e-12,1.673698e-12,1.666069e-12,1.725197e-12,1.646995e-12,1.643181e-12,1.679420e-12,1.652718e-12,1.582146e-12,1.572609e-12,1.641273e-12,1.626015e-12,1.605034e-12,1.580238e-12,1.587868e-12,1.563072e-12,1.614571e-12,1.526833e-12,1.543999e-12,1.606941e-12,1.526833e-12,1.610756e-12,1.589775e-12,1.503944e-12,1.584053e-12,1.513481e-12,1.521110e-12,1.528740e-12,1.543999e-12,1.477242e-12,1.568794e-12,1.490593e-12,1.477242e-12,1.500130e-12,1.511574e-12,1.460075e-12,1.471519e-12,1.469612e-12,1.439095e-12,1.519203e-12,1.465797e-12,1.473427e-12,1.471519e-12,1.496315e-12,1.467705e-12,1.448631e-12,1.479149e-12,1.456261e-12,1.458168e-12,1.410484e-12,1.475334e-12,1.446724e-12,1.439095e-12,1.463890e-12,1.418114e-12,1.410484e-12,1.421928e-12,1.425743e-12,1.454353e-12,1.416206e-12,1.444817e-12,1.400948e-12,1.393318e-12,1.450539e-12,1.435280e-12,1.385689e-12,1.400948e-12,1.381874e-12,1.338005e-12,1.372337e-12,1.385689e-12,1.399040e-12,1.408577e-12,1.383781e-12,1.355171e-12,1.400948e-12,1.341820e-12,1.353264e-12,1.362801e-12,1.368523e-12,1.353264e-12,1.322746e-12,1.376152e-12,1.330376e-12,1.368523e-12,1.338005e-12,1.320839e-12,1.305580e-12,1.345634e-12,1.322746e-12,1.288414e-12,1.286507e-12,1.297951e-12,1.318932e-12,1.326561e-12,1.294136e-12,1.267433e-12
 40.98500, 1.67355,6.501299e-11,8.518218e-10,3.167826e-11,1.072341e-10,5.511284e-12,9.753227e-12,5.246162e-12,5.593300e-12,6.125450e-12,6.312370e-12,7.470130e-12,1.002788e-11,2.913761e-11,7.205923e-10,2.622128e-11,3.517824e-11,6.085116e-11,1.344585e-09,7.477760e-12,7.046699e-12,2.305031e-12,2.430916e-12,2.320290e-12,2.638817e-12,3.975868e-12,5.067354e-11,2.326012e-12,4.141808e-12,2.081871e-12,1.246929e-11,2.055168e-12,1.917839e-12,1.828194e-12,2.064705e-12,1.812935e-12,1.774788e-12,1.715660e-12,1.807213e-12,1.698494e-12,1.711845e-12,1.658440e-12,1.688957e-12,1.660347e-12,1.669884e-12,1.698494e-12,1.679420e-12,1.633644e-12,1.683235e-12,1.629829e-12,1.618385e-12,1.610756e-12,1.639366e-12,1.597404e-12,1.585960e-12,1.599312e-12,1.589775e-12,1.599312e-12,1.587868e-12,1.543999e-12,1.549721e-12,1.526833e-12,1.570702e-12,1.576424e-12,1.559257e-12,1.498222e-12,1.543999e-12,1.513481e-12,1.599312e-12,1.532555e-12,1.492500e-12,1.547813e-12,1.524925e-12,1.481056e-12,1.475334e-12,1.463890e-12,1.479149e-12,1.528740e-12,1.463890e-12,1.507759e-12,1.473427e-12,1.484871e-12,1.477242e-12,1.446724e-12,1.555443e-12,1.469612e-12,1.420021e-12,1.433372e-12,1.431465e-12,1.437187e-12,1.446724e-12,1.469612e-12,1.410484e-12,1.473427e-12,1.433372e-12,1.395226e-12,1.448631e-12,1.408577e-12,1.458168e-12,1.410484e-12,1.351356e-12,1.347542e-12,1.412392e-12,1.391411e-12,1.379967e-12,1.410484e-12,1.414299e-12,1.416206e-12,1.378059e-12,1.366615e-12,1.442909e-12,1.332283e-12,1.372337e-12,1.378059e-12,1.370430e-12,1.364708e-12,1.349449e-12,1.353264e-12,1.345634e-12,1.334190e-12,1.353264e-12,1.318932e-12,1.326561e-12,1.294136e-12,1.282692e-12,1.294136e-12,1.345634e-12,1.326561e-12,1.341820e-12,1.259804e-12,1.326561e-12,1.288414e-12,1.345634e-12,1.318932e-12,1.360893e-12,1.296043e-12,1.271248e-12
