#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_15K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005f-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 11:49:19 AM (UTC-5)              
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005f-J3                                     
#SAMPLE MASS /mg:            ,4.25                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-4/4                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:05/100›C                           
#SEG. 3:                     ,100›C/15.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.06700, 0.00000,      2.49373,    100.00000,50.00000,53.00000,            ,0.92409,1
 33.58700, 0.06667,      2.44222,     99.72588,50.00000,53.00000,3.561464e-09,0.92409,1
 34.07400, 0.13333,      2.38355,     99.51294,50.00000,52.00000,3.568602e-09,0.92418,1
 34.53200, 0.20000,      2.31656,     99.33176,50.00000,52.00000,3.568602e-09,0.92418,1
 34.96200, 0.26667,      2.24260,     99.10824,50.00000,52.00000,3.580139e-09,0.92425,1
 35.38100, 0.33333,      2.16904,     98.96988,50.00000,52.00000,3.580139e-09,0.92425,1
 35.75100, 0.40000,      2.09571,     98.78353,50.00000,52.00000,3.580139e-09,0.92425,1
 36.13400, 0.46667,      2.02083,     98.68235,50.00000,52.00000,3.580139e-09,0.92425,1
 36.48500, 0.53333,      1.94481,     98.55176,50.00000,51.00000,3.572747e-09,0.92433,1
 36.82600, 0.60000,      1.86996,     98.42400,50.00000,51.00000,3.572747e-09,0.92433,1
 37.13300, 0.66667,      1.79863,     98.27506,50.00000,51.00000,3.572747e-09,0.92433,1
 37.46400, 0.73333,      1.72769,     98.20588,50.00000,51.00000,3.572747e-09,0.92433,1
 37.74900, 0.80000,      1.65987,     98.07529,50.00000,51.00000,3.573052e-09,0.92439,1
 38.02800, 0.86667,      1.59089,     97.97153,50.00000,50.00000,3.573052e-09,0.92439,1
 38.30000, 0.93333,      1.52930,     97.83835,50.00000,50.00000,3.573763e-09,0.92446,1
 38.57700, 1.00000,      1.46791,     97.79318,50.00000,50.00000,3.573763e-09,0.92446,1
 38.81100, 1.06667,      1.41061,     97.71859,50.00000,50.00000,3.573763e-09,0.92446,1
 39.05200, 1.13333,      1.35389,     97.59082,50.00000,49.00000,3.579878e-09,0.92451,1
 39.28100, 1.20000,      1.29815,     97.56965,50.00000,49.00000,3.579878e-09,0.92451,1
