#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_20K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005f-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 9:52:29 AM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005f-J3                                     
#SAMPLE MASS /mg:            ,4.0                                         
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 33.02000, 0.01346,6.478029e-11,8.482683e-10,3.143030e-11,1.076804e-10,5.547523e-12,9.520530e-12,5.169868e-12,5.629539e-12,6.039619e-12,6.306648e-12,7.468223e-12,1.003170e-11,2.927303e-11,7.246720e-10,2.630138e-11,3.522402e-11,6.139475e-11,1.353168e-09,7.559776e-12,7.079124e-12,2.326012e-12,2.404213e-12,2.318382e-12,2.648354e-12,3.972054e-12,5.089480e-11,2.259254e-12,4.187584e-12,2.158165e-12,1.235294e-11,1.980781e-12,1.914024e-12,1.843452e-12,2.118111e-12,1.755714e-12,1.755714e-12,1.767158e-12,1.696587e-12,1.673698e-12,1.746178e-12,1.753807e-12,1.706123e-12,1.677513e-12,1.671791e-12,1.729011e-12,1.662254e-12,1.620293e-12,1.608849e-12,1.652718e-12,1.631737e-12,1.627922e-12,1.589775e-12,1.564979e-12,1.591682e-12,1.568794e-12,1.610756e-12,1.555443e-12,1.587868e-12,1.570702e-12,1.553535e-12,1.543999e-12,1.543999e-12,1.553535e-12,1.551628e-12,1.502037e-12,1.524925e-12,1.528740e-12,1.519203e-12,1.538277e-12,1.540184e-12,1.507759e-12,1.509666e-12,1.509666e-12,1.530647e-12,1.553535e-12,1.463890e-12,1.482963e-12,1.448631e-12,1.477242e-12,1.450539e-12,1.448631e-12,1.437187e-12,1.488686e-12,1.456261e-12,1.456261e-12,1.463890e-12,1.519203e-12,1.433372e-12,1.400948e-12,1.460075e-12,1.435280e-12,1.429558e-12,1.412392e-12,1.418114e-12,1.477242e-12,1.441002e-12,1.421928e-12,1.418114e-12,1.441002e-12,1.429558e-12,1.400948e-12,1.418114e-12,1.412392e-12,1.395226e-12,1.374245e-12,1.376152e-12,1.374245e-12,1.450539e-12,1.400948e-12,1.383781e-12,1.330376e-12,1.364708e-12,1.358986e-12,1.351356e-12,1.393318e-12,1.343727e-12,1.326561e-12,1.357079e-12,1.326561e-12,1.347542e-12,1.311302e-12,1.317024e-12,1.330376e-12,1.332283e-12,1.301765e-12,1.317024e-12,1.299858e-12,1.301765e-12,1.330376e-12,1.324654e-12,1.301765e-12,1.261711e-12,1.358986e-12,1.320839e-12,1.349449e-12,1.280785e-12
 33.16700, 0.17559,6.541925e-11,8.487929e-10,3.176027e-11,1.062938e-10,5.536079e-12,9.644508e-12,5.232811e-12,5.631447e-12,6.127357e-12,6.463051e-12,7.411003e-12,1.005650e-11,2.918529e-11,7.286603e-10,2.625751e-11,3.561121e-11,6.066996e-11,1.353741e-09,7.597923e-12,7.060051e-12,2.287865e-12,2.390861e-12,2.276421e-12,2.636909e-12,3.901482e-12,5.076510e-11,2.213478e-12,4.141808e-12,2.064705e-12,1.247501e-11,2.036095e-12,1.835823e-12,1.828194e-12,2.020836e-12,1.830101e-12,1.788139e-12,1.755714e-12,1.692772e-12,1.769066e-12,1.727104e-12,1.681328e-12,1.658440e-12,1.688957e-12,1.624107e-12,1.685142e-12,1.584053e-12,1.660347e-12,1.603126e-12,1.626015e-12,1.605034e-12,1.620293e-12,1.572609e-12,1.568794e-12,1.601219e-12,1.564979e-12,1.570702e-12,1.578331e-12,1.578331e-12,1.530647e-12,1.587868e-12,1.557350e-12,1.519203e-12,1.559257e-12,1.532555e-12,1.519203e-12,1.553535e-12,1.530647e-12,1.519203e-12,1.543999e-12,1.502037e-12,1.482963e-12,1.534462e-12,1.502037e-12,1.536369e-12,1.500130e-12,1.496315e-12,1.503944e-12,1.490593e-12,1.505852e-12,1.500130e-12,1.486778e-12,1.555443e-12,1.381874e-12,1.494408e-12,1.425743e-12,1.439095e-12,1.456261e-12,1.431465e-12,1.500130e-12,1.427650e-12,1.431465e-12,1.456261e-12,1.416206e-12,1.463890e-12,1.435280e-12,1.442909e-12,1.481056e-12,1.420021e-12,1.421928e-12,1.383781e-12,1.418114e-12,1.397133e-12,1.402855e-12,1.399040e-12,1.355171e-12,1.341820e-12,1.347542e-12,1.372337e-12,1.336098e-12,1.381874e-12,1.378059e-12,1.376152e-12,1.374245e-12,1.378059e-12,1.383781e-12,1.313210e-12,1.368523e-12,1.364708e-12,1.345634e-12,1.347542e-12,1.355171e-12,1.326561e-12,1.288414e-12,1.368523e-12,1.345634e-12,1.339912e-12,1.317024e-12,1.313210e-12,1.317024e-12,1.318932e-12,1.292229e-12,1.347542e-12,1.311302e-12,1.269340e-12,1.255989e-12,1.294136e-12
 33.25000, 0.34585,6.464487e-11,8.517207e-10,3.173930e-11,1.068240e-10,5.454063e-12,9.787560e-12,5.259514e-12,5.640983e-12,6.049156e-12,6.392479e-12,7.473945e-12,9.915352e-12,2.916431e-11,7.251642e-10,2.631092e-11,3.541285e-11,6.084162e-11,1.355457e-09,7.567406e-12,7.107735e-12,2.312660e-12,2.406120e-12,2.318382e-12,2.635002e-12,3.945351e-12,5.083567e-11,2.264976e-12,4.107475e-12,2.083778e-12,1.233578e-11,1.980781e-12,1.847267e-12,1.788139e-12,2.120018e-12,1.805305e-12,1.759529e-12,1.755714e-12,1.723289e-12,1.671791e-12,1.719475e-12,1.685142e-12,1.671791e-12,1.654625e-12,1.688957e-12,1.650810e-12,1.675606e-12,1.685142e-12,1.612663e-12,1.673698e-12,1.627922e-12,1.582146e-12,1.587868e-12,1.578331e-12,1.589775e-12,1.599312e-12,1.584053e-12,1.564979e-12,1.559257e-12,1.593590e-12,1.568794e-12,1.626015e-12,1.540184e-12,1.574516e-12,1.551628e-12,1.549721e-12,1.524925e-12,1.553535e-12,1.524925e-12,1.580238e-12,1.523018e-12,1.574516e-12,1.494408e-12,1.484871e-12,1.473427e-12,1.540184e-12,1.488686e-12,1.482963e-12,1.492500e-12,1.477242e-12,1.494408e-12,1.530647e-12,1.469612e-12,1.414299e-12,1.488686e-12,1.414299e-12,1.469612e-12,1.441002e-12,1.452446e-12,1.448631e-12,1.484871e-12,1.441002e-12,1.385689e-12,1.408577e-12,1.429558e-12,1.414299e-12,1.423836e-12,1.410484e-12,1.408577e-12,1.402855e-12,1.442909e-12,1.416206e-12,1.372337e-12,1.406670e-12,1.402855e-12,1.397133e-12,1.370430e-12,1.402855e-12,1.336098e-12,1.383781e-12,1.334190e-12,1.362801e-12,1.362801e-12,1.343727e-12,1.425743e-12,1.378059e-12,1.370430e-12,1.315117e-12,1.324654e-12,1.330376e-12,1.326561e-12,1.372337e-12,1.328468e-12,1.332283e-12,1.353264e-12,1.315117e-12,1.330376e-12,1.347542e-12,1.288414e-12,1.301765e-12,1.322746e-12,1.265526e-12,1.318932e-12,1.297951e-12,1.318932e-12,1.288414e-12,1.288414e-12
 33.37400, 0.51062,6.476122e-11,8.536986e-10,3.148752e-11,1.075031e-10,5.496025e-12,9.692191e-12,5.270958e-12,5.719185e-12,6.033897e-12,6.382942e-12,7.351875e-12,1.000118e-11,2.923298e-11,7.293012e-10,2.631855e-11,3.544718e-11,6.087595e-11,1.356983e-09,7.616996e-12,6.960869e-12,2.322197e-12,2.388954e-12,2.274513e-12,2.604485e-12,3.979683e-12,5.104548e-11,2.299309e-12,4.166603e-12,2.104759e-12,1.251888e-11,1.990318e-12,1.854896e-12,1.807213e-12,2.081871e-12,1.749992e-12,1.740456e-12,1.749992e-12,1.729011e-12,1.677513e-12,1.700401e-12,1.675606e-12,1.683235e-12,1.719475e-12,1.692772e-12,1.648903e-12,1.618385e-12,1.633644e-12,1.673698e-12,1.637459e-12,1.557350e-12,1.658440e-12,1.580238e-12,1.635551e-12,1.608849e-12,1.547813e-12,1.536369e-12,1.585960e-12,1.538277e-12,1.612663e-12,1.538277e-12,1.526833e-12,1.591682e-12,1.593590e-12,1.526833e-12,1.530647e-12,1.526833e-12,1.498222e-12,1.528740e-12,1.513481e-12,1.551628e-12,1.513481e-12,1.523018e-12,1.545906e-12,1.513481e-12,1.481056e-12,1.481056e-12,1.486778e-12,1.492500e-12,1.509666e-12,1.530647e-12,1.496315e-12,1.492500e-12,1.517296e-12,1.450539e-12,1.465797e-12,1.460075e-12,1.486778e-12,1.461983e-12,1.461983e-12,1.450539e-12,1.452446e-12,1.446724e-12,1.446724e-12,1.400948e-12,1.414299e-12,1.400948e-12,1.421928e-12,1.397133e-12,1.393318e-12,1.402855e-12,1.429558e-12,1.429558e-12,1.437187e-12,1.351356e-12,1.410484e-12,1.383781e-12,1.332283e-12,1.368523e-12,1.385689e-12,1.374245e-12,1.400948e-12,1.358986e-12,1.366615e-12,1.395226e-12,1.379967e-12,1.376152e-12,1.362801e-12,1.370430e-12,1.360893e-12,1.292229e-12,1.301765e-12,1.328468e-12,1.324654e-12,1.280785e-12,1.311302e-12,1.317024e-12,1.299858e-12,1.326561e-12,1.353264e-12,1.339912e-12,1.324654e-12,1.339912e-12,1.305580e-12,1.339912e-12,1.301765e-12,1.307487e-12
 33.52700, 0.67351,6.498247e-11,8.528975e-10,3.194910e-11,1.070510e-10,5.509376e-12,9.699821e-12,5.206108e-12,5.568504e-12,6.056785e-12,6.354332e-12,7.470130e-12,1.008892e-11,2.914143e-11,7.267282e-10,2.641201e-11,3.559405e-11,6.061655e-11,1.355839e-09,7.637977e-12,7.166862e-12,2.306938e-12,2.387047e-12,2.354622e-12,2.640724e-12,3.958702e-12,5.105883e-11,2.245903e-12,4.176140e-12,2.123833e-12,1.270199e-11,1.975059e-12,1.881599e-12,1.767158e-12,2.068520e-12,1.744270e-12,1.757622e-12,1.757622e-12,1.738548e-12,1.706123e-12,1.679420e-12,1.679420e-12,1.677513e-12,1.669884e-12,1.677513e-12,1.650810e-12,1.635551e-12,1.564979e-12,1.645088e-12,1.681328e-12,1.580238e-12,1.605034e-12,1.589775e-12,1.593590e-12,1.595497e-12,1.557350e-12,1.599312e-12,1.563072e-12,1.580238e-12,1.597404e-12,1.543999e-12,1.542091e-12,1.563072e-12,1.551628e-12,1.486778e-12,1.538277e-12,1.542091e-12,1.521110e-12,1.521110e-12,1.553535e-12,1.559257e-12,1.513481e-12,1.486778e-12,1.463890e-12,1.515388e-12,1.524925e-12,1.471519e-12,1.488686e-12,1.521110e-12,1.471519e-12,1.473427e-12,1.496315e-12,1.502037e-12,1.456261e-12,1.416206e-12,1.414299e-12,1.492500e-12,1.452446e-12,1.467705e-12,1.465797e-12,1.423836e-12,1.423836e-12,1.420021e-12,1.452446e-12,1.410484e-12,1.423836e-12,1.420021e-12,1.385689e-12,1.395226e-12,1.397133e-12,1.441002e-12,1.364708e-12,1.389503e-12,1.385689e-12,1.433372e-12,1.376152e-12,1.372337e-12,1.387596e-12,1.395226e-12,1.366615e-12,1.376152e-12,1.374245e-12,1.397133e-12,1.408577e-12,1.366615e-12,1.334190e-12,1.339912e-12,1.343727e-12,1.360893e-12,1.357079e-12,1.339912e-12,1.305580e-12,1.326561e-12,1.341820e-12,1.315117e-12,1.315117e-12,1.299858e-12,1.317024e-12,1.330376e-12,1.263618e-12,1.324654e-12,1.296043e-12,1.332283e-12,1.318932e-12,1.311302e-12,1.273155e-12,1.263618e-12
 33.77400, 1.01263,6.477076e-11,8.502120e-10,3.177172e-11,1.071502e-10,5.434990e-12,9.636879e-12,5.228996e-12,5.631447e-12,6.005287e-12,6.449699e-12,7.412911e-12,1.009655e-11,2.945423e-11,7.277295e-10,2.652645e-11,3.551394e-11,6.038195e-11,1.358128e-09,7.613182e-12,7.044792e-12,2.276421e-12,2.409935e-12,2.308845e-12,2.608299e-12,3.933907e-12,5.094629e-11,2.266884e-12,4.181862e-12,2.112389e-12,1.237965e-11,2.026558e-12,1.893043e-12,1.799583e-12,2.043724e-12,1.774788e-12,1.778603e-12,1.757622e-12,1.702309e-12,1.711845e-12,1.729011e-12,1.683235e-12,1.656532e-12,1.643181e-12,1.700401e-12,1.582146e-12,1.639366e-12,1.648903e-12,1.639366e-12,1.622200e-12,1.639366e-12,1.599312e-12,1.584053e-12,1.608849e-12,1.605034e-12,1.627922e-12,1.538277e-12,1.589775e-12,1.595497e-12,1.608849e-12,1.549721e-12,1.564979e-12,1.526833e-12,1.532555e-12,1.549721e-12,1.519203e-12,1.582146e-12,1.524925e-12,1.536369e-12,1.503944e-12,1.561165e-12,1.532555e-12,1.505852e-12,1.536369e-12,1.467705e-12,1.503944e-12,1.479149e-12,1.536369e-12,1.479149e-12,1.471519e-12,1.461983e-12,1.435280e-12,1.465797e-12,1.498222e-12,1.482963e-12,1.425743e-12,1.416206e-12,1.450539e-12,1.387596e-12,1.444817e-12,1.452446e-12,1.410484e-12,1.441002e-12,1.433372e-12,1.425743e-12,1.383781e-12,1.423836e-12,1.427650e-12,1.442909e-12,1.397133e-12,1.406670e-12,1.423836e-12,1.376152e-12,1.441002e-12,1.421928e-12,1.383781e-12,1.383781e-12,1.366615e-12,1.383781e-12,1.418114e-12,1.364708e-12,1.395226e-12,1.358986e-12,1.328468e-12,1.391411e-12,1.381874e-12,1.355171e-12,1.324654e-12,1.395226e-12,1.311302e-12,1.320839e-12,1.263618e-12,1.389503e-12,1.366615e-12,1.376152e-12,1.296043e-12,1.318932e-12,1.345634e-12,1.299858e-12,1.296043e-12,1.303673e-12,1.317024e-12,1.297951e-12,1.320839e-12,1.305580e-12,1.292229e-12,1.271248e-12
 33.87300, 1.18164,6.493669e-11,8.545150e-10,3.188044e-11,1.078349e-10,5.482673e-12,9.671211e-12,5.208015e-12,5.585670e-12,6.020546e-12,6.337166e-12,7.481574e-12,1.004314e-11,2.937603e-11,7.257726e-10,2.627850e-11,3.547579e-11,6.078631e-11,1.354504e-09,7.552146e-12,6.953239e-12,2.299309e-12,2.362251e-12,2.316475e-12,2.659798e-12,3.975868e-12,5.130678e-11,2.242088e-12,4.082680e-12,2.125740e-12,1.254177e-11,2.018928e-12,1.822472e-12,1.809120e-12,2.064705e-12,1.770973e-12,1.746178e-12,1.748085e-12,1.749992e-12,1.688957e-12,1.748085e-12,1.679420e-12,1.688957e-12,1.694679e-12,1.673698e-12,1.690864e-12,1.620293e-12,1.675606e-12,1.645088e-12,1.637459e-12,1.616478e-12,1.646995e-12,1.652718e-12,1.568794e-12,1.570702e-12,1.593590e-12,1.574516e-12,1.563072e-12,1.542091e-12,1.540184e-12,1.559257e-12,1.585960e-12,1.536369e-12,1.568794e-12,1.528740e-12,1.519203e-12,1.521110e-12,1.502037e-12,1.570702e-12,1.568794e-12,1.547813e-12,1.475334e-12,1.564979e-12,1.521110e-12,1.475334e-12,1.507759e-12,1.463890e-12,1.513481e-12,1.542091e-12,1.488686e-12,1.442909e-12,1.448631e-12,1.414299e-12,1.473427e-12,1.471519e-12,1.425743e-12,1.446724e-12,1.456261e-12,1.437187e-12,1.442909e-12,1.477242e-12,1.475334e-12,1.408577e-12,1.482963e-12,1.460075e-12,1.418114e-12,1.402855e-12,1.477242e-12,1.444817e-12,1.416206e-12,1.400948e-12,1.406670e-12,1.441002e-12,1.421928e-12,1.383781e-12,1.383781e-12,1.402855e-12,1.376152e-12,1.378059e-12,1.360893e-12,1.414299e-12,1.391411e-12,1.379967e-12,1.387596e-12,1.347542e-12,1.334190e-12,1.353264e-12,1.353264e-12,1.328468e-12,1.372337e-12,1.282692e-12,1.341820e-12,1.315117e-12,1.410484e-12,1.351356e-12,1.330376e-12,1.297951e-12,1.332283e-12,1.317024e-12,1.305580e-12,1.318932e-12,1.328468e-12,1.349449e-12,1.313210e-12,1.288414e-12,1.338005e-12,1.282692e-12
 34.02300, 1.34511,6.492907e-11,8.516844e-10,3.193384e-11,1.078407e-10,5.515098e-12,9.667396e-12,5.217552e-12,5.608558e-12,6.087303e-12,6.304741e-12,7.447242e-12,1.006222e-11,2.947903e-11,7.282026e-10,2.651501e-11,3.537852e-11,6.049829e-11,1.358128e-09,7.609367e-12,7.102013e-12,2.329826e-12,2.400398e-12,2.320290e-12,2.612114e-12,3.964424e-12,5.113894e-11,2.247810e-12,4.136086e-12,2.142906e-12,1.265812e-11,2.045631e-12,1.868248e-12,1.780510e-12,2.089500e-12,1.801491e-12,1.738548e-12,1.744270e-12,1.791954e-12,1.658440e-12,1.736641e-12,1.700401e-12,1.700401e-12,1.677513e-12,1.627922e-12,1.656532e-12,1.666069e-12,1.616478e-12,1.648903e-12,1.589775e-12,1.593590e-12,1.568794e-12,1.584053e-12,1.585960e-12,1.574516e-12,1.584053e-12,1.570702e-12,1.547813e-12,1.580238e-12,1.589775e-12,1.559257e-12,1.536369e-12,1.543999e-12,1.574516e-12,1.561165e-12,1.551628e-12,1.524925e-12,1.536369e-12,1.517296e-12,1.542091e-12,1.534462e-12,1.515388e-12,1.534462e-12,1.536369e-12,1.496315e-12,1.458168e-12,1.475334e-12,1.492500e-12,1.469612e-12,1.488686e-12,1.496315e-12,1.475334e-12,1.484871e-12,1.461983e-12,1.444817e-12,1.471519e-12,1.479149e-12,1.446724e-12,1.456261e-12,1.400948e-12,1.439095e-12,1.444817e-12,1.406670e-12,1.442909e-12,1.376152e-12,1.402855e-12,1.372337e-12,1.402855e-12,1.452446e-12,1.397133e-12,1.366615e-12,1.362801e-12,1.404762e-12,1.404762e-12,1.368523e-12,1.418114e-12,1.355171e-12,1.374245e-12,1.360893e-12,1.381874e-12,1.330376e-12,1.381874e-12,1.364708e-12,1.345634e-12,1.360893e-12,1.366615e-12,1.341820e-12,1.318932e-12,1.370430e-12,1.334190e-12,1.330376e-12,1.339912e-12,1.395226e-12,1.267433e-12,1.305580e-12,1.313210e-12,1.358986e-12,1.303673e-12,1.311302e-12,1.303673e-12,1.339912e-12,1.290321e-12,1.292229e-12,1.301765e-12,1.303673e-12,1.257896e-12,1.269340e-12
 34.12900, 1.50709,6.527048e-11,8.574904e-10,3.179842e-11,1.086704e-10,5.543709e-12,9.762764e-12,5.145073e-12,5.623817e-12,6.060600e-12,6.308555e-12,7.546424e-12,1.003551e-11,2.947330e-11,7.247770e-10,2.644062e-11,3.539759e-11,6.108957e-11,1.356792e-09,7.555961e-12,7.025719e-12,2.303123e-12,2.408028e-12,2.257347e-12,2.680778e-12,3.859520e-12,5.111605e-11,2.291679e-12,4.191399e-12,2.135277e-12,1.274204e-11,1.976967e-12,1.896858e-12,1.816750e-12,2.030373e-12,1.751900e-12,1.751900e-12,1.749992e-12,1.692772e-12,1.711845e-12,1.748085e-12,1.671791e-12,1.687050e-12,1.683235e-12,1.713753e-12,1.669884e-12,1.599312e-12,1.587868e-12,1.610756e-12,1.629829e-12,1.593590e-12,1.603126e-12,1.633644e-12,1.570702e-12,1.587868e-12,1.591682e-12,1.591682e-12,1.606941e-12,1.566887e-12,1.557350e-12,1.616478e-12,1.605034e-12,1.561165e-12,1.532555e-12,1.532555e-12,1.530647e-12,1.542091e-12,1.547813e-12,1.482963e-12,1.549721e-12,1.519203e-12,1.523018e-12,1.526833e-12,1.496315e-12,1.452446e-12,1.523018e-12,1.486778e-12,1.433372e-12,1.473427e-12,1.517296e-12,1.482963e-12,1.479149e-12,1.473427e-12,1.456261e-12,1.496315e-12,1.482963e-12,1.431465e-12,1.441002e-12,1.439095e-12,1.410484e-12,1.450539e-12,1.408577e-12,1.433372e-12,1.441002e-12,1.435280e-12,1.441002e-12,1.418114e-12,1.425743e-12,1.399040e-12,1.429558e-12,1.416206e-12,1.433372e-12,1.448631e-12,1.385689e-12,1.408577e-12,1.437187e-12,1.402855e-12,1.336098e-12,1.366615e-12,1.372337e-12,1.372337e-12,1.402855e-12,1.318932e-12,1.406670e-12,1.353264e-12,1.330376e-12,1.336098e-12,1.326561e-12,1.362801e-12,1.349449e-12,1.357079e-12,1.389503e-12,1.315117e-12,1.307487e-12,1.330376e-12,1.360893e-12,1.318932e-12,1.315117e-12,1.318932e-12,1.292229e-12,1.322746e-12,1.334190e-12,1.269340e-12,1.252174e-12,1.250267e-12,1.318932e-12,1.297951e-12
 34.26700, 1.67733,6.513697e-11,8.525675e-10,3.184038e-11,1.082774e-10,5.517006e-12,9.835243e-12,5.175590e-12,5.692482e-12,6.144523e-12,6.369591e-12,7.445335e-12,1.005840e-11,2.929783e-11,7.280328e-10,2.641773e-11,3.564173e-11,6.099611e-11,1.357555e-09,7.508278e-12,6.957054e-12,2.346992e-12,2.421379e-12,2.337456e-12,2.650261e-12,3.924370e-12,5.097681e-11,2.329826e-12,4.090309e-12,2.158165e-12,1.287937e-11,2.039909e-12,1.847267e-12,1.805305e-12,2.041817e-12,1.788139e-12,1.799583e-12,1.694679e-12,1.679420e-12,1.709938e-12,1.694679e-12,1.641273e-12,1.683235e-12,1.687050e-12,1.639366e-12,1.664162e-12,1.639366e-12,1.654625e-12,1.629829e-12,1.650810e-12,1.601219e-12,1.584053e-12,1.587868e-12,1.580238e-12,1.570702e-12,1.574516e-12,1.580238e-12,1.563072e-12,1.549721e-12,1.566887e-12,1.576424e-12,1.578331e-12,1.542091e-12,1.540184e-12,1.513481e-12,1.538277e-12,1.528740e-12,1.540184e-12,1.477242e-12,1.498222e-12,1.521110e-12,1.494408e-12,1.547813e-12,1.496315e-12,1.465797e-12,1.521110e-12,1.519203e-12,1.469612e-12,1.482963e-12,1.429558e-12,1.471519e-12,1.490593e-12,1.471519e-12,1.484871e-12,1.490593e-12,1.463890e-12,1.469612e-12,1.416206e-12,1.404762e-12,1.427650e-12,1.484871e-12,1.477242e-12,1.461983e-12,1.429558e-12,1.450539e-12,1.423836e-12,1.414299e-12,1.416206e-12,1.379967e-12,1.402855e-12,1.372337e-12,1.423836e-12,1.492500e-12,1.383781e-12,1.389503e-12,1.341820e-12,1.381874e-12,1.353264e-12,1.391411e-12,1.357079e-12,1.372337e-12,1.402855e-12,1.297951e-12,1.353264e-12,1.345634e-12,1.332283e-12,1.343727e-12,1.326561e-12,1.343727e-12,1.318932e-12,1.307487e-12,1.332283e-12,1.362801e-12,1.341820e-12,1.322746e-12,1.338005e-12,1.273155e-12,1.355171e-12,1.320839e-12,1.271248e-12,1.271248e-12,1.294136e-12,1.296043e-12,1.305580e-12,1.294136e-12,1.309395e-12,1.303673e-12
