#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_20K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005f-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 9:52:29 AM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005f-J3                                     
#SAMPLE MASS /mg:            ,4.0                                         
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-4/4                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:05/100›C                           
#SEG. 3:                     ,100›C/20.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.97400, 0.00000,      0.53789,100.00000,50.00000,48.00000,            ,0.92408,1
 33.02000, 0.06667,      0.49743, 99.96600,50.00000,48.00000,3.596552e-09,0.92408,1
 33.07200, 0.13333,      0.46399, 99.96600,50.00000,48.00000,3.600564e-09,0.92408,1
 33.11800, 0.20000,      0.43447, 99.96600,50.00000,47.00000,3.600564e-09,0.92408,1
 33.16700, 0.26667,      0.40537, 99.42300,50.00000,47.00000,3.601546e-09,0.92409,1
 33.21800, 0.33333,      0.37998, 92.02675,50.00000,47.00000,3.601546e-09,0.92409,1
 33.25000, 0.40000,      0.35913, 90.60975,50.00000,47.00000,3.601546e-09,0.92409,1
 33.30400, 0.46667,      0.34158, 90.15725,50.00000,47.00000,3.610362e-09,0.92410,1
 33.37400, 0.53333,      0.32507, 89.96500,50.00000,47.00000,3.610362e-09,0.92410,1
 33.41200, 0.60000,      0.31289, 89.93675,50.00000,47.00000,3.605760e-09,0.92411,1
 33.45100, 0.66667,      0.30174, 89.88575,50.00000,47.00000,3.605760e-09,0.92411,1
 33.52700, 0.73333,      0.29142, 89.92250,50.00000,47.00000,3.605760e-09,0.92411,1
 33.55300, 0.80000,      0.28419, 89.92250,50.00000,48.00000,3.605760e-09,0.92411,1
 33.61500, 0.86667,      0.27800, 89.92250,50.00000,48.00000,3.605814e-09,0.92412,1
 33.66900, 0.93333,      0.26995, 89.99600,50.00000,48.00000,3.605814e-09,0.92412,1
 33.71700, 1.00000,      0.26561, 90.02150,50.00000,48.00000,3.605814e-09,0.92412,1
 33.77400, 1.06667,      0.26127, 90.03000,50.00000,48.00000,3.605814e-09,0.92412,1
 33.81900, 1.13333,      0.25673, 90.10350,50.00000,48.00000,3.606257e-09,0.92412,1
 33.87300, 1.20000,      0.25260, 90.10350,50.00000,48.00000,3.606257e-09,0.92412,1
