#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,005F-J3                                    
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,TIC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/13/2025 5:00:49 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,005F-J3                                    
#SAMPLE MASS /mg:            ,4.0                                        
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
                             ,                                           

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 25.30000,  0.01339,6.436449e-11,8.417986e-10,3.267580e-11,1.113845e-10,5.534172e-12,9.530067e-12,5.223274e-12,5.572319e-12,6.159782e-12,6.361961e-12,7.401467e-12,9.922981e-12,2.846050e-11,7.084996e-10,2.664280e-11,3.504282e-11,6.022936e-11,1.332569e-09,7.586479e-12,7.065773e-12,2.364159e-12,2.369881e-12,2.369881e-12,2.675056e-12,4.027367e-12,5.008608e-11,2.310753e-12,4.115105e-12,2.158165e-12,1.302433e-11,1.986504e-12,1.904488e-12,1.837730e-12,2.095222e-12,1.776695e-12,1.761436e-12,1.715660e-12,1.711845e-12,1.708031e-12,1.736641e-12,1.721382e-12,1.715660e-12,1.692772e-12,1.711845e-12,1.675606e-12,1.681328e-12,1.702309e-12,1.637459e-12,1.660347e-12,1.631737e-12,1.637459e-12,1.616478e-12,1.660347e-12,1.633644e-12,1.645088e-12,1.645088e-12,1.658440e-12,1.559257e-12,1.614571e-12,1.578331e-12,1.564979e-12,1.574516e-12,1.524925e-12,1.612663e-12,1.572609e-12,1.576424e-12,1.523018e-12,1.551628e-12,1.549721e-12,1.534462e-12,1.532555e-12,1.551628e-12,1.551628e-12,1.555443e-12,1.496315e-12,1.547813e-12,1.469612e-12,1.496315e-12,1.542091e-12,1.519203e-12,1.509666e-12,1.446724e-12,1.458168e-12,1.490593e-12,1.494408e-12,1.454353e-12,1.444817e-12,1.473427e-12,1.502037e-12,1.435280e-12,1.437187e-12,1.452446e-12,1.460075e-12,1.477242e-12,1.461983e-12,1.420021e-12,1.439095e-12,1.450539e-12,1.465797e-12,1.416206e-12,1.400948e-12,1.381874e-12,1.400948e-12,1.458168e-12,1.429558e-12,1.376152e-12,1.425743e-12,1.408577e-12,1.399040e-12,1.393318e-12,1.387596e-12,1.381874e-12,1.387596e-12,1.404762e-12,1.414299e-12,1.395226e-12,1.360893e-12,1.353264e-12,1.379967e-12,1.341820e-12,1.294136e-12,1.379967e-12,1.355171e-12,1.320839e-12,1.383781e-12,1.303673e-12,1.357079e-12,1.345634e-12,1.353264e-12,1.303673e-12,1.332283e-12,1.294136e-12,1.315117e-12,1.355171e-12,1.307487e-12,1.290321e-12
 26.26300,  0.17628,6.456095e-11,8.444613e-10,3.284556e-11,1.114188e-10,5.604744e-12,9.551048e-12,5.202293e-12,5.599022e-12,6.070137e-12,6.371498e-12,7.414818e-12,9.961128e-12,2.896213e-11,7.128770e-10,2.673435e-11,3.500277e-11,5.925471e-11,1.336765e-09,7.615089e-12,7.061958e-12,2.345085e-12,2.413750e-12,2.301216e-12,2.657890e-12,3.878593e-12,5.011087e-11,2.280235e-12,4.153252e-12,2.133369e-12,1.292896e-11,2.038002e-12,1.898765e-12,1.877785e-12,2.156258e-12,1.835823e-12,1.755714e-12,1.702309e-12,1.723289e-12,1.790047e-12,1.757622e-12,1.681328e-12,1.715660e-12,1.671791e-12,1.692772e-12,1.677513e-12,1.671791e-12,1.687050e-12,1.645088e-12,1.645088e-12,1.646995e-12,1.641273e-12,1.622200e-12,1.614571e-12,1.606941e-12,1.603126e-12,1.650810e-12,1.601219e-12,1.580238e-12,1.614571e-12,1.578331e-12,1.551628e-12,1.580238e-12,1.603126e-12,1.595497e-12,1.549721e-12,1.542091e-12,1.543999e-12,1.576424e-12,1.561165e-12,1.563072e-12,1.534462e-12,1.513481e-12,1.564979e-12,1.538277e-12,1.503944e-12,1.543999e-12,1.475334e-12,1.526833e-12,1.486778e-12,1.482963e-12,1.555443e-12,1.500130e-12,1.488686e-12,1.500130e-12,1.523018e-12,1.454353e-12,1.479149e-12,1.425743e-12,1.469612e-12,1.532555e-12,1.484871e-12,1.496315e-12,1.429558e-12,1.498222e-12,1.435280e-12,1.441002e-12,1.418114e-12,1.450539e-12,1.441002e-12,1.406670e-12,1.437187e-12,1.399040e-12,1.395226e-12,1.433372e-12,1.429558e-12,1.427650e-12,1.439095e-12,1.442909e-12,1.400948e-12,1.404762e-12,1.378059e-12,1.366615e-12,1.431465e-12,1.379967e-12,1.372337e-12,1.408577e-12,1.387596e-12,1.358986e-12,1.381874e-12,1.362801e-12,1.357079e-12,1.353264e-12,1.393318e-12,1.385689e-12,1.374245e-12,1.360893e-12,1.318932e-12,1.387596e-12,1.334190e-12,1.362801e-12,1.305580e-12,1.358986e-12,1.307487e-12,1.355171e-12,1.317024e-12,1.328468e-12
 27.42400,  0.34662,6.512743e-11,8.456591e-10,3.286463e-11,1.120292e-10,5.719185e-12,9.568214e-12,5.276680e-12,5.627632e-12,6.037712e-12,6.373405e-12,7.357597e-12,9.909630e-12,2.927494e-11,7.099817e-10,2.674579e-11,3.501612e-11,5.989367e-11,1.336384e-09,7.622718e-12,6.974220e-12,2.308845e-12,2.480507e-12,2.343178e-12,2.697945e-12,3.911018e-12,5.015093e-11,2.312660e-12,4.210472e-12,2.177238e-12,1.296711e-11,2.047539e-12,1.896858e-12,1.780510e-12,2.078056e-12,1.828194e-12,1.805305e-12,1.812935e-12,1.748085e-12,1.734734e-12,1.740456e-12,1.688957e-12,1.694679e-12,1.700401e-12,1.688957e-12,1.675606e-12,1.677513e-12,1.704216e-12,1.650810e-12,1.606941e-12,1.622200e-12,1.666069e-12,1.639366e-12,1.671791e-12,1.612663e-12,1.568794e-12,1.631737e-12,1.601219e-12,1.563072e-12,1.574516e-12,1.561165e-12,1.566887e-12,1.589775e-12,1.578331e-12,1.545906e-12,1.593590e-12,1.587868e-12,1.551628e-12,1.538277e-12,1.517296e-12,1.572609e-12,1.547813e-12,1.492500e-12,1.566887e-12,1.543999e-12,1.530647e-12,1.540184e-12,1.530647e-12,1.454353e-12,1.526833e-12,1.509666e-12,1.460075e-12,1.473427e-12,1.530647e-12,1.488686e-12,1.511574e-12,1.530647e-12,1.479149e-12,1.454353e-12,1.503944e-12,1.513481e-12,1.498222e-12,1.465797e-12,1.486778e-12,1.477242e-12,1.475334e-12,1.442909e-12,1.463890e-12,1.402855e-12,1.454353e-12,1.433372e-12,1.450539e-12,1.454353e-12,1.360893e-12,1.423836e-12,1.387596e-12,1.441002e-12,1.423836e-12,1.387596e-12,1.418114e-12,1.431465e-12,1.391411e-12,1.370430e-12,1.353264e-12,1.364708e-12,1.357079e-12,1.381874e-12,1.343727e-12,1.336098e-12,1.345634e-12,1.370430e-12,1.336098e-12,1.364708e-12,1.334190e-12,1.328468e-12,1.364708e-12,1.345634e-12,1.313210e-12,1.311302e-12,1.330376e-12,1.343727e-12,1.318932e-12,1.324654e-12,1.334190e-12,1.385689e-12,1.332283e-12,1.311302e-12
 28.08800,  0.51714,6.395250e-11,8.468245e-10,3.280932e-11,1.111823e-10,5.604744e-12,9.631157e-12,5.185127e-12,5.677223e-12,6.083488e-12,6.344795e-12,7.414818e-12,1.000500e-11,2.897549e-11,7.133958e-10,2.668285e-11,3.505617e-11,5.913073e-11,1.339817e-09,7.529258e-12,7.010459e-12,2.337456e-12,2.440453e-12,2.335548e-12,2.669334e-12,3.924370e-12,5.036455e-11,2.261162e-12,4.105568e-12,2.095222e-12,1.291943e-11,2.045631e-12,1.900673e-12,1.839638e-12,2.085686e-12,1.824379e-12,1.788139e-12,1.742363e-12,1.751900e-12,1.717567e-12,1.786232e-12,1.704216e-12,1.744270e-12,1.742363e-12,1.700401e-12,1.692772e-12,1.673698e-12,1.622200e-12,1.662254e-12,1.593590e-12,1.629829e-12,1.626015e-12,1.574516e-12,1.591682e-12,1.627922e-12,1.624107e-12,1.570702e-12,1.618385e-12,1.606941e-12,1.564979e-12,1.572609e-12,1.597404e-12,1.563072e-12,1.561165e-12,1.643181e-12,1.570702e-12,1.616478e-12,1.605034e-12,1.580238e-12,1.582146e-12,1.572609e-12,1.534462e-12,1.503944e-12,1.511574e-12,1.509666e-12,1.545906e-12,1.473427e-12,1.481056e-12,1.526833e-12,1.521110e-12,1.477242e-12,1.486778e-12,1.519203e-12,1.505852e-12,1.448631e-12,1.471519e-12,1.498222e-12,1.502037e-12,1.435280e-12,1.460075e-12,1.463890e-12,1.469612e-12,1.503944e-12,1.444817e-12,1.500130e-12,1.450539e-12,1.444817e-12,1.429558e-12,1.461983e-12,1.439095e-12,1.418114e-12,1.458168e-12,1.412392e-12,1.460075e-12,1.433372e-12,1.433372e-12,1.416206e-12,1.397133e-12,1.410484e-12,1.381874e-12,1.370430e-12,1.383781e-12,1.395226e-12,1.368523e-12,1.330376e-12,1.374245e-12,1.318932e-12,1.379967e-12,1.368523e-12,1.383781e-12,1.376152e-12,1.345634e-12,1.391411e-12,1.330376e-12,1.379967e-12,1.311302e-12,1.351356e-12,1.338005e-12,1.318932e-12,1.320839e-12,1.318932e-12,1.303673e-12,1.360893e-12,1.343727e-12,1.317024e-12,1.311302e-12,1.273155e-12
 28.93100,  0.67983,6.495195e-11,8.432215e-10,3.281122e-11,1.120063e-10,5.604744e-12,9.518623e-12,5.192756e-12,5.597114e-12,6.066322e-12,6.346702e-12,7.458686e-12,1.000881e-11,2.887440e-11,7.107580e-10,2.655887e-11,3.501993e-11,5.929285e-11,1.334858e-09,7.561683e-12,7.021904e-12,2.364159e-12,2.461433e-12,2.324104e-12,2.652168e-12,3.973961e-12,5.023485e-11,2.295494e-12,4.158974e-12,2.112389e-12,1.290226e-11,2.026558e-12,1.889229e-12,1.816750e-12,2.131462e-12,1.814842e-12,1.759529e-12,1.730919e-12,1.784325e-12,1.723289e-12,1.727104e-12,1.791954e-12,1.677513e-12,1.711845e-12,1.717567e-12,1.715660e-12,1.738548e-12,1.673698e-12,1.635551e-12,1.713753e-12,1.626015e-12,1.696587e-12,1.635551e-12,1.584053e-12,1.589775e-12,1.626015e-12,1.612663e-12,1.572609e-12,1.559257e-12,1.591682e-12,1.578331e-12,1.580238e-12,1.536369e-12,1.543999e-12,1.606941e-12,1.521110e-12,1.563072e-12,1.543999e-12,1.589775e-12,1.553535e-12,1.536369e-12,1.578331e-12,1.475334e-12,1.555443e-12,1.498222e-12,1.473427e-12,1.532555e-12,1.481056e-12,1.517296e-12,1.526833e-12,1.515388e-12,1.490593e-12,1.505852e-12,1.481056e-12,1.458168e-12,1.482963e-12,1.488686e-12,1.494408e-12,1.496315e-12,1.496315e-12,1.494408e-12,1.461983e-12,1.421928e-12,1.439095e-12,1.421928e-12,1.458168e-12,1.456261e-12,1.433372e-12,1.393318e-12,1.448631e-12,1.439095e-12,1.395226e-12,1.427650e-12,1.372337e-12,1.461983e-12,1.378059e-12,1.425743e-12,1.402855e-12,1.425743e-12,1.410484e-12,1.372337e-12,1.397133e-12,1.336098e-12,1.360893e-12,1.381874e-12,1.368523e-12,1.376152e-12,1.355171e-12,1.357079e-12,1.336098e-12,1.357079e-12,1.322746e-12,1.343727e-12,1.345634e-12,1.353264e-12,1.328468e-12,1.376152e-12,1.338005e-12,1.339912e-12,1.322746e-12,1.357079e-12,1.357079e-12,1.284599e-12,1.330376e-12,1.303673e-12,1.353264e-12,1.275063e-12
 29.44500,  0.85048,6.436830e-11,8.454779e-10,3.281313e-11,1.117145e-10,5.549431e-12,9.640694e-12,5.175590e-12,5.593300e-12,6.180763e-12,6.287575e-12,7.426262e-12,9.951592e-12,2.863789e-11,7.105043e-10,2.685833e-11,3.514010e-11,5.976396e-11,1.336384e-09,7.527351e-12,6.932259e-12,2.373695e-12,2.427101e-12,2.316475e-12,2.593040e-12,3.912926e-12,5.017763e-11,2.289772e-12,4.160881e-12,2.108574e-12,1.276493e-11,1.990318e-12,1.940727e-12,1.814842e-12,2.099037e-12,1.759529e-12,1.759529e-12,1.749992e-12,1.759529e-12,1.755714e-12,1.795769e-12,1.725197e-12,1.681328e-12,1.660347e-12,1.654625e-12,1.669884e-12,1.641273e-12,1.656532e-12,1.631737e-12,1.614571e-12,1.648903e-12,1.559257e-12,1.688957e-12,1.614571e-12,1.639366e-12,1.561165e-12,1.585960e-12,1.618385e-12,1.618385e-12,1.578331e-12,1.538277e-12,1.589775e-12,1.601219e-12,1.545906e-12,1.545906e-12,1.564979e-12,1.540184e-12,1.564979e-12,1.532555e-12,1.532555e-12,1.507759e-12,1.555443e-12,1.534462e-12,1.524925e-12,1.526833e-12,1.515388e-12,1.553535e-12,1.519203e-12,1.477242e-12,1.513481e-12,1.418114e-12,1.492500e-12,1.498222e-12,1.450539e-12,1.482963e-12,1.452446e-12,1.465797e-12,1.477242e-12,1.439095e-12,1.458168e-12,1.408577e-12,1.511574e-12,1.418114e-12,1.427650e-12,1.400948e-12,1.406670e-12,1.448631e-12,1.435280e-12,1.389503e-12,1.475334e-12,1.427650e-12,1.454353e-12,1.429558e-12,1.420021e-12,1.450539e-12,1.391411e-12,1.412392e-12,1.410484e-12,1.372337e-12,1.385689e-12,1.421928e-12,1.435280e-12,1.412392e-12,1.408577e-12,1.376152e-12,1.370430e-12,1.400948e-12,1.406670e-12,1.379967e-12,1.379967e-12,1.338005e-12,1.349449e-12,1.362801e-12,1.351356e-12,1.343727e-12,1.343727e-12,1.360893e-12,1.320839e-12,1.313210e-12,1.404762e-12,1.315117e-12,1.294136e-12,1.366615e-12,1.362801e-12,1.320839e-12,1.343727e-12,1.347542e-12
 30.11800,  1.01299,6.494623e-11,8.473166e-10,3.296000e-11,1.119758e-10,5.532265e-12,9.648323e-12,5.166054e-12,5.646705e-12,6.031990e-12,6.274223e-12,7.475852e-12,1.006031e-11,2.908421e-11,7.121370e-10,2.695942e-11,3.528124e-11,6.002909e-11,1.343441e-09,7.527351e-12,7.023811e-12,2.364159e-12,2.472877e-12,2.348900e-12,2.671242e-12,3.909111e-12,5.065828e-11,2.293587e-12,4.158974e-12,2.087593e-12,1.256657e-11,2.026558e-12,1.914024e-12,1.849174e-12,2.095222e-12,1.793861e-12,1.742363e-12,1.799583e-12,1.765251e-12,1.683235e-12,1.746178e-12,1.746178e-12,1.738548e-12,1.654625e-12,1.709938e-12,1.648903e-12,1.696587e-12,1.643181e-12,1.666069e-12,1.593590e-12,1.662254e-12,1.654625e-12,1.618385e-12,1.627922e-12,1.580238e-12,1.605034e-12,1.597404e-12,1.580238e-12,1.561165e-12,1.633644e-12,1.555443e-12,1.547813e-12,1.524925e-12,1.564979e-12,1.513481e-12,1.555443e-12,1.561165e-12,1.555443e-12,1.551628e-12,1.542091e-12,1.528740e-12,1.578331e-12,1.496315e-12,1.532555e-12,1.498222e-12,1.502037e-12,1.492500e-12,1.532555e-12,1.536369e-12,1.519203e-12,1.465797e-12,1.486778e-12,1.498222e-12,1.454353e-12,1.521110e-12,1.465797e-12,1.513481e-12,1.454353e-12,1.446724e-12,1.465797e-12,1.473427e-12,1.477242e-12,1.473427e-12,1.479149e-12,1.399040e-12,1.408577e-12,1.458168e-12,1.477242e-12,1.391411e-12,1.471519e-12,1.429558e-12,1.402855e-12,1.425743e-12,1.418114e-12,1.418114e-12,1.385689e-12,1.391411e-12,1.383781e-12,1.410484e-12,1.414299e-12,1.414299e-12,1.381874e-12,1.399040e-12,1.406670e-12,1.399040e-12,1.374245e-12,1.360893e-12,1.391411e-12,1.336098e-12,1.400948e-12,1.336098e-12,1.351356e-12,1.383781e-12,1.324654e-12,1.334190e-12,1.406670e-12,1.370430e-12,1.358986e-12,1.313210e-12,1.374245e-12,1.345634e-12,1.276970e-12,1.322746e-12,1.297951e-12,1.326561e-12,1.318932e-12,1.311302e-12
 30.51600,  1.17545,6.436068e-11,8.487566e-10,3.271395e-11,1.119128e-10,5.545616e-12,9.701728e-12,5.257606e-12,5.610466e-12,6.037712e-12,6.272316e-12,7.483482e-12,9.915352e-12,2.899075e-11,7.152440e-10,2.681828e-11,3.523546e-11,5.972010e-11,1.337528e-09,7.647514e-12,7.056236e-12,2.320290e-12,2.432823e-12,2.354622e-12,2.669334e-12,3.972054e-12,5.047899e-11,2.299309e-12,4.097939e-12,2.121925e-12,1.250935e-11,2.017021e-12,1.881599e-12,1.824379e-12,2.091408e-12,1.799583e-12,1.778603e-12,1.740456e-12,1.738548e-12,1.749992e-12,1.778603e-12,1.696587e-12,1.706123e-12,1.685142e-12,1.721382e-12,1.667976e-12,1.652718e-12,1.656532e-12,1.643181e-12,1.664162e-12,1.641273e-12,1.582146e-12,1.557350e-12,1.650810e-12,1.587868e-12,1.603126e-12,1.582146e-12,1.591682e-12,1.666069e-12,1.576424e-12,1.622200e-12,1.547813e-12,1.555443e-12,1.559257e-12,1.610756e-12,1.555443e-12,1.538277e-12,1.572609e-12,1.540184e-12,1.564979e-12,1.591682e-12,1.496315e-12,1.564979e-12,1.511574e-12,1.547813e-12,1.523018e-12,1.526833e-12,1.479149e-12,1.490593e-12,1.461983e-12,1.496315e-12,1.456261e-12,1.477242e-12,1.505852e-12,1.469612e-12,1.488686e-12,1.572609e-12,1.460075e-12,1.505852e-12,1.469612e-12,1.429558e-12,1.441002e-12,1.444817e-12,1.463890e-12,1.444817e-12,1.454353e-12,1.402855e-12,1.420021e-12,1.441002e-12,1.402855e-12,1.418114e-12,1.357079e-12,1.433372e-12,1.425743e-12,1.406670e-12,1.418114e-12,1.362801e-12,1.435280e-12,1.393318e-12,1.328468e-12,1.381874e-12,1.414299e-12,1.376152e-12,1.351356e-12,1.338005e-12,1.427650e-12,1.349449e-12,1.381874e-12,1.372337e-12,1.370430e-12,1.339912e-12,1.326561e-12,1.301765e-12,1.345634e-12,1.324654e-12,1.383781e-12,1.318932e-12,1.362801e-12,1.391411e-12,1.349449e-12,1.358986e-12,1.307487e-12,1.332283e-12,1.395226e-12,1.317024e-12,1.275063e-12,1.305580e-12
 31.07200,  1.33990,6.516557e-11,8.489722e-10,3.284746e-11,1.121417e-10,5.511284e-12,9.598732e-12,5.248070e-12,5.743980e-12,6.081581e-12,6.278038e-12,7.374763e-12,9.947776e-12,2.887630e-11,7.130220e-10,2.686787e-11,3.515535e-11,5.975443e-11,1.340008e-09,7.708549e-12,7.037163e-12,2.352714e-12,2.455711e-12,2.345085e-12,2.608299e-12,3.947258e-12,5.055910e-11,2.299309e-12,4.097939e-12,2.133369e-12,1.239109e-11,1.999855e-12,1.835823e-12,1.807213e-12,2.097130e-12,1.820564e-12,1.765251e-12,1.717567e-12,1.721382e-12,1.704216e-12,1.692772e-12,1.729011e-12,1.673698e-12,1.715660e-12,1.675606e-12,1.671791e-12,1.622200e-12,1.662254e-12,1.696587e-12,1.616478e-12,1.629829e-12,1.646995e-12,1.660347e-12,1.639366e-12,1.620293e-12,1.572609e-12,1.595497e-12,1.612663e-12,1.566887e-12,1.576424e-12,1.629829e-12,1.551628e-12,1.574516e-12,1.578331e-12,1.580238e-12,1.534462e-12,1.561165e-12,1.530647e-12,1.555443e-12,1.543999e-12,1.524925e-12,1.524925e-12,1.532555e-12,1.486778e-12,1.521110e-12,1.498222e-12,1.469612e-12,1.509666e-12,1.482963e-12,1.500130e-12,1.490593e-12,1.467705e-12,1.505852e-12,1.500130e-12,1.458168e-12,1.463890e-12,1.538277e-12,1.461983e-12,1.475334e-12,1.452446e-12,1.433372e-12,1.454353e-12,1.469612e-12,1.460075e-12,1.477242e-12,1.420021e-12,1.454353e-12,1.427650e-12,1.425743e-12,1.427650e-12,1.404762e-12,1.446724e-12,1.421928e-12,1.435280e-12,1.427650e-12,1.391411e-12,1.387596e-12,1.463890e-12,1.408577e-12,1.461983e-12,1.395226e-12,1.378059e-12,1.334190e-12,1.385689e-12,1.372337e-12,1.324654e-12,1.370430e-12,1.360893e-12,1.379967e-12,1.360893e-12,1.332283e-12,1.313210e-12,1.399040e-12,1.334190e-12,1.362801e-12,1.349449e-12,1.311302e-12,1.339912e-12,1.318932e-12,1.326561e-12,1.317024e-12,1.301765e-12,1.336098e-12,1.345634e-12,1.292229e-12,1.288414e-12,1.311302e-12
 31.42300,  1.50793,6.507211e-11,8.468398e-10,3.270441e-11,1.114665e-10,5.524635e-12,9.591102e-12,5.175590e-12,5.640983e-12,6.068230e-12,6.361961e-12,7.365226e-12,9.985924e-12,2.870083e-11,7.128179e-10,2.675724e-11,3.519541e-11,5.990893e-11,1.339817e-09,7.550239e-12,7.044792e-12,2.366066e-12,2.396584e-12,2.356529e-12,2.629280e-12,3.912926e-12,5.049616e-11,2.276421e-12,4.147530e-12,2.146721e-12,1.233387e-11,2.030373e-12,1.929283e-12,1.814842e-12,2.078056e-12,1.774788e-12,1.799583e-12,1.769066e-12,1.729011e-12,1.751900e-12,1.749992e-12,1.751900e-12,1.673698e-12,1.679420e-12,1.673698e-12,1.683235e-12,1.650810e-12,1.667976e-12,1.656532e-12,1.669884e-12,1.683235e-12,1.667976e-12,1.616478e-12,1.606941e-12,1.605034e-12,1.593590e-12,1.593590e-12,1.574516e-12,1.635551e-12,1.538277e-12,1.551628e-12,1.553535e-12,1.578331e-12,1.595497e-12,1.536369e-12,1.561165e-12,1.523018e-12,1.576424e-12,1.505852e-12,1.576424e-12,1.561165e-12,1.526833e-12,1.574516e-12,1.538277e-12,1.526833e-12,1.467705e-12,1.526833e-12,1.521110e-12,1.551628e-12,1.505852e-12,1.515388e-12,1.467705e-12,1.509666e-12,1.519203e-12,1.437187e-12,1.494408e-12,1.454353e-12,1.479149e-12,1.437187e-12,1.473427e-12,1.465797e-12,1.441002e-12,1.479149e-12,1.471519e-12,1.461983e-12,1.412392e-12,1.473427e-12,1.467705e-12,1.429558e-12,1.437187e-12,1.416206e-12,1.431465e-12,1.452446e-12,1.439095e-12,1.441002e-12,1.429558e-12,1.404762e-12,1.450539e-12,1.414299e-12,1.402855e-12,1.372337e-12,1.416206e-12,1.421928e-12,1.379967e-12,1.381874e-12,1.358986e-12,1.381874e-12,1.372337e-12,1.358986e-12,1.378059e-12,1.345634e-12,1.336098e-12,1.345634e-12,1.322746e-12,1.370430e-12,1.317024e-12,1.332283e-12,1.296043e-12,1.311302e-12,1.338005e-12,1.303673e-12,1.318932e-12,1.324654e-12,1.317024e-12,1.280785e-12,1.355171e-12,1.366615e-12
