#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,005F-J3                                    
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/13/2025 5:00:49 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,005F-J3                                    
#SAMPLE MASS /mg:            ,4.0                                        
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,20›C....800›C/0.0....20.0K/min             
#SEGMENT:                    ,S1-4/4                                     
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:05/100›C                          
#SEG. 3:                     ,100›C/5.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                    

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 25.30000,  0.00000,      1.03326,    100.00000,50.00000,56.00000,            ,0.92261,1
 25.81000,  0.06667,      1.11396,     99.85275,50.00000,56.00000,3.558051e-09,0.92261,1
 26.26300,  0.13333,      1.16407,     99.50225,50.00000,56.00000,3.569830e-09,0.92272,1
 26.69000,  0.20000,      1.18855,     99.25600,50.00000,55.00000,3.569830e-09,0.92272,1
 27.07400,  0.26667,      1.19671,     98.96200,50.00000,55.00000,3.569882e-09,0.92282,1
 27.42400,  0.33333,      1.19517,     98.76675,50.00000,55.00000,3.569882e-09,0.92282,1
 27.75600,  0.40000,      1.17876,     98.60000,50.00000,55.00000,3.569882e-09,0.92282,1
 28.08800,  0.46667,      1.15595,     98.40200,50.00000,55.00000,3.574492e-09,0.92290,1
 28.37400,  0.53333,      1.12779,     98.22375,50.00000,54.00000,3.574492e-09,0.92290,1
 28.66800,  0.60000,      1.09528,     98.07950,50.00000,54.00000,3.564684e-09,0.92298,1
 28.93100,  0.66667,      1.05598,     98.00300,50.00000,54.00000,3.564684e-09,0.92298,1
 29.18600,  0.73333,      1.02204,     97.83625,50.00000,54.00000,3.564684e-09,0.92298,1
 29.44500,  0.80000,      0.98956,     97.78825,50.00000,54.00000,3.567255e-09,0.92305,1
 29.67000,  0.86667,      0.95131,     97.69200,50.00000,53.00000,3.567255e-09,0.92305,1
 29.88800,  0.93333,      0.91636,     97.57875,50.00000,53.00000,3.580352e-09,0.92312,1
 30.11800,  1.00000,      0.88059,     97.47700,50.00000,53.00000,3.580352e-09,0.92312,1
 30.32000,  1.06667,      0.84607,     97.42050,50.00000,53.00000,3.580352e-09,0.92312,1
 30.51600,  1.13333,      0.81506,     97.34975,50.00000,53.00000,3.577185e-09,0.92319,1
 30.70900,  1.20000,      0.78179,     97.28475,50.00000,52.00000,3.577185e-09,0.92319,1
 30.89300,  1.26667,      0.75078,     97.21400,50.00000,52.00000,3.578326e-09,0.92324,1
 31.07200,  1.33333,      0.72123,     97.15450,50.00000,52.00000,3.578326e-09,0.92324,1
 31.26800,  1.40000,      0.69395,     97.10650,50.00000,52.00000,3.578326e-09,0.92324,1
 31.42300,  1.46667,      0.66730,     97.05550,50.00000,52.00000,3.575173e-09,0.92330,1
 31.58500,  1.53333,      0.63982,     96.99900,50.00000,51.00000,3.575173e-09,0.92330,1
 31.74800,  1.60000,      0.61605,     96.96225,50.00000,51.00000,3.568990e-09,0.92335,1
 31.90300,  1.66667,      0.59126,     96.92825,50.00000,51.00000,3.568990e-09,0.92335,1
 32.04200,  1.73333,      0.56771,     96.89450,50.00000,51.00000,3.568990e-09,0.92335,1
 32.17800,  1.80000,      0.54788,     96.82075,50.00000,51.00000,3.578706e-09,0.92340,1
 32.33500,  1.86667,      0.52578,     95.08700,50.00000,51.00000,3.578706e-09,0.92340,1
 32.44600,  1.93333,      0.50512,     87.96825,50.00000,51.00000,3.580644e-09,0.92345,1
 32.57400,  2.00000,      0.48592,     86.87650,50.00000,51.00000,3.580644e-09,0.92345,1
 32.70800,  2.06667,      0.46939,     86.27950,50.00000,51.00000,3.580644e-09,0.92345,1
