#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_14_SL_PS_Tosoh_A1000_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS_A1000                                   
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,TIC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/14/2025 4:00:44 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,PS_A1000                                   
#SAMPLE MASS /mg:            ,4.3                                        
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
                             ,                                           

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 30.40500,  0.01355,6.408411e-11,8.446825e-10,3.344637e-11,1.146156e-10,5.627632e-12,9.579658e-12,5.183220e-12,5.572319e-12,6.030083e-12,6.302833e-12,7.475852e-12,1.003742e-11,2.866840e-11,7.108857e-10,2.719021e-11,3.497797e-11,6.010348e-11,1.336575e-09,7.601738e-12,7.063866e-12,2.409935e-12,2.448082e-12,2.299309e-12,2.696037e-12,3.916740e-12,5.044275e-11,2.331734e-12,4.166603e-12,2.144813e-12,1.334095e-11,2.043724e-12,1.877785e-12,1.860619e-12,2.104759e-12,1.736641e-12,1.738548e-12,1.774788e-12,1.736641e-12,1.715660e-12,1.736641e-12,1.626015e-12,1.660347e-12,1.706123e-12,1.692772e-12,1.675606e-12,1.648903e-12,1.687050e-12,1.639366e-12,1.631737e-12,1.664162e-12,1.585960e-12,1.587868e-12,1.591682e-12,1.616478e-12,1.605034e-12,1.626015e-12,1.603126e-12,1.601219e-12,1.584053e-12,1.599312e-12,1.578331e-12,1.545906e-12,1.559257e-12,1.555443e-12,1.559257e-12,1.528740e-12,1.580238e-12,1.536369e-12,1.572609e-12,1.534462e-12,1.517296e-12,1.551628e-12,1.503944e-12,1.532555e-12,1.488686e-12,1.538277e-12,1.549721e-12,1.509666e-12,1.500130e-12,1.484871e-12,1.505852e-12,1.488686e-12,1.496315e-12,1.465797e-12,1.465797e-12,1.456261e-12,1.441002e-12,1.509666e-12,1.463890e-12,1.456261e-12,1.460075e-12,1.484871e-12,1.450539e-12,1.416206e-12,1.450539e-12,1.452446e-12,1.376152e-12,1.423836e-12,1.433372e-12,1.465797e-12,1.477242e-12,1.400948e-12,1.446724e-12,1.433372e-12,1.435280e-12,1.416206e-12,1.473427e-12,1.393318e-12,1.351356e-12,1.406670e-12,1.429558e-12,1.389503e-12,1.376152e-12,1.330376e-12,1.414299e-12,1.397133e-12,1.358986e-12,1.324654e-12,1.360893e-12,1.378059e-12,1.349449e-12,1.379967e-12,1.311302e-12,1.374245e-12,1.254082e-12,1.360893e-12,1.315117e-12,1.351356e-12,1.345634e-12,1.330376e-12,1.385689e-12,1.301765e-12,1.332283e-12,1.313210e-12,1.317024e-12,1.292229e-12
 30.68100,  0.18136,6.430537e-11,8.459738e-10,3.347308e-11,1.155502e-10,5.625725e-12,9.678840e-12,5.173683e-12,5.547523e-12,6.062507e-12,6.308555e-12,7.372856e-12,9.942054e-12,2.906513e-11,7.134511e-10,2.707195e-11,3.497606e-11,6.078058e-11,1.338673e-09,7.655144e-12,7.025719e-12,2.364159e-12,2.390861e-12,2.339363e-12,2.657890e-12,3.926277e-12,5.028063e-11,2.303123e-12,4.155159e-12,2.161980e-12,1.343822e-11,2.047539e-12,1.900673e-12,1.822472e-12,2.064705e-12,1.843452e-12,1.730919e-12,1.746178e-12,1.774788e-12,1.780510e-12,1.761436e-12,1.740456e-12,1.717567e-12,1.673698e-12,1.696587e-12,1.692772e-12,1.637459e-12,1.614571e-12,1.603126e-12,1.658440e-12,1.652718e-12,1.591682e-12,1.605034e-12,1.618385e-12,1.620293e-12,1.612663e-12,1.572609e-12,1.585960e-12,1.572609e-12,1.580238e-12,1.584053e-12,1.587868e-12,1.580238e-12,1.559257e-12,1.563072e-12,1.561165e-12,1.521110e-12,1.536369e-12,1.597404e-12,1.574516e-12,1.587868e-12,1.517296e-12,1.572609e-12,1.519203e-12,1.564979e-12,1.528740e-12,1.528740e-12,1.498222e-12,1.570702e-12,1.481056e-12,1.481056e-12,1.545906e-12,1.521110e-12,1.505852e-12,1.500130e-12,1.458168e-12,1.482963e-12,1.441002e-12,1.433372e-12,1.454353e-12,1.484871e-12,1.460075e-12,1.473427e-12,1.423836e-12,1.441002e-12,1.463890e-12,1.389503e-12,1.410484e-12,1.460075e-12,1.439095e-12,1.441002e-12,1.448631e-12,1.408577e-12,1.404762e-12,1.400948e-12,1.410484e-12,1.494408e-12,1.399040e-12,1.399040e-12,1.414299e-12,1.391411e-12,1.379967e-12,1.351356e-12,1.328468e-12,1.374245e-12,1.397133e-12,1.309395e-12,1.370430e-12,1.372337e-12,1.376152e-12,1.351356e-12,1.358986e-12,1.347542e-12,1.372337e-12,1.328468e-12,1.318932e-12,1.338005e-12,1.387596e-12,1.364708e-12,1.301765e-12,1.370430e-12,1.328468e-12,1.297951e-12,1.297951e-12,1.355171e-12,1.364708e-12,1.315117e-12
 31.07400,  0.34692,6.426531e-11,8.473547e-10,3.367144e-11,1.152908e-10,5.669594e-12,9.615897e-12,5.167961e-12,5.591392e-12,6.060600e-12,6.354332e-12,7.456779e-12,9.987831e-12,2.873707e-11,7.129400e-10,2.704334e-11,3.505427e-11,5.931002e-11,1.336956e-09,7.575035e-12,7.155418e-12,2.341270e-12,2.432823e-12,2.329826e-12,2.589226e-12,3.880501e-12,5.047327e-11,2.276421e-12,4.176140e-12,2.163887e-12,1.311588e-11,2.017021e-12,1.885414e-12,1.832008e-12,2.102852e-12,1.776695e-12,1.730919e-12,1.696587e-12,1.755714e-12,1.723289e-12,1.719475e-12,1.729011e-12,1.675606e-12,1.711845e-12,1.664162e-12,1.696587e-12,1.700401e-12,1.648903e-12,1.624107e-12,1.656532e-12,1.585960e-12,1.673698e-12,1.593590e-12,1.626015e-12,1.610756e-12,1.601219e-12,1.597404e-12,1.584053e-12,1.593590e-12,1.559257e-12,1.559257e-12,1.606941e-12,1.559257e-12,1.576424e-12,1.523018e-12,1.498222e-12,1.540184e-12,1.498222e-12,1.523018e-12,1.532555e-12,1.496315e-12,1.521110e-12,1.502037e-12,1.498222e-12,1.477242e-12,1.536369e-12,1.490593e-12,1.513481e-12,1.515388e-12,1.479149e-12,1.481056e-12,1.534462e-12,1.456261e-12,1.524925e-12,1.496315e-12,1.507759e-12,1.557350e-12,1.456261e-12,1.482963e-12,1.488686e-12,1.486778e-12,1.437187e-12,1.502037e-12,1.448631e-12,1.433372e-12,1.433372e-12,1.465797e-12,1.389503e-12,1.439095e-12,1.437187e-12,1.446724e-12,1.454353e-12,1.381874e-12,1.412392e-12,1.402855e-12,1.404762e-12,1.408577e-12,1.391411e-12,1.381874e-12,1.393318e-12,1.458168e-12,1.364708e-12,1.378059e-12,1.345634e-12,1.345634e-12,1.341820e-12,1.351356e-12,1.379967e-12,1.389503e-12,1.317024e-12,1.360893e-12,1.364708e-12,1.347542e-12,1.313210e-12,1.362801e-12,1.362801e-12,1.338005e-12,1.339912e-12,1.355171e-12,1.332283e-12,1.261711e-12,1.324654e-12,1.349449e-12,1.286507e-12,1.297951e-12,1.311302e-12,1.332283e-12
 31.44100,  0.50961,6.485468e-11,8.485049e-10,3.360468e-11,1.158687e-10,5.627632e-12,9.654045e-12,5.179405e-12,5.578041e-12,6.094932e-12,6.455421e-12,7.374763e-12,1.004314e-11,2.870273e-11,7.153909e-10,2.707958e-11,3.542238e-11,6.034571e-11,1.340199e-09,7.601738e-12,7.006645e-12,2.373695e-12,2.408028e-12,2.324104e-12,2.701759e-12,3.994942e-12,5.041796e-11,2.287865e-12,4.168510e-12,2.182960e-12,1.304531e-11,2.055168e-12,1.919746e-12,1.889229e-12,2.100944e-12,1.812935e-12,1.725197e-12,1.770973e-12,1.721382e-12,1.749992e-12,1.761436e-12,1.730919e-12,1.727104e-12,1.685142e-12,1.729011e-12,1.700401e-12,1.645088e-12,1.646995e-12,1.624107e-12,1.637459e-12,1.601219e-12,1.595497e-12,1.574516e-12,1.608849e-12,1.610756e-12,1.637459e-12,1.585960e-12,1.589775e-12,1.589775e-12,1.605034e-12,1.595497e-12,1.578331e-12,1.547813e-12,1.557350e-12,1.511574e-12,1.503944e-12,1.551628e-12,1.542091e-12,1.555443e-12,1.561165e-12,1.553535e-12,1.584053e-12,1.507759e-12,1.538277e-12,1.517296e-12,1.494408e-12,1.477242e-12,1.536369e-12,1.507759e-12,1.479149e-12,1.496315e-12,1.486778e-12,1.502037e-12,1.502037e-12,1.465797e-12,1.511574e-12,1.460075e-12,1.505852e-12,1.477242e-12,1.484871e-12,1.433372e-12,1.456261e-12,1.505852e-12,1.465797e-12,1.446724e-12,1.467705e-12,1.435280e-12,1.456261e-12,1.444817e-12,1.399040e-12,1.425743e-12,1.414299e-12,1.421928e-12,1.439095e-12,1.431465e-12,1.399040e-12,1.420021e-12,1.383781e-12,1.381874e-12,1.408577e-12,1.358986e-12,1.368523e-12,1.364708e-12,1.416206e-12,1.374245e-12,1.383781e-12,1.336098e-12,1.389503e-12,1.376152e-12,1.332283e-12,1.338005e-12,1.324654e-12,1.379967e-12,1.379967e-12,1.341820e-12,1.322746e-12,1.364708e-12,1.353264e-12,1.334190e-12,1.360893e-12,1.330376e-12,1.324654e-12,1.326561e-12,1.328468e-12,1.307487e-12,1.324654e-12,1.275063e-12
 31.67500,  0.67410,6.503588e-11,8.467825e-10,3.378588e-11,1.158038e-10,5.637169e-12,9.722710e-12,5.215645e-12,5.557060e-12,6.115913e-12,6.354332e-12,7.456779e-12,9.949683e-12,2.906322e-11,7.126749e-10,2.695370e-11,3.533655e-11,6.058413e-11,1.336002e-09,7.573128e-12,7.113457e-12,2.419472e-12,2.476692e-12,2.419472e-12,2.646446e-12,3.926277e-12,5.064302e-11,2.259254e-12,4.099846e-12,2.148628e-12,1.286983e-11,1.946449e-12,1.889229e-12,1.812935e-12,2.108574e-12,1.782417e-12,1.738548e-12,1.717567e-12,1.723289e-12,1.734734e-12,1.763344e-12,1.643181e-12,1.683235e-12,1.704216e-12,1.683235e-12,1.667976e-12,1.605034e-12,1.660347e-12,1.658440e-12,1.618385e-12,1.612663e-12,1.645088e-12,1.620293e-12,1.574516e-12,1.603126e-12,1.566887e-12,1.574516e-12,1.624107e-12,1.549721e-12,1.641273e-12,1.582146e-12,1.595497e-12,1.564979e-12,1.549721e-12,1.543999e-12,1.566887e-12,1.496315e-12,1.555443e-12,1.574516e-12,1.523018e-12,1.563072e-12,1.542091e-12,1.521110e-12,1.542091e-12,1.521110e-12,1.484871e-12,1.519203e-12,1.511574e-12,1.545906e-12,1.517296e-12,1.469612e-12,1.536369e-12,1.509666e-12,1.486778e-12,1.473427e-12,1.458168e-12,1.465797e-12,1.454353e-12,1.496315e-12,1.458168e-12,1.406670e-12,1.431465e-12,1.496315e-12,1.441002e-12,1.456261e-12,1.402855e-12,1.448631e-12,1.395226e-12,1.400948e-12,1.446724e-12,1.425743e-12,1.399040e-12,1.399040e-12,1.379967e-12,1.402855e-12,1.376152e-12,1.433372e-12,1.376152e-12,1.391411e-12,1.408577e-12,1.399040e-12,1.399040e-12,1.383781e-12,1.399040e-12,1.357079e-12,1.366615e-12,1.383781e-12,1.355171e-12,1.366615e-12,1.378059e-12,1.326561e-12,1.294136e-12,1.374245e-12,1.343727e-12,1.343727e-12,1.351356e-12,1.299858e-12,1.357079e-12,1.339912e-12,1.334190e-12,1.330376e-12,1.297951e-12,1.322746e-12,1.309395e-12,1.301765e-12,1.288414e-12,1.284599e-12
 31.91100,  0.84074,6.481463e-11,8.513163e-10,3.351503e-11,1.156284e-10,5.570411e-12,9.610176e-12,5.293846e-12,5.562782e-12,6.075859e-12,6.314278e-12,7.365226e-12,9.943961e-12,2.887821e-11,7.133519e-10,2.715778e-11,3.529841e-11,6.056314e-11,1.338100e-09,7.676124e-12,7.016182e-12,2.371788e-12,2.400398e-12,2.327919e-12,2.614021e-12,3.890038e-12,5.061823e-11,2.306938e-12,4.252433e-12,2.158165e-12,1.273441e-11,2.036095e-12,1.852989e-12,1.788139e-12,2.083778e-12,1.755714e-12,1.788139e-12,1.776695e-12,1.751900e-12,1.725197e-12,1.755714e-12,1.753807e-12,1.719475e-12,1.681328e-12,1.709938e-12,1.664162e-12,1.677513e-12,1.669884e-12,1.681328e-12,1.648903e-12,1.629829e-12,1.563072e-12,1.671791e-12,1.650810e-12,1.612663e-12,1.568794e-12,1.612663e-12,1.612663e-12,1.595497e-12,1.589775e-12,1.570702e-12,1.568794e-12,1.582146e-12,1.564979e-12,1.530647e-12,1.528740e-12,1.566887e-12,1.585960e-12,1.477242e-12,1.551628e-12,1.563072e-12,1.568794e-12,1.545906e-12,1.505852e-12,1.494408e-12,1.561165e-12,1.505852e-12,1.521110e-12,1.566887e-12,1.475334e-12,1.519203e-12,1.486778e-12,1.513481e-12,1.465797e-12,1.486778e-12,1.461983e-12,1.482963e-12,1.471519e-12,1.498222e-12,1.448631e-12,1.479149e-12,1.444817e-12,1.486778e-12,1.484871e-12,1.454353e-12,1.448631e-12,1.442909e-12,1.418114e-12,1.444817e-12,1.414299e-12,1.433372e-12,1.404762e-12,1.418114e-12,1.421928e-12,1.397133e-12,1.399040e-12,1.381874e-12,1.381874e-12,1.383781e-12,1.395226e-12,1.416206e-12,1.349449e-12,1.370430e-12,1.406670e-12,1.404762e-12,1.317024e-12,1.370430e-12,1.378059e-12,1.339912e-12,1.345634e-12,1.301765e-12,1.368523e-12,1.343727e-12,1.288414e-12,1.332283e-12,1.353264e-12,1.330376e-12,1.305580e-12,1.296043e-12,1.353264e-12,1.290321e-12,1.318932e-12,1.288414e-12,1.299858e-12,1.341820e-12,1.345634e-12,1.294136e-12
 32.22800,  1.00754,6.498820e-11,8.483809e-10,3.377825e-11,1.155215e-10,5.644798e-12,9.593010e-12,5.293846e-12,5.593300e-12,6.052971e-12,6.375313e-12,7.355690e-12,9.934425e-12,2.897930e-11,7.155607e-10,2.695751e-11,3.522211e-11,6.067186e-11,1.339054e-09,7.668495e-12,7.077217e-12,2.381325e-12,2.425194e-12,2.303123e-12,2.635002e-12,3.853798e-12,5.040461e-11,2.280235e-12,4.185677e-12,2.169609e-12,1.266766e-11,1.990318e-12,1.904488e-12,1.929283e-12,2.091408e-12,1.725197e-12,1.770973e-12,1.748085e-12,1.755714e-12,1.717567e-12,1.748085e-12,1.671791e-12,1.656532e-12,1.708031e-12,1.738548e-12,1.694679e-12,1.709938e-12,1.656532e-12,1.645088e-12,1.593590e-12,1.626015e-12,1.618385e-12,1.650810e-12,1.597404e-12,1.624107e-12,1.566887e-12,1.622200e-12,1.576424e-12,1.589775e-12,1.547813e-12,1.627922e-12,1.622200e-12,1.523018e-12,1.553535e-12,1.584053e-12,1.564979e-12,1.519203e-12,1.568794e-12,1.555443e-12,1.580238e-12,1.519203e-12,1.553535e-12,1.530647e-12,1.549721e-12,1.517296e-12,1.526833e-12,1.540184e-12,1.513481e-12,1.511574e-12,1.536369e-12,1.492500e-12,1.511574e-12,1.515388e-12,1.441002e-12,1.441002e-12,1.475334e-12,1.507759e-12,1.486778e-12,1.477242e-12,1.479149e-12,1.477242e-12,1.479149e-12,1.431465e-12,1.450539e-12,1.444817e-12,1.450539e-12,1.406670e-12,1.406670e-12,1.439095e-12,1.389503e-12,1.452446e-12,1.412392e-12,1.450539e-12,1.427650e-12,1.439095e-12,1.439095e-12,1.400948e-12,1.372337e-12,1.414299e-12,1.391411e-12,1.412392e-12,1.376152e-12,1.358986e-12,1.420021e-12,1.420021e-12,1.330376e-12,1.332283e-12,1.370430e-12,1.345634e-12,1.278877e-12,1.376152e-12,1.328468e-12,1.378059e-12,1.357079e-12,1.357079e-12,1.322746e-12,1.383781e-12,1.362801e-12,1.326561e-12,1.341820e-12,1.347542e-12,1.338005e-12,1.303673e-12,1.328468e-12,1.347542e-12,1.320839e-12,1.305580e-12
 32.42300,  1.16995,6.391436e-11,8.496798e-10,3.358370e-11,1.157409e-10,5.620003e-12,9.787560e-12,5.248070e-12,5.551338e-12,6.030083e-12,6.371498e-12,7.390022e-12,9.915352e-12,2.921009e-11,7.149999e-10,2.704906e-11,3.524500e-11,6.087404e-11,1.337528e-09,7.584572e-12,6.995201e-12,2.303123e-12,2.493858e-12,2.306938e-12,2.722740e-12,4.015923e-12,5.030924e-11,2.270698e-12,4.145622e-12,2.131462e-12,1.264286e-11,1.982689e-12,1.872063e-12,1.820564e-12,2.091408e-12,1.776695e-12,1.748085e-12,1.763344e-12,1.801491e-12,1.734734e-12,1.738548e-12,1.702309e-12,1.692772e-12,1.688957e-12,1.683235e-12,1.639366e-12,1.599312e-12,1.646995e-12,1.740456e-12,1.627922e-12,1.692772e-12,1.612663e-12,1.595497e-12,1.629829e-12,1.658440e-12,1.599312e-12,1.589775e-12,1.587868e-12,1.561165e-12,1.608849e-12,1.578331e-12,1.549721e-12,1.523018e-12,1.601219e-12,1.582146e-12,1.545906e-12,1.494408e-12,1.477242e-12,1.526833e-12,1.513481e-12,1.564979e-12,1.477242e-12,1.534462e-12,1.513481e-12,1.545906e-12,1.515388e-12,1.450539e-12,1.553535e-12,1.494408e-12,1.498222e-12,1.534462e-12,1.484871e-12,1.494408e-12,1.461983e-12,1.479149e-12,1.484871e-12,1.482963e-12,1.494408e-12,1.484871e-12,1.494408e-12,1.463890e-12,1.454353e-12,1.479149e-12,1.433372e-12,1.477242e-12,1.492500e-12,1.471519e-12,1.425743e-12,1.425743e-12,1.399040e-12,1.423836e-12,1.379967e-12,1.402855e-12,1.418114e-12,1.395226e-12,1.400948e-12,1.412392e-12,1.399040e-12,1.404762e-12,1.387596e-12,1.400948e-12,1.347542e-12,1.437187e-12,1.418114e-12,1.364708e-12,1.379967e-12,1.362801e-12,1.378059e-12,1.393318e-12,1.360893e-12,1.366615e-12,1.330376e-12,1.408577e-12,1.353264e-12,1.322746e-12,1.320839e-12,1.372337e-12,1.378059e-12,1.332283e-12,1.374245e-12,1.315117e-12,1.341820e-12,1.347542e-12,1.339912e-12,1.307487e-12,1.322746e-12,1.278877e-12
 32.73300,  1.33567,6.500155e-11,8.499487e-10,3.372675e-11,1.158801e-10,5.599022e-12,9.671211e-12,5.190849e-12,5.557060e-12,6.018638e-12,6.381035e-12,7.386207e-12,9.896278e-12,2.877903e-11,7.162053e-10,2.722073e-11,3.516489e-11,6.017595e-11,1.336765e-09,7.590294e-12,7.027626e-12,2.352714e-12,2.417564e-12,2.320290e-12,2.648354e-12,3.939629e-12,5.044085e-11,2.297401e-12,4.162788e-12,2.079964e-12,1.273441e-11,1.999855e-12,1.894951e-12,1.839638e-12,2.085686e-12,1.786232e-12,1.770973e-12,1.719475e-12,1.688957e-12,1.738548e-12,1.738548e-12,1.746178e-12,1.666069e-12,1.658440e-12,1.671791e-12,1.652718e-12,1.700401e-12,1.677513e-12,1.601219e-12,1.618385e-12,1.652718e-12,1.616478e-12,1.545906e-12,1.599312e-12,1.624107e-12,1.580238e-12,1.639366e-12,1.545906e-12,1.576424e-12,1.564979e-12,1.589775e-12,1.574516e-12,1.591682e-12,1.568794e-12,1.570702e-12,1.532555e-12,1.547813e-12,1.536369e-12,1.528740e-12,1.563072e-12,1.553535e-12,1.557350e-12,1.482963e-12,1.500130e-12,1.507759e-12,1.482963e-12,1.494408e-12,1.511574e-12,1.465797e-12,1.477242e-12,1.460075e-12,1.515388e-12,1.473427e-12,1.511574e-12,1.482963e-12,1.511574e-12,1.534462e-12,1.441002e-12,1.442909e-12,1.444817e-12,1.465797e-12,1.448631e-12,1.435280e-12,1.420021e-12,1.456261e-12,1.404762e-12,1.435280e-12,1.408577e-12,1.427650e-12,1.460075e-12,1.414299e-12,1.378059e-12,1.374245e-12,1.458168e-12,1.423836e-12,1.395226e-12,1.402855e-12,1.391411e-12,1.347542e-12,1.397133e-12,1.402855e-12,1.336098e-12,1.402855e-12,1.336098e-12,1.412392e-12,1.362801e-12,1.376152e-12,1.362801e-12,1.389503e-12,1.360893e-12,1.326561e-12,1.376152e-12,1.292229e-12,1.358986e-12,1.353264e-12,1.305580e-12,1.353264e-12,1.338005e-12,1.368523e-12,1.379967e-12,1.378059e-12,1.345634e-12,1.288414e-12,1.339912e-12,1.273155e-12,1.317024e-12,1.322746e-12
 33.01600,  1.50361,6.467921e-11,8.474768e-10,3.374010e-11,1.159240e-10,5.564689e-12,9.604454e-12,5.230903e-12,5.599022e-12,6.064415e-12,6.463051e-12,7.470130e-12,1.004505e-11,2.916241e-11,7.155110e-10,2.711582e-11,3.545290e-11,6.014353e-11,1.341534e-09,7.548332e-12,6.991386e-12,2.388954e-12,2.432823e-12,2.326012e-12,2.671242e-12,3.962517e-12,5.059153e-11,2.314568e-12,4.132270e-12,2.167702e-12,1.257420e-11,2.051353e-12,1.893043e-12,1.799583e-12,2.161980e-12,1.767158e-12,1.801491e-12,1.761436e-12,1.757622e-12,1.734734e-12,1.746178e-12,1.706123e-12,1.709938e-12,1.690864e-12,1.700401e-12,1.706123e-12,1.666069e-12,1.700401e-12,1.622200e-12,1.633644e-12,1.648903e-12,1.616478e-12,1.646995e-12,1.608849e-12,1.553535e-12,1.612663e-12,1.601219e-12,1.618385e-12,1.606941e-12,1.576424e-12,1.578331e-12,1.597404e-12,1.547813e-12,1.564979e-12,1.553535e-12,1.553535e-12,1.582146e-12,1.572609e-12,1.505852e-12,1.507759e-12,1.563072e-12,1.564979e-12,1.555443e-12,1.540184e-12,1.532555e-12,1.515388e-12,1.524925e-12,1.477242e-12,1.511574e-12,1.528740e-12,1.498222e-12,1.517296e-12,1.467705e-12,1.490593e-12,1.456261e-12,1.444817e-12,1.488686e-12,1.454353e-12,1.423836e-12,1.481056e-12,1.431465e-12,1.442909e-12,1.439095e-12,1.460075e-12,1.444817e-12,1.498222e-12,1.412392e-12,1.505852e-12,1.467705e-12,1.412392e-12,1.406670e-12,1.372337e-12,1.433372e-12,1.395226e-12,1.393318e-12,1.381874e-12,1.364708e-12,1.376152e-12,1.378059e-12,1.414299e-12,1.406670e-12,1.404762e-12,1.374245e-12,1.439095e-12,1.372337e-12,1.326561e-12,1.399040e-12,1.364708e-12,1.397133e-12,1.379967e-12,1.364708e-12,1.345634e-12,1.381874e-12,1.360893e-12,1.372337e-12,1.347542e-12,1.357079e-12,1.338005e-12,1.301765e-12,1.330376e-12,1.280785e-12,1.345634e-12,1.305580e-12,1.324654e-12,1.292229e-12,1.349449e-12,1.292229e-12
