#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_14_SL_PS_Tosoh_A1000_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS_A1000                                   
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/14/2025 4:00:44 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,PS_A1000                                   
#SAMPLE MASS /mg:            ,4.3                                        
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 �l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /�V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,100�C/5.0(K/min)/600�C                     
#SEGMENT:                    ,S3/4                                       
#SEG. 3:                     ,100�C/5.0(K/min)/600�C                     




##Temp./�C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
107.85300, 21.01333,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.84400, 21.02667,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.84200, 21.04000,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.85000, 21.05333,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.84200, 21.06667,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.83900, 21.08000,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.84300, 21.09333,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.83900, 21.10667,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.82900, 21.12000,      0.16509,     87.10814,50.00000,52.00000,3.639917e-09,0.91892
107.84200, 21.13333,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.84700, 21.14667,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.83300, 21.16000,      0.16509,     87.10814,50.00000,52.00000,3.639917e-09,0.91892
107.82500, 21.17333,      0.16509,     87.10814,50.00000,52.00000,3.636642e-09,0.91892
107.82900, 21.18667,      0.16509,     87.10814,50.00000,52.00000,3.639917e-09,0.91892
107.82700, 21.20000,      0.16509,     87.10814,50.00000,52.00000,3.639917e-09,0.91892
107.83400, 21.21333,      0.16509,     87.10814,50.00000,52.00000,3.638016e-09,0.91892
107.82800, 21.22667,      0.16509,     87.10814,50.00000,52.00000,3.639917e-09,0.91892
107.81900, 21.24000,      0.16509,     87.10814,50.00000,52.00000,            ,0.91892
