#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_005D-L1_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS-005d-L1                              
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,TIC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,11/22/2025 12:23:44 PM (UTC-5)          
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS-005d-L1                              
#SAMPLE MASS /mg:            ,2.5                                     
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
                             ,                                        

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.38600, 0.01349,6.258494e-11,8.191450e-10,2.557278e-11,8.367830e-11,5.259514e-12,9.245872e-12,5.089760e-12,5.396843e-12,5.890846e-12,6.196022e-12,7.193565e-12,9.512901e-12,2.655125e-11,6.272599e-10,2.211094e-11,3.370005e-11,5.689341e-11,1.233959e-09,7.121086e-12,6.697655e-12,2.404213e-12,2.455711e-12,2.293587e-12,2.575874e-12,3.817558e-12,4.750544e-11,2.247810e-12,4.044533e-12,2.114296e-12,1.117229e-11,1.975059e-12,1.910210e-12,1.820564e-12,2.038002e-12,1.744270e-12,1.744270e-12,1.734734e-12,1.729011e-12,1.694679e-12,1.748085e-12,1.629829e-12,1.667976e-12,1.614571e-12,1.681328e-12,1.641273e-12,1.641273e-12,1.566887e-12,1.563072e-12,1.555443e-12,1.570702e-12,1.601219e-12,1.616478e-12,1.561165e-12,1.589775e-12,1.582146e-12,1.564979e-12,1.591682e-12,1.503944e-12,1.545906e-12,1.555443e-12,1.547813e-12,1.515388e-12,1.502037e-12,1.502037e-12,1.477242e-12,1.551628e-12,1.542091e-12,1.503944e-12,1.532555e-12,1.570702e-12,1.467705e-12,1.488686e-12,1.450539e-12,1.458168e-12,1.515388e-12,1.412392e-12,1.444817e-12,1.456261e-12,1.425743e-12,1.521110e-12,1.410484e-12,1.444817e-12,1.441002e-12,1.439095e-12,1.423836e-12,1.439095e-12,1.406670e-12,1.420021e-12,1.381874e-12,1.379967e-12,1.446724e-12,1.414299e-12,1.387596e-12,1.376152e-12,1.378059e-12,1.423836e-12,1.391411e-12,1.349449e-12,1.366615e-12,1.385689e-12,1.349449e-12,1.317024e-12,1.338005e-12,1.322746e-12,1.353264e-12,1.381874e-12,1.320839e-12,1.339912e-12,1.379967e-12,1.366615e-12,1.364708e-12,1.360893e-12,1.349449e-12,1.358986e-12,1.307487e-12,1.317024e-12,1.393318e-12,1.288414e-12,1.343727e-12,1.328468e-12,1.282692e-12,1.349449e-12,1.313210e-12,1.332283e-12,1.282692e-12,1.339912e-12,1.301765e-12,1.252174e-12,1.271248e-12,1.288414e-12,1.284599e-12,1.280785e-12,1.286507e-12,1.273155e-12,1.317024e-12,1.246452e-12
 27.69400, 0.18114,6.227213e-11,8.218115e-10,2.573490e-11,8.322245e-11,5.227089e-12,9.194374e-12,5.112648e-12,5.442619e-12,5.953789e-12,6.262779e-12,7.287025e-12,9.554863e-12,2.675724e-11,6.308171e-10,2.228641e-11,3.372484e-11,5.703264e-11,1.235867e-09,7.002830e-12,6.693840e-12,2.369881e-12,2.442360e-12,2.310753e-12,2.625465e-12,3.907204e-12,4.760843e-11,2.278328e-12,3.998756e-12,2.081871e-12,1.120472e-11,1.959801e-12,1.841545e-12,1.790047e-12,2.030373e-12,1.770973e-12,1.763344e-12,1.706123e-12,1.713753e-12,1.711845e-12,1.744270e-12,1.669884e-12,1.725197e-12,1.618385e-12,1.639366e-12,1.667976e-12,1.700401e-12,1.572609e-12,1.631737e-12,1.578331e-12,1.534462e-12,1.603126e-12,1.599312e-12,1.597404e-12,1.511574e-12,1.545906e-12,1.526833e-12,1.568794e-12,1.578331e-12,1.503944e-12,1.549721e-12,1.523018e-12,1.524925e-12,1.534462e-12,1.542091e-12,1.502037e-12,1.496315e-12,1.528740e-12,1.498222e-12,1.469612e-12,1.570702e-12,1.496315e-12,1.475334e-12,1.496315e-12,1.461983e-12,1.519203e-12,1.460075e-12,1.429558e-12,1.454353e-12,1.482963e-12,1.425743e-12,1.427650e-12,1.490593e-12,1.421928e-12,1.444817e-12,1.381874e-12,1.484871e-12,1.467705e-12,1.420021e-12,1.410484e-12,1.379967e-12,1.410484e-12,1.376152e-12,1.391411e-12,1.387596e-12,1.412392e-12,1.393318e-12,1.402855e-12,1.364708e-12,1.393318e-12,1.421928e-12,1.408577e-12,1.381874e-12,1.322746e-12,1.330376e-12,1.376152e-12,1.399040e-12,1.410484e-12,1.360893e-12,1.353264e-12,1.320839e-12,1.381874e-12,1.288414e-12,1.332283e-12,1.320839e-12,1.347542e-12,1.294136e-12,1.244545e-12,1.280785e-12,1.320839e-12,1.328468e-12,1.347542e-12,1.339912e-12,1.273155e-12,1.318932e-12,1.282692e-12,1.309395e-12,1.248360e-12,1.324654e-12,1.284599e-12,1.275063e-12,1.309395e-12,1.317024e-12,1.282692e-12,1.271248e-12,1.280785e-12,1.303673e-12
 28.06000, 0.34664,6.277757e-11,8.212755e-10,2.567196e-11,8.350092e-11,5.290031e-12,9.102821e-12,5.070686e-12,5.444526e-12,5.906105e-12,6.146431e-12,7.168769e-12,9.591102e-12,2.686596e-11,6.279942e-10,2.221203e-11,3.367335e-11,5.682093e-11,1.239872e-09,7.163047e-12,6.711006e-12,2.329826e-12,2.430916e-12,2.316475e-12,2.635002e-12,3.821373e-12,4.755884e-11,2.274513e-12,4.015923e-12,2.043724e-12,1.117992e-11,1.959801e-12,1.828194e-12,1.769066e-12,2.057075e-12,1.788139e-12,1.763344e-12,1.706123e-12,1.757622e-12,1.690864e-12,1.698494e-12,1.732826e-12,1.687050e-12,1.685142e-12,1.696587e-12,1.593590e-12,1.605034e-12,1.605034e-12,1.643181e-12,1.591682e-12,1.536369e-12,1.648903e-12,1.582146e-12,1.566887e-12,1.582146e-12,1.543999e-12,1.536369e-12,1.559257e-12,1.593590e-12,1.582146e-12,1.534462e-12,1.528740e-12,1.498222e-12,1.507759e-12,1.477242e-12,1.521110e-12,1.536369e-12,1.517296e-12,1.479149e-12,1.530647e-12,1.484871e-12,1.433372e-12,1.473427e-12,1.519203e-12,1.471519e-12,1.460075e-12,1.446724e-12,1.473427e-12,1.425743e-12,1.477242e-12,1.488686e-12,1.435280e-12,1.490593e-12,1.433372e-12,1.475334e-12,1.427650e-12,1.399040e-12,1.412392e-12,1.452446e-12,1.475334e-12,1.412392e-12,1.400948e-12,1.395226e-12,1.372337e-12,1.397133e-12,1.393318e-12,1.404762e-12,1.376152e-12,1.427650e-12,1.391411e-12,1.374245e-12,1.397133e-12,1.360893e-12,1.324654e-12,1.425743e-12,1.313210e-12,1.353264e-12,1.353264e-12,1.389503e-12,1.347542e-12,1.378059e-12,1.317024e-12,1.355171e-12,1.341820e-12,1.288414e-12,1.288414e-12,1.341820e-12,1.330376e-12,1.320839e-12,1.301765e-12,1.271248e-12,1.275063e-12,1.322746e-12,1.303673e-12,1.290321e-12,1.303673e-12,1.282692e-12,1.284599e-12,1.246452e-12,1.284599e-12,1.255989e-12,1.248360e-12,1.296043e-12,1.280785e-12,1.296043e-12,1.290321e-12,1.257896e-12
 28.29700, 0.51280,6.296069e-11,8.253496e-10,2.565479e-11,8.385378e-11,5.223274e-12,9.245872e-12,5.087852e-12,5.496025e-12,5.900383e-12,6.199837e-12,7.126808e-12,9.646416e-12,2.685261e-11,6.301647e-10,2.210140e-11,3.356272e-11,5.678660e-11,1.236629e-09,7.134438e-12,6.667137e-12,2.354622e-12,2.364159e-12,2.314568e-12,2.614021e-12,3.823280e-12,4.759699e-11,2.249718e-12,3.987312e-12,2.152443e-12,1.125050e-11,1.976967e-12,1.866341e-12,1.809120e-12,2.038002e-12,1.725197e-12,1.788139e-12,1.742363e-12,1.749992e-12,1.723289e-12,1.725197e-12,1.654625e-12,1.679420e-12,1.637459e-12,1.654625e-12,1.622200e-12,1.639366e-12,1.576424e-12,1.688957e-12,1.654625e-12,1.587868e-12,1.572609e-12,1.624107e-12,1.601219e-12,1.603126e-12,1.564979e-12,1.532555e-12,1.584053e-12,1.561165e-12,1.566887e-12,1.526833e-12,1.532555e-12,1.511574e-12,1.492500e-12,1.530647e-12,1.545906e-12,1.505852e-12,1.543999e-12,1.555443e-12,1.503944e-12,1.481056e-12,1.454353e-12,1.502037e-12,1.513481e-12,1.492500e-12,1.473427e-12,1.481056e-12,1.454353e-12,1.488686e-12,1.412392e-12,1.503944e-12,1.431465e-12,1.467705e-12,1.458168e-12,1.433372e-12,1.458168e-12,1.465797e-12,1.416206e-12,1.391411e-12,1.399040e-12,1.437187e-12,1.376152e-12,1.429558e-12,1.433372e-12,1.366615e-12,1.397133e-12,1.389503e-12,1.355171e-12,1.389503e-12,1.400948e-12,1.313210e-12,1.378059e-12,1.351356e-12,1.431465e-12,1.383781e-12,1.322746e-12,1.339912e-12,1.362801e-12,1.353264e-12,1.328468e-12,1.341820e-12,1.313210e-12,1.305580e-12,1.315117e-12,1.353264e-12,1.275063e-12,1.322746e-12,1.301765e-12,1.315117e-12,1.297951e-12,1.301765e-12,1.358986e-12,1.322746e-12,1.334190e-12,1.328468e-12,1.278877e-12,1.320839e-12,1.297951e-12,1.315117e-12,1.296043e-12,1.290321e-12,1.315117e-12,1.261711e-12,1.296043e-12,1.265526e-12,1.261711e-12,1.257896e-12
 28.51800, 0.67470,6.228167e-11,8.246382e-10,2.576923e-11,8.354288e-11,5.272865e-12,9.173393e-12,5.005836e-12,5.398750e-12,5.858421e-12,6.180763e-12,7.138252e-12,9.673118e-12,2.676105e-11,6.301475e-10,2.243328e-11,3.384119e-11,5.747133e-11,1.236057e-09,7.031441e-12,6.672859e-12,2.404213e-12,2.425194e-12,2.284050e-12,2.635002e-12,3.848076e-12,4.746920e-11,2.251625e-12,4.038811e-12,2.085686e-12,1.120853e-11,1.963615e-12,1.830101e-12,1.799583e-12,2.036095e-12,1.761436e-12,1.746178e-12,1.715660e-12,1.719475e-12,1.717567e-12,1.719475e-12,1.719475e-12,1.679420e-12,1.673698e-12,1.601219e-12,1.679420e-12,1.688957e-12,1.624107e-12,1.557350e-12,1.610756e-12,1.627922e-12,1.585960e-12,1.584053e-12,1.603126e-12,1.587868e-12,1.591682e-12,1.578331e-12,1.551628e-12,1.542091e-12,1.532555e-12,1.561165e-12,1.547813e-12,1.517296e-12,1.479149e-12,1.534462e-12,1.542091e-12,1.481056e-12,1.498222e-12,1.530647e-12,1.479149e-12,1.460075e-12,1.490593e-12,1.465797e-12,1.521110e-12,1.543999e-12,1.484871e-12,1.416206e-12,1.479149e-12,1.416206e-12,1.461983e-12,1.471519e-12,1.460075e-12,1.437187e-12,1.399040e-12,1.488686e-12,1.433372e-12,1.471519e-12,1.473427e-12,1.441002e-12,1.439095e-12,1.421928e-12,1.412392e-12,1.423836e-12,1.439095e-12,1.385689e-12,1.370430e-12,1.431465e-12,1.431465e-12,1.406670e-12,1.389503e-12,1.353264e-12,1.410484e-12,1.341820e-12,1.339912e-12,1.368523e-12,1.397133e-12,1.360893e-12,1.326561e-12,1.338005e-12,1.355171e-12,1.315117e-12,1.355171e-12,1.324654e-12,1.315117e-12,1.351356e-12,1.305580e-12,1.299858e-12,1.353264e-12,1.332283e-12,1.303673e-12,1.275063e-12,1.332283e-12,1.286507e-12,1.303673e-12,1.297951e-12,1.345634e-12,1.294136e-12,1.315117e-12,1.240730e-12,1.254082e-12,1.246452e-12,1.242638e-12,1.267433e-12,1.223564e-12,1.292229e-12,1.276970e-12,1.288414e-12
 28.85100, 0.83719,6.266886e-11,8.219602e-10,2.570438e-11,8.363825e-11,5.234718e-12,9.169578e-12,5.053520e-12,5.454063e-12,5.909920e-12,6.192207e-12,7.136345e-12,9.676933e-12,2.679348e-11,6.302009e-10,2.215290e-11,3.370005e-11,5.714899e-11,1.236629e-09,7.105827e-12,6.642342e-12,2.295494e-12,2.432823e-12,2.333641e-12,2.600670e-12,3.809929e-12,4.746347e-11,2.264976e-12,3.977776e-12,2.116203e-12,1.110554e-11,1.976967e-12,1.849174e-12,1.809120e-12,2.026558e-12,1.793861e-12,1.751900e-12,1.749992e-12,1.650810e-12,1.725197e-12,1.725197e-12,1.688957e-12,1.704216e-12,1.687050e-12,1.624107e-12,1.627922e-12,1.646995e-12,1.593590e-12,1.614571e-12,1.629829e-12,1.608849e-12,1.593590e-12,1.576424e-12,1.576424e-12,1.526833e-12,1.536369e-12,1.543999e-12,1.551628e-12,1.542091e-12,1.555443e-12,1.538277e-12,1.521110e-12,1.503944e-12,1.502037e-12,1.519203e-12,1.458168e-12,1.513481e-12,1.509666e-12,1.458168e-12,1.509666e-12,1.488686e-12,1.500130e-12,1.484871e-12,1.488686e-12,1.460075e-12,1.496315e-12,1.465797e-12,1.446724e-12,1.404762e-12,1.439095e-12,1.450539e-12,1.448631e-12,1.458168e-12,1.423836e-12,1.439095e-12,1.458168e-12,1.467705e-12,1.452446e-12,1.461983e-12,1.404762e-12,1.372337e-12,1.425743e-12,1.395226e-12,1.425743e-12,1.391411e-12,1.400948e-12,1.372337e-12,1.379967e-12,1.397133e-12,1.385689e-12,1.397133e-12,1.439095e-12,1.336098e-12,1.358986e-12,1.358986e-12,1.385689e-12,1.370430e-12,1.381874e-12,1.366615e-12,1.315117e-12,1.307487e-12,1.351356e-12,1.326561e-12,1.339912e-12,1.355171e-12,1.318932e-12,1.324654e-12,1.343727e-12,1.290321e-12,1.330376e-12,1.349449e-12,1.322746e-12,1.400948e-12,1.301765e-12,1.282692e-12,1.309395e-12,1.261711e-12,1.299858e-12,1.315117e-12,1.276970e-12,1.278877e-12,1.332283e-12,1.280785e-12,1.259804e-12,1.284599e-12,1.235008e-12,1.254082e-12
 29.07900, 1.00151,6.221491e-11,8.210314e-10,2.561283e-11,8.370882e-11,5.244255e-12,9.211540e-12,5.028724e-12,5.398750e-12,5.845070e-12,6.110191e-12,7.172584e-12,9.655952e-12,2.680683e-11,6.325413e-10,2.232838e-11,3.337962e-11,5.687624e-11,1.239872e-09,7.031441e-12,6.754875e-12,2.352714e-12,2.432823e-12,2.280235e-12,2.633095e-12,3.794670e-12,4.750353e-11,2.274513e-12,4.059792e-12,2.058983e-12,1.113224e-11,2.018928e-12,1.889229e-12,1.799583e-12,2.064705e-12,1.767158e-12,1.780510e-12,1.740456e-12,1.746178e-12,1.715660e-12,1.730919e-12,1.715660e-12,1.645088e-12,1.685142e-12,1.603126e-12,1.719475e-12,1.658440e-12,1.624107e-12,1.589775e-12,1.593590e-12,1.606941e-12,1.610756e-12,1.626015e-12,1.536369e-12,1.570702e-12,1.582146e-12,1.624107e-12,1.606941e-12,1.540184e-12,1.519203e-12,1.507759e-12,1.523018e-12,1.490593e-12,1.509666e-12,1.505852e-12,1.511574e-12,1.494408e-12,1.488686e-12,1.471519e-12,1.517296e-12,1.559257e-12,1.488686e-12,1.505852e-12,1.505852e-12,1.458168e-12,1.421928e-12,1.477242e-12,1.490593e-12,1.427650e-12,1.435280e-12,1.460075e-12,1.435280e-12,1.389503e-12,1.435280e-12,1.458168e-12,1.460075e-12,1.450539e-12,1.400948e-12,1.400948e-12,1.442909e-12,1.442909e-12,1.410484e-12,1.425743e-12,1.400948e-12,1.366615e-12,1.435280e-12,1.441002e-12,1.374245e-12,1.368523e-12,1.381874e-12,1.360893e-12,1.372337e-12,1.383781e-12,1.379967e-12,1.358986e-12,1.345634e-12,1.378059e-12,1.379967e-12,1.305580e-12,1.292229e-12,1.345634e-12,1.357079e-12,1.341820e-12,1.275063e-12,1.292229e-12,1.297951e-12,1.332283e-12,1.328468e-12,1.299858e-12,1.336098e-12,1.275063e-12,1.275063e-12,1.341820e-12,1.303673e-12,1.288414e-12,1.288414e-12,1.357079e-12,1.313210e-12,1.303673e-12,1.269340e-12,1.257896e-12,1.229286e-12,1.292229e-12,1.294136e-12,1.252174e-12,1.261711e-12,1.315117e-12
 29.40000, 1.17390,6.259829e-11,8.194636e-10,2.566051e-11,8.357531e-11,5.190849e-12,9.219170e-12,5.076408e-12,5.406379e-12,5.908012e-12,6.196022e-12,7.250785e-12,9.572029e-12,2.677631e-11,6.303554e-10,2.216244e-11,3.382975e-11,5.696589e-11,1.236820e-09,7.079124e-12,6.770134e-12,2.388954e-12,2.417564e-12,2.316475e-12,2.573967e-12,3.746986e-12,4.737764e-11,2.224922e-12,3.972054e-12,2.097130e-12,1.113987e-11,1.948357e-12,1.797676e-12,1.790047e-12,2.013206e-12,1.772880e-12,1.778603e-12,1.755714e-12,1.698494e-12,1.740456e-12,1.742363e-12,1.713753e-12,1.673698e-12,1.626015e-12,1.631737e-12,1.637459e-12,1.654625e-12,1.612663e-12,1.622200e-12,1.614571e-12,1.620293e-12,1.606941e-12,1.608849e-12,1.627922e-12,1.601219e-12,1.627922e-12,1.578331e-12,1.519203e-12,1.542091e-12,1.538277e-12,1.553535e-12,1.564979e-12,1.551628e-12,1.557350e-12,1.473427e-12,1.475334e-12,1.519203e-12,1.526833e-12,1.505852e-12,1.490593e-12,1.486778e-12,1.540184e-12,1.461983e-12,1.490593e-12,1.492500e-12,1.421928e-12,1.486778e-12,1.479149e-12,1.416206e-12,1.433372e-12,1.441002e-12,1.463890e-12,1.490593e-12,1.406670e-12,1.442909e-12,1.463890e-12,1.442909e-12,1.395226e-12,1.421928e-12,1.408577e-12,1.425743e-12,1.427650e-12,1.351356e-12,1.362801e-12,1.387596e-12,1.397133e-12,1.355171e-12,1.353264e-12,1.385689e-12,1.395226e-12,1.364708e-12,1.362801e-12,1.418114e-12,1.395226e-12,1.357079e-12,1.345634e-12,1.357079e-12,1.376152e-12,1.345634e-12,1.336098e-12,1.393318e-12,1.372337e-12,1.336098e-12,1.334190e-12,1.303673e-12,1.305580e-12,1.349449e-12,1.315117e-12,1.343727e-12,1.362801e-12,1.347542e-12,1.307487e-12,1.292229e-12,1.255989e-12,1.233101e-12,1.267433e-12,1.240730e-12,1.269340e-12,1.299858e-12,1.280785e-12,1.278877e-12,1.248360e-12,1.282692e-12,1.269340e-12,1.271248e-12,1.280785e-12,1.257896e-12
 29.67200, 1.33250,6.267649e-11,8.224180e-10,2.576923e-11,8.362490e-11,5.145073e-12,9.276390e-12,5.106926e-12,5.486488e-12,5.898475e-12,6.207466e-12,7.184029e-12,9.589195e-12,2.701473e-11,6.305271e-10,2.219295e-11,3.371721e-11,5.645853e-11,1.244831e-09,7.042885e-12,6.665230e-12,2.362251e-12,2.362251e-12,2.305031e-12,2.594948e-12,3.834724e-12,4.749781e-11,2.249718e-12,3.991127e-12,2.123833e-12,1.107502e-11,1.957893e-12,1.852989e-12,1.761436e-12,2.047539e-12,1.749992e-12,1.759529e-12,1.748085e-12,1.683235e-12,1.688957e-12,1.685142e-12,1.652718e-12,1.688957e-12,1.624107e-12,1.635551e-12,1.687050e-12,1.666069e-12,1.612663e-12,1.610756e-12,1.585960e-12,1.564979e-12,1.580238e-12,1.576424e-12,1.572609e-12,1.599312e-12,1.597404e-12,1.561165e-12,1.574516e-12,1.557350e-12,1.547813e-12,1.534462e-12,1.517296e-12,1.547813e-12,1.528740e-12,1.559257e-12,1.509666e-12,1.530647e-12,1.500130e-12,1.507759e-12,1.517296e-12,1.498222e-12,1.519203e-12,1.515388e-12,1.475334e-12,1.505852e-12,1.505852e-12,1.456261e-12,1.503944e-12,1.463890e-12,1.446724e-12,1.482963e-12,1.441002e-12,1.502037e-12,1.471519e-12,1.444817e-12,1.442909e-12,1.433372e-12,1.452446e-12,1.404762e-12,1.431465e-12,1.379967e-12,1.402855e-12,1.410484e-12,1.395226e-12,1.393318e-12,1.404762e-12,1.368523e-12,1.437187e-12,1.349449e-12,1.357079e-12,1.400948e-12,1.379967e-12,1.351356e-12,1.330376e-12,1.385689e-12,1.364708e-12,1.391411e-12,1.372337e-12,1.372337e-12,1.339912e-12,1.332283e-12,1.397133e-12,1.347542e-12,1.330376e-12,1.286507e-12,1.286507e-12,1.332283e-12,1.339912e-12,1.355171e-12,1.261711e-12,1.307487e-12,1.309395e-12,1.313210e-12,1.307487e-12,1.299858e-12,1.315117e-12,1.311302e-12,1.276970e-12,1.299858e-12,1.271248e-12,1.292229e-12,1.278877e-12,1.307487e-12,1.286507e-12,1.244545e-12,1.267433e-12,1.282692e-12
 29.87400, 1.50264,6.251627e-11,8.188627e-10,2.559948e-11,8.376223e-11,5.198478e-12,9.202003e-12,5.122185e-12,5.433082e-12,5.875587e-12,6.150246e-12,7.155418e-12,9.575844e-12,2.664280e-11,6.293064e-10,2.217960e-11,3.372484e-11,5.737597e-11,1.240635e-09,7.105827e-12,6.745338e-12,2.329826e-12,2.404213e-12,2.278328e-12,2.638817e-12,3.878593e-12,4.732424e-11,2.224922e-12,4.031181e-12,2.108574e-12,1.117802e-11,1.955986e-12,1.893043e-12,1.765251e-12,2.005577e-12,1.759529e-12,1.721382e-12,1.692772e-12,1.711845e-12,1.687050e-12,1.667976e-12,1.732826e-12,1.664162e-12,1.673698e-12,1.685142e-12,1.677513e-12,1.614571e-12,1.561165e-12,1.606941e-12,1.618385e-12,1.570702e-12,1.597404e-12,1.591682e-12,1.606941e-12,1.564979e-12,1.559257e-12,1.568794e-12,1.566887e-12,1.513481e-12,1.576424e-12,1.538277e-12,1.582146e-12,1.545906e-12,1.528740e-12,1.545906e-12,1.538277e-12,1.542091e-12,1.515388e-12,1.486778e-12,1.519203e-12,1.481056e-12,1.482963e-12,1.523018e-12,1.484871e-12,1.481056e-12,1.479149e-12,1.484871e-12,1.458168e-12,1.452446e-12,1.458168e-12,1.406670e-12,1.391411e-12,1.439095e-12,1.437187e-12,1.467705e-12,1.461983e-12,1.404762e-12,1.414299e-12,1.427650e-12,1.460075e-12,1.427650e-12,1.412392e-12,1.381874e-12,1.376152e-12,1.393318e-12,1.433372e-12,1.418114e-12,1.400948e-12,1.416206e-12,1.410484e-12,1.360893e-12,1.408577e-12,1.349449e-12,1.387596e-12,1.389503e-12,1.374245e-12,1.320839e-12,1.391411e-12,1.313210e-12,1.349449e-12,1.297951e-12,1.318932e-12,1.339912e-12,1.347542e-12,1.320839e-12,1.357079e-12,1.332283e-12,1.343727e-12,1.284599e-12,1.332283e-12,1.250267e-12,1.294136e-12,1.357079e-12,1.265526e-12,1.307487e-12,1.317024e-12,1.326561e-12,1.269340e-12,1.303673e-12,1.280785e-12,1.292229e-12,1.235008e-12,1.296043e-12,1.315117e-12,1.297951e-12,1.284599e-12,1.248360e-12
