#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_005D-L1_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS-005d-L1                              
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,PS                                      
#DATE/TIME:                  ,11/22/2025 12:23:44 PM (UTC-5)          
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS-005d-L1                              
#SAMPLE MASS /mg:            ,2.5                                     
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                 
#SEG. 4:                     ,200›C/10.0(K/min)/600›C                 
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 27.56400, 0.00000,      2.44218,    100.00000,50.00000,63.00000,            ,0.92308,1
 27.69400, 0.06667,      2.26491,     99.73320,50.00000,62.00000,3.295252e-09,0.92308,1
 27.81700, 0.13333,      2.10749,     99.80120,50.00000,62.00000,3.303791e-09,0.92311,1
 27.94000, 0.20000,      1.96562,     99.68320,50.00000,62.00000,3.303791e-09,0.92311,1
 28.06000, 0.26667,      1.82838,     99.60640,50.00000,62.00000,3.304406e-09,0.92313,1
 28.17900, 0.33333,      1.70371,     99.55200,50.00000,62.00000,3.304406e-09,0.92313,1
 28.29700, 0.40000,      1.60021,     99.48880,50.00000,62.00000,3.304406e-09,0.92313,1
 28.39300, 0.46667,      1.50233,     99.48880,50.00000,62.00000,3.308317e-09,0.92316,1
 28.51800, 0.53333,      1.41371,     99.43440,50.00000,62.00000,3.308317e-09,0.92316,1
 28.63500, 0.60000,      1.33765,     99.43440,50.00000,62.00000,3.306798e-09,0.92318,1
 28.74400, 0.66667,      1.26656,     99.43440,50.00000,62.00000,3.306798e-09,0.92318,1
 28.85100, 0.73333,      1.20539,     99.43440,50.00000,62.00000,3.306798e-09,0.92318,1
 28.97300, 0.80000,      1.14950,     99.43440,50.00000,62.00000,3.304226e-09,0.92321,1
 29.07900, 0.86667,      1.10056,     99.38000,50.00000,62.00000,3.304226e-09,0.92321,1
 29.17600, 0.93333,      1.05526,     96.64680,50.00000,62.00000,3.308114e-09,0.92323,1
 29.30100, 1.00000,      1.01921,     82.67240,50.00000,62.00000,3.308114e-09,0.92323,1
 29.40000, 1.06667,      0.98251,     80.93920,50.00000,62.00000,3.308114e-09,0.92323,1
 29.48000, 1.13333,      0.94845,     80.36000,50.00000,62.00000,3.301736e-09,0.92325,1
 29.59800, 1.20000,      0.91770,     80.24240,50.00000,62.00000,3.301736e-09,0.92325,1
 29.67200, 1.26667,      0.89224,     80.24240,50.00000,62.00000,3.313139e-09,0.92327,1
 29.78400, 1.33333,      0.86545,     80.36480,50.00000,62.00000,3.313139e-09,0.92327,1
 29.87400, 1.40000,      0.84396,     80.41880,50.00000,62.00000,3.313139e-09,0.92327,1
 29.95200, 1.46667,      0.82114,     80.41880,50.00000,62.00000,3.304348e-09,0.92329,1
 30.04100, 1.53333,      0.80361,     80.47320,50.00000,62.00000,3.304348e-09,0.92329,1
 30.14700, 1.60000,      0.78344,     80.60000,50.00000,62.00000,3.302550e-09,0.92332,1
 30.21900, 1.66667,      0.76361,     80.68120,50.00000,62.00000,3.302550e-09,0.92332,1
 30.31500, 1.73333,      0.74707,     80.84440,50.00000,62.00000,3.302550e-09,0.92332,1
 30.40000, 1.80000,      0.73318,     80.96200,50.00000,62.00000,3.303914e-09,0.92334,1
 30.49400, 1.86667,      0.71665,     81.04800,50.00000,62.00000,3.303914e-09,0.92334,1
 30.57400, 1.93333,      0.70507,     81.27880,50.00000,62.00000,3.304322e-09,0.92336,1
 30.67100, 2.00000,      0.69217,     81.48680,50.00000,62.00000,3.304322e-09,0.92336,1
 30.74900, 2.06667,      0.67829,     81.55040,50.00000,62.00000,3.304322e-09,0.92336,1
 30.83500, 2.13333,      0.66968,     81.55040,50.00000,62.00000,3.303862e-09,0.92338,1
 30.92600, 2.20000,      0.66108,     81.60440,50.00000,62.00000,3.303862e-09,0.92338,1
 30.99800, 2.26667,      0.65347,     81.60440,50.00000,62.00000,3.302232e-09,0.92340,1
 31.08400, 2.33333,      0.64554,     81.60440,50.00000,62.00000,3.302232e-09,0.92340,1
