#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2025_11_18_SL_PS_005D-L1_1K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-005D-L1                             
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,                                       
#DATE/TIME:                  ,11/19/2025 9:30:22 PM (UTC-5)          
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,05-05-2025 14:38                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,Tran                                   
#OPERATOR:                   ,Stan                                   
#REMARK:                     ,                                       
#SAMPLE:                     ,PS-005D-L1                             
#SAMPLE MASS /mg:            ,2.98                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,20›C....800›C/0.0....20.0K/min         
#SEGMENT:                    ,S1-5/5                                 
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:05/100›C                      
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                
#SEG. 4:                     ,200›C/1.0(K/min)/600›C                 
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.93100,  0.00000,      0.11884,100.00000,50.00000,64.00000,            ,0.92423,1
 33.94300,  0.06667,      0.10609,100.04530,50.00000,64.00000,3.291487e-09,0.92423,1
 33.95600,  0.13333, 9.196643e-02,100.09094,50.00000,64.00000,3.296175e-09,0.92423,1
 33.96800,  0.20000, 8.282501e-02,100.09094,50.00000,64.00000,3.296175e-09,0.92423,1
 33.99100,  0.26667, 7.562253e-02,100.11376,50.00000,64.00000,3.296175e-09,0.92423,1
 34.03100,  0.33333, 6.925093e-02,100.18960,50.00000,64.00000,3.304375e-09,0.92424,1
 34.05800,  0.40000, 6.648059e-02,100.18960,50.00000,64.00000,3.304375e-09,0.92424,1
 34.09600,  0.46667, 6.564915e-02,100.18960,50.00000,64.00000,3.301698e-09,0.92424,1
 34.14400,  0.53333, 6.592561e-02,100.22383,50.00000,64.00000,3.301698e-09,0.92424,1
 34.15700,  0.60000, 6.786445e-02,100.23523,50.00000,64.00000,3.301698e-09,0.92424,1
 34.19300,  0.66667, 7.091098e-02,100.18960,50.00000,64.00000,3.299996e-09,0.92424,1
 34.24900,  0.73333, 7.478821e-02,100.18960,50.00000,64.00000,3.299996e-09,0.92424,1
 34.26400,  0.80000, 8.005089e-02,100.18960,50.00000,64.00000,3.305975e-09,0.92425,1
 34.30900,  0.86667, 8.337416e-02,100.16678,50.00000,64.00000,3.305975e-09,0.92425,1
 34.35800,  0.93333, 8.974419e-02,100.14430,50.00000,64.00000,3.305975e-09,0.92425,1
 34.39400,  1.00000, 9.611434e-02,100.14430,50.00000,64.00000,3.307462e-09,0.92425,1
 34.44600,  1.06667, 9.832937e-02,100.09866,50.00000,64.00000,3.307462e-09,0.92425,1
 34.46800,  1.13333,      0.10221,100.09866,50.00000,64.00000,3.301976e-09,0.92426,1
 34.51500,  1.20000,      0.10442,100.05302,50.00000,64.00000,3.301976e-09,0.92426,1
 34.57000,  1.26667,      0.10774,100.05302,50.00000,64.00000,3.301976e-09,0.92426,1
 34.62900,  1.33333,      0.10802,100.00000,50.00000,64.00000,3.306889e-09,0.92427,1
 34.65600,  1.40000,      0.11079, 99.95436,50.00000,64.00000,3.306889e-09,0.92427,1
 34.69100,  1.46667,      0.11162, 99.95436,50.00000,64.00000,3.307744e-09,0.92427,1
 34.74300,  1.53333,      0.11217, 99.90872,50.00000,64.00000,3.307744e-09,0.92427,1
 34.76400,  1.60000,      0.10968, 99.89732,50.00000,64.00000,3.307744e-09,0.92427,1
 34.81300,  1.66667,      0.10802, 99.80235,50.00000,64.00000,3.311497e-09,0.92427,1
 34.84300,  1.73333,      0.10580, 99.75705,50.00000,64.00000,3.311497e-09,0.92427,1
 34.86600,  1.80000,      0.10580, 99.75705,50.00000,64.00000,3.309934e-09,0.92428,1
 34.90600,  1.86667,      0.10054, 99.70369,50.00000,64.00000,3.309934e-09,0.92428,1
 34.96300,  1.93333, 9.942871e-02, 99.66946,50.00000,64.00000,3.309934e-09,0.92428,1
 34.98900,  2.00000, 9.942828e-02, 99.76443,50.00000,64.00000,3.315242e-09,0.92428,1
 35.01500,  2.06667, 9.444262e-02, 99.71879,50.00000,64.00000,3.315242e-09,0.92428,1
 35.06000,  2.13333, 9.278018e-02, 99.62013,50.00000,64.00000,3.315242e-09,0.92428,1
 35.07400,  2.20000, 9.028737e-02, 99.56711,50.00000,64.00000,3.309996e-09,0.92429,1
 35.13200,  2.26667, 8.696308e-02, 99.56711,50.00000,64.00000,3.309996e-09,0.92429,1
 35.14500,  2.33333, 8.751680e-02, 99.46846,50.00000,64.00000,3.309996e-09,0.92429,1
 35.18800,  2.40000, 8.502363e-02, 99.42282,50.00000,64.00000,3.309996e-09,0.92429,1
 35.21300,  2.46667, 8.308464e-02, 99.42282,50.00000,64.00000,3.311828e-09,0.92430,1
 35.24600,  2.53333, 8.308420e-02, 99.37718,50.00000,64.00000,3.311828e-09,0.92430,1
 35.28700,  2.60000, 8.225280e-02, 99.33188,50.00000,64.00000,3.319377e-09,0.92430,1
 35.32100,  2.66667, 8.336012e-02, 99.28624,50.00000,64.00000,3.319377e-09,0.92430,1
 35.37100,  2.73333, 8.557498e-02, 99.28624,50.00000,64.00000,3.319377e-09,0.92430,1
 35.39800,  2.80000, 8.640543e-02, 99.28624,50.00000,64.00000,3.324285e-09,0.92431,1
 35.43900,  2.86667, 9.166669e-02, 99.24060,50.00000,64.00000,3.324285e-09,0.92431,1
 35.48300,  2.93333, 9.388153e-02, 99.24060,50.00000,64.00000,3.317033e-09,0.92432,1
 35.53100,  3.00000,      0.10053, 99.19497,50.00000,64.00000,3.317033e-09,0.92432,1
 35.56900,  3.06667,      0.10551, 99.14933,50.00000,64.00000,3.317033e-09,0.92432,1
 35.62400,  3.13333,      0.11354, 99.14933,50.00000,64.00000,3.310865e-09,0.92432,1
 35.67700,  3.20000,      0.12268, 99.12685,50.00000,64.00000,3.310865e-09,0.92432,1
 35.72600,  3.26667,      0.13126, 99.12685,50.00000,64.00000,3.325745e-09,0.92433,1
 35.78000,  3.33333,      0.14123, 99.12685,50.00000,64.00000,3.325745e-09,0.92433,1
 35.85100,  3.40000,      0.15369, 99.17215,50.00000,64.00000,3.325745e-09,0.92433,1
 35.89100,  3.46667,      0.16726, 99.17215,50.00000,64.00000,3.325239e-09,0.92434,1
 35.96800,  3.53333,      0.17916, 99.17215,50.00000,64.00000,3.325239e-09,0.92434,1
 36.01900,  3.60000,      0.19439, 99.21779,50.00000,64.00000,3.321470e-09,0.92435,1
 36.10200,  3.66667,      0.21184, 99.26342,50.00000,64.00000,3.321470e-09,0.92435,1
 36.17600,  3.73333,      0.22956, 99.26342,50.00000,64.00000,3.321470e-09,0.92435,1
 36.23200,  3.80000,      0.24534, 99.26342,50.00000,64.00000,3.318196e-09,0.92435,1
 36.34000,  3.86667,      0.26721, 99.30906,50.00000,64.00000,3.318196e-09,0.92435,1
 36.41000,  3.93333,      0.28548, 99.30906,50.00000,64.00000,3.322936e-09,0.92436,1
 36.51100,  4.00000,      0.30873, 99.33188,50.00000,64.00000,3.322936e-09,0.92436,1
 36.60800,  4.06667,      0.32894, 99.40000,50.00000,64.00000,3.322936e-09,0.92436,1
 36.72000,  4.13333,      0.35192, 99.44564,50.00000,64.00000,3.326678e-09,0.92436,1
 36.81300,  4.20000,      0.37572, 99.44564,50.00000,64.00000,3.326678e-09,0.92436,1
 36.91600,  4.26667,      0.39953, 99.45705,50.00000,64.00000,3.329644e-09,0.92437,1
 37.02800,  4.33333,      0.42361, 99.53658,50.00000,64.00000,3.329644e-09,0.92437,1
 37.14700,  4.40000,      0.44880, 99.58221,50.00000,64.00000,3.323910e-09,0.92437,1
 37.25500,  4.46667,      0.47537, 99.62785,50.00000,64.00000,3.323910e-09,0.92437,1
 37.39400,  4.53333,      0.49834, 99.67349,50.00000,64.00000,3.323910e-09,0.92437,1
 37.50200,  4.60000,      0.52934, 99.71879,50.00000,64.00000,3.330590e-09,0.92438,1
 37.64300,  4.66667,      0.55673, 99.76443,50.00000,64.00000,3.330590e-09,0.92438,1
 37.78600,  4.73333,      0.58136, 99.81007,50.00000,64.00000,3.326274e-09,0.92438,1
 37.91000,  4.80000,      0.60903, 99.85570,50.00000,64.00000,3.326274e-09,0.92438,1
 38.04500,  4.86667,      0.63947, 99.90134,50.00000,64.00000,3.326274e-09,0.92438,1
 38.21600,  4.93333,      0.66714, 99.97718,50.00000,64.00000,3.322993e-09,0.92439,1
 38.34100,  5.00000,      0.69592,100.05302,50.00000,64.00000,3.322993e-09,0.92439,1
 38.50600,  5.06667,      0.72441,100.05302,50.00000,64.00000,3.324326e-09,0.92440,1
 38.66800,  5.13333,      0.75346,100.14430,50.00000,64.00000,3.324326e-09,0.92440,1
 38.83900,  5.20000,      0.77946,100.19362,50.00000,64.00000,3.324326e-09,0.92440,1
 39.00000,  5.26667,      0.80906,100.26174,50.00000,64.00000,3.326840e-09,0.92440,1
 39.18400,  5.33333,      0.84142,100.33020,50.00000,64.00000,3.326840e-09,0.92440,1
 39.35100,  5.40000,      0.86936,100.33020,50.00000,64.00000,3.329820e-09,0.92441,1
 39.53900,  5.46667,      0.89895,100.43658,50.00000,64.00000,3.329820e-09,0.92441,1
 39.72500,  5.53333,      0.92716,100.48188,50.00000,64.00000,3.329820e-09,0.92441,1
 39.89700,  5.60000,      0.95648,100.53154,50.00000,64.00000,3.330359e-09,0.92441,1
