#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2025_11_18_SL_PS_005D-L1_2K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-005d-L1                             
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,TIC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,PS                                     
#DATE/TIME:                  ,11/22/2025 5:31:24 PM (UTC-5)          
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,05-05-2025 14:38                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,Tran                                   
#OPERATOR:                   ,Stan                                   
#REMARK:                     ,                                       
#SAMPLE:                     ,PS-005d-L1                             
#SAMPLE MASS /mg:            ,1.85                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
                             ,                                       

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 39.68800,  0.01335,6.167513e-11,7.992056e-10,2.257633e-11,7.031542e-11,5.148887e-12,8.967400e-12,5.023002e-12,5.509376e-12,5.967140e-12,6.201744e-12,7.267952e-12,9.636879e-12,2.598858e-11,6.177994e-10,2.082920e-11,3.294092e-11,5.498415e-11,1.220226e-09,7.077217e-12,6.602287e-12,2.335548e-12,2.417564e-12,2.303123e-12,2.655983e-12,3.821373e-12,4.634195e-11,2.217293e-12,3.989220e-12,2.125740e-12,1.093388e-11,1.938820e-12,1.866341e-12,1.791954e-12,2.038002e-12,1.799583e-12,1.749992e-12,1.744270e-12,1.770973e-12,1.715660e-12,1.692772e-12,1.683235e-12,1.677513e-12,1.624107e-12,1.673698e-12,1.709938e-12,1.688957e-12,1.589775e-12,1.616478e-12,1.652718e-12,1.568794e-12,1.669884e-12,1.612663e-12,1.608849e-12,1.635551e-12,1.618385e-12,1.606941e-12,1.626015e-12,1.530647e-12,1.551628e-12,1.547813e-12,1.523018e-12,1.566887e-12,1.561165e-12,1.496315e-12,1.521110e-12,1.526833e-12,1.498222e-12,1.530647e-12,1.543999e-12,1.538277e-12,1.523018e-12,1.557350e-12,1.517296e-12,1.502037e-12,1.482963e-12,1.507759e-12,1.465797e-12,1.448631e-12,1.494408e-12,1.513481e-12,1.505852e-12,1.450539e-12,1.456261e-12,1.482963e-12,1.452446e-12,1.458168e-12,1.469612e-12,1.456261e-12,1.444817e-12,1.454353e-12,1.423836e-12,1.448631e-12,1.416206e-12,1.429558e-12,1.414299e-12,1.420021e-12,1.408577e-12,1.379967e-12,1.421928e-12,1.431465e-12,1.395226e-12,1.414299e-12,1.420021e-12,1.391411e-12,1.358986e-12,1.421928e-12,1.326561e-12,1.368523e-12,1.391411e-12,1.355171e-12,1.332283e-12,1.345634e-12,1.362801e-12,1.357079e-12,1.360893e-12,1.332283e-12,1.315117e-12,1.292229e-12,1.381874e-12,1.332283e-12,1.334190e-12,1.328468e-12,1.307487e-12,1.299858e-12,1.275063e-12,1.307487e-12,1.265526e-12,1.267433e-12,1.347542e-12,1.318932e-12,1.322746e-12,1.288414e-12,1.297951e-12,1.286507e-12,1.278877e-12,1.311302e-12
 39.90100,  0.17781,6.072908e-11,8.024500e-10,2.263546e-11,7.116038e-11,5.227089e-12,8.996010e-12,5.049705e-12,5.404472e-12,5.942345e-12,6.157875e-12,7.214546e-12,9.562492e-12,2.604008e-11,6.199547e-10,2.084446e-11,3.298861e-11,5.452448e-11,1.227093e-09,7.010459e-12,6.707191e-12,2.375603e-12,2.472877e-12,2.289772e-12,2.573967e-12,3.798485e-12,4.651743e-11,2.236366e-12,3.972054e-12,2.043724e-12,1.091289e-11,2.015114e-12,1.875877e-12,1.809120e-12,2.118111e-12,1.786232e-12,1.767158e-12,1.738548e-12,1.719475e-12,1.723289e-12,1.727104e-12,1.694679e-12,1.681328e-12,1.683235e-12,1.658440e-12,1.667976e-12,1.687050e-12,1.610756e-12,1.633644e-12,1.626015e-12,1.624107e-12,1.585960e-12,1.618385e-12,1.593590e-12,1.576424e-12,1.631737e-12,1.580238e-12,1.574516e-12,1.545906e-12,1.538277e-12,1.620293e-12,1.595497e-12,1.492500e-12,1.542091e-12,1.559257e-12,1.500130e-12,1.555443e-12,1.563072e-12,1.515388e-12,1.515388e-12,1.509666e-12,1.486778e-12,1.521110e-12,1.534462e-12,1.505852e-12,1.511574e-12,1.461983e-12,1.467705e-12,1.490593e-12,1.475334e-12,1.481056e-12,1.484871e-12,1.479149e-12,1.461983e-12,1.473427e-12,1.532555e-12,1.431465e-12,1.439095e-12,1.437187e-12,1.477242e-12,1.406670e-12,1.507759e-12,1.479149e-12,1.402855e-12,1.416206e-12,1.427650e-12,1.387596e-12,1.404762e-12,1.420021e-12,1.412392e-12,1.397133e-12,1.379967e-12,1.423836e-12,1.425743e-12,1.347542e-12,1.341820e-12,1.397133e-12,1.370430e-12,1.360893e-12,1.374245e-12,1.349449e-12,1.381874e-12,1.374245e-12,1.339912e-12,1.320839e-12,1.366615e-12,1.404762e-12,1.320839e-12,1.301765e-12,1.254082e-12,1.322746e-12,1.296043e-12,1.305580e-12,1.313210e-12,1.322746e-12,1.366615e-12,1.358986e-12,1.322746e-12,1.271248e-12,1.278877e-12,1.313210e-12,1.273155e-12,1.299858e-12,1.297951e-12,1.349449e-12,1.315117e-12,1.309395e-12
 40.19600,  0.34787,6.095988e-11,8.068121e-10,2.248859e-11,7.036120e-11,5.129814e-12,9.083748e-12,5.084038e-12,5.461693e-12,5.921364e-12,6.196022e-12,7.138252e-12,9.497642e-12,2.617741e-11,6.189114e-10,2.080059e-11,3.285891e-11,5.465609e-11,1.223469e-09,7.016182e-12,6.699562e-12,2.329826e-12,2.364159e-12,2.326012e-12,2.581596e-12,3.838539e-12,4.646593e-11,2.287865e-12,4.033089e-12,2.087593e-12,1.095295e-11,1.994133e-12,1.908302e-12,1.832008e-12,2.018928e-12,1.719475e-12,1.767158e-12,1.753807e-12,1.727104e-12,1.721382e-12,1.692772e-12,1.711845e-12,1.683235e-12,1.667976e-12,1.629829e-12,1.662254e-12,1.648903e-12,1.631737e-12,1.626015e-12,1.627922e-12,1.679420e-12,1.589775e-12,1.568794e-12,1.595497e-12,1.561165e-12,1.563072e-12,1.559257e-12,1.591682e-12,1.549721e-12,1.576424e-12,1.540184e-12,1.603126e-12,1.543999e-12,1.557350e-12,1.513481e-12,1.536369e-12,1.561165e-12,1.496315e-12,1.496315e-12,1.515388e-12,1.543999e-12,1.534462e-12,1.496315e-12,1.467705e-12,1.490593e-12,1.503944e-12,1.463890e-12,1.536369e-12,1.482963e-12,1.477242e-12,1.479149e-12,1.475334e-12,1.532555e-12,1.452446e-12,1.486778e-12,1.427650e-12,1.465797e-12,1.423836e-12,1.482963e-12,1.479149e-12,1.416206e-12,1.439095e-12,1.427650e-12,1.351356e-12,1.420021e-12,1.421928e-12,1.435280e-12,1.423836e-12,1.358986e-12,1.387596e-12,1.397133e-12,1.402855e-12,1.366615e-12,1.404762e-12,1.393318e-12,1.395226e-12,1.389503e-12,1.420021e-12,1.379967e-12,1.391411e-12,1.343727e-12,1.385689e-12,1.374245e-12,1.322746e-12,1.376152e-12,1.301765e-12,1.345634e-12,1.332283e-12,1.345634e-12,1.334190e-12,1.374245e-12,1.296043e-12,1.313210e-12,1.297951e-12,1.320839e-12,1.278877e-12,1.282692e-12,1.292229e-12,1.286507e-12,1.307487e-12,1.328468e-12,1.276970e-12,1.297951e-12,1.301765e-12,1.273155e-12,1.320839e-12,1.326561e-12
 40.37100,  0.51840,6.146723e-11,8.041227e-10,2.278423e-11,7.037645e-11,5.175590e-12,8.975029e-12,5.064964e-12,5.497932e-12,5.908012e-12,6.217003e-12,7.206916e-12,9.516716e-12,2.603626e-11,6.186691e-10,2.087116e-11,3.313738e-11,5.462176e-11,1.227093e-09,7.023811e-12,6.678581e-12,2.352714e-12,2.425194e-12,2.255440e-12,2.583504e-12,3.872871e-12,4.634195e-11,2.268791e-12,3.930092e-12,2.091408e-12,1.100254e-11,2.022743e-12,1.854896e-12,1.780510e-12,2.110481e-12,1.772880e-12,1.786232e-12,1.767158e-12,1.715660e-12,1.723289e-12,1.652718e-12,1.706123e-12,1.687050e-12,1.669884e-12,1.687050e-12,1.685142e-12,1.587868e-12,1.631737e-12,1.656532e-12,1.639366e-12,1.605034e-12,1.603126e-12,1.624107e-12,1.572609e-12,1.589775e-12,1.595497e-12,1.568794e-12,1.534462e-12,1.572609e-12,1.543999e-12,1.549721e-12,1.551628e-12,1.568794e-12,1.553535e-12,1.576424e-12,1.509666e-12,1.528740e-12,1.492500e-12,1.566887e-12,1.568794e-12,1.482963e-12,1.492500e-12,1.477242e-12,1.524925e-12,1.530647e-12,1.500130e-12,1.523018e-12,1.477242e-12,1.461983e-12,1.534462e-12,1.496315e-12,1.461983e-12,1.467705e-12,1.441002e-12,1.448631e-12,1.444817e-12,1.381874e-12,1.400948e-12,1.486778e-12,1.431465e-12,1.488686e-12,1.418114e-12,1.435280e-12,1.423836e-12,1.387596e-12,1.416206e-12,1.376152e-12,1.431465e-12,1.412392e-12,1.391411e-12,1.433372e-12,1.408577e-12,1.383781e-12,1.360893e-12,1.414299e-12,1.385689e-12,1.379967e-12,1.397133e-12,1.364708e-12,1.400948e-12,1.341820e-12,1.322746e-12,1.347542e-12,1.379967e-12,1.336098e-12,1.339912e-12,1.391411e-12,1.332283e-12,1.347542e-12,1.338005e-12,1.357079e-12,1.315117e-12,1.339912e-12,1.326561e-12,1.338005e-12,1.275063e-12,1.328468e-12,1.255989e-12,1.330376e-12,1.311302e-12,1.347542e-12,1.284599e-12,1.284599e-12,1.296043e-12,1.332283e-12,1.263618e-12,1.309395e-12
 40.62300,  0.68744,6.154924e-11,8.091657e-10,2.273273e-11,7.054621e-11,5.187034e-12,9.100914e-12,5.091667e-12,5.501747e-12,5.908012e-12,6.205559e-12,7.231712e-12,9.558678e-12,2.604198e-11,6.181561e-10,2.076244e-11,3.316599e-11,5.526835e-11,1.226521e-09,7.029533e-12,6.611824e-12,2.345085e-12,2.409935e-12,2.293587e-12,2.627373e-12,3.779411e-12,4.638010e-11,2.282143e-12,3.994942e-12,2.108574e-12,1.096630e-11,2.036095e-12,1.860619e-12,1.832008e-12,2.041817e-12,1.778603e-12,1.799583e-12,1.749992e-12,1.725197e-12,1.769066e-12,1.740456e-12,1.708031e-12,1.730919e-12,1.698494e-12,1.660347e-12,1.704216e-12,1.677513e-12,1.622200e-12,1.662254e-12,1.582146e-12,1.639366e-12,1.587868e-12,1.603126e-12,1.555443e-12,1.584053e-12,1.559257e-12,1.540184e-12,1.557350e-12,1.582146e-12,1.557350e-12,1.568794e-12,1.614571e-12,1.538277e-12,1.524925e-12,1.530647e-12,1.511574e-12,1.515388e-12,1.528740e-12,1.530647e-12,1.494408e-12,1.517296e-12,1.488686e-12,1.473427e-12,1.452446e-12,1.511574e-12,1.505852e-12,1.505852e-12,1.521110e-12,1.456261e-12,1.418114e-12,1.526833e-12,1.467705e-12,1.502037e-12,1.450539e-12,1.461983e-12,1.503944e-12,1.460075e-12,1.442909e-12,1.414299e-12,1.379967e-12,1.479149e-12,1.437187e-12,1.448631e-12,1.414299e-12,1.387596e-12,1.408577e-12,1.429558e-12,1.412392e-12,1.370430e-12,1.427650e-12,1.406670e-12,1.362801e-12,1.395226e-12,1.420021e-12,1.425743e-12,1.395226e-12,1.345634e-12,1.414299e-12,1.378059e-12,1.347542e-12,1.360893e-12,1.355171e-12,1.343727e-12,1.347542e-12,1.376152e-12,1.341820e-12,1.336098e-12,1.378059e-12,1.355171e-12,1.275063e-12,1.349449e-12,1.351356e-12,1.336098e-12,1.299858e-12,1.282692e-12,1.326561e-12,1.345634e-12,1.334190e-12,1.326561e-12,1.286507e-12,1.345634e-12,1.322746e-12,1.280785e-12,1.313210e-12,1.328468e-12,1.278877e-12,1.288414e-12
 40.75100,  0.85010,6.166560e-11,8.066710e-10,2.265262e-11,7.098490e-11,5.198478e-12,8.965492e-12,5.078316e-12,5.444526e-12,5.845070e-12,6.182670e-12,7.174491e-12,9.531974e-12,2.629948e-11,6.197220e-10,2.079868e-11,3.301913e-11,5.500704e-11,1.227283e-09,6.932259e-12,6.695747e-12,2.354622e-12,2.388954e-12,2.335548e-12,2.612114e-12,3.825188e-12,4.625994e-11,2.261162e-12,3.996849e-12,2.089500e-12,1.092434e-11,1.990318e-12,1.885414e-12,1.765251e-12,2.036095e-12,1.772880e-12,1.709938e-12,1.717567e-12,1.692772e-12,1.763344e-12,1.690864e-12,1.755714e-12,1.688957e-12,1.656532e-12,1.723289e-12,1.631737e-12,1.639366e-12,1.637459e-12,1.675606e-12,1.645088e-12,1.616478e-12,1.610756e-12,1.551628e-12,1.570702e-12,1.620293e-12,1.578331e-12,1.574516e-12,1.601219e-12,1.557350e-12,1.589775e-12,1.532555e-12,1.519203e-12,1.532555e-12,1.566887e-12,1.500130e-12,1.538277e-12,1.492500e-12,1.547813e-12,1.572609e-12,1.488686e-12,1.507759e-12,1.500130e-12,1.515388e-12,1.498222e-12,1.481056e-12,1.467705e-12,1.482963e-12,1.517296e-12,1.469612e-12,1.521110e-12,1.439095e-12,1.441002e-12,1.431465e-12,1.461983e-12,1.442909e-12,1.494408e-12,1.488686e-12,1.448631e-12,1.465797e-12,1.482963e-12,1.433372e-12,1.439095e-12,1.429558e-12,1.481056e-12,1.456261e-12,1.435280e-12,1.408577e-12,1.433372e-12,1.353264e-12,1.423836e-12,1.381874e-12,1.418114e-12,1.372337e-12,1.387596e-12,1.400948e-12,1.378059e-12,1.355171e-12,1.303673e-12,1.391411e-12,1.360893e-12,1.357079e-12,1.326561e-12,1.370430e-12,1.322746e-12,1.318932e-12,1.376152e-12,1.378059e-12,1.330376e-12,1.301765e-12,1.343727e-12,1.305580e-12,1.332283e-12,1.338005e-12,1.353264e-12,1.296043e-12,1.301765e-12,1.275063e-12,1.326561e-12,1.381874e-12,1.301765e-12,1.297951e-12,1.244545e-12,1.290321e-12,1.309395e-12,1.271248e-12,1.332283e-12,1.269340e-12
 40.95500,  1.01268,6.181055e-11,8.072660e-10,2.273464e-11,7.085520e-11,5.089760e-12,8.967400e-12,5.063057e-12,5.532265e-12,5.921364e-12,6.205559e-12,7.256507e-12,9.572029e-12,2.640057e-11,6.224228e-10,2.088070e-11,3.318125e-11,5.587679e-11,1.226711e-09,7.056236e-12,6.609917e-12,2.339363e-12,2.400398e-12,2.297401e-12,2.644539e-12,3.849983e-12,4.664713e-11,2.270698e-12,4.015923e-12,2.139091e-12,1.098728e-11,1.980781e-12,1.856804e-12,1.809120e-12,2.051353e-12,1.746178e-12,1.725197e-12,1.746178e-12,1.719475e-12,1.704216e-12,1.753807e-12,1.685142e-12,1.658440e-12,1.709938e-12,1.683235e-12,1.654625e-12,1.702309e-12,1.626015e-12,1.627922e-12,1.610756e-12,1.646995e-12,1.601219e-12,1.564979e-12,1.585960e-12,1.519203e-12,1.549721e-12,1.624107e-12,1.553535e-12,1.559257e-12,1.549721e-12,1.561165e-12,1.547813e-12,1.538277e-12,1.538277e-12,1.528740e-12,1.530647e-12,1.553535e-12,1.568794e-12,1.553535e-12,1.524925e-12,1.511574e-12,1.492500e-12,1.532555e-12,1.465797e-12,1.521110e-12,1.458168e-12,1.473427e-12,1.431465e-12,1.526833e-12,1.502037e-12,1.484871e-12,1.469612e-12,1.486778e-12,1.475334e-12,1.442909e-12,1.425743e-12,1.425743e-12,1.433372e-12,1.437187e-12,1.429558e-12,1.442909e-12,1.421928e-12,1.479149e-12,1.420021e-12,1.420021e-12,1.374245e-12,1.446724e-12,1.437187e-12,1.458168e-12,1.381874e-12,1.381874e-12,1.397133e-12,1.395226e-12,1.364708e-12,1.410484e-12,1.317024e-12,1.383781e-12,1.387596e-12,1.372337e-12,1.378059e-12,1.370430e-12,1.391411e-12,1.320839e-12,1.345634e-12,1.320839e-12,1.290321e-12,1.338005e-12,1.297951e-12,1.383781e-12,1.320839e-12,1.326561e-12,1.292229e-12,1.347542e-12,1.269340e-12,1.338005e-12,1.309395e-12,1.320839e-12,1.332283e-12,1.286507e-12,1.294136e-12,1.311302e-12,1.330376e-12,1.290321e-12,1.294136e-12,1.299858e-12,1.315117e-12,1.257896e-12
 41.08300,  1.18297,6.216341e-11,8.064745e-10,2.267933e-11,7.108789e-11,5.228996e-12,9.070396e-12,5.074501e-12,5.394935e-12,5.894661e-12,6.218910e-12,7.208824e-12,9.655952e-12,2.621174e-11,6.215836e-10,2.093792e-11,3.319651e-11,5.485636e-11,1.230335e-09,6.964683e-12,6.653786e-12,2.314568e-12,2.425194e-12,2.299309e-12,2.676964e-12,3.846169e-12,4.642969e-11,2.284050e-12,3.996849e-12,2.114296e-12,1.095676e-11,1.973152e-12,1.873970e-12,1.816750e-12,2.074242e-12,1.801491e-12,1.788139e-12,1.770973e-12,1.732826e-12,1.744270e-12,1.732826e-12,1.656532e-12,1.723289e-12,1.652718e-12,1.683235e-12,1.677513e-12,1.633644e-12,1.648903e-12,1.618385e-12,1.637459e-12,1.666069e-12,1.626015e-12,1.601219e-12,1.576424e-12,1.610756e-12,1.576424e-12,1.591682e-12,1.620293e-12,1.589775e-12,1.557350e-12,1.591682e-12,1.530647e-12,1.572609e-12,1.616478e-12,1.538277e-12,1.513481e-12,1.502037e-12,1.502037e-12,1.496315e-12,1.507759e-12,1.553535e-12,1.530647e-12,1.519203e-12,1.484871e-12,1.500130e-12,1.509666e-12,1.515388e-12,1.498222e-12,1.471519e-12,1.456261e-12,1.460075e-12,1.479149e-12,1.469612e-12,1.469612e-12,1.420021e-12,1.437187e-12,1.433372e-12,1.423836e-12,1.427650e-12,1.452446e-12,1.471519e-12,1.439095e-12,1.364708e-12,1.406670e-12,1.374245e-12,1.414299e-12,1.418114e-12,1.427650e-12,1.402855e-12,1.418114e-12,1.381874e-12,1.364708e-12,1.379967e-12,1.421928e-12,1.402855e-12,1.374245e-12,1.418114e-12,1.349449e-12,1.374245e-12,1.372337e-12,1.347542e-12,1.366615e-12,1.370430e-12,1.324654e-12,1.338005e-12,1.372337e-12,1.358986e-12,1.357079e-12,1.339912e-12,1.296043e-12,1.311302e-12,1.315117e-12,1.379967e-12,1.259804e-12,1.355171e-12,1.296043e-12,1.286507e-12,1.267433e-12,1.297951e-12,1.297951e-12,1.338005e-12,1.248360e-12,1.275063e-12,1.280785e-12,1.305580e-12,1.301765e-12,1.303673e-12
 41.22600,  1.34638,6.150729e-11,8.109396e-10,2.280521e-11,7.111460e-11,5.164146e-12,9.028434e-12,5.162239e-12,5.436897e-12,5.902290e-12,6.150246e-12,7.155418e-12,9.598732e-12,2.608395e-11,6.229111e-10,2.102757e-11,3.314692e-11,5.465990e-11,1.227474e-09,6.997108e-12,6.703377e-12,2.333641e-12,2.446175e-12,2.284050e-12,2.627373e-12,3.829002e-12,4.646975e-11,2.243996e-12,3.951073e-12,2.062797e-12,1.094913e-11,1.973152e-12,1.816750e-12,1.795769e-12,2.036095e-12,1.765251e-12,1.763344e-12,1.700401e-12,1.755714e-12,1.729011e-12,1.729011e-12,1.725197e-12,1.702309e-12,1.685142e-12,1.679420e-12,1.610756e-12,1.650810e-12,1.637459e-12,1.673698e-12,1.624107e-12,1.561165e-12,1.633644e-12,1.576424e-12,1.635551e-12,1.589775e-12,1.589775e-12,1.551628e-12,1.595497e-12,1.555443e-12,1.589775e-12,1.564979e-12,1.532555e-12,1.578331e-12,1.530647e-12,1.490593e-12,1.568794e-12,1.530647e-12,1.507759e-12,1.540184e-12,1.503944e-12,1.519203e-12,1.538277e-12,1.469612e-12,1.519203e-12,1.517296e-12,1.536369e-12,1.524925e-12,1.469612e-12,1.484871e-12,1.484871e-12,1.460075e-12,1.503944e-12,1.490593e-12,1.479149e-12,1.469612e-12,1.494408e-12,1.406670e-12,1.427650e-12,1.486778e-12,1.452446e-12,1.450539e-12,1.441002e-12,1.410484e-12,1.442909e-12,1.414299e-12,1.397133e-12,1.412392e-12,1.393318e-12,1.408577e-12,1.427650e-12,1.381874e-12,1.347542e-12,1.416206e-12,1.372337e-12,1.378059e-12,1.358986e-12,1.341820e-12,1.357079e-12,1.381874e-12,1.397133e-12,1.378059e-12,1.374245e-12,1.341820e-12,1.345634e-12,1.343727e-12,1.318932e-12,1.358986e-12,1.339912e-12,1.345634e-12,1.339912e-12,1.309395e-12,1.330376e-12,1.294136e-12,1.317024e-12,1.341820e-12,1.368523e-12,1.294136e-12,1.324654e-12,1.322746e-12,1.362801e-12,1.301765e-12,1.202583e-12,1.305580e-12,1.284599e-12,1.252174e-12,1.290321e-12,1.255989e-12
 41.32500,  1.51520,6.179911e-11,8.022363e-10,2.257252e-11,7.093912e-11,5.146980e-12,9.055138e-12,5.101204e-12,5.492210e-12,5.923271e-12,6.255150e-12,7.124900e-12,9.440422e-12,2.609158e-11,6.223103e-10,2.080441e-11,3.298670e-11,5.540186e-11,1.231670e-09,7.008552e-12,6.670952e-12,2.348900e-12,2.469063e-12,2.320290e-12,2.615929e-12,3.836632e-12,4.652697e-11,2.259254e-12,4.027367e-12,2.081871e-12,1.096058e-11,2.009392e-12,1.860619e-12,1.860619e-12,2.057075e-12,1.749992e-12,1.793861e-12,1.757622e-12,1.738548e-12,1.748085e-12,1.727104e-12,1.708031e-12,1.677513e-12,1.685142e-12,1.685142e-12,1.643181e-12,1.614571e-12,1.646995e-12,1.627922e-12,1.677513e-12,1.626015e-12,1.622200e-12,1.616478e-12,1.593590e-12,1.530647e-12,1.595497e-12,1.526833e-12,1.568794e-12,1.589775e-12,1.557350e-12,1.566887e-12,1.498222e-12,1.523018e-12,1.555443e-12,1.523018e-12,1.528740e-12,1.540184e-12,1.503944e-12,1.505852e-12,1.486778e-12,1.545906e-12,1.488686e-12,1.490593e-12,1.486778e-12,1.502037e-12,1.505852e-12,1.486778e-12,1.461983e-12,1.492500e-12,1.509666e-12,1.450539e-12,1.477242e-12,1.488686e-12,1.465797e-12,1.433372e-12,1.465797e-12,1.473427e-12,1.402855e-12,1.442909e-12,1.448631e-12,1.420021e-12,1.490593e-12,1.402855e-12,1.452446e-12,1.410484e-12,1.423836e-12,1.381874e-12,1.349449e-12,1.410484e-12,1.404762e-12,1.358986e-12,1.383781e-12,1.374245e-12,1.404762e-12,1.376152e-12,1.353264e-12,1.406670e-12,1.383781e-12,1.355171e-12,1.332283e-12,1.433372e-12,1.292229e-12,1.370430e-12,1.357079e-12,1.336098e-12,1.336098e-12,1.343727e-12,1.379967e-12,1.336098e-12,1.309395e-12,1.334190e-12,1.362801e-12,1.332283e-12,1.355171e-12,1.334190e-12,1.288414e-12,1.299858e-12,1.328468e-12,1.294136e-12,1.305580e-12,1.301765e-12,1.313210e-12,1.343727e-12,1.322746e-12,1.278877e-12,1.259804e-12,1.278877e-12
