#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2025_11_18_SL_PS_005D-L1_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,PS-005d-L1                             
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,PS                                     
#DATE/TIME:                  ,11/22/2025 2:30:30 PM (UTC-5)          
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,05-05-2025 14:38                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,Tran                                   
#OPERATOR:                   ,Stan                                   
#REMARK:                     ,                                       
#SAMPLE:                     ,PS-005d-L1                             
#SAMPLE MASS /mg:            ,2.25                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,20›C....800›C/0.0....20.0K/min         
#SEGMENT:                    ,S1-5/5                                 
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                  
#SEG. 2:                     ,100›C/00:05/100›C                      
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                
#SEG. 4:                     ,200›C/5.0(K/min)/600›C                 
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 48.73100,  0.00000,      6.00981,    100.00000,50.00000,63.00000,            ,0.92588,1
 49.44800,  0.06667,      5.77991,     99.50711,50.00000,63.00000,3.250706e-09,0.92588,1
 50.15800,  0.13333,      5.53980,     99.15511,50.00000,63.00000,3.250419e-09,0.92593,1
 50.79000,  0.20000,      5.30305,     98.60178,50.00000,63.00000,3.250419e-09,0.92593,1
 51.41100,  0.26667,      5.07219,     98.31022,50.00000,63.00000,3.250709e-09,0.92597,1
 51.99800,  0.33333,      4.84539,     97.83778,50.00000,63.00000,3.250709e-09,0.92597,1
 52.53200,  0.40000,      4.62778,     97.48578,50.00000,62.00000,3.250709e-09,0.92597,1
 53.06200,  0.46667,      4.40726,     97.14400,50.00000,62.00000,3.248577e-09,0.92600,1
 53.56300,  0.53333,      4.21020,     96.80711,50.00000,62.00000,3.248577e-09,0.92600,1
 54.02800,  0.60000,      4.01792,     96.47022,50.00000,62.00000,3.248577e-09,0.92600,1
 54.46600,  0.66667,      3.83150,     96.10311,50.00000,62.00000,3.258207e-09,0.92603,1
 54.90900,  0.73333,      3.65389,     95.78133,50.00000,62.00000,3.258207e-09,0.92603,1
 55.30600,  0.80000,      3.48544,     95.45956,50.00000,62.00000,3.253139e-09,0.92606,1
 55.69700,  0.86667,      3.32468,     95.19289,50.00000,62.00000,3.253139e-09,0.92606,1
 56.05800,  0.93333,      3.16906,     94.91111,50.00000,62.00000,3.253139e-09,0.92606,1
 56.41800,  1.00000,      3.02662,     82.44622,50.00000,62.00000,3.260416e-09,0.92608,1
 56.75200,  1.06667,      2.88493,     74.70800,50.00000,62.00000,3.260416e-09,0.92608,1
 57.06000,  1.13333,      2.75092,     72.65156,50.00000,62.00000,3.259720e-09,0.92610,1
 57.33500,  1.20000,      2.62094,     71.82711,50.00000,62.00000,3.259720e-09,0.92610,1
