#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ASCII                                    
#IDENTITY:                   ,PS_Tosoh_F1                              
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,TIC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,11/18/2025 8:56:01 AM (UTC-5)            
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,05-05-2025 14:38                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran                                     
#OPERATOR:                   ,Stan                                     
#REMARK:                     ,                                         
#SAMPLE:                     ,PS_Tosoh_F1                              
#SAMPLE MASS /mg:            ,4.65                                     
#MATERIAL:                   ,                                         
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /‘V:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
                             ,                                         

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.48500, 0.01344,6.412989e-11,8.416384e-10,2.575207e-11,8.331019e-11,5.372047e-12,9.465218e-12,5.152702e-12,5.631447e-12,5.959511e-12,6.297111e-12,7.262230e-12,9.749412e-12,2.793026e-11,6.632153e-10,2.274799e-11,3.469378e-11,5.967050e-11,1.279545e-09,7.311820e-12,6.876945e-12,2.406120e-12,2.488136e-12,2.404213e-12,2.711296e-12,3.962517e-12,4.921251e-11,2.291679e-12,4.179955e-12,2.133369e-12,1.269436e-11,2.049446e-12,1.906395e-12,1.845360e-12,2.100944e-12,1.845360e-12,1.793861e-12,1.786232e-12,1.757622e-12,1.778603e-12,1.772880e-12,1.734734e-12,1.721382e-12,1.757622e-12,1.698494e-12,1.732826e-12,1.671791e-12,1.639366e-12,1.662254e-12,1.652718e-12,1.629829e-12,1.641273e-12,1.675606e-12,1.652718e-12,1.629829e-12,1.593590e-12,1.601219e-12,1.593590e-12,1.612663e-12,1.591682e-12,1.578331e-12,1.585960e-12,1.538277e-12,1.545906e-12,1.601219e-12,1.614571e-12,1.538277e-12,1.492500e-12,1.543999e-12,1.538277e-12,1.584053e-12,1.509666e-12,1.566887e-12,1.509666e-12,1.564979e-12,1.578331e-12,1.563072e-12,1.488686e-12,1.505852e-12,1.538277e-12,1.538277e-12,1.482963e-12,1.515388e-12,1.507759e-12,1.488686e-12,1.517296e-12,1.454353e-12,1.498222e-12,1.515388e-12,1.490593e-12,1.460075e-12,1.477242e-12,1.479149e-12,1.437187e-12,1.481056e-12,1.452446e-12,1.437187e-12,1.456261e-12,1.433372e-12,1.494408e-12,1.439095e-12,1.391411e-12,1.441002e-12,1.406670e-12,1.439095e-12,1.402855e-12,1.423836e-12,1.441002e-12,1.418114e-12,1.458168e-12,1.412392e-12,1.414299e-12,1.423836e-12,1.360893e-12,1.400948e-12,1.412392e-12,1.353264e-12,1.338005e-12,1.414299e-12,1.351356e-12,1.317024e-12,1.391411e-12,1.379967e-12,1.330376e-12,1.309395e-12,1.389503e-12,1.389503e-12,1.381874e-12,1.372337e-12,1.299858e-12,1.343727e-12,1.341820e-12,1.303673e-12,1.328468e-12,1.402855e-12,1.317024e-12,1.322746e-12
 31.69100, 0.17557,6.399828e-11,8.398779e-10,2.553654e-11,8.287149e-11,5.347252e-12,9.398460e-12,5.257606e-12,5.507469e-12,6.012916e-12,6.295204e-12,7.277489e-12,9.833336e-12,2.792072e-11,6.612812e-10,2.280521e-11,3.461748e-11,5.992609e-11,1.281261e-09,7.256507e-12,6.949425e-12,2.373695e-12,2.455711e-12,2.371788e-12,2.686501e-12,3.878593e-12,4.936701e-11,2.312660e-12,4.090309e-12,2.165794e-12,1.264667e-11,2.087593e-12,1.952171e-12,1.862526e-12,2.074242e-12,1.856804e-12,1.809120e-12,1.818657e-12,1.778603e-12,1.738548e-12,1.717567e-12,1.717567e-12,1.690864e-12,1.759529e-12,1.744270e-12,1.717567e-12,1.729011e-12,1.698494e-12,1.664162e-12,1.673698e-12,1.646995e-12,1.645088e-12,1.643181e-12,1.639366e-12,1.698494e-12,1.635551e-12,1.624107e-12,1.564979e-12,1.593590e-12,1.603126e-12,1.557350e-12,1.603126e-12,1.605034e-12,1.591682e-12,1.561165e-12,1.605034e-12,1.555443e-12,1.566887e-12,1.547813e-12,1.515388e-12,1.561165e-12,1.526833e-12,1.551628e-12,1.505852e-12,1.490593e-12,1.530647e-12,1.521110e-12,1.530647e-12,1.503944e-12,1.517296e-12,1.542091e-12,1.515388e-12,1.482963e-12,1.549721e-12,1.509666e-12,1.507759e-12,1.454353e-12,1.482963e-12,1.488686e-12,1.545906e-12,1.471519e-12,1.500130e-12,1.439095e-12,1.431465e-12,1.433372e-12,1.475334e-12,1.433372e-12,1.461983e-12,1.421928e-12,1.473427e-12,1.427650e-12,1.444817e-12,1.448631e-12,1.406670e-12,1.446724e-12,1.404762e-12,1.425743e-12,1.418114e-12,1.416206e-12,1.427650e-12,1.402855e-12,1.414299e-12,1.404762e-12,1.395226e-12,1.406670e-12,1.360893e-12,1.408577e-12,1.385689e-12,1.374245e-12,1.370430e-12,1.336098e-12,1.357079e-12,1.360893e-12,1.376152e-12,1.395226e-12,1.370430e-12,1.339912e-12,1.416206e-12,1.383781e-12,1.355171e-12,1.343727e-12,1.397133e-12,1.370430e-12,1.288414e-12,1.311302e-12,1.355171e-12,1.334190e-12
 31.83300, 0.34363,6.433398e-11,8.401850e-10,2.580738e-11,8.310037e-11,5.360603e-12,9.478569e-12,5.150795e-12,5.537987e-12,5.991936e-12,6.230354e-12,7.330895e-12,9.716988e-12,2.777958e-11,6.627155e-10,2.261448e-11,3.454119e-11,5.883509e-11,1.275158e-09,7.235527e-12,6.871223e-12,2.341270e-12,2.495766e-12,2.427101e-12,2.671242e-12,3.918648e-12,4.916674e-11,2.348900e-12,4.178047e-12,2.186775e-12,1.249981e-11,2.074242e-12,1.893043e-12,1.873970e-12,2.110481e-12,1.803398e-12,1.790047e-12,1.822472e-12,1.778603e-12,1.763344e-12,1.778603e-12,1.715660e-12,1.763344e-12,1.725197e-12,1.744270e-12,1.757622e-12,1.708031e-12,1.677513e-12,1.646995e-12,1.698494e-12,1.624107e-12,1.639366e-12,1.671791e-12,1.627922e-12,1.700401e-12,1.622200e-12,1.608849e-12,1.666069e-12,1.606941e-12,1.639366e-12,1.589775e-12,1.593590e-12,1.622200e-12,1.515388e-12,1.597404e-12,1.587868e-12,1.597404e-12,1.572609e-12,1.561165e-12,1.515388e-12,1.526833e-12,1.559257e-12,1.564979e-12,1.549721e-12,1.511574e-12,1.505852e-12,1.505852e-12,1.503944e-12,1.536369e-12,1.532555e-12,1.502037e-12,1.528740e-12,1.536369e-12,1.513481e-12,1.502037e-12,1.509666e-12,1.452446e-12,1.526833e-12,1.496315e-12,1.513481e-12,1.450539e-12,1.534462e-12,1.446724e-12,1.494408e-12,1.477242e-12,1.479149e-12,1.519203e-12,1.460075e-12,1.492500e-12,1.473427e-12,1.461983e-12,1.395226e-12,1.461983e-12,1.479149e-12,1.374245e-12,1.433372e-12,1.423836e-12,1.448631e-12,1.425743e-12,1.437187e-12,1.418114e-12,1.412392e-12,1.387596e-12,1.362801e-12,1.402855e-12,1.385689e-12,1.391411e-12,1.393318e-12,1.358986e-12,1.395226e-12,1.370430e-12,1.355171e-12,1.349449e-12,1.347542e-12,1.364708e-12,1.351356e-12,1.322746e-12,1.351356e-12,1.374245e-12,1.297951e-12,1.324654e-12,1.378059e-12,1.322746e-12,1.334190e-12,1.378059e-12,1.372337e-12,1.338005e-12
 31.97500, 0.50583,6.470972e-11,8.391894e-10,2.567196e-11,8.332163e-11,5.291939e-12,9.421348e-12,5.116462e-12,5.558967e-12,6.035805e-12,6.310463e-12,7.281303e-12,9.844780e-12,2.792644e-11,6.634060e-10,2.269459e-11,3.491694e-11,6.020647e-11,1.280117e-09,7.241249e-12,6.917000e-12,2.346992e-12,2.455711e-12,2.326012e-12,2.707481e-12,3.968239e-12,4.923922e-11,2.331734e-12,4.160881e-12,2.177238e-12,1.244259e-11,2.036095e-12,1.969337e-12,1.856804e-12,2.156258e-12,1.866341e-12,1.795769e-12,1.805305e-12,1.782417e-12,1.778603e-12,1.801491e-12,1.717567e-12,1.658440e-12,1.730919e-12,1.749992e-12,1.688957e-12,1.715660e-12,1.675606e-12,1.706123e-12,1.658440e-12,1.683235e-12,1.622200e-12,1.601219e-12,1.660347e-12,1.645088e-12,1.627922e-12,1.622200e-12,1.666069e-12,1.612663e-12,1.559257e-12,1.629829e-12,1.616478e-12,1.559257e-12,1.578331e-12,1.513481e-12,1.563072e-12,1.622200e-12,1.551628e-12,1.559257e-12,1.574516e-12,1.542091e-12,1.523018e-12,1.570702e-12,1.566887e-12,1.545906e-12,1.534462e-12,1.492500e-12,1.490593e-12,1.500130e-12,1.564979e-12,1.475334e-12,1.528740e-12,1.528740e-12,1.551628e-12,1.523018e-12,1.517296e-12,1.503944e-12,1.477242e-12,1.585960e-12,1.452446e-12,1.473427e-12,1.418114e-12,1.441002e-12,1.490593e-12,1.435280e-12,1.507759e-12,1.418114e-12,1.441002e-12,1.435280e-12,1.410484e-12,1.473427e-12,1.421928e-12,1.461983e-12,1.414299e-12,1.420021e-12,1.399040e-12,1.439095e-12,1.439095e-12,1.364708e-12,1.404762e-12,1.433372e-12,1.421928e-12,1.408577e-12,1.397133e-12,1.423836e-12,1.393318e-12,1.458168e-12,1.389503e-12,1.345634e-12,1.406670e-12,1.376152e-12,1.420021e-12,1.385689e-12,1.397133e-12,1.318932e-12,1.370430e-12,1.339912e-12,1.343727e-12,1.339912e-12,1.315117e-12,1.315117e-12,1.341820e-12,1.368523e-12,1.343727e-12,1.318932e-12,1.353264e-12,1.330376e-12
 32.19000, 0.67259,6.455523e-11,8.394335e-10,2.564716e-11,8.253771e-11,5.351066e-12,9.394646e-12,5.192756e-12,5.600929e-12,5.990028e-12,6.299019e-12,7.321358e-12,9.747505e-12,2.778530e-11,6.661087e-10,2.259159e-11,3.483111e-11,5.972010e-11,1.279163e-09,7.327080e-12,6.924629e-12,2.396584e-12,2.449989e-12,2.339363e-12,2.627373e-12,4.040718e-12,4.905802e-11,2.337456e-12,4.109383e-12,2.146721e-12,1.215649e-11,2.024650e-12,1.927376e-12,1.862526e-12,2.123833e-12,1.870155e-12,1.786232e-12,1.820564e-12,1.778603e-12,1.732826e-12,1.772880e-12,1.814842e-12,1.778603e-12,1.715660e-12,1.688957e-12,1.675606e-12,1.652718e-12,1.685142e-12,1.662254e-12,1.679420e-12,1.681328e-12,1.641273e-12,1.618385e-12,1.641273e-12,1.654625e-12,1.612663e-12,1.616478e-12,1.587868e-12,1.585960e-12,1.608849e-12,1.564979e-12,1.620293e-12,1.587868e-12,1.589775e-12,1.570702e-12,1.564979e-12,1.534462e-12,1.610756e-12,1.584053e-12,1.547813e-12,1.559257e-12,1.624107e-12,1.519203e-12,1.555443e-12,1.540184e-12,1.482963e-12,1.526833e-12,1.561165e-12,1.519203e-12,1.496315e-12,1.545906e-12,1.498222e-12,1.498222e-12,1.492500e-12,1.482963e-12,1.505852e-12,1.530647e-12,1.494408e-12,1.496315e-12,1.490593e-12,1.439095e-12,1.471519e-12,1.477242e-12,1.427650e-12,1.471519e-12,1.418114e-12,1.475334e-12,1.477242e-12,1.442909e-12,1.454353e-12,1.383781e-12,1.416206e-12,1.404762e-12,1.471519e-12,1.421928e-12,1.450539e-12,1.435280e-12,1.412392e-12,1.418114e-12,1.435280e-12,1.431465e-12,1.423836e-12,1.420021e-12,1.406670e-12,1.397133e-12,1.446724e-12,1.442909e-12,1.343727e-12,1.379967e-12,1.349449e-12,1.379967e-12,1.389503e-12,1.372337e-12,1.328468e-12,1.391411e-12,1.309395e-12,1.343727e-12,1.336098e-12,1.328468e-12,1.332283e-12,1.334190e-12,1.305580e-12,1.334190e-12,1.324654e-12,1.366615e-12,1.357079e-12,1.320839e-12
 32.32500, 0.83676,6.439501e-11,8.425139e-10,2.561855e-11,8.259111e-11,5.290031e-12,9.484291e-12,5.175590e-12,5.585670e-12,5.974769e-12,6.329536e-12,7.380485e-12,9.884834e-12,2.791881e-11,6.637188e-10,2.258015e-11,3.493792e-11,5.901247e-11,1.281261e-09,7.222176e-12,6.894112e-12,2.429008e-12,2.486229e-12,2.337456e-12,2.655983e-12,3.920555e-12,4.940516e-11,2.415657e-12,4.155159e-12,2.223015e-12,1.223659e-11,2.015114e-12,1.923561e-12,1.879692e-12,2.114296e-12,1.835823e-12,1.828194e-12,1.759529e-12,1.755714e-12,1.744270e-12,1.765251e-12,1.696587e-12,1.721382e-12,1.690864e-12,1.692772e-12,1.709938e-12,1.645088e-12,1.721382e-12,1.629829e-12,1.610756e-12,1.664162e-12,1.658440e-12,1.646995e-12,1.662254e-12,1.656532e-12,1.618385e-12,1.643181e-12,1.645088e-12,1.627922e-12,1.652718e-12,1.622200e-12,1.574516e-12,1.545906e-12,1.605034e-12,1.610756e-12,1.584053e-12,1.557350e-12,1.524925e-12,1.566887e-12,1.530647e-12,1.557350e-12,1.530647e-12,1.475334e-12,1.496315e-12,1.511574e-12,1.486778e-12,1.574516e-12,1.542091e-12,1.513481e-12,1.505852e-12,1.528740e-12,1.542091e-12,1.484871e-12,1.509666e-12,1.469612e-12,1.490593e-12,1.488686e-12,1.500130e-12,1.482963e-12,1.494408e-12,1.486778e-12,1.427650e-12,1.400948e-12,1.496315e-12,1.435280e-12,1.431465e-12,1.441002e-12,1.465797e-12,1.467705e-12,1.423836e-12,1.437187e-12,1.429558e-12,1.421928e-12,1.461983e-12,1.437187e-12,1.395226e-12,1.442909e-12,1.376152e-12,1.389503e-12,1.391411e-12,1.458168e-12,1.376152e-12,1.412392e-12,1.379967e-12,1.385689e-12,1.381874e-12,1.357079e-12,1.351356e-12,1.343727e-12,1.374245e-12,1.338005e-12,1.366615e-12,1.378059e-12,1.360893e-12,1.387596e-12,1.328468e-12,1.345634e-12,1.376152e-12,1.360893e-12,1.330376e-12,1.318932e-12,1.393318e-12,1.338005e-12,1.341820e-12,1.364708e-12,1.313210e-12,1.311302e-12
 32.54700, 0.99623,6.408411e-11,8.462523e-10,2.564526e-11,8.235079e-11,5.253792e-12,9.579658e-12,5.219459e-12,5.551338e-12,6.047249e-12,6.377220e-12,7.340431e-12,9.720802e-12,2.814197e-11,6.643330e-10,2.258396e-11,3.483111e-11,6.030566e-11,1.282787e-09,7.231712e-12,6.953239e-12,2.390861e-12,2.486229e-12,2.358437e-12,2.732277e-12,3.907204e-12,4.933268e-11,2.354622e-12,4.111290e-12,2.123833e-12,1.216602e-11,2.045631e-12,1.921654e-12,1.866341e-12,2.135277e-12,1.833916e-12,1.799583e-12,1.822472e-12,1.776695e-12,1.770973e-12,1.749992e-12,1.769066e-12,1.757622e-12,1.690864e-12,1.738548e-12,1.660347e-12,1.709938e-12,1.725197e-12,1.673698e-12,1.669884e-12,1.666069e-12,1.681328e-12,1.580238e-12,1.633644e-12,1.639366e-12,1.641273e-12,1.582146e-12,1.652718e-12,1.589775e-12,1.639366e-12,1.576424e-12,1.564979e-12,1.614571e-12,1.582146e-12,1.576424e-12,1.490593e-12,1.576424e-12,1.561165e-12,1.591682e-12,1.568794e-12,1.555443e-12,1.576424e-12,1.555443e-12,1.481056e-12,1.540184e-12,1.534462e-12,1.538277e-12,1.526833e-12,1.524925e-12,1.543999e-12,1.486778e-12,1.513481e-12,1.498222e-12,1.513481e-12,1.498222e-12,1.496315e-12,1.490593e-12,1.475334e-12,1.467705e-12,1.458168e-12,1.471519e-12,1.475334e-12,1.484871e-12,1.496315e-12,1.477242e-12,1.442909e-12,1.437187e-12,1.391411e-12,1.446724e-12,1.442909e-12,1.421928e-12,1.408577e-12,1.460075e-12,1.431465e-12,1.439095e-12,1.452446e-12,1.389503e-12,1.404762e-12,1.366615e-12,1.383781e-12,1.410484e-12,1.408577e-12,1.439095e-12,1.423836e-12,1.364708e-12,1.362801e-12,1.362801e-12,1.334190e-12,1.387596e-12,1.385689e-12,1.429558e-12,1.343727e-12,1.362801e-12,1.431465e-12,1.414299e-12,1.360893e-12,1.370430e-12,1.343727e-12,1.351356e-12,1.360893e-12,1.357079e-12,1.343727e-12,1.332283e-12,1.315117e-12,1.343727e-12,1.299858e-12,1.263618e-12
 32.75900, 1.16227,6.447703e-11,8.427542e-10,2.546596e-11,8.247476e-11,5.368233e-12,9.379387e-12,5.160331e-12,5.621910e-12,6.070137e-12,6.279945e-12,7.386207e-12,9.877205e-12,2.783108e-11,6.627556e-10,2.249432e-11,3.489214e-11,5.877596e-11,1.280308e-09,7.294654e-12,6.913185e-12,2.408028e-12,2.518654e-12,2.352714e-12,2.758980e-12,3.937721e-12,4.949290e-11,2.301216e-12,4.132270e-12,2.167702e-12,1.202869e-11,2.011299e-12,1.914024e-12,1.828194e-12,2.087593e-12,1.805305e-12,1.801491e-12,1.784325e-12,1.780510e-12,1.732826e-12,1.776695e-12,1.711845e-12,1.704216e-12,1.646995e-12,1.681328e-12,1.713753e-12,1.685142e-12,1.652718e-12,1.681328e-12,1.671791e-12,1.675606e-12,1.635551e-12,1.601219e-12,1.641273e-12,1.612663e-12,1.622200e-12,1.597404e-12,1.521110e-12,1.582146e-12,1.576424e-12,1.620293e-12,1.536369e-12,1.595497e-12,1.580238e-12,1.587868e-12,1.631737e-12,1.589775e-12,1.543999e-12,1.543999e-12,1.578331e-12,1.595497e-12,1.540184e-12,1.540184e-12,1.519203e-12,1.555443e-12,1.551628e-12,1.578331e-12,1.479149e-12,1.540184e-12,1.536369e-12,1.526833e-12,1.523018e-12,1.471519e-12,1.524925e-12,1.538277e-12,1.500130e-12,1.444817e-12,1.469612e-12,1.484871e-12,1.488686e-12,1.461983e-12,1.461983e-12,1.458168e-12,1.469612e-12,1.452446e-12,1.467705e-12,1.439095e-12,1.473427e-12,1.431465e-12,1.454353e-12,1.505852e-12,1.482963e-12,1.425743e-12,1.412392e-12,1.460075e-12,1.448631e-12,1.441002e-12,1.416206e-12,1.389503e-12,1.372337e-12,1.442909e-12,1.391411e-12,1.418114e-12,1.408577e-12,1.378059e-12,1.397133e-12,1.391411e-12,1.383781e-12,1.370430e-12,1.372337e-12,1.406670e-12,1.379967e-12,1.341820e-12,1.358986e-12,1.341820e-12,1.372337e-12,1.416206e-12,1.339912e-12,1.353264e-12,1.332283e-12,1.349449e-12,1.343727e-12,1.320839e-12,1.313210e-12,1.309395e-12,1.278877e-12,1.372337e-12
 32.90900, 1.32458,6.428057e-11,8.401812e-10,2.564335e-11,8.268076e-11,5.324363e-12,9.350776e-12,5.221367e-12,5.503654e-12,6.005287e-12,6.321907e-12,7.401467e-12,9.781837e-12,2.815914e-11,6.641918e-10,2.253246e-11,3.500467e-11,5.967432e-11,1.283169e-09,7.248878e-12,6.920814e-12,2.442360e-12,2.417564e-12,2.324104e-12,2.688408e-12,3.943443e-12,4.917818e-11,2.303123e-12,4.172325e-12,2.144813e-12,1.196575e-11,2.015114e-12,1.856804e-12,1.852989e-12,2.127647e-12,1.793861e-12,1.818657e-12,1.788139e-12,1.757622e-12,1.795769e-12,1.811027e-12,1.730919e-12,1.730919e-12,1.698494e-12,1.721382e-12,1.633644e-12,1.685142e-12,1.656532e-12,1.648903e-12,1.679420e-12,1.694679e-12,1.631737e-12,1.656532e-12,1.620293e-12,1.593590e-12,1.593590e-12,1.614571e-12,1.645088e-12,1.606941e-12,1.591682e-12,1.606941e-12,1.599312e-12,1.549721e-12,1.620293e-12,1.629829e-12,1.584053e-12,1.595497e-12,1.570702e-12,1.584053e-12,1.555443e-12,1.580238e-12,1.534462e-12,1.547813e-12,1.578331e-12,1.551628e-12,1.555443e-12,1.570702e-12,1.502037e-12,1.564979e-12,1.496315e-12,1.530647e-12,1.467705e-12,1.477242e-12,1.507759e-12,1.505852e-12,1.502037e-12,1.481056e-12,1.523018e-12,1.496315e-12,1.482963e-12,1.492500e-12,1.486778e-12,1.435280e-12,1.488686e-12,1.439095e-12,1.479149e-12,1.439095e-12,1.425743e-12,1.473427e-12,1.450539e-12,1.418114e-12,1.437187e-12,1.425743e-12,1.408577e-12,1.412392e-12,1.376152e-12,1.416206e-12,1.391411e-12,1.427650e-12,1.425743e-12,1.387596e-12,1.402855e-12,1.400948e-12,1.412392e-12,1.421928e-12,1.379967e-12,1.366615e-12,1.408577e-12,1.360893e-12,1.364708e-12,1.395226e-12,1.332283e-12,1.315117e-12,1.404762e-12,1.362801e-12,1.368523e-12,1.338005e-12,1.353264e-12,1.387596e-12,1.355171e-12,1.324654e-12,1.303673e-12,1.364708e-12,1.345634e-12,1.288414e-12,1.284599e-12,1.313210e-12
 33.02400, 1.48712,6.419855e-11,8.447588e-10,2.555180e-11,8.240801e-11,5.331993e-12,9.455680e-12,5.194664e-12,5.578041e-12,6.039619e-12,6.295204e-12,7.348061e-12,9.812355e-12,2.786159e-11,6.630531e-10,2.268314e-11,3.488451e-11,5.898386e-11,1.284695e-09,7.264137e-12,6.857872e-12,2.415657e-12,2.482414e-12,2.306938e-12,2.638817e-12,3.979683e-12,4.914004e-11,2.366066e-12,4.176140e-12,2.118111e-12,1.197720e-11,2.043724e-12,1.929283e-12,1.845360e-12,2.081871e-12,1.774788e-12,1.824379e-12,1.784325e-12,1.770973e-12,1.748085e-12,1.793861e-12,1.753807e-12,1.765251e-12,1.744270e-12,1.692772e-12,1.679420e-12,1.748085e-12,1.706123e-12,1.700401e-12,1.660347e-12,1.671791e-12,1.648903e-12,1.627922e-12,1.666069e-12,1.624107e-12,1.662254e-12,1.633644e-12,1.626015e-12,1.584053e-12,1.578331e-12,1.559257e-12,1.582146e-12,1.610756e-12,1.601219e-12,1.549721e-12,1.626015e-12,1.578331e-12,1.618385e-12,1.574516e-12,1.606941e-12,1.574516e-12,1.543999e-12,1.553535e-12,1.496315e-12,1.551628e-12,1.523018e-12,1.538277e-12,1.608849e-12,1.574516e-12,1.555443e-12,1.534462e-12,1.534462e-12,1.507759e-12,1.479149e-12,1.509666e-12,1.456261e-12,1.496315e-12,1.456261e-12,1.498222e-12,1.454353e-12,1.490593e-12,1.441002e-12,1.484871e-12,1.488686e-12,1.477242e-12,1.473427e-12,1.473427e-12,1.473427e-12,1.431465e-12,1.406670e-12,1.444817e-12,1.441002e-12,1.421928e-12,1.458168e-12,1.441002e-12,1.399040e-12,1.410484e-12,1.410484e-12,1.446724e-12,1.383781e-12,1.412392e-12,1.425743e-12,1.420021e-12,1.372337e-12,1.412392e-12,1.353264e-12,1.408577e-12,1.376152e-12,1.358986e-12,1.416206e-12,1.347542e-12,1.429558e-12,1.385689e-12,1.355171e-12,1.338005e-12,1.334190e-12,1.374245e-12,1.385689e-12,1.307487e-12,1.338005e-12,1.349449e-12,1.347542e-12,1.372337e-12,1.317024e-12,1.299858e-12,1.315117e-12,1.317024e-12
