#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ASCII                                    
#IDENTITY:                   ,PS_Tosoh_F1                              
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,DSC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,11/18/2025 8:56:01 AM (UTC-5)            
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,05-05-2025 14:38                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran                                     
#OPERATOR:                   ,Stan                                     
#REMARK:                     ,                                         
#SAMPLE:                     ,PS_Tosoh_F1                              
#SAMPLE MASS /mg:            ,4.65                                     
#MATERIAL:                   ,                                         
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /‘V:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
#TAU-R:                      ,---                                      
#CORR. CODE:                 ,000                                      
#EXO:                        ,-1                                       
#RANGE:                      ,20›C....800›C/0.0....20.0K/min           
#SEGMENT:                    ,S1-5/5                                   
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                    
#SEG. 2:                     ,100›C/00:05/100›C                        
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                  
#SEG. 4:                     ,200›C/10.0(K/min)/600›C                  
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                  

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.42500, 0.00000,      0.19465,100.00000,50.00000,60.00000,            ,0.92381,1
 31.48500, 0.06667,      0.18755, 99.93441,50.00000,60.00000,3.417994e-09,0.92381,1
 31.55600, 0.13333,      0.17884, 99.93441,50.00000,60.00000,3.415819e-09,0.92382,1
 31.62900, 0.20000,      0.17298, 99.93441,50.00000,60.00000,3.415819e-09,0.92382,1
 31.69100, 0.26667,      0.16712, 99.93441,50.00000,60.00000,3.410884e-09,0.92383,1
 31.76600, 0.33333,      0.16374,100.00968,50.00000,60.00000,3.410884e-09,0.92383,1
 31.83300, 0.40000,      0.15983,100.06817,50.00000,60.00000,3.410884e-09,0.92383,1
 31.88800, 0.46667,      0.15646,100.03892,50.00000,60.00000,3.417796e-09,0.92385,1
 31.97500, 0.53333,      0.15539,100.00968,50.00000,60.00000,3.417796e-09,0.92385,1
 32.03400, 0.60000,      0.15326,100.00258,50.00000,60.00000,3.417385e-09,0.92386,1
 32.10800, 0.66667,      0.15379, 99.95140,50.00000,60.00000,3.417385e-09,0.92386,1
 32.19000, 0.73333,      0.15290, 99.92215,50.00000,60.00000,3.417385e-09,0.92386,1
 32.25600, 0.80000,      0.15414, 99.89290,50.00000,60.00000,3.419593e-09,0.92387,1
 32.32500, 0.86667,      0.15449, 99.86387,50.00000,60.00000,3.419593e-09,0.92387,1
 32.42100, 0.93333,      0.15484, 99.86387,50.00000,60.00000,3.426586e-09,0.92388,1
 32.48400, 1.00000,      0.15591, 99.83462,50.00000,60.00000,3.426586e-09,0.92388,1
 32.54700, 1.06667,      0.15519, 99.80065,50.00000,60.00000,3.426586e-09,0.92388,1
 32.62200, 1.13333,      0.15430, 99.77140,50.00000,60.00000,3.417442e-09,0.92389,1
 32.68000, 1.20000,      0.15412, 99.74215,50.00000,60.00000,3.417442e-09,0.92389,1
 32.75900, 1.26667,      0.15252, 99.67892,50.00000,60.00000,3.420076e-09,0.92391,1
 32.83000, 1.33333,      0.15163, 99.64968,50.00000,60.00000,3.420076e-09,0.92391,1
 32.90900, 1.40000,      0.15181, 99.64968,50.00000,60.00000,3.420076e-09,0.92391,1
 32.97800, 1.46667,      0.14968, 99.59140,50.00000,60.00000,3.424350e-09,0.92392,1
 33.02400, 1.53333,      0.14737, 99.52559,50.00000,60.00000,3.424350e-09,0.92392,1
 33.07900, 1.60000,      0.14612, 99.52559,50.00000,60.00000,3.416235e-09,0.92393,1
 33.15200, 1.66667,      0.14452, 99.50366,50.00000,60.00000,3.416235e-09,0.92393,1
 33.21200, 1.73333,      0.14062, 99.46473,50.00000,60.00000,3.418328e-09,0.92394,1
 33.26900, 1.80000,      0.13884, 99.40645,50.00000,60.00000,3.418328e-09,0.92394,1
 33.34000, 1.86667,      0.13671, 99.37720,50.00000,60.00000,3.418328e-09,0.92394,1
 33.40100, 1.93333,      0.13369, 99.34796,50.00000,60.00000,3.423854e-09,0.92396,1
 33.44200, 2.00000,      0.13173, 99.28968,50.00000,60.00000,3.423854e-09,0.92396,1
 33.50100, 2.06667,      0.12836, 99.28968,50.00000,60.00000,3.422499e-09,0.92397,1
 33.57500, 2.13333,      0.12711, 99.26043,50.00000,60.00000,3.422499e-09,0.92397,1
 33.61500, 2.20000,      0.12392, 99.23118,50.00000,60.00000,3.422499e-09,0.92397,1
 33.67600, 2.26667,      0.12090, 99.19957,50.00000,60.00000,3.420888e-09,0.92398,1
 33.72900, 2.33333,      0.11930, 99.17032,50.00000,60.00000,3.420888e-09,0.92398,1
 33.79000, 2.40000,      0.11664, 99.14129,50.00000,60.00000,3.427017e-09,0.92399,1
 33.83700, 2.46667,      0.11592, 99.11204,50.00000,60.00000,3.427017e-09,0.92399,1
 33.89000, 2.53333,      0.11397, 99.10473,50.00000,60.00000,3.427017e-09,0.92399,1
 33.93600, 2.60000,      0.11504, 99.06086,50.00000,60.00000,3.419135e-09,0.92400,1
 34.00400, 2.66667,      0.11397, 99.05118,50.00000,60.00000,3.419135e-09,0.92400,1
 34.06100, 2.73333,      0.11415, 99.05118,50.00000,60.00000,3.419220e-09,0.92402,1
 34.11400, 2.80000,      0.11503, 99.02194,50.00000,60.00000,3.419220e-09,0.92402,1
 34.17000, 2.86667,      0.11610, 99.02194,50.00000,60.00000,3.419220e-09,0.92402,1
 34.22200, 2.93333,      0.11787, 98.99269,50.00000,60.00000,3.419070e-09,0.92403,1
 34.28800, 3.00000,      0.12053, 98.96366,50.00000,60.00000,3.419070e-09,0.92403,1
 34.36400, 3.06667,      0.12159, 98.96366,50.00000,60.00000,3.424335e-09,0.92404,1
 34.44600, 3.13333,      0.12639, 98.96366,50.00000,60.00000,3.424335e-09,0.92404,1
 34.49300, 3.20000,      0.13082, 98.93441,50.00000,60.00000,3.424335e-09,0.92404,1
 34.58500, 3.26667,      0.13544, 98.93441,50.00000,60.00000,3.419378e-09,0.92405,1
 34.65600, 3.33333,      0.13952, 98.96366,50.00000,60.00000,3.419378e-09,0.92405,1
 34.73900, 3.40000,      0.14573, 98.96366,50.00000,60.00000,3.420269e-09,0.92407,1
 34.82100, 3.46667,      0.15282, 98.96366,50.00000,60.00000,3.420269e-09,0.92407,1
 34.90500, 3.53333,      0.15797, 98.96366,50.00000,60.00000,3.420269e-09,0.92407,1
 34.98500, 3.60000,      0.16649, 98.96366,50.00000,60.00000,3.419646e-09,0.92408,1
 35.09000, 3.66667,      0.17465, 98.99269,50.00000,60.00000,3.419646e-09,0.92408,1
 35.18600, 3.73333,      0.18192, 98.99269,50.00000,60.00000,3.421516e-09,0.92408,1
 35.27300, 3.80000,      0.19062, 98.97097,50.00000,60.00000,3.421516e-09,0.92408,1
 35.38700, 3.86667,      0.20073, 99.00495,50.00000,60.00000,3.421516e-09,0.92408,1
 35.48300, 3.93333,      0.20978, 99.03656,50.00000,60.00000,3.412058e-09,0.92409,1
 35.61400, 4.00000,      0.21865, 99.08280,50.00000,60.00000,3.412058e-09,0.92409,1
 35.71500, 4.06667,      0.22841, 99.12667,50.00000,60.00000,3.418888e-09,0.92411,1
 35.83800, 4.13333,      0.24136, 99.12667,50.00000,60.00000,3.418888e-09,0.92411,1
 35.96600, 4.20000,      0.25218, 99.15570,50.00000,60.00000,3.415873e-09,0.92412,1
 36.08500, 4.26667,      0.26317, 99.18753,50.00000,60.00000,3.415873e-09,0.92412,1
 36.22800, 4.33333,      0.27364, 99.23118,50.00000,60.00000,3.415873e-09,0.92412,1
 36.35500, 4.40000,      0.28676, 99.24581,50.00000,60.00000,3.413474e-09,0.92412,1
 36.49400, 4.46667,      0.29829, 99.25312,50.00000,60.00000,3.413474e-09,0.92412,1
 36.63400, 4.53333,      0.31000, 99.27742,50.00000,60.00000,3.419937e-09,0.92414,1
 36.79000, 4.60000,      0.32152, 99.30667,50.00000,60.00000,3.419937e-09,0.92414,1
 36.91800, 4.66667,      0.33305, 99.33591,50.00000,60.00000,3.419937e-09,0.92414,1
 37.09100, 4.73333,      0.34617, 99.36495,50.00000,60.00000,3.417013e-09,0.92415,1
 37.24100, 4.80000,      0.35858, 99.39419,50.00000,60.00000,3.417013e-09,0.92415,1
 37.40500, 4.86667,      0.37117, 99.42581,50.00000,60.00000,3.412704e-09,0.92415,1
 37.57900, 4.93333,      0.38465, 99.45742,50.00000,60.00000,3.412704e-09,0.92415,1
 37.74700, 5.00000,      0.39936, 99.46473,50.00000,60.00000,3.412704e-09,0.92415,1
 37.92800, 5.06667,      0.41124, 99.51591,50.00000,60.00000,3.415987e-09,0.92416,1
 38.12400, 5.13333,      0.42453, 99.51591,50.00000,60.00000,3.415987e-09,0.92416,1
 38.28900, 5.20000,      0.43605, 99.51591,50.00000,60.00000,3.420065e-09,0.92417,1
 38.47100, 5.26667,      0.44935, 99.55484,50.00000,60.00000,3.420065e-09,0.92417,1
 38.67700, 5.33333,      0.46335, 99.57677,50.00000,60.00000,3.420065e-09,0.92417,1
 38.83900, 5.40000,      0.47505, 99.60581,50.00000,60.00000,3.415644e-09,0.92418,1
 39.06000, 5.46667,      0.48869, 99.57677,50.00000,60.00000,3.415644e-09,0.92418,1
 39.26200, 5.53333,      0.50287, 99.57677,50.00000,60.00000,3.420323e-09,0.92419,1
 39.46900, 5.60000,      0.51474, 99.60581,50.00000,60.00000,3.420323e-09,0.92419,1
 39.67900, 5.66667,      0.52838, 99.66925,50.00000,60.00000,3.420323e-09,0.92419,1
 39.90300, 5.73333,      0.54043, 99.69828,50.00000,60.00000,3.416833e-09,0.92420,1
 40.11700, 5.80000,      0.55407, 99.72753,50.00000,60.00000,3.416833e-09,0.92420,1
 40.33300, 5.86667,      0.56877, 99.79333,50.00000,60.00000,3.425149e-09,0.92421,1
 40.57000, 5.93333,      0.58028, 99.84667,50.00000,60.00000,3.425149e-09,0.92421,1
 40.79300, 6.00000,      0.59410, 99.85398,50.00000,60.00000,3.425149e-09,0.92421,1
 41.02300, 6.06667,      0.60596, 99.86129,50.00000,60.00000,3.414617e-09,0.92422,1
 41.26600, 6.13333,      0.61960, 99.91978,50.00000,60.00000,3.414617e-09,0.92422,1
 41.51000, 6.20000,      0.63359, 99.98301,50.00000,60.00000,3.418604e-09,0.92423,1
 41.74500, 6.26667,      0.64528, 99.98301,50.00000,60.00000,3.418604e-09,0.92423,1
 42.00600, 6.33333,      0.66104,100.03419,50.00000,60.00000,3.418604e-09,0.92423,1
 42.26500, 6.40000,      0.67201,100.07054,50.00000,60.00000,3.421276e-09,0.92423,1
 42.52000, 6.46667,      0.68440,100.13634,50.00000,60.00000,3.421276e-09,0.92423,1
 42.77600, 6.53333,      0.69839,100.16559,50.00000,60.00000,3.417654e-09,0.92424,1
 43.04400, 6.60000,      0.71078,100.21892,50.00000,60.00000,3.417654e-09,0.92424,1
 43.29400, 6.66667,      0.72441,100.24817,50.00000,60.00000,3.417654e-09,0.92424,1
 43.57700, 6.73333,      0.73680,100.28968,50.00000,60.00000,3.414680e-09,0.92425,1
 43.85200, 6.80000,      0.75008,100.34796,50.00000,60.00000,3.414680e-09,0.92425,1
 44.13200, 6.86667,      0.76264,100.38194,50.00000,60.00000,3.424477e-09,0.92426,1
 44.40200, 6.93333,      0.77556,100.44043,50.00000,60.00000,3.424477e-09,0.92426,1
 44.69800, 7.00000,      0.78760,100.46968,50.00000,60.00000,3.424477e-09,0.92426,1
 44.99300, 7.06667,      0.80193,100.49871,50.00000,60.00000,3.410384e-09,0.92427,1
 45.29100, 7.13333,      0.81325,100.52796,50.00000,60.00000,3.410384e-09,0.92427,1
 45.58000, 7.20000,      0.82582,100.52796,50.00000,60.00000,3.410384e-09,0.92427,1
