#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_1K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS_Tosoh_F1                             
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,11/19/2025 11:22:13 AM (UTC-5)          
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS_Tosoh_F1                             
#SAMPLE MASS /mg:            ,4.5                                     
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                 
#SEG. 4:                     ,200›C/1.0(K/min)/600›C                  
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.85300,  0.00000,      0.83381,    100.00000,50.00000,62.00000,            ,0.92334,1
 29.06800,  0.06667,      0.79871,     99.78133,50.00000,62.00000,3.295836e-09,0.92334,1
 29.24800,  0.13333,      0.76581,     99.78133,50.00000,62.00000,3.303379e-09,0.92338,1
 29.45500,  0.20000,      0.73200,     99.67578,50.00000,62.00000,3.303379e-09,0.92338,1
 29.67000,  0.26667,      0.70278,     99.62800,50.00000,62.00000,3.303379e-09,0.92338,1
 29.84000,  0.33333,      0.67173,     99.57778,50.00000,62.00000,3.296508e-09,0.92341,1
 30.01400,  0.40000,      0.64361,     99.53489,50.00000,62.00000,3.296508e-09,0.92341,1
 30.19100,  0.46667,      0.61881,     99.50467,50.00000,61.00000,3.304210e-09,0.92345,1
 30.36600,  0.53333,      0.59566,     99.48978,50.00000,61.00000,3.304210e-09,0.92345,1
 30.54000,  0.60000,      0.57196,     99.43933,50.00000,61.00000,3.305547e-09,0.92349,1
 30.69700,  0.66667,      0.55065,     99.40933,50.00000,61.00000,3.305547e-09,0.92349,1
 30.86500,  0.73333,      0.53228,     99.37911,50.00000,61.00000,3.305547e-09,0.92349,1
 31.02000,  0.80000,      0.51464,     99.37911,50.00000,60.00000,3.305547e-09,0.92349,1
 31.15100,  0.86667,      0.49609,     99.34889,50.00000,60.00000,3.309667e-09,0.92352,1
 31.31500,  0.93333,      0.47809,     99.31867,50.00000,60.00000,3.309667e-09,0.92352,1
 31.45200,  1.00000,      0.46120,     98.26289,50.00000,60.00000,3.309667e-09,0.92352,1
 31.58300,  1.06667,      0.44724,     90.93422,50.00000,60.00000,3.309667e-09,0.92352,1
 31.73500,  1.13333,      0.43401,     89.77778,50.00000,60.00000,3.307052e-09,0.92356,1
 31.84900,  1.20000,      0.41877,     89.27756,50.00000,60.00000,3.307052e-09,0.92356,1
 31.97600,  1.26667,      0.40390,     89.13422,50.00000,60.00000,3.301856e-09,0.92359,1
