#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_2K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS_Tosoh_F1                             
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,TIC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,11/18/2025 2:37:36 PM (UTC-5)           
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS_Tosoh_F1                             
#SAMPLE MASS /mg:            ,4.27                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
                             ,                                        

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.70400,  0.01344,6.268793e-11,8.206308e-10,2.403164e-11,7.520586e-11,5.343437e-12,9.310722e-12,5.240440e-12,5.631447e-12,6.087303e-12,6.348610e-12,7.349968e-12,9.741783e-12,2.723598e-11,6.511703e-10,2.196026e-11,3.398043e-11,5.663210e-11,1.275349e-09,7.302284e-12,6.854057e-12,2.427101e-12,2.488136e-12,2.400398e-12,2.665520e-12,3.958702e-12,4.821116e-11,2.358437e-12,4.118919e-12,2.173424e-12,1.249981e-11,2.070427e-12,1.957893e-12,1.872063e-12,2.093315e-12,1.843452e-12,1.858711e-12,1.816750e-12,1.801491e-12,1.784325e-12,1.822472e-12,1.788139e-12,1.795769e-12,1.715660e-12,1.725197e-12,1.696587e-12,1.696587e-12,1.715660e-12,1.690864e-12,1.648903e-12,1.698494e-12,1.639366e-12,1.660347e-12,1.622200e-12,1.645088e-12,1.646995e-12,1.648903e-12,1.646995e-12,1.624107e-12,1.641273e-12,1.547813e-12,1.620293e-12,1.587868e-12,1.629829e-12,1.597404e-12,1.620293e-12,1.570702e-12,1.612663e-12,1.584053e-12,1.601219e-12,1.618385e-12,1.568794e-12,1.576424e-12,1.551628e-12,1.570702e-12,1.528740e-12,1.538277e-12,1.566887e-12,1.530647e-12,1.509666e-12,1.450539e-12,1.563072e-12,1.553535e-12,1.498222e-12,1.486778e-12,1.538277e-12,1.530647e-12,1.502037e-12,1.530647e-12,1.542091e-12,1.500130e-12,1.553535e-12,1.528740e-12,1.454353e-12,1.475334e-12,1.502037e-12,1.452446e-12,1.484871e-12,1.494408e-12,1.461983e-12,1.471519e-12,1.452446e-12,1.498222e-12,1.444817e-12,1.448631e-12,1.479149e-12,1.446724e-12,1.465797e-12,1.406670e-12,1.421928e-12,1.397133e-12,1.397133e-12,1.379967e-12,1.427650e-12,1.372337e-12,1.393318e-12,1.437187e-12,1.379967e-12,1.378059e-12,1.391411e-12,1.402855e-12,1.383781e-12,1.364708e-12,1.357079e-12,1.429558e-12,1.357079e-12,1.366615e-12,1.416206e-12,1.334190e-12,1.339912e-12,1.379967e-12,1.355171e-12,1.339912e-12,1.358986e-12,1.351356e-12,1.370430e-12,1.328468e-12
 28.80300,  0.17886,6.340509e-11,8.263395e-10,2.422619e-11,7.539087e-11,5.257606e-12,9.507179e-12,5.251884e-12,5.602836e-12,6.041527e-12,6.474495e-12,7.403374e-12,9.810448e-12,2.731991e-11,6.583668e-10,2.192020e-11,3.401285e-11,5.717569e-11,1.277447e-09,7.306098e-12,6.928443e-12,2.406120e-12,2.486229e-12,2.343178e-12,2.621651e-12,3.991127e-12,4.850298e-11,2.287865e-12,4.099846e-12,2.181053e-12,1.237392e-11,2.137184e-12,1.915932e-12,1.912117e-12,2.140999e-12,1.839638e-12,1.770973e-12,1.790047e-12,1.755714e-12,1.795769e-12,1.812935e-12,1.759529e-12,1.763344e-12,1.770973e-12,1.742363e-12,1.687050e-12,1.688957e-12,1.702309e-12,1.734734e-12,1.725197e-12,1.677513e-12,1.660347e-12,1.664162e-12,1.650810e-12,1.660347e-12,1.631737e-12,1.601219e-12,1.629829e-12,1.650810e-12,1.597404e-12,1.589775e-12,1.584053e-12,1.629829e-12,1.605034e-12,1.555443e-12,1.608849e-12,1.606941e-12,1.591682e-12,1.612663e-12,1.528740e-12,1.582146e-12,1.563072e-12,1.553535e-12,1.576424e-12,1.563072e-12,1.549721e-12,1.545906e-12,1.526833e-12,1.584053e-12,1.555443e-12,1.505852e-12,1.511574e-12,1.507759e-12,1.507759e-12,1.492500e-12,1.540184e-12,1.532555e-12,1.482963e-12,1.521110e-12,1.547813e-12,1.503944e-12,1.519203e-12,1.481056e-12,1.519203e-12,1.492500e-12,1.471519e-12,1.486778e-12,1.481056e-12,1.439095e-12,1.465797e-12,1.494408e-12,1.456261e-12,1.431465e-12,1.460075e-12,1.452446e-12,1.450539e-12,1.425743e-12,1.421928e-12,1.465797e-12,1.482963e-12,1.444817e-12,1.414299e-12,1.383781e-12,1.391411e-12,1.374245e-12,1.484871e-12,1.391411e-12,1.421928e-12,1.378059e-12,1.381874e-12,1.379967e-12,1.400948e-12,1.334190e-12,1.349449e-12,1.412392e-12,1.412392e-12,1.427650e-12,1.393318e-12,1.378059e-12,1.385689e-12,1.357079e-12,1.336098e-12,1.353264e-12,1.349449e-12,1.338005e-12,1.339912e-12,1.372337e-12
 30.16800,  0.34773,6.428438e-11,8.262785e-10,2.399540e-11,7.572085e-11,5.269050e-12,9.318352e-12,5.171776e-12,5.513191e-12,6.085396e-12,6.314278e-12,7.353783e-12,9.865760e-12,2.738285e-11,6.602951e-10,2.191448e-11,3.413302e-11,5.809694e-11,1.278973e-09,7.258415e-12,6.836891e-12,2.415657e-12,2.461433e-12,2.375603e-12,2.688408e-12,3.966331e-12,4.825502e-11,2.352714e-12,4.151344e-12,2.146721e-12,1.229763e-11,2.018928e-12,1.961708e-12,1.883507e-12,2.120018e-12,1.868248e-12,1.818657e-12,1.790047e-12,1.866341e-12,1.790047e-12,1.826286e-12,1.748085e-12,1.759529e-12,1.711845e-12,1.763344e-12,1.721382e-12,1.729011e-12,1.732826e-12,1.662254e-12,1.677513e-12,1.696587e-12,1.627922e-12,1.673698e-12,1.669884e-12,1.616478e-12,1.637459e-12,1.631737e-12,1.601219e-12,1.614571e-12,1.612663e-12,1.629829e-12,1.616478e-12,1.614571e-12,1.576424e-12,1.622200e-12,1.597404e-12,1.564979e-12,1.545906e-12,1.572609e-12,1.547813e-12,1.568794e-12,1.570702e-12,1.561165e-12,1.542091e-12,1.513481e-12,1.564979e-12,1.507759e-12,1.553535e-12,1.538277e-12,1.564979e-12,1.500130e-12,1.538277e-12,1.603126e-12,1.534462e-12,1.534462e-12,1.538277e-12,1.481056e-12,1.513481e-12,1.473427e-12,1.500130e-12,1.530647e-12,1.576424e-12,1.482963e-12,1.503944e-12,1.482963e-12,1.502037e-12,1.435280e-12,1.452446e-12,1.427650e-12,1.475334e-12,1.467705e-12,1.469612e-12,1.481056e-12,1.454353e-12,1.452446e-12,1.482963e-12,1.395226e-12,1.427650e-12,1.467705e-12,1.465797e-12,1.437187e-12,1.439095e-12,1.420021e-12,1.425743e-12,1.448631e-12,1.387596e-12,1.414299e-12,1.406670e-12,1.425743e-12,1.347542e-12,1.406670e-12,1.383781e-12,1.385689e-12,1.326561e-12,1.385689e-12,1.360893e-12,1.381874e-12,1.347542e-12,1.338005e-12,1.387596e-12,1.374245e-12,1.372337e-12,1.357079e-12,1.328468e-12,1.357079e-12,1.368523e-12,1.330376e-12
 30.95700,  0.51672,6.361681e-11,8.285291e-10,2.393436e-11,7.582002e-11,5.345344e-12,9.404182e-12,5.187034e-12,5.635261e-12,6.037712e-12,6.285667e-12,7.327080e-12,9.835243e-12,2.758694e-11,6.611973e-10,2.194881e-11,3.396708e-11,5.744082e-11,1.279163e-09,7.267952e-12,6.915092e-12,2.406120e-12,2.505302e-12,2.396584e-12,2.678871e-12,3.928185e-12,4.865557e-11,2.322197e-12,4.151344e-12,2.182960e-12,1.222706e-11,2.091408e-12,1.935005e-12,1.843452e-12,2.097130e-12,1.811027e-12,1.765251e-12,1.791954e-12,1.814842e-12,1.782417e-12,1.769066e-12,1.727104e-12,1.803398e-12,1.734734e-12,1.753807e-12,1.679420e-12,1.751900e-12,1.673698e-12,1.679420e-12,1.727104e-12,1.681328e-12,1.708031e-12,1.669884e-12,1.608849e-12,1.690864e-12,1.639366e-12,1.658440e-12,1.641273e-12,1.608849e-12,1.606941e-12,1.603126e-12,1.570702e-12,1.650810e-12,1.612663e-12,1.566887e-12,1.612663e-12,1.572609e-12,1.605034e-12,1.585960e-12,1.620293e-12,1.597404e-12,1.576424e-12,1.587868e-12,1.599312e-12,1.563072e-12,1.534462e-12,1.542091e-12,1.540184e-12,1.589775e-12,1.589775e-12,1.513481e-12,1.551628e-12,1.526833e-12,1.503944e-12,1.551628e-12,1.511574e-12,1.479149e-12,1.513481e-12,1.521110e-12,1.517296e-12,1.488686e-12,1.515388e-12,1.479149e-12,1.543999e-12,1.503944e-12,1.446724e-12,1.420021e-12,1.519203e-12,1.467705e-12,1.503944e-12,1.484871e-12,1.461983e-12,1.442909e-12,1.471519e-12,1.479149e-12,1.465797e-12,1.477242e-12,1.427650e-12,1.395226e-12,1.404762e-12,1.431465e-12,1.383781e-12,1.429558e-12,1.416206e-12,1.397133e-12,1.431465e-12,1.423836e-12,1.416206e-12,1.376152e-12,1.395226e-12,1.402855e-12,1.381874e-12,1.410484e-12,1.393318e-12,1.387596e-12,1.364708e-12,1.400948e-12,1.366615e-12,1.378059e-12,1.400948e-12,1.347542e-12,1.317024e-12,1.393318e-12,1.353264e-12,1.370430e-12,1.299858e-12,1.349449e-12
 31.94900,  0.68717,6.399828e-11,8.301141e-10,2.405071e-11,7.561022e-11,5.330086e-12,9.364128e-12,5.255699e-12,5.610466e-12,6.031990e-12,6.352424e-12,7.399558e-12,9.911537e-12,2.744579e-11,6.590420e-10,2.201557e-11,3.400522e-11,5.763918e-11,1.276684e-09,7.349968e-12,6.808281e-12,2.394676e-12,2.478600e-12,2.350807e-12,2.652168e-12,3.993034e-12,4.846102e-11,2.360344e-12,4.117012e-12,2.160072e-12,1.204014e-11,2.043724e-12,1.912117e-12,1.894951e-12,2.150536e-12,1.862526e-12,1.830101e-12,1.799583e-12,1.803398e-12,1.770973e-12,1.767158e-12,1.765251e-12,1.759529e-12,1.738548e-12,1.723289e-12,1.690864e-12,1.677513e-12,1.719475e-12,1.677513e-12,1.685142e-12,1.658440e-12,1.690864e-12,1.643181e-12,1.635551e-12,1.688957e-12,1.635551e-12,1.631737e-12,1.643181e-12,1.624107e-12,1.633644e-12,1.597404e-12,1.652718e-12,1.589775e-12,1.601219e-12,1.568794e-12,1.639366e-12,1.595497e-12,1.557350e-12,1.608849e-12,1.576424e-12,1.570702e-12,1.564979e-12,1.547813e-12,1.542091e-12,1.603126e-12,1.515388e-12,1.553535e-12,1.540184e-12,1.555443e-12,1.521110e-12,1.517296e-12,1.513481e-12,1.500130e-12,1.498222e-12,1.509666e-12,1.536369e-12,1.515388e-12,1.482963e-12,1.530647e-12,1.494408e-12,1.519203e-12,1.471519e-12,1.532555e-12,1.461983e-12,1.471519e-12,1.435280e-12,1.479149e-12,1.475334e-12,1.488686e-12,1.461983e-12,1.515388e-12,1.479149e-12,1.496315e-12,1.446724e-12,1.450539e-12,1.402855e-12,1.425743e-12,1.427650e-12,1.416206e-12,1.450539e-12,1.393318e-12,1.435280e-12,1.381874e-12,1.408577e-12,1.402855e-12,1.383781e-12,1.418114e-12,1.431465e-12,1.400948e-12,1.385689e-12,1.378059e-12,1.418114e-12,1.399040e-12,1.421928e-12,1.408577e-12,1.343727e-12,1.393318e-12,1.353264e-12,1.410484e-12,1.383781e-12,1.355171e-12,1.362801e-12,1.360893e-12,1.341820e-12,1.341820e-12,1.358986e-12,1.318932e-12
 32.55600,  0.85740,6.373316e-11,8.291186e-10,2.402782e-11,7.587343e-11,5.261421e-12,9.398460e-12,5.215645e-12,5.633354e-12,6.091118e-12,6.312370e-12,7.491112e-12,9.913444e-12,2.749538e-11,6.612373e-10,2.190304e-11,3.435808e-11,5.737406e-11,1.278210e-09,7.321358e-12,6.825447e-12,2.404213e-12,2.463341e-12,2.314568e-12,2.638817e-12,3.987312e-12,4.862124e-11,2.291679e-12,4.021645e-12,2.160072e-12,1.200199e-11,2.049446e-12,1.957893e-12,1.906395e-12,2.095222e-12,1.812935e-12,1.807213e-12,1.822472e-12,1.780510e-12,1.791954e-12,1.811027e-12,1.791954e-12,1.736641e-12,1.732826e-12,1.717567e-12,1.696587e-12,1.734734e-12,1.692772e-12,1.690864e-12,1.667976e-12,1.648903e-12,1.679420e-12,1.677513e-12,1.627922e-12,1.629829e-12,1.639366e-12,1.629829e-12,1.624107e-12,1.584053e-12,1.662254e-12,1.608849e-12,1.601219e-12,1.624107e-12,1.585960e-12,1.666069e-12,1.572609e-12,1.532555e-12,1.570702e-12,1.532555e-12,1.595497e-12,1.564979e-12,1.557350e-12,1.603126e-12,1.572609e-12,1.532555e-12,1.538277e-12,1.534462e-12,1.563072e-12,1.540184e-12,1.534462e-12,1.515388e-12,1.549721e-12,1.524925e-12,1.528740e-12,1.543999e-12,1.542091e-12,1.553535e-12,1.490593e-12,1.500130e-12,1.509666e-12,1.469612e-12,1.496315e-12,1.557350e-12,1.467705e-12,1.467705e-12,1.492500e-12,1.511574e-12,1.482963e-12,1.507759e-12,1.461983e-12,1.446724e-12,1.477242e-12,1.481056e-12,1.482963e-12,1.448631e-12,1.452446e-12,1.442909e-12,1.437187e-12,1.441002e-12,1.404762e-12,1.446724e-12,1.437187e-12,1.408577e-12,1.378059e-12,1.423836e-12,1.416206e-12,1.383781e-12,1.404762e-12,1.408577e-12,1.379967e-12,1.364708e-12,1.421928e-12,1.452446e-12,1.412392e-12,1.397133e-12,1.387596e-12,1.376152e-12,1.397133e-12,1.385689e-12,1.381874e-12,1.379967e-12,1.379967e-12,1.358986e-12,1.353264e-12,1.301765e-12,1.374245e-12,1.387596e-12
 33.35100,  1.02053,6.388956e-11,8.304365e-10,2.427387e-11,7.590395e-11,5.299568e-12,9.373664e-12,5.187034e-12,5.555153e-12,5.988121e-12,6.342888e-12,7.397651e-12,9.961128e-12,2.765560e-11,6.616321e-10,2.191830e-11,3.437907e-11,5.763537e-11,1.278400e-09,7.208824e-12,6.781578e-12,2.400398e-12,2.459526e-12,2.392769e-12,2.636909e-12,3.947258e-12,4.860407e-11,2.337456e-12,3.994942e-12,2.158165e-12,1.197910e-11,2.095222e-12,1.982689e-12,1.864433e-12,2.221107e-12,1.807213e-12,1.856804e-12,1.868248e-12,1.797676e-12,1.746178e-12,1.805305e-12,1.748085e-12,1.727104e-12,1.738548e-12,1.690864e-12,1.704216e-12,1.723289e-12,1.683235e-12,1.681328e-12,1.713753e-12,1.681328e-12,1.633644e-12,1.673698e-12,1.650810e-12,1.650810e-12,1.641273e-12,1.622200e-12,1.645088e-12,1.618385e-12,1.595497e-12,1.595497e-12,1.599312e-12,1.549721e-12,1.612663e-12,1.589775e-12,1.622200e-12,1.526833e-12,1.612663e-12,1.564979e-12,1.564979e-12,1.585960e-12,1.597404e-12,1.574516e-12,1.519203e-12,1.551628e-12,1.603126e-12,1.557350e-12,1.509666e-12,1.545906e-12,1.498222e-12,1.563072e-12,1.557350e-12,1.524925e-12,1.538277e-12,1.515388e-12,1.542091e-12,1.511574e-12,1.532555e-12,1.492500e-12,1.482963e-12,1.496315e-12,1.492500e-12,1.450539e-12,1.502037e-12,1.473427e-12,1.534462e-12,1.492500e-12,1.502037e-12,1.460075e-12,1.481056e-12,1.484871e-12,1.444817e-12,1.444817e-12,1.526833e-12,1.448631e-12,1.467705e-12,1.484871e-12,1.435280e-12,1.448631e-12,1.431465e-12,1.469612e-12,1.372337e-12,1.418114e-12,1.391411e-12,1.399040e-12,1.414299e-12,1.437187e-12,1.366615e-12,1.402855e-12,1.404762e-12,1.374245e-12,1.378059e-12,1.399040e-12,1.389503e-12,1.368523e-12,1.402855e-12,1.374245e-12,1.399040e-12,1.362801e-12,1.341820e-12,1.336098e-12,1.370430e-12,1.366615e-12,1.362801e-12,1.358986e-12,1.387596e-12,1.358986e-12
 33.84800,  1.18364,6.425387e-11,8.315237e-10,2.394199e-11,7.589442e-11,5.322456e-12,9.373664e-12,5.236625e-12,5.648613e-12,6.030083e-12,6.337166e-12,7.344246e-12,9.800911e-12,2.753735e-11,6.632077e-10,2.186489e-11,3.428751e-11,5.802256e-11,1.277256e-09,7.271767e-12,6.775856e-12,2.470970e-12,2.509117e-12,2.392769e-12,2.720833e-12,4.002571e-12,4.889589e-11,2.284050e-12,4.120827e-12,2.129555e-12,1.182461e-11,2.066612e-12,1.975059e-12,1.877785e-12,2.118111e-12,1.822472e-12,1.837730e-12,1.767158e-12,1.852989e-12,1.832008e-12,1.759529e-12,1.744270e-12,1.746178e-12,1.816750e-12,1.730919e-12,1.729011e-12,1.688957e-12,1.685142e-12,1.673698e-12,1.664162e-12,1.679420e-12,1.656532e-12,1.700401e-12,1.673698e-12,1.679420e-12,1.633644e-12,1.633644e-12,1.620293e-12,1.610756e-12,1.605034e-12,1.646995e-12,1.629829e-12,1.629829e-12,1.606941e-12,1.587868e-12,1.566887e-12,1.568794e-12,1.547813e-12,1.570702e-12,1.599312e-12,1.559257e-12,1.555443e-12,1.559257e-12,1.564979e-12,1.580238e-12,1.572609e-12,1.566887e-12,1.572609e-12,1.519203e-12,1.498222e-12,1.561165e-12,1.530647e-12,1.515388e-12,1.492500e-12,1.532555e-12,1.591682e-12,1.523018e-12,1.507759e-12,1.507759e-12,1.461983e-12,1.530647e-12,1.492500e-12,1.477242e-12,1.515388e-12,1.486778e-12,1.454353e-12,1.442909e-12,1.498222e-12,1.427650e-12,1.467705e-12,1.460075e-12,1.452446e-12,1.429558e-12,1.427650e-12,1.461983e-12,1.425743e-12,1.454353e-12,1.458168e-12,1.412392e-12,1.410484e-12,1.463890e-12,1.366615e-12,1.402855e-12,1.376152e-12,1.420021e-12,1.431465e-12,1.414299e-12,1.400948e-12,1.412392e-12,1.347542e-12,1.385689e-12,1.355171e-12,1.391411e-12,1.423836e-12,1.349449e-12,1.400948e-12,1.389503e-12,1.351356e-12,1.362801e-12,1.393318e-12,1.351356e-12,1.322746e-12,1.372337e-12,1.358986e-12,1.347542e-12,1.320839e-12,1.360893e-12
 34.52000,  1.34588,6.385142e-11,8.324869e-10,2.403736e-11,7.601267e-11,5.286217e-12,9.427070e-12,5.187034e-12,5.627632e-12,6.077766e-12,6.335258e-12,7.308006e-12,9.921074e-12,2.765369e-11,6.631466e-10,2.199840e-11,3.416162e-11,5.762964e-11,1.276302e-09,7.225990e-12,6.861687e-12,2.346992e-12,2.499580e-12,2.377510e-12,2.676964e-12,3.977776e-12,4.863459e-11,2.293587e-12,4.130363e-12,2.207756e-12,1.177692e-11,2.091408e-12,1.868248e-12,1.946449e-12,2.120018e-12,1.843452e-12,1.864433e-12,1.776695e-12,1.814842e-12,1.812935e-12,1.780510e-12,1.759529e-12,1.778603e-12,1.715660e-12,1.702309e-12,1.681328e-12,1.671791e-12,1.746178e-12,1.717567e-12,1.662254e-12,1.629829e-12,1.645088e-12,1.677513e-12,1.666069e-12,1.626015e-12,1.618385e-12,1.629829e-12,1.606941e-12,1.654625e-12,1.646995e-12,1.614571e-12,1.595497e-12,1.626015e-12,1.605034e-12,1.629829e-12,1.542091e-12,1.616478e-12,1.557350e-12,1.599312e-12,1.666069e-12,1.584053e-12,1.601219e-12,1.580238e-12,1.553535e-12,1.532555e-12,1.551628e-12,1.515388e-12,1.587868e-12,1.545906e-12,1.521110e-12,1.570702e-12,1.511574e-12,1.515388e-12,1.561165e-12,1.534462e-12,1.524925e-12,1.551628e-12,1.523018e-12,1.486778e-12,1.503944e-12,1.538277e-12,1.465797e-12,1.503944e-12,1.475334e-12,1.454353e-12,1.502037e-12,1.458168e-12,1.475334e-12,1.469612e-12,1.441002e-12,1.465797e-12,1.421928e-12,1.467705e-12,1.456261e-12,1.442909e-12,1.469612e-12,1.412392e-12,1.437187e-12,1.427650e-12,1.406670e-12,1.456261e-12,1.467705e-12,1.418114e-12,1.366615e-12,1.446724e-12,1.379967e-12,1.469612e-12,1.399040e-12,1.416206e-12,1.364708e-12,1.374245e-12,1.400948e-12,1.362801e-12,1.341820e-12,1.389503e-12,1.378059e-12,1.318932e-12,1.343727e-12,1.322746e-12,1.383781e-12,1.389503e-12,1.353264e-12,1.378059e-12,1.368523e-12,1.338005e-12,1.387596e-12,1.303673e-12
 34.92000,  1.50799,6.402117e-11,8.336237e-10,2.410412e-11,7.628351e-11,5.343437e-12,9.419441e-12,5.225181e-12,5.579948e-12,6.094932e-12,6.361961e-12,7.355690e-12,9.762764e-12,2.787495e-11,6.621185e-10,2.205181e-11,3.410059e-11,5.794817e-11,1.281261e-09,7.222176e-12,6.896019e-12,2.381325e-12,2.459526e-12,2.356529e-12,2.730370e-12,3.987312e-12,4.862696e-11,2.293587e-12,4.097939e-12,2.160072e-12,1.181698e-11,1.984596e-12,1.923561e-12,1.891136e-12,2.072334e-12,1.862526e-12,1.847267e-12,1.801491e-12,1.753807e-12,1.780510e-12,1.803398e-12,1.700401e-12,1.746178e-12,1.690864e-12,1.744270e-12,1.734734e-12,1.700401e-12,1.698494e-12,1.698494e-12,1.715660e-12,1.662254e-12,1.658440e-12,1.667976e-12,1.675606e-12,1.677513e-12,1.629829e-12,1.677513e-12,1.622200e-12,1.656532e-12,1.635551e-12,1.605034e-12,1.606941e-12,1.593590e-12,1.620293e-12,1.626015e-12,1.568794e-12,1.618385e-12,1.589775e-12,1.566887e-12,1.599312e-12,1.578331e-12,1.543999e-12,1.526833e-12,1.584053e-12,1.519203e-12,1.585960e-12,1.530647e-12,1.549721e-12,1.538277e-12,1.555443e-12,1.496315e-12,1.547813e-12,1.555443e-12,1.540184e-12,1.534462e-12,1.528740e-12,1.521110e-12,1.507759e-12,1.545906e-12,1.513481e-12,1.500130e-12,1.517296e-12,1.507759e-12,1.521110e-12,1.456261e-12,1.477242e-12,1.460075e-12,1.498222e-12,1.469612e-12,1.477242e-12,1.427650e-12,1.452446e-12,1.456261e-12,1.441002e-12,1.425743e-12,1.446724e-12,1.444817e-12,1.408577e-12,1.441002e-12,1.402855e-12,1.444817e-12,1.452446e-12,1.395226e-12,1.421928e-12,1.385689e-12,1.431465e-12,1.412392e-12,1.379967e-12,1.389503e-12,1.370430e-12,1.362801e-12,1.339912e-12,1.370430e-12,1.402855e-12,1.404762e-12,1.374245e-12,1.420021e-12,1.393318e-12,1.368523e-12,1.395226e-12,1.385689e-12,1.387596e-12,1.387596e-12,1.339912e-12,1.368523e-12,1.372337e-12,1.351356e-12
