#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_2K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS_Tosoh_F1                             
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,11/18/2025 2:37:36 PM (UTC-5)           
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS_Tosoh_F1                             
#SAMPLE MASS /mg:            ,4.27                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                 
#SEG. 4:                     ,200›C/2.0(K/min)/600›C                  
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 27.70400,  0.00000,      2.12061,    100.00000,50.00000,63.00000,            ,0.92311,1
 28.28200,  0.06667,      2.17802,     99.68735,50.00000,63.00000,3.365626e-09,0.92311,1
 28.80300,  0.13333,      2.20100,     99.43021,50.00000,63.00000,3.382804e-09,0.92323,1
 29.29100,  0.20000,      2.20252,     99.17845,50.00000,63.00000,3.382804e-09,0.92323,1
 29.74600,  0.26667,      2.18432,     98.93747,50.00000,63.00000,3.387375e-09,0.92333,1
 30.16800,  0.33333,      2.14989,     98.77307,50.00000,62.00000,3.387375e-09,0.92333,1
 30.57300,  0.40000,      2.11065,     98.57705,50.00000,62.00000,3.387375e-09,0.92333,1
 30.95700,  0.46667,      2.06232,     98.38642,50.00000,62.00000,3.390375e-09,0.92342,1
 31.29900,  0.53333,      2.01035,     98.26721,50.00000,62.00000,3.390375e-09,0.92342,1
 31.62000,  0.60000,      1.95240,     98.13724,50.00000,62.00000,3.390375e-09,0.92342,1
 31.94900,  0.66667,      1.89117,     98.00749,50.00000,62.00000,3.387086e-09,0.92351,1
 32.27200,  0.73333,      1.83150,     97.91475,50.00000,62.00000,3.387086e-09,0.92351,1
 32.55600,  0.80000,      1.76972,     97.77166,50.00000,62.00000,3.390121e-09,0.92358,1
 32.83800,  0.86667,      1.70852,     97.70796,50.00000,62.00000,3.390121e-09,0.92358,1
 33.11400,  0.93333,      1.65043,     97.60468,50.00000,62.00000,3.390121e-09,0.92358,1
 33.35100,  1.00000,      1.59062,     97.51475,50.00000,62.00000,3.392554e-09,0.92366,1
 33.60400,  1.06667,      1.53371,     97.47752,50.00000,61.00000,3.392554e-09,0.92366,1
 33.84800,  1.13333,      1.47662,     97.40609,50.00000,61.00000,3.394352e-09,0.92373,1
 34.07900,  1.20000,      1.42185,     97.27892,50.00000,61.00000,3.394352e-09,0.92373,1
 34.30200,  1.26667,      1.37134,     97.26300,50.00000,61.00000,3.393638e-09,0.92379,1
