#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS_Tosoh_F1                             
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,TIC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,11/18/2025 11:26:36 AM (UTC-5)          
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS_Tosoh_F1                             
#SAMPLE MASS /mg:            ,4.48                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
                             ,                                        

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 38.61500,  0.01332,6.262880e-11,8.185976e-10,2.483082e-11,7.893282e-11,5.240440e-12,9.299278e-12,5.236625e-12,5.539894e-12,6.014824e-12,6.360054e-12,7.386207e-12,9.852409e-12,2.727604e-11,6.470657e-10,2.227497e-11,3.378779e-11,5.624110e-11,1.261616e-09,7.180214e-12,6.844520e-12,2.463341e-12,2.459526e-12,2.423286e-12,2.650261e-12,3.914833e-12,4.770380e-11,2.352714e-12,4.065514e-12,2.171516e-12,1.210880e-11,2.072334e-12,1.950264e-12,1.904488e-12,2.194405e-12,1.799583e-12,1.841545e-12,1.784325e-12,1.778603e-12,1.784325e-12,1.761436e-12,1.717567e-12,1.723289e-12,1.723289e-12,1.694679e-12,1.717567e-12,1.679420e-12,1.698494e-12,1.683235e-12,1.675606e-12,1.685142e-12,1.683235e-12,1.654625e-12,1.648903e-12,1.673698e-12,1.631737e-12,1.639366e-12,1.626015e-12,1.660347e-12,1.679420e-12,1.645088e-12,1.585960e-12,1.677513e-12,1.597404e-12,1.595497e-12,1.599312e-12,1.553535e-12,1.614571e-12,1.540184e-12,1.568794e-12,1.566887e-12,1.606941e-12,1.563072e-12,1.566887e-12,1.563072e-12,1.561165e-12,1.542091e-12,1.454353e-12,1.538277e-12,1.521110e-12,1.509666e-12,1.538277e-12,1.555443e-12,1.564979e-12,1.528740e-12,1.511574e-12,1.532555e-12,1.494408e-12,1.521110e-12,1.477242e-12,1.511574e-12,1.524925e-12,1.511574e-12,1.461983e-12,1.467705e-12,1.446724e-12,1.433372e-12,1.479149e-12,1.486778e-12,1.444817e-12,1.448631e-12,1.456261e-12,1.391411e-12,1.481056e-12,1.437187e-12,1.448631e-12,1.423836e-12,1.435280e-12,1.420021e-12,1.379967e-12,1.431465e-12,1.444817e-12,1.463890e-12,1.423836e-12,1.456261e-12,1.421928e-12,1.374245e-12,1.397133e-12,1.408577e-12,1.402855e-12,1.408577e-12,1.391411e-12,1.383781e-12,1.387596e-12,1.364708e-12,1.355171e-12,1.349449e-12,1.360893e-12,1.343727e-12,1.385689e-12,1.358986e-12,1.381874e-12,1.305580e-12,1.351356e-12,1.357079e-12,1.332283e-12,1.357079e-12
 38.81600,  0.17791,6.385904e-11,8.245027e-10,2.491665e-11,7.975489e-11,5.404472e-12,9.345054e-12,5.248070e-12,5.633354e-12,6.083488e-12,6.310463e-12,7.491112e-12,9.755134e-12,2.718639e-11,6.521088e-10,2.234554e-11,3.389078e-11,5.733401e-11,1.268482e-09,7.348061e-12,6.861687e-12,2.423286e-12,2.469063e-12,2.366066e-12,2.688408e-12,3.977776e-12,4.780489e-11,2.360344e-12,4.103661e-12,2.211571e-12,1.205921e-11,2.057075e-12,1.955986e-12,1.889229e-12,2.106666e-12,1.807213e-12,1.856804e-12,1.790047e-12,1.858711e-12,1.742363e-12,1.805305e-12,1.749992e-12,1.746178e-12,1.688957e-12,1.694679e-12,1.688957e-12,1.719475e-12,1.729011e-12,1.698494e-12,1.650810e-12,1.688957e-12,1.704216e-12,1.666069e-12,1.662254e-12,1.616478e-12,1.671791e-12,1.658440e-12,1.612663e-12,1.608849e-12,1.629829e-12,1.595497e-12,1.566887e-12,1.603126e-12,1.593590e-12,1.627922e-12,1.624107e-12,1.574516e-12,1.574516e-12,1.584053e-12,1.528740e-12,1.587868e-12,1.593590e-12,1.557350e-12,1.587868e-12,1.555443e-12,1.521110e-12,1.513481e-12,1.524925e-12,1.526833e-12,1.503944e-12,1.587868e-12,1.555443e-12,1.494408e-12,1.511574e-12,1.509666e-12,1.540184e-12,1.482963e-12,1.509666e-12,1.498222e-12,1.524925e-12,1.526833e-12,1.484871e-12,1.458168e-12,1.511574e-12,1.509666e-12,1.481056e-12,1.469612e-12,1.484871e-12,1.456261e-12,1.479149e-12,1.460075e-12,1.437187e-12,1.467705e-12,1.471519e-12,1.458168e-12,1.486778e-12,1.412392e-12,1.418114e-12,1.450539e-12,1.429558e-12,1.458168e-12,1.414299e-12,1.420021e-12,1.458168e-12,1.420021e-12,1.381874e-12,1.399040e-12,1.379967e-12,1.397133e-12,1.421928e-12,1.410484e-12,1.414299e-12,1.343727e-12,1.378059e-12,1.414299e-12,1.393318e-12,1.389503e-12,1.378059e-12,1.374245e-12,1.374245e-12,1.330376e-12,1.338005e-12,1.358986e-12,1.349449e-12,1.351356e-12,1.315117e-12,1.397133e-12
 39.07600,  0.34004,6.361300e-11,8.251646e-10,2.498722e-11,7.965189e-11,5.389213e-12,9.411812e-12,5.215645e-12,5.503654e-12,6.083488e-12,6.371498e-12,7.281303e-12,9.783744e-12,2.721119e-11,6.489063e-10,2.222729e-11,3.412157e-11,5.739122e-11,1.264477e-09,7.225990e-12,6.791115e-12,2.411842e-12,2.503395e-12,2.364159e-12,2.743721e-12,3.989220e-12,4.804140e-11,2.337456e-12,4.057884e-12,2.114296e-12,1.207256e-11,2.060890e-12,1.936912e-12,1.900673e-12,2.114296e-12,1.883507e-12,1.832008e-12,1.784325e-12,1.841545e-12,1.791954e-12,1.757622e-12,1.736641e-12,1.763344e-12,1.734734e-12,1.709938e-12,1.744270e-12,1.738548e-12,1.709938e-12,1.648903e-12,1.721382e-12,1.696587e-12,1.719475e-12,1.627922e-12,1.626015e-12,1.643181e-12,1.658440e-12,1.654625e-12,1.624107e-12,1.597404e-12,1.605034e-12,1.660347e-12,1.595497e-12,1.624107e-12,1.585960e-12,1.591682e-12,1.603126e-12,1.618385e-12,1.601219e-12,1.557350e-12,1.551628e-12,1.595497e-12,1.605034e-12,1.595497e-12,1.534462e-12,1.557350e-12,1.536369e-12,1.524925e-12,1.543999e-12,1.542091e-12,1.593590e-12,1.578331e-12,1.538277e-12,1.540184e-12,1.519203e-12,1.532555e-12,1.498222e-12,1.530647e-12,1.496315e-12,1.524925e-12,1.452446e-12,1.521110e-12,1.503944e-12,1.551628e-12,1.475334e-12,1.523018e-12,1.465797e-12,1.437187e-12,1.498222e-12,1.490593e-12,1.400948e-12,1.463890e-12,1.498222e-12,1.414299e-12,1.467705e-12,1.463890e-12,1.448631e-12,1.452446e-12,1.391411e-12,1.387596e-12,1.441002e-12,1.399040e-12,1.397133e-12,1.439095e-12,1.381874e-12,1.381874e-12,1.402855e-12,1.408577e-12,1.389503e-12,1.358986e-12,1.456261e-12,1.372337e-12,1.402855e-12,1.324654e-12,1.336098e-12,1.349449e-12,1.395226e-12,1.357079e-12,1.412392e-12,1.338005e-12,1.418114e-12,1.406670e-12,1.358986e-12,1.334190e-12,1.372337e-12,1.353264e-12,1.427650e-12,1.360893e-12
 39.23400,  0.50305,6.390673e-11,8.255938e-10,2.490711e-11,7.999521e-11,5.293846e-12,9.381294e-12,5.242347e-12,5.667686e-12,6.051063e-12,6.331444e-12,7.317542e-12,9.716988e-12,2.732944e-11,6.499191e-10,2.222347e-11,3.386980e-11,5.683428e-11,1.270962e-09,7.290840e-12,6.804466e-12,2.408028e-12,2.518654e-12,2.444267e-12,2.690315e-12,3.962517e-12,4.843432e-11,2.324104e-12,4.071236e-12,2.211571e-12,1.205540e-11,2.020836e-12,1.883507e-12,1.856804e-12,2.127647e-12,1.797676e-12,1.873970e-12,1.816750e-12,1.788139e-12,1.793861e-12,1.809120e-12,1.755714e-12,1.738548e-12,1.719475e-12,1.742363e-12,1.742363e-12,1.681328e-12,1.734734e-12,1.694679e-12,1.711845e-12,1.658440e-12,1.713753e-12,1.681328e-12,1.662254e-12,1.646995e-12,1.673698e-12,1.635551e-12,1.606941e-12,1.599312e-12,1.585960e-12,1.635551e-12,1.597404e-12,1.595497e-12,1.652718e-12,1.612663e-12,1.574516e-12,1.582146e-12,1.643181e-12,1.534462e-12,1.570702e-12,1.568794e-12,1.593590e-12,1.543999e-12,1.528740e-12,1.555443e-12,1.532555e-12,1.507759e-12,1.543999e-12,1.553535e-12,1.555443e-12,1.555443e-12,1.534462e-12,1.517296e-12,1.494408e-12,1.482963e-12,1.563072e-12,1.482963e-12,1.532555e-12,1.450539e-12,1.477242e-12,1.505852e-12,1.536369e-12,1.492500e-12,1.505852e-12,1.475334e-12,1.553535e-12,1.461983e-12,1.425743e-12,1.456261e-12,1.496315e-12,1.479149e-12,1.450539e-12,1.450539e-12,1.435280e-12,1.450539e-12,1.439095e-12,1.441002e-12,1.420021e-12,1.423836e-12,1.439095e-12,1.420021e-12,1.435280e-12,1.465797e-12,1.395226e-12,1.385689e-12,1.379967e-12,1.408577e-12,1.408577e-12,1.393318e-12,1.360893e-12,1.400948e-12,1.372337e-12,1.395226e-12,1.355171e-12,1.357079e-12,1.387596e-12,1.399040e-12,1.353264e-12,1.383781e-12,1.385689e-12,1.376152e-12,1.381874e-12,1.364708e-12,1.362801e-12,1.324654e-12,1.338005e-12,1.301765e-12
 39.44700,  0.67218,6.399256e-11,8.234995e-10,2.495098e-11,7.974726e-11,5.270958e-12,9.297371e-12,5.309105e-12,5.585670e-12,6.058693e-12,6.318092e-12,7.296562e-12,9.879112e-12,2.719211e-11,6.527229e-10,2.236271e-11,3.395373e-11,5.638224e-11,1.266003e-09,7.283210e-12,6.888390e-12,2.429008e-12,2.490044e-12,2.341270e-12,2.707481e-12,3.846169e-12,4.833323e-11,2.270698e-12,4.158974e-12,2.200127e-12,1.187801e-11,2.089500e-12,1.921654e-12,1.936912e-12,2.142906e-12,1.873970e-12,1.774788e-12,1.835823e-12,1.809120e-12,1.791954e-12,1.744270e-12,1.746178e-12,1.763344e-12,1.757622e-12,1.708031e-12,1.719475e-12,1.702309e-12,1.694679e-12,1.715660e-12,1.677513e-12,1.685142e-12,1.629829e-12,1.685142e-12,1.624107e-12,1.658440e-12,1.694679e-12,1.650810e-12,1.656532e-12,1.616478e-12,1.624107e-12,1.593590e-12,1.622200e-12,1.610756e-12,1.566887e-12,1.585960e-12,1.582146e-12,1.559257e-12,1.662254e-12,1.568794e-12,1.580238e-12,1.545906e-12,1.547813e-12,1.576424e-12,1.557350e-12,1.549721e-12,1.509666e-12,1.503944e-12,1.572609e-12,1.572609e-12,1.566887e-12,1.490593e-12,1.551628e-12,1.542091e-12,1.530647e-12,1.523018e-12,1.534462e-12,1.481056e-12,1.475334e-12,1.481056e-12,1.507759e-12,1.492500e-12,1.503944e-12,1.471519e-12,1.490593e-12,1.498222e-12,1.540184e-12,1.461983e-12,1.448631e-12,1.475334e-12,1.503944e-12,1.477242e-12,1.492500e-12,1.479149e-12,1.429558e-12,1.469612e-12,1.389503e-12,1.433372e-12,1.421928e-12,1.471519e-12,1.467705e-12,1.427650e-12,1.433372e-12,1.423836e-12,1.402855e-12,1.395226e-12,1.395226e-12,1.406670e-12,1.383781e-12,1.374245e-12,1.387596e-12,1.366615e-12,1.357079e-12,1.376152e-12,1.378059e-12,1.383781e-12,1.345634e-12,1.326561e-12,1.383781e-12,1.378059e-12,1.351356e-12,1.358986e-12,1.391411e-12,1.360893e-12,1.391411e-12,1.383781e-12,1.353264e-12,1.372337e-12
 39.57800,  0.83421,6.332498e-11,8.267782e-10,2.490330e-11,7.970530e-11,5.352974e-12,9.341240e-12,5.246162e-12,5.627632e-12,6.077766e-12,6.415367e-12,7.355690e-12,9.785651e-12,2.737903e-11,6.507164e-10,2.234554e-11,3.401858e-11,5.665117e-11,1.267910e-09,7.325173e-12,6.770134e-12,2.429008e-12,2.491951e-12,2.362251e-12,2.758980e-12,3.930092e-12,4.830080e-11,2.331734e-12,4.132270e-12,2.154350e-12,1.193905e-11,2.017021e-12,1.933098e-12,1.870155e-12,2.137184e-12,1.854896e-12,1.772880e-12,1.778603e-12,1.814842e-12,1.772880e-12,1.757622e-12,1.734734e-12,1.742363e-12,1.690864e-12,1.751900e-12,1.725197e-12,1.717567e-12,1.654625e-12,1.673698e-12,1.687050e-12,1.666069e-12,1.688957e-12,1.704216e-12,1.658440e-12,1.633644e-12,1.608849e-12,1.635551e-12,1.616478e-12,1.622200e-12,1.639366e-12,1.660347e-12,1.578331e-12,1.629829e-12,1.627922e-12,1.610756e-12,1.614571e-12,1.532555e-12,1.606941e-12,1.551628e-12,1.559257e-12,1.627922e-12,1.585960e-12,1.585960e-12,1.507759e-12,1.521110e-12,1.538277e-12,1.574516e-12,1.532555e-12,1.515388e-12,1.521110e-12,1.543999e-12,1.551628e-12,1.532555e-12,1.523018e-12,1.530647e-12,1.513481e-12,1.503944e-12,1.509666e-12,1.482963e-12,1.507759e-12,1.507759e-12,1.456261e-12,1.465797e-12,1.523018e-12,1.526833e-12,1.465797e-12,1.429558e-12,1.473427e-12,1.458168e-12,1.498222e-12,1.461983e-12,1.486778e-12,1.467705e-12,1.402855e-12,1.408577e-12,1.463890e-12,1.410484e-12,1.429558e-12,1.420021e-12,1.441002e-12,1.439095e-12,1.385689e-12,1.420021e-12,1.400948e-12,1.460075e-12,1.402855e-12,1.368523e-12,1.429558e-12,1.423836e-12,1.414299e-12,1.395226e-12,1.351356e-12,1.357079e-12,1.404762e-12,1.391411e-12,1.395226e-12,1.364708e-12,1.378059e-12,1.334190e-12,1.372337e-12,1.358986e-12,1.351356e-12,1.309395e-12,1.311302e-12,1.362801e-12,1.385689e-12,1.355171e-12
 39.76000,  0.99696,6.356722e-11,8.256033e-10,2.482891e-11,7.997423e-11,5.307197e-12,9.371757e-12,5.217552e-12,5.579948e-12,6.066322e-12,6.354332e-12,7.372856e-12,9.860038e-12,2.751064e-11,6.559749e-10,2.239704e-11,3.402621e-11,5.765253e-11,1.271915e-09,7.353783e-12,6.873131e-12,2.362251e-12,2.432823e-12,2.385139e-12,2.709389e-12,4.010201e-12,4.830080e-11,2.364159e-12,4.145622e-12,2.171516e-12,1.201344e-11,2.041817e-12,1.925468e-12,1.864433e-12,2.123833e-12,1.841545e-12,1.839638e-12,1.812935e-12,1.826286e-12,1.740456e-12,1.784325e-12,1.738548e-12,1.755714e-12,1.751900e-12,1.700401e-12,1.696587e-12,1.706123e-12,1.692772e-12,1.692772e-12,1.662254e-12,1.662254e-12,1.643181e-12,1.648903e-12,1.673698e-12,1.671791e-12,1.681328e-12,1.639366e-12,1.606941e-12,1.635551e-12,1.629829e-12,1.631737e-12,1.639366e-12,1.614571e-12,1.633644e-12,1.585960e-12,1.603126e-12,1.549721e-12,1.606941e-12,1.580238e-12,1.521110e-12,1.626015e-12,1.566887e-12,1.580238e-12,1.540184e-12,1.576424e-12,1.570702e-12,1.545906e-12,1.532555e-12,1.517296e-12,1.519203e-12,1.597404e-12,1.519203e-12,1.542091e-12,1.545906e-12,1.517296e-12,1.523018e-12,1.523018e-12,1.467705e-12,1.494408e-12,1.515388e-12,1.517296e-12,1.475334e-12,1.467705e-12,1.496315e-12,1.460075e-12,1.492500e-12,1.465797e-12,1.469612e-12,1.402855e-12,1.454353e-12,1.446724e-12,1.427650e-12,1.429558e-12,1.492500e-12,1.423836e-12,1.479149e-12,1.475334e-12,1.439095e-12,1.379967e-12,1.475334e-12,1.412392e-12,1.441002e-12,1.385689e-12,1.393318e-12,1.467705e-12,1.374245e-12,1.437187e-12,1.425743e-12,1.414299e-12,1.425743e-12,1.427650e-12,1.349449e-12,1.355171e-12,1.372337e-12,1.374245e-12,1.374245e-12,1.400948e-12,1.364708e-12,1.391411e-12,1.339912e-12,1.360893e-12,1.368523e-12,1.303673e-12,1.387596e-12,1.330376e-12,1.374245e-12,1.379967e-12
 39.85200,  1.16466,6.279474e-11,8.251608e-10,2.497578e-11,8.000475e-11,5.301475e-12,9.371757e-12,5.228996e-12,5.604744e-12,6.052971e-12,6.209373e-12,7.330895e-12,9.818077e-12,2.733135e-11,6.531044e-10,2.229977e-11,3.432184e-11,5.777651e-11,1.272297e-09,7.245063e-12,6.745338e-12,2.442360e-12,2.520561e-12,2.354622e-12,2.707481e-12,3.954887e-12,4.828936e-11,2.316475e-12,4.096031e-12,2.131462e-12,1.187801e-11,2.058983e-12,1.919746e-12,1.801491e-12,2.127647e-12,1.862526e-12,1.858711e-12,1.818657e-12,1.816750e-12,1.795769e-12,1.770973e-12,1.784325e-12,1.822472e-12,1.736641e-12,1.696587e-12,1.711845e-12,1.700401e-12,1.704216e-12,1.683235e-12,1.700401e-12,1.666069e-12,1.673698e-12,1.662254e-12,1.679420e-12,1.660347e-12,1.654625e-12,1.629829e-12,1.633644e-12,1.612663e-12,1.626015e-12,1.633644e-12,1.618385e-12,1.606941e-12,1.570702e-12,1.624107e-12,1.578331e-12,1.593590e-12,1.574516e-12,1.627922e-12,1.568794e-12,1.570702e-12,1.566887e-12,1.528740e-12,1.589775e-12,1.511574e-12,1.564979e-12,1.507759e-12,1.547813e-12,1.549721e-12,1.542091e-12,1.515388e-12,1.545906e-12,1.553535e-12,1.584053e-12,1.572609e-12,1.446724e-12,1.530647e-12,1.494408e-12,1.536369e-12,1.477242e-12,1.536369e-12,1.437187e-12,1.534462e-12,1.463890e-12,1.505852e-12,1.454353e-12,1.486778e-12,1.465797e-12,1.488686e-12,1.484871e-12,1.465797e-12,1.456261e-12,1.505852e-12,1.444817e-12,1.460075e-12,1.456261e-12,1.469612e-12,1.481056e-12,1.416206e-12,1.416206e-12,1.412392e-12,1.439095e-12,1.410484e-12,1.406670e-12,1.399040e-12,1.416206e-12,1.429558e-12,1.433372e-12,1.404762e-12,1.358986e-12,1.423836e-12,1.399040e-12,1.362801e-12,1.404762e-12,1.376152e-12,1.338005e-12,1.399040e-12,1.368523e-12,1.400948e-12,1.347542e-12,1.358986e-12,1.358986e-12,1.332283e-12,1.378059e-12,1.315117e-12,1.427650e-12,1.305580e-12
 39.99400,  1.32672,6.348711e-11,8.278368e-10,2.512836e-11,7.948214e-11,5.381584e-12,9.276390e-12,5.244255e-12,5.669594e-12,6.031990e-12,6.386757e-12,7.349968e-12,9.795189e-12,2.749157e-11,6.545883e-10,2.231312e-11,3.421313e-11,5.834108e-11,1.271153e-09,7.283210e-12,6.827354e-12,2.429008e-12,2.490044e-12,2.341270e-12,2.762794e-12,3.952980e-12,4.823023e-11,2.398491e-12,4.057884e-12,2.152443e-12,1.176739e-11,2.097130e-12,1.952171e-12,1.873970e-12,2.100944e-12,1.866341e-12,1.883507e-12,1.837730e-12,1.793861e-12,1.774788e-12,1.767158e-12,1.732826e-12,1.770973e-12,1.765251e-12,1.730919e-12,1.709938e-12,1.742363e-12,1.704216e-12,1.681328e-12,1.677513e-12,1.666069e-12,1.664162e-12,1.643181e-12,1.660347e-12,1.658440e-12,1.652718e-12,1.627922e-12,1.667976e-12,1.652718e-12,1.614571e-12,1.584053e-12,1.652718e-12,1.603126e-12,1.585960e-12,1.568794e-12,1.605034e-12,1.616478e-12,1.570702e-12,1.542091e-12,1.585960e-12,1.547813e-12,1.576424e-12,1.622200e-12,1.599312e-12,1.547813e-12,1.563072e-12,1.563072e-12,1.543999e-12,1.559257e-12,1.515388e-12,1.547813e-12,1.486778e-12,1.492500e-12,1.517296e-12,1.540184e-12,1.536369e-12,1.450539e-12,1.547813e-12,1.488686e-12,1.484871e-12,1.540184e-12,1.477242e-12,1.526833e-12,1.467705e-12,1.469612e-12,1.490593e-12,1.509666e-12,1.482963e-12,1.473427e-12,1.463890e-12,1.465797e-12,1.433372e-12,1.446724e-12,1.402855e-12,1.423836e-12,1.421928e-12,1.429558e-12,1.454353e-12,1.431465e-12,1.404762e-12,1.393318e-12,1.469612e-12,1.418114e-12,1.429558e-12,1.399040e-12,1.374245e-12,1.429558e-12,1.414299e-12,1.408577e-12,1.395226e-12,1.378059e-12,1.372337e-12,1.414299e-12,1.355171e-12,1.395226e-12,1.387596e-12,1.360893e-12,1.358986e-12,1.345634e-12,1.358986e-12,1.387596e-12,1.376152e-12,1.341820e-12,1.338005e-12,1.339912e-12,1.328468e-12,1.368523e-12
 40.05000,  1.49579,6.388193e-11,8.272856e-10,2.497387e-11,7.998377e-11,5.295753e-12,9.278297e-12,5.183220e-12,5.635261e-12,6.054878e-12,6.276131e-12,7.252693e-12,9.819984e-12,2.750683e-11,6.534820e-10,2.218342e-11,3.468615e-11,5.724436e-11,1.273441e-09,7.231712e-12,6.834984e-12,2.367973e-12,2.507210e-12,2.375603e-12,2.766609e-12,3.928185e-12,4.844576e-11,2.326012e-12,4.107475e-12,2.139091e-12,1.182079e-11,2.072334e-12,1.971245e-12,1.883507e-12,2.120018e-12,1.837730e-12,1.782417e-12,1.814842e-12,1.852989e-12,1.814842e-12,1.772880e-12,1.769066e-12,1.734734e-12,1.725197e-12,1.681328e-12,1.696587e-12,1.725197e-12,1.666069e-12,1.662254e-12,1.643181e-12,1.677513e-12,1.620293e-12,1.648903e-12,1.658440e-12,1.587868e-12,1.666069e-12,1.654625e-12,1.635551e-12,1.633644e-12,1.618385e-12,1.580238e-12,1.626015e-12,1.589775e-12,1.603126e-12,1.543999e-12,1.608849e-12,1.650810e-12,1.576424e-12,1.578331e-12,1.557350e-12,1.536369e-12,1.605034e-12,1.545906e-12,1.572609e-12,1.570702e-12,1.532555e-12,1.551628e-12,1.542091e-12,1.500130e-12,1.503944e-12,1.486778e-12,1.513481e-12,1.503944e-12,1.526833e-12,1.481056e-12,1.496315e-12,1.584053e-12,1.456261e-12,1.486778e-12,1.503944e-12,1.503944e-12,1.477242e-12,1.467705e-12,1.528740e-12,1.521110e-12,1.481056e-12,1.484871e-12,1.435280e-12,1.458168e-12,1.473427e-12,1.439095e-12,1.421928e-12,1.454353e-12,1.528740e-12,1.399040e-12,1.420021e-12,1.492500e-12,1.393318e-12,1.418114e-12,1.450539e-12,1.404762e-12,1.444817e-12,1.441002e-12,1.397133e-12,1.402855e-12,1.366615e-12,1.391411e-12,1.414299e-12,1.383781e-12,1.374245e-12,1.374245e-12,1.421928e-12,1.397133e-12,1.389503e-12,1.410484e-12,1.360893e-12,1.355171e-12,1.355171e-12,1.368523e-12,1.385689e-12,1.397133e-12,1.324654e-12,1.341820e-12,1.387596e-12,1.343727e-12,1.349449e-12,1.294136e-12
