#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_11_18_SL_PS_Tosoh_F1_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS_Tosoh_F1                             
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,11/18/2025 11:26:36 AM (UTC-5)          
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran                                    
#OPERATOR:                   ,Stan                                    
#REMARK:                     ,                                        
#SAMPLE:                     ,PS_Tosoh_F1                             
#SAMPLE MASS /mg:            ,4.48                                    
#MATERIAL:                   ,                                        
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-5/5                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/10.0(K/min)/200›C                 
#SEG. 4:                     ,200›C/5.0(K/min)/600›C                  
#SEG. 5:                     ,600›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 38.72400,  0.00000,      2.44404,100.00000,50.00000,61.00000,            ,0.92492,1
 38.81600,  0.06667,      2.22141, 99.89888,50.00000,61.00000,3.348474e-09,0.92492,1
 38.90400,  0.13333,      2.01830, 99.84330,50.00000,61.00000,3.370457e-09,0.92493,1
 38.99100,  0.20000,      1.83674, 99.84330,50.00000,60.00000,3.370457e-09,0.92493,1
 39.07600,  0.26667,      1.66826, 99.78281,50.00000,60.00000,3.363770e-09,0.92494,1
 39.16900,  0.33333,      1.51892, 99.75246,50.00000,60.00000,3.363770e-09,0.92494,1
 39.23400,  0.40000,      1.38377, 99.71964,50.00000,60.00000,3.363770e-09,0.92494,1
 39.30300,  0.46667,      1.26353, 99.68929,50.00000,60.00000,3.371720e-09,0.92496,1
 39.38600,  0.53333,      1.15250, 99.68929,50.00000,59.00000,3.371720e-09,0.92496,1
 39.44700,  0.60000,      1.05381, 99.68929,50.00000,59.00000,3.366840e-09,0.92497,1
 39.51500,  0.66667,      0.96359, 99.65893,50.00000,59.00000,3.366840e-09,0.92497,1
 39.57800,  0.73333,      0.88313, 99.65893,50.00000,59.00000,3.366840e-09,0.92497,1
 39.63300,  0.80000,      0.80875, 99.65893,50.00000,59.00000,3.369625e-09,0.92498,1
 39.68900,  0.86667,      0.74265, 99.62879,50.00000,58.00000,3.369625e-09,0.92498,1
 39.76000,  0.93333,      0.68134, 99.59844,50.00000,58.00000,3.379785e-09,0.92499,1
 39.81700,  1.00000,      0.62666, 98.94688,50.00000,58.00000,3.379785e-09,0.92499,1
 39.85200,  1.06667,      0.57824, 91.69174,50.00000,58.00000,3.379785e-09,0.92499,1
 39.89800,  1.13333,      0.53093, 90.58549,50.00000,58.00000,3.376109e-09,0.92499,1
 39.92200,  1.20000,      0.49024, 89.98705,50.00000,58.00000,3.376109e-09,0.92499,1
 39.99400,  1.26667,      0.44992, 89.72701,50.00000,58.00000,3.380037e-09,0.92500,1
