Created as New Dataset,Sample 2529 By Analyst Date Thursday, December 19 2024
nm,INT
375.0,1601
375.1,1569
375.2,1530
375.3,1495
375.4,1465
375.5,1442
375.6,1422
375.7,1403
375.8,1389
375.9,1377
376.0,1367
376.1,1359
376.2,1353
376.3,1348
376.4,1345
376.5,1343
376.6,1342
376.7,1342
376.8,1342
376.9,1343
377.0,1343
377.1,1344
377.2,1345
377.3,1345
377.4,1345
377.5,1346
377.6,1346
377.7,1346
377.8,1346
377.9,1345
378.0,1345
378.1,1345
378.2,1344
378.3,1344
378.4,1343
378.5,1343
378.6,1342
378.7,1341
378.8,1340
378.9,1339
379.0,1337
379.1,1336
379.2,1334
379.3,1331
379.4,1328
379.5,1324
379.6,1321
379.7,1317
379.8,1312
379.9,1307
380.0,1301
380.1,1296
380.2,1290
380.3,1284
380.4,1278
380.5,1271
380.6,1265
380.7,1259
380.8,1253
380.9,1247
381.0,1241
381.1,1236
381.2,1232
381.3,1227
381.4,1222
381.5,1218
381.6,1214
381.7,1210
381.8,1206
381.9,1202
382.0,1198
382.1,1193
382.2,1189
382.3,1185
382.4,1180
382.5,1176
382.6,1171
382.7,1166
382.8,1162
382.9,1158
383.0,1154
383.1,1150
383.2,1146
383.3,1143
383.4,1139
383.5,1136
383.6,1134
383.7,1131
383.8,1130
383.9,1128
384.0,1128
384.1,1127
384.2,1127
384.3,1128
384.4,1129
384.5,1131
384.6,1132
384.7,1134
384.8,1136
384.9,1139
385.0,1142
385.1,1146
385.2,1150
385.3,1154
385.4,1159
385.5,1164
385.6,1170
385.7,1175
385.8,1181
385.9,1188
386.0,1194
386.1,1200
386.2,1206
386.3,1213
386.4,1220
386.5,1226
386.6,1233
386.7,1240
386.8,1247
386.9,1254
387.0,1262
387.1,1271
387.2,1279
387.3,1287
387.4,1295
387.5,1303
387.6,1311
387.7,1319
387.8,1326
387.9,1332
388.0,1339
388.1,1345
388.2,1350
388.3,1355
388.4,1360
388.5,1365
388.6,1369
388.7,1374
388.8,1378
388.9,1381
389.0,1385
389.1,1388
389.2,1391
389.3,1393
389.4,1395
389.5,1397
389.6,1399
389.7,1400
389.8,1400
389.9,1400
390.0,1399
390.1,1398
390.2,1397
390.3,1395
390.4,1392
390.5,1389
390.6,1385
390.7,1382
390.8,1378
390.9,1373
391.0,1369
391.1,1365
391.2,1362
391.3,1358
391.4,1355
391.5,1351
391.6,1348
391.7,1344
391.8,1341
391.9,1337
392.0,1333
392.1,1329
392.2,1325
392.3,1320
392.4,1315
392.5,1310
392.6,1305
392.7,1300
392.8,1295
392.9,1290
393.0,1286
393.1,1281
393.2,1277
393.3,1273
393.4,1269
393.5,1265
393.6,1262
393.7,1259
393.8,1256
393.9,1254
394.0,1253
394.1,1251
394.2,1250
394.3,1250
394.4,1250
394.5,1250
394.6,1251
394.7,1253
394.8,1255
394.9,1257
395.0,1260
395.1,1263
395.2,1268
395.3,1273
395.4,1278
395.5,1285
395.6,1293
395.7,1301
395.8,1310
395.9,1320
396.0,1330
396.1,1341
396.2,1353
396.3,1365
396.4,1376
396.5,1389
396.6,1402
396.7,1415
396.8,1428
396.9,1443
397.0,1459
397.1,1475
397.2,1492
397.3,1510
397.4,1529
397.5,1547
397.6,1568
397.7,1591
397.8,1612
397.9,1633
398.0,1656
398.1,1678
398.2,1700
398.3,1723
398.4,1745
398.5,1766
398.6,1789
398.7,1811
398.8,1832
398.9,1852
399.0,1873
399.1,1893
399.2,1911
399.3,1930
399.4,1950
399.5,1970
399.6,1989
399.7,2009
399.8,2029
399.9,2049
400.0,2069
400.1,2090
400.2,2112
400.3,2132
400.4,2152
400.5,2172
400.6,2192
400.7,2209
400.8,2226
400.9,2243
401.0,2258
401.1,2274
401.2,2289
401.3,2303
401.4,2316
401.5,2329
401.6,2343
401.7,2355
401.8,2368
401.9,2381
402.0,2393
402.1,2405
402.2,2418
402.3,2431
402.4,2443
402.5,2456
402.6,2469
402.7,2483
402.8,2496
402.9,2511
403.0,2526
403.1,2540
403.2,2554
403.3,2570
403.4,2584
403.5,2599
403.6,2615
403.7,2630
403.8,2645
403.9,2662
404.0,2679
404.1,2696
404.2,2713
404.3,2732
404.4,2751
404.5,2769
404.6,2787
404.7,2806
404.8,2823
404.9,2841
405.0,2858
405.1,2874
405.2,2890
405.3,2904
405.4,2920
405.5,2935
405.6,2951
405.7,2967
405.8,2983
405.9,3000
406.0,3016
406.1,3033
406.2,3050
406.3,3067
406.4,3084
406.5,3100
406.6,3116
406.7,3131
406.8,3146
406.9,3160
407.0,3172
407.1,3185
407.2,3196
407.3,3207
407.4,3218
407.5,3226
407.6,3233
407.7,3239
407.8,3245
407.9,3250
408.0,3254
408.1,3258
408.2,3263
408.3,3267
408.4,3272
408.5,3277
408.6,3283
408.7,3290
408.8,3298
408.9,3305
409.0,3313
409.1,3321
409.2,3328
409.3,3335
409.4,3341
409.5,3346
409.6,3350
409.7,3353
409.8,3355
409.9,3357
410.0,3359
410.1,3361
410.2,3363
410.3,3364
410.4,3366
410.5,3368
410.6,3370
410.7,3372
410.8,3374
410.9,3375
411.0,3377
411.1,3378
411.2,3380
411.3,3381
411.4,3382
411.5,3383
411.6,3384
411.7,3384
411.8,3383
411.9,3382
412.0,3381
412.1,3380
412.2,3378
412.3,3375
412.4,3371
412.5,3366
412.6,3361
412.7,3356
412.8,3350
412.9,3344
413.0,3336
413.1,3329
413.2,3320
413.3,3311
413.4,3301
413.5,3291
413.6,3280
413.7,3269
413.8,3257
413.9,3243
414.0,3229
414.1,3215
414.2,3200
414.3,3185
414.4,3168
414.5,3152
414.6,3136
414.7,3120
414.8,3105
414.9,3089
415.0,3075
415.1,3062
415.2,3050
415.3,3037
415.4,3026
415.5,3015
415.6,3004
415.7,2995
415.8,2984
415.9,2974
416.0,2963
416.1,2953
416.2,2943
416.3,2932
416.4,2922
416.5,2912
416.6,2902
416.7,2894
416.8,2886
416.9,2880
417.0,2874
417.1,2869
417.2,2865
417.3,2861
417.4,2859
417.5,2857
417.6,2856
417.7,2856
417.8,2856
417.9,2857
418.0,2858
418.1,2860
418.2,2862
418.3,2866
418.4,2869
418.5,2873
418.6,2876
418.7,2879
418.8,2881
418.9,2883
419.0,2886
419.1,2889
419.2,2891
419.3,2894
419.4,2896
419.5,2899
419.6,2903
419.7,2907
419.8,2912
419.9,2919
420.0,2925
420.1,2932
420.2,2939
420.3,2945
420.4,2951
420.5,2958
420.6,2966
420.7,2973
420.8,2980
420.9,2989
421.0,2997
421.1,3007
421.2,3016
421.3,3026
421.4,3037
