Created as New Dataset,Sample 2528 By Analyst Date Thursday, December 19 2024
nm,INT
375.0,1334
375.1,1305
375.2,1269
375.3,1235
375.4,1205
375.5,1180
375.6,1156
375.7,1132
375.8,1112
375.9,1094
376.0,1076
376.1,1059
376.2,1044
376.3,1029
376.4,1014
376.5,1001
376.6,989
376.7,976
376.8,964
376.9,953
377.0,942
377.1,932
377.2,922
377.3,912
377.4,903
377.5,894
377.6,886
377.7,878
377.8,870
377.9,863
378.0,856
378.1,850
378.2,844
378.3,838
378.4,832
378.5,827
378.6,821
378.7,817
378.8,811
378.9,806
379.0,801
379.1,797
379.2,791
379.3,785
379.4,780
379.5,774
379.6,769
379.7,763
379.8,758
379.9,752
380.0,746
380.1,741
380.2,735
380.3,730
380.4,725
380.5,720
380.6,715
380.7,710
380.8,706
380.9,701
381.0,696
381.1,691
381.2,687
381.3,682
381.4,677
381.5,672
381.6,667
381.7,663
381.8,658
381.9,653
382.0,649
382.1,645
382.2,641
382.3,639
382.4,637
382.5,635
382.6,634
382.7,633
382.8,634
382.9,635
383.0,638
383.1,641
383.2,645
383.3,648
383.4,653
383.5,658
383.6,663
383.7,669
383.8,675
383.9,682
384.0,688
384.1,695
384.2,702
384.3,710
384.4,717
384.5,726
384.6,735
384.7,743
384.8,751
384.9,760
385.0,768
385.1,777
385.2,786
385.3,795
385.4,803
385.5,812
385.6,821
385.7,830
385.8,838
385.9,846
386.0,854
386.1,861
386.2,867
386.3,873
386.4,879
386.5,883
386.6,887
386.7,891
386.8,893
386.9,895
387.0,897
387.1,899
387.2,900
387.3,900
387.4,899
387.5,899
387.6,897
387.7,895
387.8,893
387.9,890
388.0,886
388.1,882
388.2,878
388.3,874
388.4,870
388.5,866
388.6,862
388.7,858
388.8,854
388.9,850
389.0,846
389.1,842
389.2,839
389.3,836
389.4,833
389.5,830
389.6,828
389.7,826
389.8,825
389.9,824
390.0,823
390.1,823
390.2,824
390.3,825
390.4,826
390.5,827
390.6,828
390.7,830
390.8,833
390.9,836
391.0,839
391.1,844
391.2,849
391.3,855
391.4,862
391.5,869
391.6,878
391.7,887
391.8,896
391.9,906
392.0,917
392.1,927
392.2,938
392.3,949
392.4,960
392.5,970
392.6,980
392.7,991
392.8,1000
392.9,1010
393.0,1020
393.1,1029
393.2,1038
393.3,1047
393.4,1057
393.5,1065
393.6,1074
393.7,1084
393.8,1093
393.9,1103
394.0,1113
394.1,1124
394.2,1134
394.3,1145
394.4,1155
394.5,1166
394.6,1176
394.7,1186
394.8,1197
394.9,1206
395.0,1215
395.1,1224
395.2,1232
395.3,1240
395.4,1247
395.5,1254
395.6,1260
395.7,1266
395.8,1272
395.9,1277
396.0,1283
396.1,1288
396.2,1293
396.3,1298
396.4,1303
396.5,1309
396.6,1315
396.7,1320
396.8,1326
396.9,1332
397.0,1339
397.1,1345
397.2,1352
397.3,1359
397.4,1366
397.5,1373
397.6,1380
397.7,1388
397.8,1395
397.9,1403
398.0,1411
398.1,1418
398.2,1426
398.3,1434
398.4,1442
398.5,1451
398.6,1459
398.7,1469
398.8,1477
398.9,1486
399.0,1497
399.1,1508
399.2,1518
399.3,1530
399.4,1542
399.5,1554
399.6,1566
399.7,1579
399.8,1593
399.9,1607
400.0,1621
400.1,1636
400.2,1651
400.3,1666
400.4,1681
400.5,1696
400.6,1711
400.7,1726
400.8,1741
400.9,1756
401.0,1770
401.1,1785
401.2,1800
401.3,1814
401.4,1828
401.5,1843
401.6,1857
401.7,1872
401.8,1887
401.9,1903
402.0,1917
402.1,1931
402.2,1946
402.3,1961
402.4,1976
402.5,1990
402.6,2005
402.7,2021
402.8,2035
402.9,2050
403.0,2066
403.1,2082
403.2,2097
403.3,2115
403.4,2131
403.5,2148
403.6,2165
403.7,2182
403.8,2199
403.9,2216
404.0,2234
404.1,2249
404.2,2265
404.3,2281
404.4,2297
404.5,2312
404.6,2327
404.7,2342
404.8,2357
404.9,2372
405.0,2387
405.1,2402
405.2,2418
405.3,2433
405.4,2450
405.5,2466
405.6,2483
405.7,2501
405.8,2518
405.9,2536
406.0,2554
406.1,2572
406.2,2590
406.3,2607
406.4,2625
406.5,2641
406.6,2658
406.7,2674
406.8,2688
406.9,2704
407.0,2719
407.1,2735
407.2,2750
407.3,2766
407.4,2782
407.5,2797
407.6,2813
407.7,2829
407.8,2845
407.9,2861
408.0,2876
408.1,2891
408.2,2905
408.3,2919
408.4,2931
408.5,2943
408.6,2953
408.7,2964
408.8,2974
408.9,2982
409.0,2991
409.1,2998
409.2,3004
409.3,3011
409.4,3017
409.5,3022
409.6,3027
409.7,3033
409.8,3038
409.9,3043
410.0,3048
410.1,3054
410.2,3059
410.3,3065
410.4,3071
410.5,3077
410.6,3084
410.7,3090
410.8,3096
410.9,3101
411.0,3106
411.1,3111
411.2,3116
411.3,3121
411.4,3125
411.5,3129
411.6,3133
411.7,3137
411.8,3141
411.9,3145
412.0,3149
412.1,3153
412.2,3157
412.3,3161
412.4,3164
412.5,3168
412.6,3172
412.7,3176
412.8,3179
412.9,3183
413.0,3186
413.1,3190
413.2,3193
413.3,3197
413.4,3201
413.5,3206
413.6,3210
413.7,3215
413.8,3219
413.9,3223
414.0,3227
414.1,3231
414.2,3235
414.3,3238
414.4,3241
414.5,3243
414.6,3244
414.7,3245
414.8,3245
414.9,3244
415.0,3242
415.1,3241
415.2,3239
415.3,3236
415.4,3232
415.5,3227
415.6,3223
415.7,3219
415.8,3214
415.9,3209
416.0,3205
416.1,3201
416.2,3197
416.3,3192
416.4,3188
416.5,3185
416.6,3182
416.7,3180
416.8,3177
416.9,3175
417.0,3172
417.1,3169
417.2,3166
417.3,3163
417.4,3159
417.5,3155
417.6,3151
417.7,3147
417.8,3142
417.9,3137
418.0,3132
418.1,3128
418.2,3125
418.3,3123
418.4,3121
418.5,3120
418.6,3120
418.7,3120
418.8,3120
418.9,3122
419.0,3124
419.1,3127
419.2,3130
419.3,3133
419.4,3136
419.5,3140
419.6,3144
419.7,3148
419.8,3151
419.9,3156
420.0,3160
420.1,3165
420.2,3170
420.3,3174
420.4,3178
420.5,3183
420.6,3189
420.7,3194
420.8,3199
420.9,3205
421.0,3212
421.1,3219
421.2,3226
421.3,3234
421.4,3243
421.5,3253
421.6,3264
421.7,3274
421.8,3284
421.9,3295
422.0,3305
422.1,3316
422.2,3326
422.3,3337
422.4,3347
422.5,3358
422.6,3370
422.7,3380
422.8,3392
422.9,3403
423.0,3415
423.1,3428
423.2,3439
423.3,3451
423.4,3461
423.5,3472
423.6,3482
423.7,3491
423.8,3499
423.9,3506
424.0,3513
424.1,3520
424.2,3525
424.3,3531
424.4,3537
424.5,3544
424.6,3551
424.7,3556
424.8,3563
424.9,3570
425.0,3577
425.1,3584
425.2,3591
425.3,3597
425.4,3603
425.5,3609
425.6,3615
425.7,3620
425.8,3624
425.9,3629
426.0,3632
426.1,3635
426.2,3637
426.3,3638
426.4,3640
426.5,3640
426.6,3641
426.7,3640
426.8,3639
426.9,3639
427.0,3639
427.1,3639
427.2,3640
427.3,3642
427.4,3644
427.5,3647
427.6,3651
427.7,3655
427.8,3659
427.9,3663
428.0,3668
428.1,3673
428.2,3678
428.3,3682
428.4,3686
428.5,3690
428.6,3694
428.7,3697
428.8,3700
428.9,3705
429.0,3709
429.1,3714
429.2,3718
429.3,3722
429.4,3726
429.5,3730
429.6,3735
429.7,3739
429.8,3743
429.9,3748
430.0,3753
430.1,3758
430.2,3762
430.3,3767
430.4,3773
430.5,3780
430.6,3787
430.7,3793
430.8,3801
430.9,3809
431.0,3817
431.1,3826
431.2,3835
431.3,3845
431.4,3856
431.5,3867
431.6,3879
431.7,3890
431.8,3903
431.9,3916
432.0,3929
432.1,3942
432.2,3953
432.3,3965
432.4,3976
432.5,3986
432.6,3995
432.7,4004
432.8,4011
432.9,4019
433.0,4027
433.1,4033
433.2,4041
433.3,4047
433.4,4055
433.5,4063
433.6,4071
433.7,4079
433.8,4088
433.9,4097
434.0,4107
434.1,4115
434.2,4124
434.3,4131
434.4,4140
434.5,4149
434.6,4157
434.7,4166
434.8,4174
434.9,4182
435.0,4190
435.1,4198
435.2,4205
435.3,4212
435.4,4219
435.5,4226
435.6,4230
435.7,4235
435.8,4238
435.9,4242
436.0,4245
436.1,4248
436.2,4249
436.3,4250
436.4,4251
436.5,4253
436.6,4254
436.7,4255
436.8,4256
436.9,4256
437.0,4255
437.1,4256
437.2,4256
437.3,4256
437.4,4256
437.5,4256
437.6,4257
437.7,4259
437.8,4260
437.9,4262
438.0,4265
438.1,4267
438.2,4271
438.3,4274
438.4,4275
438.5,4277
438.6,4278
438.7,4278
438.8,4278
438.9,4275
439.0,4272
439.1,4268
439.2,4262
439.3,4258
439.4,4254
439.5,4249
439.6,4243
439.7,4237
439.8,4233
439.9,4230
440.0,4226
440.1,4222
440.2,4218
440.3,4214
440.4,4211
440.5,4206
440.6,4201
440.7,4197
440.8,4192
440.9,4188
441.0,4183
441.1,4177
441.2,4172
441.3,4166
441.4,4161
441.5,4155
441.6,4147
441.7,4139
441.8,4130
441.9,4120
442.0,4111
442.1,4101
442.2,4090
442.3,4080
442.4,4069
442.5,4058
442.6,4048
442.7,4039
442.8,4028
442.9,4019
443.0,4008
443.1,3998
443.2,3989
443.3,3978
443.4,3966
443.5,3955
443.6,3943
443.7,3933
443.8,3924
443.9,3915
444.0,3907
444.1,3899
444.2,3893
444.3,3888
444.4,3882
444.5,3875
444.6,3869
444.7,3863
444.8,3857
444.9,3852
445.0,3844
445.1,3837
445.2,3830
445.3,3825
445.4,3822
445.5,3818
445.6,3816
445.7,3814
445.8,3816
445.9,3818
446.0,3819
446.1,3822
446.2,3825
446.3,3829
446.4,3833
446.5,3839
446.6,3842
446.7,3846
446.8,3849
446.9,3855
447.0,3860
447.1,3864
447.2,3867
447.3,3870
447.4,3872
447.5,3875
447.6,3877
447.7,3877
447.8,3877
447.9,3876
448.0,3875
448.1,3875
448.2,3876
448.3,3875
448.4,3874
448.5,3874
448.6,3875
448.7,3877
448.8,3877
448.9,3877
449.0,3877
449.1,3876
449.2,3877
449.3,3878
449.4,3878
449.5,3877
449.6,3876
449.7,3877
449.8,3877
449.9,3875
450.0,3874
450.1,3872
450.2,3870
450.3,3869
450.4,3868
450.5,3864
450.6,3859
450.7,3854
450.8,3851
450.9,3848
451.0,3842
451.1,3836
451.2,3829
451.3,3825
451.4,3819
451.5,3813
451.6,3806
451.7,3801
451.8,3796
