Created as New Dataset,Sample 2527 By Analyst Date Thursday, December 19 2024
nm,INT
375.0,1716
375.1,1671
375.2,1615
375.3,1562
375.4,1513
375.5,1472
375.6,1431
375.7,1393
375.8,1359
375.9,1329
376.0,1300
376.1,1275
376.2,1253
376.3,1232
376.4,1213
376.5,1195
376.6,1181
376.7,1168
376.8,1155
376.9,1144
377.0,1135
377.1,1127
377.2,1119
377.3,1112
377.4,1104
377.5,1098
377.6,1092
377.7,1086
377.8,1079
377.9,1072
378.0,1066
378.1,1059
378.2,1052
378.3,1046
378.4,1039
378.5,1033
378.6,1027
378.7,1023
378.8,1018
378.9,1014
379.0,1010
379.1,1007
379.2,1004
379.3,1002
379.4,1000
379.5,998
379.6,996
379.7,993
379.8,991
379.9,988
380.0,985
380.1,983
380.2,980
380.3,978
380.4,974
380.5,971
380.6,968
380.7,965
380.8,963
380.9,960
381.0,957
381.1,955
381.2,953
381.3,950
381.4,949
381.5,947
381.6,945
381.7,943
381.8,941
381.9,940
382.0,938
382.1,936
382.2,935
382.3,935
382.4,934
382.5,934
382.6,934
382.7,935
382.8,936
382.9,938
383.0,941
383.1,944
383.2,947
383.3,952
383.4,957
383.5,963
383.6,969
383.7,974
383.8,981
383.9,987
384.0,993
384.1,999
384.2,1005
384.3,1011
384.4,1016
384.5,1020
384.6,1025
384.7,1028
384.8,1032
384.9,1036
385.0,1039
385.1,1043
385.2,1046
385.3,1050
385.4,1053
385.5,1058
385.6,1062
385.7,1066
385.8,1071
385.9,1075
386.0,1080
386.1,1084
386.2,1088
386.3,1092
386.4,1097
386.5,1101
386.6,1106
386.7,1111
386.8,1115
386.9,1119
387.0,1124
387.1,1129
387.2,1134
387.3,1138
387.4,1143
387.5,1148
387.6,1153
387.7,1158
387.8,1162
387.9,1167
388.0,1173
388.1,1179
388.2,1185
388.3,1192
388.4,1200
388.5,1208
388.6,1216
388.7,1224
388.8,1233
388.9,1241
389.0,1250
389.1,1259
389.2,1268
389.3,1276
389.4,1285
389.5,1294
389.6,1304
389.7,1313
389.8,1324
389.9,1335
390.0,1347
390.1,1359
390.2,1371
390.3,1383
390.4,1396
390.5,1409
390.6,1421
390.7,1433
390.8,1445
390.9,1456
391.0,1467
391.1,1477
391.2,1488
391.3,1499
391.4,1509
391.5,1519
391.6,1529
391.7,1539
391.8,1548
391.9,1556
392.0,1564
392.1,1572
392.2,1579
392.3,1586
392.4,1593
392.5,1599
392.6,1605
392.7,1611
392.8,1618
392.9,1625
393.0,1632
393.1,1638
393.2,1643
393.3,1648
393.4,1652
393.5,1654
393.6,1656
393.7,1657
393.8,1658
393.9,1658
394.0,1658
394.1,1657
394.2,1657
394.3,1657
394.4,1657
394.5,1658
394.6,1658
394.7,1659
394.8,1660
394.9,1660
395.0,1660
395.1,1659
395.2,1659
395.3,1657
395.4,1656
395.5,1655
395.6,1653
395.7,1652
395.8,1651
395.9,1650
396.0,1650
396.1,1650
396.2,1650
396.3,1651
396.4,1652
396.5,1654
396.6,1657
396.7,1660
396.8,1663
396.9,1668
397.0,1674
397.1,1681
397.2,1689
397.3,1698
397.4,1707
397.5,1715
397.6,1725
397.7,1734
397.8,1743
397.9,1751
398.0,1760
398.1,1768
398.2,1776
398.3,1785
398.4,1794
398.5,1804
398.6,1815
398.7,1828
398.8,1842
398.9,1856
399.0,1873
399.1,1890
399.2,1908
399.3,1926
399.4,1946
399.5,1966
399.6,1985
399.7,2008
399.8,2030
399.9,2052
400.0,2074
400.1,2098
400.2,2123
400.3,2146
400.4,2170
400.5,2195
400.6,2220
400.7,2243
400.8,2267
400.9,2289
401.0,2312
401.1,2335
401.2,2359
401.3,2381
401.4,2405
401.5,2429
401.6,2453
401.7,2476
401.8,2500
401.9,2524
402.0,2546
402.1,2567
402.2,2589
402.3,2609
402.4,2628
402.5,2646
402.6,2664
402.7,2682
402.8,2699
402.9,2717
403.0,2735
403.1,2752
403.2,2770
403.3,2788
403.4,2805
403.5,2822
403.6,2840
403.7,2856
403.8,2871
403.9,2886
404.0,2901
404.1,2914
404.2,2927
404.3,2941
404.4,2954
404.5,2966
404.6,2978
404.7,2989
404.8,3000
404.9,3011
405.0,3020
405.1,3030
405.2,3039
405.3,3048
405.4,3057
405.5,3065
405.6,3074
405.7,3084
405.8,3094
405.9,3105
406.0,3117
406.1,3129
406.2,3142
406.3,3154
406.4,3167
406.5,3178
406.6,3189
406.7,3200
406.8,3209
406.9,3218
407.0,3226
407.1,3232
407.2,3238
407.3,3242
407.4,3247
407.5,3250
407.6,3254
407.7,3257
407.8,3261
407.9,3265
408.0,3268
408.1,3271
408.2,3275
408.3,3278
408.4,3282
408.5,3286
408.6,3290
408.7,3293
408.8,3297
408.9,3299
409.0,3302
409.1,3304
409.2,3305
409.3,3307
409.4,3307
409.5,3307
409.6,3306
409.7,3304
409.8,3302
409.9,3298
410.0,3294
410.1,3289
410.2,3284
410.3,3279
410.4,3274
410.5,3269
410.6,3263
410.7,3258
410.8,3252
410.9,3247
411.0,3241
411.1,3236
411.2,3231
411.3,3224
411.4,3217
411.5,3209
411.6,3201
411.7,3193
411.8,3185
411.9,3176
412.0,3168
412.1,3160
412.2,3152
412.3,3145
412.4,3139
412.5,3133
412.6,3128
412.7,3124
412.8,3120
412.9,3116
413.0,3113
413.1,3110
413.2,3108
413.3,3106
413.4,3103
413.5,3102
413.6,3101
413.7,3101
413.8,3102
413.9,3104
414.0,3106
414.1,3110
414.2,3114
414.3,3118
414.4,3123
414.5,3129
414.6,3135
414.7,3143
414.8,3150
414.9,3159
415.0,3169
415.1,3179
415.2,3190
415.3,3201
415.4,3213
415.5,3225
415.6,3237
415.7,3250
415.8,3263
415.9,3274
416.0,3286
416.1,3297
416.2,3308
416.3,3319
416.4,3330
416.5,3341
416.6,3353
416.7,3365
416.8,3378
416.9,3390
417.0,3402
417.1,3416
417.2,3429
417.3,3443
417.4,3456
417.5,3469
417.6,3482
417.7,3495
417.8,3508
417.9,3520
418.0,3533
418.1,3545
418.2,3557
418.3,3568
418.4,3579
418.5,3589
418.6,3599
418.7,3609
418.8,3616
418.9,3624
419.0,3631
419.1,3638
419.2,3644
419.3,3649
419.4,3655
419.5,3662
419.6,3669
419.7,3675
419.8,3682
419.9,3690
420.0,3697
420.1,3705
420.2,3712
420.3,3719
420.4,3726
420.5,3733
420.6,3739
420.7,3745
420.8,3749
420.9,3752
421.0,3756
421.1,3760
421.2,3762
421.3,3765
421.4,3767
421.5,3769
421.6,3770
421.7,3771
421.8,3772
421.9,3773
422.0,3775
422.1,3776
422.2,3777
422.3,3778
422.4,3780
422.5,3783
422.6,3785
422.7,3788
422.8,3792
422.9,3795
423.0,3799
423.1,3803
423.2,3806
423.3,3808
423.4,3810
423.5,3811
423.6,3812
423.7,3812
423.8,3810
423.9,3808
424.0,3806
424.1,3804
424.2,3800
424.3,3796
424.4,3792
424.5,3788
424.6,3783
424.7,3777
424.8,3770
424.9,3762
425.0,3753
425.1,3744
425.2,3733
425.3,3721
425.4,3708
425.5,3696
425.6,3683
425.7,3668
425.8,3653
425.9,3638
426.0,3623
426.1,3608
426.2,3591
426.3,3575
426.4,3558
426.5,3541
426.6,3523
426.7,3505
426.8,3487
426.9,3468
427.0,3450
427.1,3432
427.2,3413
427.3,3396
427.4,3377
427.5,3361
427.6,3344
427.7,3327
427.8,3311
427.9,3294
428.0,3279
428.1,3264
428.2,3249
428.3,3235
428.4,3221
428.5,3209
428.6,3198
428.7,3187
428.8,3177
428.9,3169
429.0,3162
429.1,3155
429.2,3150
429.3,3145
429.4,3142
429.5,3140
429.6,3138
429.7,3137
429.8,3137
429.9,3138
430.0,3141
430.1,3145
430.2,3149
430.3,3156
430.4,3164
430.5,3173
430.6,3183
430.7,3193
430.8,3206
430.9,3220
431.0,3235
431.1,3250
431.2,3265
431.3,3282
431.4,3299
431.5,3317
431.6,3336
431.7,3354
431.8,3374
431.9,3394
432.0,3414
432.1,3435
432.2,3454
432.3,3475
432.4,3495
432.5,3514
432.6,3533
432.7,3552
432.8,3570
432.9,3588
433.0,3605
433.1,3621
433.2,3638
433.3,3653
433.4,3669
433.5,3684
433.6,3699
433.7,3714
433.8,3729
433.9,3744
434.0,3760
434.1,3774
434.2,3789
434.3,3802
434.4,3817
434.5,3831
434.6,3843
434.7,3855
434.8,3865
434.9,3876
435.0,3885
435.1,3893
435.2,3901
435.3,3907
435.4,3913
435.5,3919
435.6,3923
435.7,3927
435.8,3930
435.9,3934
436.0,3938
436.1,3942
436.2,3945
436.3,3949
436.4,3954
436.5,3961
436.6,3969
436.7,3976
436.8,3985
436.9,3994
437.0,4004
437.1,4015
437.2,4026
437.3,4036
437.4,4047
437.5,4058
437.6,4070
437.7,4081
437.8,4092
437.9,4102
438.0,4113
438.1,4124
438.2,4136
438.3,4148
438.4,4158
438.5,4169
438.6,4180
438.7,4193
438.8,4205
438.9,4217
439.0,4227
439.1,4239
439.2,4251
439.3,4264
439.4,4278
439.5,4290
439.6,4303
439.7,4317
439.8,4332
439.9,4348
440.0,4362
440.1,4375
440.2,4389
440.3,4405
440.4,4420
440.5,4435
440.6,4449
440.7,4462
440.8,4476
440.9,4491
441.0,4505
441.1,4517
441.2,4527
441.3,4538
441.4,4549
441.5,4559
441.6,4567
441.7,4573
441.8,4579
441.9,4585
442.0,4592
442.1,4598
442.2,4603
442.3,4608
442.4,4613
442.5,4617
442.6,4623
442.7,4629
442.8,4633
442.9,4636
443.0,4640
443.1,4646
443.2,4652
443.3,4657
443.4,4663
443.5,4669
443.6,4675
443.7,4684
443.8,4693
443.9,4700
444.0,4706
444.1,4712
444.2,4720
444.3,4726
444.4,4730
444.5,4734
444.6,4737
444.7,4740
444.8,4744
444.9,4749
445.0,4751
445.1,4753
445.2,4756
445.3,4761
445.4,4765
445.5,4768
445.6,4769
445.7,4771
445.8,4775
445.9,4778
446.0,4780
446.1,4782
446.2,4785
446.3,4788
446.4,4793
446.5,4798
446.6,4803
446.7,4807
446.8,4810
446.9,4815
447.0,4819
447.1,4820
447.2,4821
447.3,4822
447.4,4821
447.5,4822
447.6,4823
447.7,4820
447.8,4818
447.9,4816
448.0,4815
448.1,4815
448.2,4815
448.3,4813
448.4,4810
448.5,4808
448.6,4807
448.7,4806
448.8,4803
448.9,4801
449.0,4797
449.1,4795
449.2,4795
449.3,4796
449.4,4794
449.5,4793
449.6,4791
449.7,4792
449.8,4792
449.9,4791
450.0,4789
450.1,4787
450.2,4785
450.3,4785
450.4,4785
450.5,4784
450.6,4783
450.7,4783
450.8,4785
450.9,4787
451.0,4788
451.1,4790
451.2,4792
451.3,4797
451.4,4800
451.5,4802
451.6,4804
451.7,4805
451.8,4806
451.9,4810
452.0,4815
452.1,4818
452.2,4820
452.3,4824
452.4,4829
452.5,4835
452.6,4840
452.7,4846
452.8,4854
452.9,4861
453.0,4870
453.1,4879
453.2,4887
453.3,4897
453.4,4906
453.5,4915
453.6,4926
453.7,4936
453.8,4945
453.9,4955
454.0,4964
454.1,4974
454.2,4984
454.3,4991
454.4,4999
454.5,5006
454.6,5013
454.7,5021
454.8,5030
454.9,5036
455.0,5043
455.1,5051
455.2,5060
455.3,5070
455.4,5078
455.5,5087
455.6,5095
455.7,5103
455.8,5112
455.9,5122
456.0,5130
456.1,5136
456.2,5142
456.3,5148
456.4,5154
456.5,5157
456.6,5161
456.7,5164
456.8,5168
456.9,5172
457.0,5176
457.1,5179
457.2,5183
457.3,5187
457.4,5193
457.5,5199
457.6,5203
457.7,5209
457.8,5215
457.9,5221
458.0,5229
458.1,5237
458.2,5244
458.3,5252
458.4,5259
458.5,5267
458.6,5276
458.7,5285
458.8,5294
458.9,5302
459.0,5311
459.1,5322
459.2,5333
459.3,5343
459.4,5354
459.5,5367
459.6,5379
459.7,5393
459.8,5407
459.9,5422
460.0,5439
460.1,5456
460.2,5473
460.3,5491
460.4,5509
460.5,5528
460.6,5548
460.7,5569
460.8,5590
460.9,5610
461.0,5632
461.1,5655
461.2,5679
461.3,5704
461.4,5729
461.5,5753
461.6,5780
461.7,5808
461.8,5836
461.9,5865
462.0,5893
462.1,5920
462.2,5949
462.3,5977
462.4,6006
462.5,6035
462.6,6062
462.7,6091
462.8,6121
462.9,6151
463.0,6182
463.1,6213
463.2,6243
463.3,6277
463.4,6312
463.5,6347
463.6,6383
463.7,6421
463.8,6458
463.9,6499
464.0,6541
464.1,6583
464.2,6625
464.3,6667
464.4,6713
464.5,6761
464.6,6809
464.7,6858
464.8,6906
464.9,6950
465.0,6998
465.1,7045
465.2,7092
465.3,7137
465.4,7180
465.5,7225
465.6,7269
465.7,7313
465.8,7356
465.9,7401
466.0,7444
466.1,7492
466.2,7540
466.3,7589
466.4,7640
466.5,7693
466.6,7743
466.7,7799
466.8,7855
466.9,7912
467.0,7971
467.1,8027
467.2,8089
467.3,8151
467.4,8213
467.5,8276
467.6,8340
467.7,8400
467.8,8465
467.9,8528
468.0,8592
468.1,8656
468.2,8717
468.3,8782
468.4,8845
468.5,8911
468.6,8979
468.7,9048
468.8,9112
468.9,9183
469.0,9254
469.1,9327
469.2,9404
469.3,9483
469.4,9558
469.5,9638
469.6,9718
469.7,9799
469.8,9884
469.9,9964
470.0,10051
470.1,10136
470.2,10223
470.3,10314
470.4,10407
470.5,10494
470.6,10587
470.7,10681
470.8,10776
470.9,10874
471.0,10966
471.1,11065
471.2,11162
471.3,11259
471.4,11357
471.5,11454
471.6,11542
471.7,11635
471.8,11727
471.9,11816
472.0,11908
472.1,12001
472.2,12086
472.3,12171
472.4,12260
472.5,12353
472.6,12448
472.7,12535
472.8,12622
472.9,12713
473.0,12808
473.1,12904
473.2,12999
473.3,13088
473.4,13176
473.5,13265
473.6,13359
473.7,13451
473.8,13536
473.9,13619
474.0,13705
474.1,13793
474.2,13880
474.3,13966
474.4,14046
474.5,14123
474.6,14202
474.7,14286
474.8,14371
474.9,14457
475.0,14540
475.1,14622
475.2,14707
475.3,14800
475.4,14895
475.5,14984
475.6,15073
475.7,15167
475.8,15267
475.9,15366
476.0,15465
476.1,15557
476.2,15647
476.3,15740
476.4,15841
476.5,15943
476.6,16039
476.7,16136
476.8,16239
476.9,16350
477.0,16463
477.1,16580
477.2,16692
477.3,16803
477.4,16918
477.5,17041
477.6,17165
477.7,17290
477.8,17400
477.9,17511
478.0,17633
478.1,17755
478.2,17876
478.3,17984
478.4,18098
478.5,18222
478.6,18346
478.7,18472
478.8,18599
478.9,18715
479.0,18836
479.1,18971
479.2,19108
479.3,19249
479.4,19375
479.5,19510
479.6,19658
479.7,19810
479.8,19964
479.9,20119
480.0,20260
480.1,20402
480.2,20559
480.3,20714
480.4,20866
480.5,21018
480.6,21156
480.7,21291
480.8,21441
480.9,21590
481.0,21740
481.1,21874
481.2,22012
481.3,22164
481.4,22317
481.5,22472
481.6,22628
481.7,22768
481.8,22906
481.9,23058
482.0,23209
482.1,23357
482.2,23504
482.3,23638
482.4,23764
482.5,23908
482.6,24049
482.7,24189
482.8,24313
482.9,24435
483.0,24571
483.1,24706
483.2,24839
483.3,24960
483.4,25076
483.5,25194
483.6,25317
483.7,25438
483.8,25556
483.9,25661
484.0,25761
484.1,25874
484.2,25983
484.3,26090
484.4,26186
484.5,26278
484.6,26373
484.7,26471
484.8,26567
484.9,26662
485.0,26748
485.1,26831
485.2,26918
485.3,27014
485.4,27113
485.5,27213
485.6,27304
485.7,27392
485.8,27497
485.9,27604
486.0,27713
486.1,27815
486.2,27913
486.3,28015
486.4,28125
486.5,28236
486.6,28346
486.7,28449
486.8,28547
486.9,28663
487.0,28782
487.1,28903
487.2,29019
487.3,29134
487.4,29254
487.5,29387
487.6,29523
487.7,29664
487.8,29802
487.9,29939
488.0,30078
488.1,30233
488.2,30393
488.3,30549
488.4,30703
488.5,30860
488.6,31031
488.7,31202
488.8,31365
488.9,31529
489.0,31695
489.1,31850
489.2,32019
489.3,32186
489.4,32343
489.5,32493
489.6,32644
489.7,32804
489.8,32964
489.9,33113
490.0,33264
490.1,33415
490.2,33556
490.3,33707
490.4,33855
490.5,33994
490.6,34131
490.7,34270
490.8,34399
490.9,34534
491.0,34670
491.1,34798
491.2,34921
491.3,35044
491.4,35174
491.5,35302
491.6,35423
491.7,35542
491.8,35664
491.9,35776
492.0,35894
492.1,36012
492.2,36123
492.3,36226
492.4,36329
492.5,36439
492.6,36550
492.7,36654
492.8,36759
492.9,36868
493.0,36972
493.1,37085
493.2,37200
493.3,37312
493.4,37424
493.5,37544
493.6,37659
493.7,37784
493.8,37909
493.9,38038
494.0,38172
494.1,38301
494.2,38442
494.3,38581
494.4,38727
494.5,38880
494.6,39036
494.7,39183
494.8,39344
494.9,39505
495.0,39670
495.1,39839
495.2,40001
495.3,40178
495.4,40355
495.5,40538
495.6,40726
495.7,40916
495.8,41097
495.9,41293
496.0,41492
496.1,41694
496.2,41903
496.3,42115
496.4,42313
496.5,42524
496.6,42739
496.7,42953
496.8,43170
496.9,43372
497.0,43589
497.1,43807
497.2,44026
497.3,44251
497.4,44478
497.5,44691
497.6,44916
497.7,45147
497.8,45379
497.9,45613
498.0,45830
498.1,46063
498.2,46296
498.3,46528
498.4,46759
498.5,46986
498.6,47191
498.7,47406
498.8,47622
498.9,47833
499.0,48044
499.1,48252
499.2,48441
499.3,48634
499.4,48831
499.5,49026
499.6,49220
499.7,49398
499.8,49584
499.9,49772
500.0,49961
500.1,50149
500.2,50337
500.3,50511
500.4,50691
500.5,50874
