Baseline 100%T,,Baseline 0%T,,0.01mg_mL_4CzIPN,,0.05mg_mL_4CzIPN,,0.1mg_mL_4CzIPN,,0.3mg_mL_4CzIPN,,0.965mg_mL_PS_6_1K,,1.09mg_mL_005d-B1-FLASH,,0.985mg_mL_005d-B1-rGPC,,0.95mg_mL_005d-B1-toyopearls,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,92.40782928,800,0.001862634206,800,0.000873519748,800,0.0004815906286,800,0.003416371765,800,0.006648130715,800,0.001559605007,800,0.001852150192,800,0.0009358794196,800,0.004947704729,
799,92.40119934,799,0.002048338065,799,0.0009048281936,799,0.0005186242633,799,0.003420311259,799,0.006681172643,799,0.001467207214,799,0.001856231713,799,0.001037349692,799,0.005007221829,
798,92.40279388,798,0.001909826649,798,0.0008980578859,798,0.0005478077219,798,0.003455874277,798,0.006643478293,798,0.001513338764,798,0.001847990789,798,0.0009499919834,798,0.005047995597,
797,92.39219666,797,0.001540825004,797,0.00098812941,797,0.0005307017127,797,0.003471817356,797,0.006711561698,797,0.001524196938,797,0.001900584553,797,0.001018070849,797,0.00504443422,
796,92.39094543,796,0.001745663816,796,0.0008863852709,796,0.0005233411794,796,0.0034677207,796,0.006648551207,796,0.001511026872,796,0.001933865249,796,0.001018356299,796,0.005063971039,
795,92.38817596,795,0.001575232949,795,0.0009746122523,795,0.0005259847385,795,0.00342636439,795,0.006769033615,795,0.001474479912,795,0.001988237724,795,0.0009562441846,795,0.004968939349,
794,92.40179443,794,0.001646058634,794,0.001054864842,794,0.0005389954313,794,0.003531602211,794,0.006793302484,794,0.0015693733,794,0.002087951405,794,0.001033405657,794,0.005100402515,
793,92.3938446,793,0.001802086947,793,0.0008692659321,793,0.0005694243591,793,0.003394664964,793,0.006673470605,793,0.001574127586,793,0.001941015711,793,0.000956866832,793,0.005068266299,
792,92.41944885,792,0.00172103697,792,0.0009956015274,792,0.0006580795744,792,0.00348141999,792,0.006822700147,792,0.001580986311,792,0.002145594917,792,0.001021651551,792,0.00517571019,
791,92.41802979,791,0.001569479704,791,0.0009617182077,791,0.0006045473274,791,0.003432365367,791,0.006840608083,791,0.001636276138,791,0.002097055316,791,0.001045497367,791,0.00512085855,
790,92.42269897,790,0.001892098458,790,0.0009586828528,790,0.0005246370565,790,0.003540083766,790,0.006659091916,790,0.001445389935,790,0.002146219369,790,0.0009433507221,790,0.005053547677,
789,92.42498016,789,0.001507122768,789,0.0008402424864,789,0.0004690999049,789,0.003425242379,789,0.006756755058,789,0.001450428623,789,0.002033072291,789,0.0008879934903,789,0.005064783152,
788,92.45829773,788,0.001372547704,788,0.0009778552921,788,0.0006250002771,788,0.003596302355,788,0.006766272709,788,0.001549473265,788,0.002173014684,788,0.001105130767,788,0.00516284816,
787,92.45077515,787,0.00176722859,787,0.000855415361,787,0.0004972433671,787,0.003487056354,787,0.006738614291,787,0.001514299889,787,0.002092451323,787,0.0009340115939,787,0.005035635084,
786,92.48364258,786,0.00140297669,786,0.0009997009765,786,0.0005939971888,786,0.003567356849,786,0.00681375945,786,0.001606967533,786,0.002279328415,786,0.001039555296,786,0.005111586303,
785,92.50775909,785,0.001690075966,785,0.0009760910762,785,0.0005865059211,785,0.00363480323,785,0.00696174847,785,0.001635626541,785,0.00227456633,785,0.001036571222,785,0.005178513005,
784,92.52215576,784,0.001449670992,784,0.0009352827328,784,0.000636717712,784,0.0035319936,784,0.006785440259,784,0.001643525669,784,0.002261972055,784,0.0009622111684,784,0.005234708078,
