Created as New Dataset,Sample 2530 By Analyst Date Thursday, December 19 2024
nm,INT
375.0,1341
375.1,1308
375.2,1267
375.3,1228
375.4,1192
375.5,1162
375.6,1132
375.7,1102
375.8,1076
375.9,1052
376.0,1028
376.1,1005
376.2,983
376.3,962
376.4,941
376.5,920
376.6,902
376.7,882
376.8,862
376.9,843
377.0,824
377.1,805
377.2,787
377.3,768
377.4,748
377.5,728
377.6,709
377.7,690
377.8,670
377.9,650
378.0,632
378.1,613
378.2,594
378.3,576
378.4,558
378.5,540
378.6,523
378.7,507
378.8,491
378.9,475
379.0,460
379.1,445
379.2,431
379.3,416
379.4,402
379.5,389
379.6,376
379.7,365
379.8,352
379.9,340
380.0,329
380.1,319
380.2,308
380.3,298
380.4,288
380.5,279
380.6,270
380.7,261
380.8,253
380.9,245
381.0,237
381.1,229
381.2,223
381.3,216
381.4,210
381.5,205
381.6,200
381.7,194
381.8,189
381.9,185
382.0,181
382.1,177
382.2,173
382.3,170
382.4,166
382.5,163
382.6,161
382.7,158
382.8,155
382.9,153
383.0,151
383.1,149
383.2,146
383.3,144
383.4,142
383.5,141
383.6,140
383.7,139
383.8,138
383.9,138
384.0,138
384.1,139
384.2,141
384.3,143
384.4,145
384.5,148
384.6,150
384.7,153
384.8,157
384.9,160
385.0,164
385.1,169
385.2,173
385.3,178
385.4,183
385.5,189
385.6,195
385.7,200
385.8,206
385.9,212
386.0,217
386.1,222
386.2,227
386.3,232
386.4,236
386.5,240
386.6,244
386.7,248
386.8,252
386.9,256
387.0,260
387.1,264
387.2,267
387.3,270
387.4,272
387.5,275
387.6,277
387.7,278
387.8,279
387.9,280
388.0,280
388.1,281
388.2,281
388.3,281
388.4,281
388.5,280
388.6,279
388.7,277
388.8,275
388.9,272
389.0,269
389.1,264
389.2,259
389.3,254
389.4,248
389.5,242
389.6,236
389.7,231
389.8,224
389.9,218
390.0,212
390.1,206
390.2,200
390.3,195
390.4,189
390.5,183
390.6,177
390.7,171
390.8,164
390.9,158
391.0,152
391.1,147
391.2,141
391.3,135
391.4,129
391.5,124
391.6,118
391.7,112
391.8,107
391.9,101
392.0,95
392.1,90
392.2,85
392.3,80
392.4,75
392.5,71
392.6,67
392.7,64
392.8,61
392.9,58
393.0,56
393.1,54
393.2,53
393.3,51
393.4,49
393.5,48
393.6,47
393.7,46
393.8,46
393.9,45
394.0,44
394.1,44
394.2,43
394.3,43
394.4,44
394.5,44
394.6,45
394.7,46
394.8,46
394.9,48
395.0,49
395.1,51
395.2,53
395.3,55
395.4,57
395.5,60
395.6,62
395.7,65
395.8,68
395.9,72
396.0,75
396.1,79
396.2,83
396.3,88
396.4,93
396.5,98
396.6,104
396.7,110
396.8,116
396.9,122
397.0,129
397.1,136
397.2,143
397.3,150
397.4,158
397.5,165
397.6,174
397.7,183
397.8,191
397.9,200
398.0,209
398.1,218
398.2,228
398.3,237
398.4,247
398.5,256
398.6,265
398.7,273
398.8,280
398.9,288
399.0,295
399.1,302
399.2,309
399.3,315
399.4,321
399.5,327
399.6,332
399.7,337
399.8,341
399.9,345
400.0,349
400.1,352
400.2,355
400.3,357
400.4,360
400.5,362
400.6,364
400.7,366
400.8,368
400.9,370
401.0,372
401.1,373
401.2,375
401.3,376
401.4,377
401.5,378
401.6,379
401.7,379
401.8,380
401.9,381
402.0,382
402.1,383
402.2,384
402.3,386
402.4,387
402.5,389
402.6,391
402.7,393
402.8,395
402.9,397
403.0,398
403.1,400
403.2,402
403.3,404
403.4,406
403.5,409
403.6,413
403.7,417
403.8,421
403.9,427
404.0,433
404.1,440
404.2,446
404.3,454
404.4,461
404.5,469
404.6,477
404.7,485
404.8,493
404.9,502
405.0,511
405.1,520
405.2,529
405.3,537
405.4,546
405.5,553
405.6,560
405.7,567
405.8,573
405.9,579
406.0,584
