	vg	id_down	id_up	vd
0	-60	-2.233168e-07	-2.079746e-07	-60.0
1	-59	-2.131321e-07	-1.889676e-07	-60.0
2	-58	-1.990046e-07	-1.705169e-07	-60.0
3	-57	-1.851529e-07	-1.534068e-07	-60.0
4	-56	-1.717902e-07	-1.388004e-07	-60.0
5	-55	-1.58789e-07	-1.249103e-07	-60.0
6	-54	-1.464567e-07	-1.123111e-07	-60.0
7	-53	-1.348808e-07	-1.012093e-07	-60.0
8	-52	-1.236195e-07	-9.129443e-08	-60.0
9	-51	-1.13351e-07	-8.171283e-08	-60.0
10	-50	-1.030387e-07	-7.297442e-08	-60.0
11	-49	-9.328235e-08	-6.505432e-08	-60.0
12	-48	-8.439705e-08	-5.806417e-08	-60.0
13	-47	-7.550295e-08	-5.152461e-08	-60.0
14	-46	-6.71922e-08	-4.579655e-08	-60.0
15	-45	-5.956532e-08	-4.059889e-08	-60.0
16	-44	-5.252291e-08	-3.554845e-08	-60.0
17	-43	-4.732718e-08	-3.118572e-08	-60.0
18	-42	-4.487808e-08	-2.710151e-08	-60.0
19	-41	-3.91161e-08	-2.342599e-08	-60.0
20	-40	-3.356168e-08	-2.026564e-08	-60.0
21	-39	-2.884905e-08	-1.744514e-08	-60.0
22	-38	-2.461459e-08	-1.495955e-08	-60.0
23	-37	-2.062506e-08	-1.268474e-08	-60.0
24	-36	-1.67564e-08	-1.051973e-08	-60.0
25	-35	-1.370911e-08	-8.901546e-09	-60.0
26	-34	-1.095963e-08	-7.0977e-09	-60.0
27	-33	-8.709809e-09	-5.926041e-09	-60.0
28	-32	-6.749839e-09	-4.859331e-09	-60.0
29	-31	-5.15945e-09	-3.978819e-09	-60.0
30	-30	-4.141163e-09	-2.998721e-09	-60.0
31	-29	-2.7903e-09	-2.588744e-09	-60.0
32	-28	-2.083062e-09	-2.08442e-09	-60.0
33	-27	-1.402293e-09	-1.728444e-09	-60.0
34	-26	-6.566314e-10	-1.297286e-09	-60.0
35	-25	-2.87261e-10	-1.271519e-09	-60.0
36	-24	-7.899549e-11	-1.0774e-09	-60.0
37	-23	-4.692045e-11	-1.265527e-09	-60.0
38	-22	2.536816e-10	-9.284829e-10	-60.0
39	-21	2.474043e-10	-6.85233e-10	-60.0
40	-20	3.755158e-10	-8.339319e-10	-60.0
41	-19	2.435779e-10	-5.576831e-10	-60.0
42	-18	4.157802e-10	-5.837003e-10	-60.0
43	-17	5.973474e-10	-3.234308e-10	-60.0
44	-16	5.445118e-10	-4.189073e-10	-60.0
45	-15	4.898473e-10	-6.484904e-10	-60.0
46	-14	2.782888e-10	-2.748712e-10	-60.0
47	-13	2.096996e-10	-1.618573e-10	-60.0
48	-12	3.425859e-10	-3.866935e-10	-60.0
49	-11	3.992983e-10	-3.298928e-10	-60.0
50	-10	3.091521e-10	-4.395007e-10	-60.0
51	-9	4.164008e-10	-5.496599e-10	-60.0
52	-8	2.698277e-10	-2.314314e-10	-60.0
53	-7	1.85371e-10	-5.811993e-10	-60.0
54	-6	5.280718e-12	-4.319338e-09	-60.0
55	-5	-2.102247e-10	-5.231652e-09	-60.0
56	-4	-4.801762e-10	-5.125272e-09	-60.0
57	-3	-4.099072e-10	-5.266288e-09	-60.0
58	-2	-7.172755e-10	-5.044828e-09	-60.0
59	-1	-1.290907e-09	-5.054309e-10	-60.0
60	0	-2.05498e-09	-8.613427e-10	-60.0
61	1	-2.949306e-09	-6.769409e-10	-60.0
62	2	-4.920015e-09	-5.990753e-10	-60.0
63	3	-8.099208e-09	-8.150343e-10	-60.0
64	4	-1.475195e-08	-1.05442e-09	-60.0
