#EXPORTTYPE:                 ,DATA ALL                    
#FILE:                       ,2024_01_19_SL_001G.ngb-ss5  
#FORMAT:                     ,NETZSCH5                    
#FTYPE:                      ,ASCII                       
#IDENTITY:                   ,polystyrene                 
#DECIMAL:                    ,POINT                       
#SEPARATOR:                  ,COMMA                       
#MTYPE:                      ,TIC                         
#INSTRUMENT:                 ,NETZSCH STA 449F5           
#PROJECT:                    ,2024_01_08_SL_007B          
#DATE/TIME:                  ,1/19/2024 9:10:06 AM (UTC-5)
#CORR. FILE:                 ,                            
#TEMPCAL:                    ,28-06-2023 13:26            
#SENSITIVITY:                ,28-06-2023 13:53            
#LABORATORY:                 ,Tran/AAG                    
#OPERATOR:                   ,Stanley                     
#REMARK:                     ,                            
#SAMPLE:                     ,001G                        
#SAMPLE MASS /mg:            ,15.23                       
#MATERIAL:                   ,                            
#REFERENCE:                  ,                            
#REFERENCE MASS /mg:         ,0                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open           
#SAMPLE CRUCIBLE MASS /mg:   ,0                           
#REFERENCE CRUCIBLE MASS /mg:,0                           
#DSC RANGE /‘V:              ,5000                        
#TG RANGE /mg:               ,35000                       
                             ,                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 29.79400,  0.01007,1.725101e-11,1.731396e-09,2.917576e-11,1.324054e-10,5.276680e-12,4.458338e-09,2.219295e-13,1.080810e-12,6.566048e-14,1.739597e-13,5.796724e-13,2.861150e-12,1.568508e-11,7.990149e-08,6.112099e-10,4.460334e-12,3.375053e-12,2.087185e-08,1.684856e-11,7.885271e-11,3.414637e-13,1.845333e-10,5.717188e-13,3.624445e-11,1.607990e-11,5.949341e-08,3.453255e-12,1.727104e-12,3.781319e-12,1.691238e-10,3.220558e-12,1.099586e-12,2.110195e-13,1.694881e-12,3.888804e-13,1.878616e-12,2.973912e-12,9.378541e-13,5.847842e-13,5.204302e-13,1.043121e-12,5.374819e-13,1.161243e-12,4.404932e-13,2.501011e-13,6.084734e-13,2.399540e-13,4.220110e-13,1.081363e-12,2.210171e-12,2.081406e-12,4.790979e-13,3.450495e-13,2.820301e-13,4.516321e-13,3.258997e-13,6.111818e-13,2.041149e-13,2.536297e-13,5.979067e-13,5.453020e-13,8.653170e-13,3.578810e-12,1.719734e-12,9.154803e-13,1.833630e-13,2.480793e-13,3.081989e-13,3.269678e-13,2.647305e-13,2.972507e-13,2.174282e-13,1.829243e-13,2.205181e-13,4.948145e-13,1.181316e-13,7.687128e-12,1.004382e-12,1.360607e-13,2.185154e-13,1.763058e-13,1.810932e-13,1.730633e-13,1.426411e-13,9.203911e-14,1.259327e-13,2.225971e-13,4.665095e-13,9.654916e-13,8.369166e-13,1.727573e-12,5.330950e-13,9.778023e-14,5.824089e-14,1.055813e-13,9.497642e-14,1.359844e-13,1.162624e-13,1.794529e-13,8.889198e-14,1.220008e-12,3.906733e-13,9.178835e-13,2.678967e-13,1.020908e-13,1.275539e-13,7.069588e-14,2.880764e-13,6.005287e-14,6.052971e-14,1.319218e-13,1.957226e-13,6.036860e-13,1.432067e-12,4.332156e-12,6.704813e-13,2.581310e-13,1.121616e-13,7.258415e-14,5.267143e-14,5.412102e-14,7.109642e-14,7.197380e-14,1.119328e-13,1.603794e-13,6.569863e-14,2.254772e-13,1.762295e-13,3.858286e-13,1.139927e-13,8.927345e-14,7.164955e-14,1.079273e-13,7.218361e-14,7.681847e-14,1.562595e-13
 29.88200,  0.18972,2.005100e-11,1.966381e-09,3.151804e-11,1.412536e-10,4.630089e-12,3.930956e-09,1.751423e-13,9.862054e-13,3.733635e-14,1.754093e-13,5.303103e-13,2.892259e-12,1.674747e-11,8.909816e-08,6.825447e-10,4.807472e-12,3.920555e-12,2.321465e-08,1.832676e-11,8.871370e-11,3.501230e-13,1.590397e-10,6.232363e-13,3.173357e-11,1.444340e-11,5.125003e-08,3.386497e-12,1.757622e-12,3.680229e-12,1.689159e-10,3.289223e-12,1.065254e-12,1.969433e-13,1.689178e-12,3.513247e-13,1.924927e-12,3.122819e-12,1.009876e-12,5.166537e-13,5.323320e-13,9.037882e-13,5.638605e-13,1.135722e-12,4.389483e-13,2.244663e-13,5.706316e-13,2.640057e-13,4.649454e-13,9.609520e-13,2.167656e-12,2.028114e-12,4.610926e-13,3.093624e-13,2.490139e-13,5.317026e-13,3.271967e-13,6.136805e-13,1.766491e-13,2.209377e-13,6.032092e-13,5.338198e-13,9.096629e-13,3.668436e-12,1.708481e-12,9.063441e-13,1.811123e-13,2.495670e-13,2.534008e-13,2.814388e-13,2.528286e-13,2.423382e-13,2.074146e-13,1.835346e-13,1.584148e-13,4.702669e-13,1.605511e-13,7.405927e-12,9.387887e-13,1.111317e-13,1.858234e-13,1.410961e-13,1.832294e-13,1.657581e-13,1.270008e-13,1.456356e-13,1.576328e-13,2.455425e-13,4.644305e-13,1.055328e-12,8.987337e-13,1.823284e-12,5.232531e-13,1.208591e-13,6.953239e-14,7.662773e-14,8.128166e-14,1.527500e-13,1.074505e-13,1.629162e-13,8.915901e-14,1.228954e-12,4.327685e-13,1.014644e-12,2.549839e-13,8.166313e-14,1.610470e-13,7.691383e-14,2.579022e-13,8.841514e-14,7.834435e-14,1.229954e-13,1.991940e-13,5.957895e-13,1.491386e-12,4.418158e-12,7.205111e-13,2.999592e-13,9.253502e-14,7.733345e-14,8.118629e-14,5.518913e-14,5.427361e-14,9.770394e-14,1.215076e-13,1.517963e-13,6.777763e-14,2.238750e-13,1.294231e-13,3.772455e-13,1.207256e-13,1.298428e-13,6.863594e-14,7.742882e-14,4.469871e-14,7.351875e-14,1.602459e-13
 30.00400,  0.36422,2.158832e-11,2.177334e-09,3.408342e-11,1.516067e-10,4.218102e-12,3.430849e-09,1.935101e-13,1.102287e-12,5.969047e-14,1.451588e-13,4.759127e-13,2.916463e-12,1.758099e-11,9.816169e-08,7.485390e-10,5.196571e-12,3.907204e-12,2.523453e-08,1.975346e-11,9.520829e-11,4.020029e-13,1.384669e-10,5.874163e-13,2.729511e-11,1.216412e-11,4.424109e-08,3.363609e-12,1.793861e-12,3.548622e-12,1.705162e-10,3.317833e-12,9.155184e-13,2.480984e-13,1.893074e-12,3.462130e-13,1.896412e-12,3.183320e-12,9.085756e-13,5.672556e-13,5.038363e-13,9.979356e-13,5.446154e-13,1.049625e-12,4.218584e-13,2.351665e-13,6.162363e-13,2.466488e-13,4.053599e-13,1.075431e-12,2.327778e-12,2.055942e-12,4.605204e-13,3.584582e-13,2.524853e-13,4.745012e-13,3.095531e-13,6.532198e-13,1.734257e-13,2.738476e-13,6.306559e-13,5.673319e-13,9.147936e-13,3.680109e-12,1.746475e-12,9.507477e-13,1.607227e-13,2.654171e-13,3.038502e-13,2.652836e-13,2.652454e-13,2.797222e-13,1.751041e-13,1.553821e-13,2.069187e-13,4.775148e-13,1.233387e-13,6.766183e-12,8.533007e-13,9.184837e-14,1.874828e-13,1.568317e-13,1.496220e-13,1.459980e-13,1.305866e-13,1.728153e-13,1.056385e-13,2.479649e-13,4.998309e-13,1.079284e-12,8.794313e-13,1.941959e-12,6.929499e-13,1.163959e-13,6.205559e-14,8.109093e-14,7.824898e-14,1.312160e-13,1.181698e-13,1.732349e-13,8.591652e-14,1.289359e-12,4.570681e-13,9.553253e-13,2.852726e-13,8.128166e-14,1.499653e-13,1.049328e-13,2.950001e-13,1.241398e-13,1.059818e-13,1.582241e-13,1.901340e-13,6.494433e-13,1.575024e-12,4.778876e-12,7.125575e-13,2.454472e-13,1.520061e-13,6.972313e-14,7.740974e-14,5.927086e-14,7.010460e-14,1.135159e-13,1.573086e-13,1.733112e-13,6.226540e-14,2.266026e-13,1.743221e-13,3.552347e-13,1.436520e-13,1.316547e-13,5.684853e-14,9.610176e-14,8.147240e-14,6.482124e-14,1.460171e-13
 30.18000,  0.55010,2.320576e-11,2.355099e-09,3.760820e-11,1.614391e-10,3.556251e-12,3.011608e-09,1.898861e-13,1.266814e-12,2.280235e-14,1.245594e-13,4.694849e-13,3.225282e-12,1.793957e-11,1.054668e-07,8.017540e-10,5.660057e-12,4.101753e-12,2.700627e-08,2.124882e-11,1.014453e-10,3.508288e-13,1.201678e-10,5.731875e-13,2.418232e-11,1.034832e-11,3.822035e-08,3.161430e-12,1.982689e-12,3.394127e-12,1.716759e-10,3.329277e-12,9.415353e-13,2.081966e-13,1.899673e-12,3.639322e-13,2.025558e-12,3.393567e-12,9.652436e-13,5.234820e-13,5.302340e-13,1.010886e-12,5.490786e-13,1.078902e-12,4.143816e-13,2.811718e-13,7.188517e-13,2.623654e-13,3.855997e-13,1.133682e-12,2.555954e-12,2.177574e-12,5.436045e-13,3.190905e-13,2.990246e-13,4.580027e-13,3.413302e-13,5.868059e-13,1.818180e-13,2.442265e-13,6.735331e-13,5.471331e-13,8.244043e-13,3.659280e-12,1.794941e-12,9.212786e-13,1.609898e-13,2.606297e-13,2.955151e-13,3.249079e-13,2.506161e-13,2.928066e-13,1.633930e-13,2.002430e-13,1.784229e-13,4.699046e-13,1.067066e-13,6.964509e-12,8.691889e-13,1.259136e-13,1.884937e-13,1.314640e-13,1.578426e-13,1.561451e-13,1.402760e-13,1.584721e-13,1.383495e-13,2.563381e-13,4.794603e-13,1.200744e-12,9.417832e-13,2.097561e-12,6.271082e-13,1.249600e-13,8.067131e-14,1.128292e-13,1.158047e-13,1.394749e-13,1.220608e-13,2.100086e-13,9.884835e-14,1.358119e-12,4.550844e-13,9.992707e-13,2.411175e-13,1.419735e-13,1.526356e-13,8.973121e-14,2.718067e-13,6.894112e-14,1.206112e-13,1.810932e-13,2.198887e-13,7.454019e-13,1.738293e-12,4.809489e-12,7.542139e-13,2.723599e-13,1.460171e-13,9.272575e-14,7.897377e-14,4.252434e-14,5.318642e-14,9.776115e-14,1.685619e-13,1.657391e-13,9.081841e-14,2.352047e-13,1.722050e-13,3.942400e-13,1.385593e-13,1.613522e-13,5.831718e-14,8.751869e-14,8.286476e-14,9.747505e-14,2.001286e-13
 30.38400,  0.72566,2.437878e-11,2.505779e-09,3.972155e-11,1.687576e-10,3.115654e-12,2.658939e-09,1.979542e-13,1.151859e-12,6.571769e-14,1.680469e-13,5.626780e-13,3.162549e-12,1.826572e-11,1.113987e-07,8.423806e-10,5.887031e-12,4.189491e-12,2.839978e-08,2.257824e-11,1.064807e-10,4.040247e-13,1.057216e-10,6.110102e-13,2.092838e-11,9.549141e-12,3.331388e-08,3.254890e-12,2.028465e-12,3.409386e-12,1.730720e-10,3.516197e-12,1.021385e-12,2.256870e-13,1.841900e-12,3.905779e-13,2.092029e-12,3.368047e-12,9.811508e-13,5.550867e-13,5.177409e-13,1.010677e-12,5.923754e-13,1.120826e-12,3.704745e-13,2.260494e-13,6.750208e-13,2.258015e-13,4.617029e-13,1.049262e-12,2.474472e-12,2.114479e-12,4.929453e-13,3.611475e-13,2.607441e-13,4.250437e-13,3.837878e-13,6.107623e-13,2.003002e-13,2.410412e-13,6.604105e-13,5.462939e-13,8.665949e-13,3.771166e-12,1.675312e-12,8.626849e-13,1.679325e-13,2.694607e-13,2.805996e-13,2.261829e-13,2.494526e-13,2.785015e-13,1.514721e-13,1.999950e-13,2.289295e-13,5.034548e-13,1.404858e-13,6.869847e-12,8.280855e-13,1.255131e-13,2.444553e-13,1.790524e-13,1.334667e-13,1.599598e-13,1.904011e-13,1.579761e-13,1.300907e-13,3.179842e-13,5.116755e-13,1.209537e-12,9.501755e-13,2.130386e-12,6.311137e-13,1.346302e-13,1.118565e-13,1.111126e-13,1.133823e-13,1.567936e-13,1.154423e-13,2.175999e-13,1.284313e-13,1.360065e-12,4.813868e-13,1.127731e-12,2.867794e-13,1.137447e-13,1.431179e-13,8.378029e-14,3.434282e-13,9.840965e-14,9.325981e-14,1.485348e-13,2.252102e-13,7.044894e-13,1.767341e-12,5.181899e-12,8.219629e-13,2.850819e-13,1.625729e-13,7.632255e-14,7.836342e-14,5.139351e-14,6.505012e-14,1.172352e-13,1.983357e-13,1.350117e-13,6.947517e-14,2.381229e-13,1.488400e-13,3.773981e-13,1.281643e-13,1.527309e-13,8.994102e-14,8.437157e-14,1.042652e-13,8.929253e-14,1.448536e-13
 30.67900,  0.90111,2.525616e-11,2.640629e-09,4.218775e-11,1.777965e-10,2.881050e-12,2.358723e-09,1.534939e-13,1.148082e-12,4.069328e-14,1.642704e-13,5.509859e-13,3.198121e-12,1.893711e-11,1.162624e-07,8.799553e-10,6.302833e-12,4.446983e-12,2.940286e-08,2.348423e-11,1.106807e-10,4.058939e-13,9.365946e-11,6.505114e-13,1.858425e-11,8.799553e-12,2.934564e-08,3.176689e-12,2.032280e-12,3.218651e-12,1.734497e-10,3.334999e-12,1.070976e-12,2.205563e-13,1.920826e-12,4.050928e-13,2.057278e-12,3.260110e-12,9.968102e-13,5.577379e-13,4.848963e-13,1.111385e-12,5.833536e-13,1.152431e-12,4.792887e-13,2.738857e-13,5.712229e-13,2.664852e-13,4.437929e-13,1.101066e-12,2.350285e-12,2.045032e-12,4.607302e-13,3.546435e-13,2.847958e-13,5.019480e-13,3.579432e-13,6.164461e-13,2.056599e-13,2.401066e-13,6.632143e-13,6.960970e-13,9.095675e-13,3.646139e-12,1.719162e-12,9.113795e-13,1.873493e-13,2.683163e-13,2.482891e-13,2.904415e-13,2.659702e-13,2.872753e-13,1.710606e-13,1.455784e-13,1.898670e-13,4.494387e-13,1.321697e-13,6.760365e-12,8.396631e-13,1.133823e-13,1.852703e-13,1.773548e-13,1.844311e-13,1.525974e-13,1.414013e-13,1.776409e-13,1.444721e-13,2.934170e-13,5.431086e-13,1.078979e-12,1.032554e-12,2.322724e-12,6.603914e-13,1.209927e-13,1.088238e-13,1.165295e-13,1.221371e-13,1.501751e-13,1.120281e-13,1.885891e-13,1.302814e-13,1.483051e-12,4.585177e-13,9.996902e-13,2.754116e-13,1.407719e-13,1.826954e-13,9.383201e-14,3.182131e-13,1.015949e-13,9.531975e-14,1.653385e-13,2.401066e-13,7.425600e-13,1.763737e-12,4.991374e-12,8.434969e-13,2.931118e-13,1.296520e-13,6.487846e-14,9.139061e-14,5.770683e-14,8.177758e-14,1.085758e-13,1.649952e-13,2.048206e-13,8.734703e-14,2.594662e-13,1.971722e-13,3.742701e-13,1.572514e-13,2.147961e-13,8.046150e-14,4.870415e-14,9.819984e-14,8.261681e-14,1.795864e-13
 31.00100,  1.07888,2.653408e-11,2.739239e-09,4.435450e-11,1.839668e-10,2.724648e-12,2.115726e-09,1.838398e-13,1.227199e-12,6.037712e-14,1.701069e-13,5.162722e-13,3.113721e-12,1.891231e-11,1.198101e-07,9.078026e-10,6.461143e-12,4.385948e-12,3.027318e-08,2.377605e-11,1.145869e-10,3.912455e-13,8.488756e-11,6.808001e-13,1.695537e-11,7.971763e-12,2.624695e-08,3.178596e-12,2.146721e-12,3.380775e-12,1.733295e-10,3.327370e-12,1.080513e-12,2.025509e-13,1.975376e-12,4.026133e-13,2.154133e-12,3.348764e-12,9.683907e-13,5.764872e-13,5.374056e-13,1.160308e-12,5.298716e-13,1.066753e-12,4.397494e-13,2.447414e-13,6.097132e-13,2.440166e-13,4.316241e-13,1.018058e-12,2.330163e-12,2.091419e-12,4.901033e-13,3.878313e-13,2.960300e-13,4.782396e-13,3.116131e-13,6.536776e-13,1.857662e-13,2.286434e-13,6.391245e-13,5.090052e-13,8.518320e-13,3.389123e-12,1.653644e-12,8.510309e-13,1.566792e-13,2.268505e-13,2.909946e-13,2.527523e-13,2.672291e-13,2.667141e-13,1.622105e-13,1.760960e-13,1.757526e-13,4.401881e-13,1.230717e-13,6.722543e-12,8.345896e-13,1.477146e-13,2.143383e-13,1.485157e-13,1.554203e-13,1.452351e-13,1.397610e-13,1.706028e-13,1.398945e-13,2.840901e-13,6.031138e-13,1.140891e-12,1.068698e-12,2.163994e-12,6.750208e-13,1.109028e-13,1.078129e-13,1.091480e-13,1.094723e-13,1.522732e-13,1.189518e-13,2.213955e-13,1.441479e-13,1.503764e-12,4.201799e-13,1.071769e-12,2.813625e-13,1.247120e-13,1.874065e-13,7.674217e-14,3.581149e-13,1.139736e-13,5.814553e-14,1.458263e-13,2.234364e-13,7.362276e-13,1.738769e-12,5.216880e-12,8.399874e-13,2.829456e-13,1.081562e-13,7.515907e-14,8.822441e-14,7.786751e-14,6.165505e-14,1.059818e-13,1.771641e-13,2.286434e-13,6.318093e-14,2.322674e-13,1.701069e-13,3.749567e-13,1.380634e-13,1.918316e-13,8.345604e-14,8.416176e-14,7.884025e-14,9.320259e-14,2.161503e-13
 31.42500,  1.25432,2.721500e-11,2.816105e-09,4.564386e-11,1.892406e-10,2.404213e-12,1.928806e-09,1.756763e-13,1.180087e-12,4.706383e-14,1.648808e-13,5.478197e-13,3.331903e-12,1.933384e-11,1.223469e-07,9.266853e-10,6.590843e-12,4.576683e-12,3.081372e-08,2.432346e-11,1.166602e-10,4.120928e-13,7.734591e-11,6.392580e-13,1.557636e-11,7.180214e-12,2.389119e-08,3.184318e-12,2.202034e-12,3.348350e-12,1.744148e-10,3.077507e-12,1.063347e-12,1.953411e-13,2.084667e-12,4.025751e-13,2.094604e-12,3.541273e-12,1.034309e-12,6.298167e-13,4.791933e-13,1.113883e-12,5.327517e-13,1.122504e-12,4.204470e-13,2.213001e-13,5.487543e-13,2.911472e-13,4.160410e-13,1.018573e-12,2.476552e-12,2.109787e-12,5.152804e-13,3.816706e-13,3.012371e-13,5.211550e-13,3.212458e-13,5.919176e-13,1.737881e-13,2.617168e-13,7.226282e-13,5.343729e-13,8.919817e-13,3.533148e-12,1.625378e-12,9.051996e-13,1.864338e-13,2.584743e-13,2.414608e-13,2.627087e-13,2.597904e-13,2.531338e-13,1.666546e-13,1.691723e-13,2.105808e-13,4.783731e-13,1.452541e-13,6.781136e-12,8.899599e-13,9.577751e-14,2.028370e-13,1.677227e-13,1.697254e-13,1.382923e-13,1.746464e-13,1.646900e-13,1.344013e-13,2.735233e-13,5.326944e-13,1.195937e-12,1.019794e-12,2.291501e-12,6.706339e-13,1.200581e-13,7.573128e-14,1.526737e-13,1.240444e-13,1.506710e-13,1.203823e-13,1.717091e-13,1.444149e-13,1.490432e-12,5.171687e-13,1.082889e-12,3.016949e-13,1.439762e-13,1.795292e-13,9.459495e-14,3.444010e-13,1.161289e-13,1.050282e-13,1.687145e-13,2.584171e-13,7.169444e-13,1.741497e-12,5.149016e-12,8.767420e-13,2.764988e-13,1.450634e-13,8.194923e-14,6.051064e-14,4.464150e-14,6.772041e-14,9.442330e-14,1.839924e-13,2.011204e-13,7.105827e-14,2.461910e-13,1.856709e-13,4.225451e-13,1.401997e-13,1.608372e-13,7.714271e-14,1.085377e-13,5.932808e-14,8.172035e-14,1.751232e-13
 31.93900,  1.43696,2.780819e-11,2.866650e-09,4.770189e-11,1.945946e-10,2.297401e-12,1.775265e-09,2.021313e-13,1.142131e-12,6.649971e-14,1.646137e-13,5.800921e-13,3.217481e-12,1.911449e-11,1.245594e-07,9.413720e-10,6.669044e-12,4.551888e-12,3.137410e-08,2.449512e-11,1.177989e-10,4.393488e-13,7.145220e-11,5.760103e-13,1.441479e-11,7.140160e-12,2.206128e-08,3.275871e-12,2.299309e-12,3.390312e-12,1.739456e-10,3.281593e-12,1.067162e-12,2.470303e-13,2.043011e-12,4.266649e-13,2.003338e-12,3.428662e-12,9.510338e-13,6.139856e-13,4.362017e-13,1.122009e-12,4.820734e-13,1.089088e-12,4.230219e-13,2.255917e-13,5.597788e-13,2.678776e-13,4.226595e-13,1.037074e-12,2.555726e-12,2.160580e-12,4.984003e-13,3.544146e-13,2.716923e-13,5.056292e-13,3.481775e-13,6.021792e-13,2.018833e-13,2.700520e-13,6.463152e-13,5.494219e-13,9.602845e-13,3.611425e-12,1.591827e-12,8.543688e-13,1.628780e-13,2.378178e-13,2.414608e-13,2.686024e-13,2.729511e-13,2.531910e-13,1.638126e-13,1.780605e-13,1.814175e-13,4.972559e-13,1.345730e-13,6.710907e-12,7.661158e-13,1.203632e-13,2.233410e-13,1.793003e-13,1.618290e-13,1.654339e-13,1.684093e-13,1.477718e-13,1.160526e-13,3.239542e-13,5.381876e-13,1.146728e-12,9.713281e-13,2.346146e-12,7.661158e-13,1.307392e-13,1.261234e-13,1.328373e-13,1.178074e-13,1.749706e-13,1.096058e-13,2.402020e-13,1.293087e-13,1.500980e-12,4.798609e-13,1.064693e-12,3.253275e-13,1.173115e-13,1.613140e-13,7.935524e-14,3.601366e-13,1.068401e-13,8.522987e-14,1.384449e-13,1.998615e-13,7.787806e-13,1.858341e-12,5.263457e-12,7.742411e-13,3.069973e-13,1.360989e-13,6.396293e-14,1.007366e-13,4.202843e-14,5.944252e-14,1.148510e-13,1.689243e-13,2.032566e-13,6.339073e-14,2.875423e-13,1.689243e-13,4.095560e-13,1.064014e-13,1.634502e-13,5.249977e-14,6.623268e-14,1.124477e-13,7.916451e-14,2.033711e-13
 32.47900,  1.61461,2.834988e-11,2.917576e-09,4.818827e-11,1.998379e-10,2.280235e-12,1.671696e-09,1.646137e-13,1.183482e-12,4.530907e-14,2.094746e-13,5.730730e-13,3.024915e-12,1.971531e-11,1.260281e-07,9.518624e-10,6.823540e-12,4.342079e-12,3.165620e-08,2.475834e-11,1.193420e-10,4.560381e-13,6.707674e-11,6.657129e-13,1.362705e-11,6.915092e-12,2.073624e-08,3.232002e-12,2.337456e-12,3.348350e-12,1.729919e-10,3.428459e-12,1.042366e-12,2.584743e-13,2.091248e-12,3.982073e-13,2.068149e-12,3.447965e-12,1.009628e-12,5.768496e-13,5.748278e-13,1.060859e-12,5.762393e-13,1.091834e-12,4.502398e-13,2.019596e-13,6.272227e-13,2.376079e-13,4.075152e-13,1.005889e-12,2.634347e-12,2.034332e-12,4.599863e-13,3.772646e-13,2.911091e-13,4.899698e-13,3.809649e-13,5.877596e-13,2.261639e-13,2.247143e-13,6.086832e-13,5.617434e-13,8.862978e-13,3.657354e-12,1.663849e-12,8.581072e-13,1.597500e-13,2.442074e-13,2.657413e-13,2.583218e-13,2.255917e-13,2.928448e-13,2.071476e-13,1.927662e-13,1.910687e-13,4.701525e-13,1.236820e-13,6.771256e-12,8.343035e-13,1.064014e-13,2.170086e-13,1.827526e-13,1.851177e-13,1.827908e-13,1.819897e-13,1.479626e-13,1.683712e-13,3.433138e-13,5.205065e-13,1.188575e-12,1.021034e-12,2.341569e-12,7.084757e-13,1.045513e-13,7.277489e-14,1.121616e-13,1.375294e-13,1.561451e-13,1.290989e-13,2.119541e-13,1.188374e-13,1.456138e-12,4.745203e-13,1.068374e-12,2.797985e-13,9.907723e-14,1.884365e-13,1.041698e-13,3.570086e-13,9.327889e-14,6.674767e-14,1.206303e-13,2.190685e-13,7.442767e-13,1.764614e-12,5.222087e-12,8.214861e-13,2.739048e-13,1.411152e-13,6.117821e-14,7.525444e-14,5.986214e-14,8.360863e-14,1.203632e-13,1.664448e-13,1.864338e-13,9.379387e-14,2.381802e-13,1.777744e-13,4.054934e-13,1.205158e-13,1.506519e-13,8.404732e-14,9.161949e-14,6.825447e-14,4.603386e-14,2.035427e-13
