#EXPORTTYPE:                 ,DATA ALL                      
#FILE:                       ,2024_01_19_SL_001G.ngb-ss5    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ASCII                         
#IDENTITY:                   ,polystyrene                   
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH STA 449F5             
#PROJECT:                    ,2024_01_08_SL_007B            
#DATE/TIME:                  ,1/19/2024 9:10:06 AM (UTC-5)  
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,28-06-2023 13:26              
#SENSITIVITY:                ,28-06-2023 13:53              
#LABORATORY:                 ,Tran/AAG                      
#OPERATOR:                   ,Stanley                       
#REMARK:                     ,                              
#SAMPLE:                     ,001G                          
#SAMPLE MASS /mg:            ,15.23                         
#MATERIAL:                   ,                              
#REFERENCE:                  ,                              
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open             
#SAMPLE CRUCIBLE MASS /mg:   ,0                             
#REFERENCE CRUCIBLE MASS /mg:,0                             
#DSC RANGE /‘V:              ,5000                          
#TG RANGE /mg:               ,35000                         
#TAU-R:                      ,---                           
#CORR. CODE:                 ,000                           
#EXO:                        ,-1                            
#RANGE:                      ,20›C....800›C/0.0....10.0K/min
#SEGMENT:                    ,S1-5/5                        
#SEG. 1:                     ,20›C/10.0(K/min)/100›C        
#SEG. 2:                     ,100›C/00:10/100›C             
#SEG. 3:                     ,100›C/10.0(K/min)/350›C       
#SEG. 4:                     ,350›C/04:00/350›C             
#SEG. 5:                     ,350›C/10.0(K/min)/800›C       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.78000,  0.00000, 2.299922e-02,100.00000,50.00000,20.00000,1.678584e-07,0.92351,1
 29.84000,  0.10000, 2.137166e-02, 99.99554,50.00000,20.00000,1.692753e-07,0.92352,1
 29.91800,  0.20000, 2.006952e-02, 99.96435,50.00000,20.00000,1.711431e-07,0.92354,1
 29.99100,  0.30000, 2.001498e-02, 99.96435,50.00000,20.00000,1.733994e-07,0.92355,1
 30.05300,  0.40000, 2.104530e-02, 99.95542,50.00000,20.00000,1.754418e-07,0.92356,1
 30.15600,  0.50000, 2.413651e-02, 99.95542,50.00000,20.00000,1.769728e-07,0.92358,1
 30.25600,  0.60000, 2.842085e-02, 99.96435,50.00000,20.00000,1.783152e-07,0.92360,1
 30.38400,  0.70000, 3.422348e-02, 99.98286,50.00000,20.00000,1.796001e-07,0.92362,1
 30.55600,  0.80000, 4.138135e-02,100.01110,50.00000,20.00000,1.807273e-07,0.92366,1
 30.71600,  0.90000, 4.962352e-02,100.03191,50.00000,20.00000,1.816725e-07,0.92368,1
 30.92500,  1.00000, 5.905772e-02,100.07722,50.00000,20.00000,1.824415e-07,0.92372,1
 31.13400,  1.10000, 6.892500e-02,100.09731,50.00000,20.00000,1.829775e-07,0.92376,1
 31.37100,  1.20000, 7.879109e-02,100.13966,50.00000,20.00000,1.833188e-07,0.92380,1
 31.62200,  1.30000, 8.898143e-02,100.16192,50.00000,20.00000,1.837349e-07,0.92385,1
 31.89800,  1.40000, 9.965837e-02,100.18864,50.00000,20.00000,1.842338e-07,0.92389,1
 32.18600,  1.50000,      0.10968,100.22062,50.00000,20.00000,1.845273e-07,0.92394,1
 32.47900,  1.60000,      0.11998,100.24064,50.00000,20.00000,1.847192e-07,0.92399,1
 32.81500,  1.70000,      0.12967,100.27183,50.00000,20.00000,1.851065e-07,0.92405,1
