#EXPORTTYPE:                 ,DATA ALL                    
#FILE:                       ,2024_01_19_SL_005P.ngb-ss5  
#FORMAT:                     ,NETZSCH5                    
#FTYPE:                      ,ASCII                       
#IDENTITY:                   ,PS-SCF3                     
#DECIMAL:                    ,POINT                       
#SEPARATOR:                  ,COMMA                       
#MTYPE:                      ,TIC                         
#INSTRUMENT:                 ,NETZSCH STA 449F5           
#PROJECT:                    ,2024_01_08_SL_007B          
#DATE/TIME:                  ,1/20/2024 2:10:19 PM (UTC-5)
#CORR. FILE:                 ,                            
#TEMPCAL:                    ,28-06-2023 13:26            
#SENSITIVITY:                ,28-06-2023 13:53            
#LABORATORY:                 ,Tran/AAG                    
#OPERATOR:                   ,Stanley                     
#REMARK:                     ,                            
#SAMPLE:                     ,005P                        
#SAMPLE MASS /mg:            ,10.05                       
#MATERIAL:                   ,                            
#REFERENCE:                  ,Empty Al2O3                 
#REFERENCE MASS /mg:         ,0                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open           
#SAMPLE CRUCIBLE MASS /mg:   ,0                           
#REFERENCE CRUCIBLE MASS /mg:,136.57                      
#DSC RANGE /‘V:              ,5000                        
#TG RANGE /mg:               ,35000                       
                             ,                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.03300,  0.01336,6.711899e-12,6.344238e-10,3.010845e-11,1.412955e-10,7.201195e-12,6.296259e-09,2.328014e-13,5.576617e-13,8.299828e-14,1.584339e-13,3.110790e-13,1.649715e-12,7.688157e-12,2.836087e-08,2.175331e-10,2.415657e-12,1.502037e-12,7.280451e-09,6.344795e-12,2.786922e-11,3.045177e-13,2.514775e-10,4.770189e-13,4.864603e-11,1.962566e-11,7.811544e-08,3.188133e-12,1.036644e-12,2.242088e-12,7.529741e-11,1.589775e-12,5.879122e-13,2.672291e-13,1.346923e-12,7.246500e-13,1.587383e-12,2.916062e-12,8.221918e-13,4.687601e-13,3.778368e-13,6.977373e-13,3.927142e-13,6.243807e-13,3.703982e-13,1.221943e-13,4.139239e-13,2.721119e-13,1.201068e-12,1.028453e-12,2.199604e-12,1.733467e-12,4.011256e-13,2.594662e-13,2.462101e-13,3.654009e-13,2.663708e-13,4.025751e-13,1.302433e-13,1.815128e-13,5.610949e-13,4.856974e-13,9.048945e-13,3.562177e-12,1.595470e-12,8.413416e-13,2.094364e-13,2.163601e-13,2.670765e-13,2.660084e-13,2.440166e-13,2.450085e-13,1.550579e-13,1.850224e-13,2.487278e-13,6.342417e-13,1.239109e-13,7.112692e-12,1.029998e-12,1.375294e-13,2.134991e-13,1.514912e-13,1.235485e-13,1.535892e-13,1.253605e-13,1.316929e-13,1.979351e-13,2.815723e-13,4.121882e-13,9.939492e-13,8.972269e-13,1.976463e-12,5.114085e-13,1.104069e-13,9.745598e-14,1.323223e-13,9.676933e-14,1.043034e-13,8.645057e-14,1.466846e-13,7.611275e-14,1.088897e-12,3.131205e-13,6.879145e-13,2.551746e-13,1.159191e-13,1.129055e-13,7.060051e-14,2.718258e-13,7.357597e-14,5.545616e-14,8.955955e-14,1.499462e-13,4.901033e-13,1.141731e-12,3.738912e-12,6.103045e-13,2.070713e-13,1.066685e-13,9.684563e-14,8.202553e-14,6.833076e-14,4.630089e-14,6.373405e-14,7.956505e-14,1.702023e-13,5.333900e-14,1.585293e-13,1.355839e-13,2.612400e-13,1.201725e-13,1.325512e-13,4.809380e-14,8.320809e-14,6.930351e-14,1.007366e-13,1.232624e-13
 32.02300,  0.18625,7.131384e-12,6.346432e-10,3.014469e-11,1.408855e-10,7.836342e-12,6.334215e-09,2.031803e-13,5.093294e-13,3.113747e-14,9.913445e-14,3.118992e-13,1.729347e-12,7.734468e-12,2.818292e-08,2.158165e-10,2.337456e-12,1.439095e-12,7.306391e-09,6.110191e-12,2.771091e-11,3.045177e-13,2.507126e-10,4.865938e-13,4.841715e-11,1.998234e-11,7.869833e-08,3.273964e-12,1.065254e-12,2.224922e-12,7.458216e-11,1.631737e-12,5.647760e-13,2.617741e-13,1.240798e-12,6.059557e-13,1.524841e-12,3.051332e-12,7.991892e-13,4.544932e-13,3.302676e-13,6.124216e-13,2.937412e-13,6.905276e-13,2.738285e-13,1.401424e-13,4.226977e-13,2.598095e-13,1.138240e-12,9.735406e-13,2.086155e-12,1.755306e-12,3.892809e-13,2.283382e-13,2.187633e-13,3.736788e-13,1.929569e-13,3.412348e-13,1.110554e-13,1.980305e-13,5.570894e-13,4.734903e-13,7.792574e-13,3.700498e-12,1.621525e-12,8.015734e-13,2.040195e-13,2.038860e-13,2.459812e-13,2.563763e-13,1.991367e-13,1.821804e-13,1.396465e-13,2.134037e-13,2.490902e-13,5.733591e-13,1.633740e-13,7.083127e-12,1.028148e-12,1.289082e-13,2.085209e-13,1.530361e-13,1.395702e-13,1.466656e-13,1.836872e-13,1.113987e-13,1.762104e-13,2.744389e-13,4.493433e-13,9.346872e-13,8.898264e-13,1.884510e-12,5.025774e-13,8.322716e-14,8.149147e-14,1.058674e-13,6.751061e-14,1.004314e-13,6.007194e-14,1.385021e-13,5.887031e-14,1.029407e-12,3.110790e-13,7.380777e-13,2.471066e-13,1.186657e-13,1.130009e-13,8.708000e-14,2.660656e-13,8.708000e-14,6.087303e-14,6.361961e-14,1.590824e-13,4.701525e-13,1.204768e-12,3.658441e-12,5.892092e-13,2.541256e-13,1.160526e-13,7.275581e-14,5.602837e-14,5.553246e-14,2.404213e-14,4.389763e-14,8.482933e-14,1.474285e-13,7.098198e-14,1.815701e-13,1.264667e-13,2.958393e-13,6.798745e-14,8.954048e-14,5.726814e-14,9.366036e-14,6.628990e-14,7.538795e-14,1.225376e-13
 32.05400,  0.36274,6.974351e-12,6.316048e-10,3.024959e-11,1.414424e-10,7.494927e-12,6.337649e-09,2.493763e-13,5.090624e-13,3.970146e-14,1.063061e-13,3.445727e-13,1.703197e-12,7.793023e-12,2.807248e-08,2.140999e-10,2.299309e-12,1.395226e-12,7.256609e-09,5.997658e-12,2.792644e-11,2.734661e-13,2.529576e-10,4.018122e-13,4.835611e-11,2.044201e-11,7.899969e-08,3.205299e-12,1.027107e-12,2.186775e-12,7.507234e-11,1.799583e-12,5.507761e-13,2.240849e-13,1.317626e-12,6.292635e-13,1.622021e-12,3.096193e-12,8.011729e-13,5.244929e-13,3.353602e-13,6.476503e-13,3.181940e-13,6.514841e-13,2.944469e-13,1.513195e-13,4.111582e-13,2.299404e-13,1.028873e-12,1.009074e-12,2.203591e-12,1.849682e-12,3.880221e-13,3.013325e-13,2.404117e-13,3.527933e-13,2.418995e-13,3.616053e-13,1.452732e-13,1.774120e-13,5.498034e-13,5.001933e-13,8.622843e-13,3.587545e-12,1.545840e-12,8.071238e-13,1.811314e-13,2.547169e-13,2.311420e-13,2.557468e-13,1.974010e-13,2.079678e-13,1.409435e-13,1.645947e-13,2.298832e-13,5.709559e-13,1.418400e-13,7.144964e-12,1.011611e-12,1.251507e-13,2.142429e-13,1.700115e-13,1.409244e-13,1.397037e-13,1.726055e-13,1.102352e-13,1.357174e-13,2.496815e-13,4.021364e-13,1.005279e-12,9.333331e-13,1.856186e-12,5.372530e-13,1.186085e-13,7.056236e-14,8.866310e-14,9.713173e-14,1.151371e-13,7.706642e-14,1.244831e-13,9.633064e-14,1.040240e-12,3.023815e-13,6.873995e-13,2.359485e-13,7.956505e-14,1.138592e-13,7.779121e-14,2.334690e-13,4.832268e-14,2.840996e-14,1.051807e-13,1.471424e-13,4.845530e-13,1.162025e-12,3.527387e-12,5.975252e-13,1.946545e-13,1.110744e-13,6.243706e-14,6.663322e-14,4.370689e-14,5.990029e-14,7.193566e-14,6.842613e-14,1.696300e-13,4.090309e-14,2.170277e-13,9.528160e-14,2.868557e-13,1.073742e-13,8.770943e-14,6.812096e-14,6.949425e-14,5.045891e-14,7.323265e-14,1.641941e-13
 32.11700,  0.54004,6.973531e-12,6.252762e-10,2.990436e-11,1.411353e-10,7.563590e-12,6.315905e-09,2.319050e-13,5.633837e-13,4.509926e-14,1.366520e-13,3.159434e-13,1.578247e-12,7.603338e-12,2.792447e-08,2.123833e-10,2.232552e-12,1.429558e-12,7.162005e-09,6.217003e-12,2.716732e-11,2.672672e-13,2.535737e-10,4.401499e-13,4.861361e-11,1.998997e-11,7.846391e-08,3.224373e-12,1.051903e-12,2.209663e-12,7.353312e-11,1.673698e-12,5.868250e-13,2.410984e-13,1.316959e-12,6.622225e-13,1.536552e-12,2.926534e-12,7.552630e-13,4.066187e-13,3.828150e-13,7.035166e-13,3.106403e-13,5.998331e-13,2.956867e-13,1.578236e-13,3.903872e-13,2.812481e-13,1.091434e-12,1.034576e-12,2.074024e-12,1.807968e-12,3.769213e-13,2.419758e-13,2.200222e-13,3.458506e-13,2.783680e-13,3.187090e-13,1.147556e-13,1.817417e-13,5.137735e-13,5.096346e-13,7.570940e-13,3.544916e-12,1.605331e-12,8.925920e-13,1.981258e-13,2.064228e-13,2.013683e-13,2.278995e-13,1.744366e-13,2.156353e-13,1.605892e-13,1.873493e-13,2.151966e-13,6.063754e-13,1.455975e-13,7.110632e-12,1.065532e-12,1.409817e-13,2.103901e-13,1.627445e-13,1.492596e-13,1.363087e-13,1.876545e-13,8.969307e-14,1.611996e-13,3.063297e-13,3.799921e-13,9.769928e-13,7.955271e-13,1.961319e-12,5.680567e-13,9.364128e-14,7.100105e-14,1.052380e-13,7.472038e-14,8.856773e-14,7.752418e-14,1.193523e-13,1.049900e-13,1.078349e-12,3.358942e-13,7.530886e-13,2.208042e-13,1.130581e-13,1.152515e-13,4.153252e-14,2.552318e-13,4.494667e-14,7.214546e-14,1.178074e-13,1.264477e-13,4.870325e-13,1.095763e-12,3.508524e-12,6.220919e-13,2.381992e-13,1.135921e-13,7.004738e-14,7.292748e-14,3.970146e-14,4.673958e-14,4.864693e-14,1.058483e-13,1.423168e-13,8.522987e-14,1.750088e-13,1.037121e-13,2.416134e-13,8.812904e-14,7.662773e-14,3.499031e-14,7.460594e-14,3.432274e-14,8.503914e-14,1.039219e-13
 32.23500,  0.71273,6.818997e-12,6.241051e-10,2.961445e-11,1.416656e-10,7.390022e-12,6.324107e-09,1.979923e-13,4.839617e-13,5.026817e-14,1.143742e-13,2.973843e-13,1.619636e-12,7.766168e-12,2.783806e-08,2.120018e-10,2.322197e-12,1.477242e-12,7.153612e-09,6.184578e-12,2.730465e-11,2.833843e-13,2.550251e-10,4.726893e-13,4.915529e-11,2.004147e-11,7.900446e-08,3.117561e-12,1.040459e-12,2.236366e-12,7.404238e-11,1.751900e-12,5.584627e-13,2.309704e-13,1.243373e-12,5.819040e-13,1.644222e-12,3.061269e-12,7.426172e-13,4.186541e-13,3.476054e-13,6.530672e-13,3.232676e-13,5.862338e-13,2.520847e-13,1.361942e-13,4.469401e-13,2.833652e-13,1.077262e-12,9.474290e-13,2.214692e-12,1.663410e-12,3.501612e-13,2.496242e-13,1.863575e-13,3.154856e-13,2.124691e-13,3.704554e-13,1.196957e-13,1.975727e-13,4.905421e-13,4.905230e-13,7.843310e-13,3.556513e-12,1.562664e-12,7.762438e-13,1.708698e-13,2.040958e-13,2.539349e-13,2.283192e-13,2.397060e-13,1.754665e-13,1.430035e-13,1.843548e-13,2.495098e-13,5.435854e-13,1.396847e-13,7.101400e-12,9.884370e-13,1.381588e-13,2.016354e-13,1.624012e-13,1.396084e-13,1.474094e-13,1.969814e-13,9.491920e-14,1.664829e-13,3.168207e-13,4.602152e-13,1.046897e-12,8.805567e-13,1.924984e-12,4.821307e-13,6.031990e-14,5.156517e-14,8.532524e-14,1.029682e-13,1.288128e-13,5.803108e-14,1.310825e-13,8.986473e-14,9.720719e-13,2.926350e-13,6.762033e-13,2.414036e-13,6.258964e-14,1.324940e-13,6.260872e-14,2.331066e-13,7.889747e-14,2.284050e-14,9.387016e-14,1.565266e-13,4.960162e-13,1.163875e-12,3.536752e-12,5.985552e-13,2.080059e-13,1.160336e-13,4.475594e-14,8.412361e-14,4.340172e-14,3.972054e-14,5.749702e-14,9.306907e-14,1.225758e-13,6.884575e-14,1.543713e-13,1.274204e-13,3.178316e-13,9.976387e-14,9.392738e-14,6.392479e-14,8.225441e-14,4.668236e-14,4.019737e-14,1.267147e-13
 32.38900,  0.88536,6.633984e-12,6.210781e-10,2.964306e-11,1.410800e-10,7.681846e-12,6.369311e-09,2.374363e-13,5.199152e-13,3.504753e-14,9.449959e-14,2.735233e-13,1.672298e-12,7.738035e-12,2.764943e-08,2.121925e-10,2.339363e-12,1.368523e-12,7.117754e-09,6.159782e-12,2.746296e-11,2.840328e-13,2.544339e-10,4.474550e-13,4.859453e-11,1.991749e-11,7.887876e-08,3.088951e-12,1.044273e-12,2.150536e-12,7.409579e-11,1.667976e-12,5.710322e-13,2.545834e-13,1.321002e-12,5.996805e-13,1.658489e-12,3.071683e-12,8.081156e-13,4.398829e-13,3.147417e-13,6.857973e-13,3.316027e-13,5.770212e-13,3.093815e-13,1.045322e-13,4.332072e-13,2.480602e-13,1.118156e-12,1.014205e-12,2.007515e-12,1.799461e-12,4.007441e-13,2.531147e-13,2.210712e-13,3.568941e-13,2.073193e-13,3.443247e-13,1.323032e-13,1.440144e-13,5.788905e-13,5.104548e-13,8.291346e-13,3.641103e-12,1.581432e-12,8.451372e-13,1.731205e-13,2.333164e-13,2.141094e-13,2.471828e-13,2.156925e-13,2.171421e-13,1.670551e-13,1.876545e-13,2.170658e-13,6.263262e-13,1.791477e-13,7.042921e-12,1.117069e-12,1.334667e-13,2.434635e-13,1.368046e-13,1.687717e-13,1.288509e-13,2.074909e-13,1.015186e-13,1.680660e-13,2.448368e-13,4.169565e-13,9.743416e-13,8.866411e-13,1.863071e-12,4.650217e-13,1.118183e-13,7.805824e-14,7.321358e-14,6.117821e-14,1.032925e-13,5.999565e-14,1.368046e-13,9.572029e-14,1.015884e-12,3.108120e-13,7.870585e-13,2.462673e-13,1.026821e-13,1.089382e-13,7.166862e-14,2.256870e-13,6.981849e-14,4.960060e-14,8.151054e-14,1.366329e-13,4.589563e-13,1.113921e-12,3.454088e-12,5.755907e-13,2.334309e-13,9.823799e-14,5.564690e-14,5.988121e-14,4.885674e-14,4.765511e-14,6.541252e-14,7.170677e-14,1.570797e-13,5.671501e-14,1.509571e-13,1.336193e-13,2.843380e-13,9.848594e-14,9.791374e-14,4.769325e-14,5.957604e-14,4.834175e-14,6.926537e-14,1.265049e-13
 32.65100,  1.05744,6.769483e-12,6.221272e-10,2.992725e-11,1.402789e-10,7.746697e-12,6.383425e-09,2.361202e-13,5.537516e-13,3.483772e-14,1.464176e-13,2.953434e-13,1.697494e-12,7.584932e-12,2.750046e-08,2.116203e-10,2.364159e-12,1.418114e-12,7.103068e-09,6.243706e-12,2.706432e-11,2.933598e-13,2.535870e-10,4.583270e-13,4.861933e-11,2.023983e-11,7.922056e-08,3.176689e-12,1.053810e-12,2.165794e-12,7.361513e-11,1.757622e-12,5.614954e-13,2.416325e-13,1.191550e-12,6.132609e-13,1.589672e-12,2.996438e-12,8.108431e-13,3.958231e-13,2.910328e-13,6.390673e-13,3.547388e-13,5.642038e-13,2.839565e-13,1.019382e-13,4.094797e-13,2.213764e-13,1.061298e-12,9.554780e-13,1.949226e-12,1.749908e-12,3.514773e-13,2.268696e-13,1.706600e-13,3.669077e-13,2.115154e-13,3.621966e-13,1.200390e-13,2.039623e-13,5.588251e-13,5.231387e-13,8.361345e-13,3.605741e-12,1.559936e-12,8.683878e-13,1.556110e-13,1.857281e-13,2.224255e-13,2.318478e-13,1.775646e-13,2.102375e-13,1.485920e-13,1.433849e-13,2.493000e-13,5.595499e-13,1.664066e-13,7.033079e-12,1.037780e-12,8.994102e-14,2.062893e-13,1.315975e-13,1.329517e-13,1.373386e-13,1.559925e-13,9.179115e-14,1.403904e-13,2.753925e-13,3.986460e-13,9.773934e-13,7.881838e-13,1.816131e-12,5.267054e-13,9.682655e-14,6.720543e-14,1.179600e-13,6.791115e-14,9.413719e-14,5.320549e-14,1.117420e-13,9.259224e-14,1.048232e-12,2.947712e-13,7.241541e-13,2.242565e-13,7.956505e-14,1.109028e-13,6.852150e-14,2.817631e-13,7.069588e-14,6.447792e-14,6.892204e-14,1.217747e-13,4.782587e-13,1.136409e-12,3.435109e-12,5.322558e-13,2.070522e-13,7.527351e-14,3.565788e-14,8.614540e-14,4.466057e-14,5.129814e-14,5.730629e-14,7.796288e-14,1.150799e-13,4.387856e-14,1.758289e-13,1.155949e-13,2.652264e-13,7.941246e-14,1.074886e-13,6.176948e-14,4.685402e-14,8.019447e-14,7.222176e-14,1.192760e-13
 32.94200,  1.23486,6.594864e-12,6.165387e-10,3.020573e-11,1.411506e-10,7.651329e-12,6.370074e-09,2.200031e-13,4.924112e-13,3.085136e-14,8.414269e-14,3.652292e-13,1.602299e-12,7.619340e-12,2.733738e-08,2.093315e-10,2.306938e-12,1.416206e-12,7.079989e-09,5.949974e-12,2.733707e-11,2.096844e-13,2.541745e-10,4.296213e-13,4.885584e-11,1.958942e-11,7.920072e-08,3.092766e-12,1.090050e-12,2.257347e-12,7.371622e-11,1.786232e-12,5.620867e-13,2.275562e-13,1.146766e-12,6.348330e-13,1.587726e-12,2.979520e-12,7.664782e-13,4.477221e-13,3.500277e-13,6.552225e-13,3.123760e-13,5.531984e-13,2.839565e-13,1.194859e-13,3.409487e-13,2.480411e-13,1.214191e-12,1.025192e-12,2.106277e-12,1.867935e-12,3.582674e-13,2.651692e-13,2.201748e-13,4.000002e-13,2.558804e-13,3.526217e-13,1.372051e-13,2.234364e-13,5.200487e-13,4.883105e-13,8.095652e-13,3.609041e-12,1.534625e-12,8.777338e-13,1.833248e-13,2.212429e-13,2.577305e-13,1.969433e-13,1.896381e-13,1.879025e-13,1.815891e-13,1.782894e-13,2.353382e-13,5.308253e-13,1.229191e-13,6.886804e-12,1.067191e-12,1.486492e-13,2.190304e-13,1.129246e-13,1.518154e-13,1.542759e-13,1.719379e-13,1.174641e-13,1.250935e-13,2.419567e-13,4.689699e-13,1.056606e-12,8.824259e-13,1.839230e-12,5.159098e-13,8.057594e-14,7.367134e-14,6.237984e-14,1.110744e-13,9.350777e-14,7.262230e-14,1.348400e-13,8.261681e-14,1.117507e-12,3.094578e-13,6.927782e-13,1.952839e-13,1.019382e-13,1.166630e-13,8.238793e-14,2.449322e-13,4.664421e-14,6.234169e-14,7.931709e-14,1.222324e-13,4.069620e-13,1.192466e-12,3.584856e-12,5.641276e-13,2.382755e-13,9.522438e-14,4.920006e-14,4.666329e-14,4.054069e-14,2.360344e-14,7.954598e-14,8.454323e-14,1.393032e-13,5.480766e-14,1.348591e-13,1.152897e-13,3.051472e-13,8.732796e-14,9.760857e-14,6.598473e-14,5.074501e-14,4.590035e-14,5.112648e-14,1.252460e-13
 33.29300,  1.41476,6.660343e-12,6.097103e-10,3.012753e-11,1.406127e-10,7.491112e-12,6.364352e-09,2.335262e-13,4.959208e-13,1.603127e-14,8.112907e-14,3.351122e-13,1.679851e-12,7.617662e-12,2.734234e-08,2.078056e-10,2.242088e-12,1.416206e-12,7.065875e-09,5.911827e-12,2.679539e-11,2.371502e-13,2.545044e-10,4.747492e-13,4.887873e-11,2.002430e-11,7.938765e-08,3.176689e-12,1.046181e-12,2.154350e-12,7.315928e-11,1.681328e-12,5.614000e-13,1.873302e-13,1.266948e-12,6.544977e-13,1.568844e-12,2.869142e-12,7.376009e-13,4.092318e-13,3.162295e-13,6.273943e-13,3.237444e-13,5.805117e-13,2.433109e-13,1.377201e-13,3.840548e-13,2.783489e-13,1.099712e-12,1.090308e-12,2.052986e-12,1.662838e-12,4.033762e-13,2.374935e-13,1.645947e-13,3.417498e-13,2.544880e-13,3.875071e-13,1.073360e-13,1.394558e-13,5.214030e-13,5.108172e-13,8.913904e-13,3.659662e-12,1.463290e-12,8.285052e-13,1.691914e-13,2.070522e-13,2.402210e-13,2.522755e-13,1.779652e-13,1.959896e-13,1.346302e-13,1.301098e-13,2.746868e-13,5.980021e-13,1.613712e-13,6.937215e-12,1.063148e-12,1.385403e-13,2.103710e-13,1.778317e-13,1.229382e-13,9.797096e-14,1.497936e-13,1.202106e-13,1.733112e-13,3.003406e-13,4.498964e-13,9.881127e-13,8.571917e-13,1.866276e-12,5.541521e-13,1.124668e-13,6.628990e-14,8.238793e-14,6.396293e-14,1.008701e-13,4.031181e-14,1.391888e-13,9.308815e-14,9.725488e-13,2.914715e-13,7.113749e-13,2.168751e-13,8.482933e-14,9.505272e-14,8.366585e-14,2.208424e-13,9.465218e-14,5.644798e-14,8.135796e-14,1.479244e-13,4.499537e-13,1.124126e-12,3.492750e-12,5.381685e-13,1.694202e-13,7.966041e-14,6.657600e-14,6.407738e-14,5.713463e-14,3.392220e-14,3.857613e-14,6.110191e-14,1.218700e-13,6.058693e-14,1.477909e-13,1.188564e-13,2.852726e-13,8.273125e-14,9.722710e-14,3.659248e-14,6.127358e-14,6.493569e-14,8.246422e-14,9.858131e-14
 33.72600,  1.59434,6.744839e-12,6.070229e-10,3.007221e-11,1.398574e-10,7.575035e-12,6.385142e-09,2.255917e-13,5.369478e-13,4.885674e-14,1.123905e-13,2.995968e-13,1.775600e-12,7.612455e-12,2.717087e-08,2.066612e-10,2.322197e-12,1.406670e-12,7.034594e-09,6.062507e-12,2.660847e-11,2.655506e-13,2.551606e-10,4.494387e-13,4.924685e-11,2.045917e-11,7.939032e-08,3.170967e-12,1.036644e-12,2.213478e-12,7.263666e-11,1.662254e-12,5.893999e-13,2.313519e-13,1.240989e-12,6.021792e-13,1.457149e-12,2.958100e-12,8.360964e-13,4.276186e-13,3.074360e-13,7.157618e-13,3.222376e-13,5.767351e-13,2.688503e-13,1.263332e-13,3.868586e-13,2.688503e-13,1.179172e-12,1.004058e-12,2.137024e-12,1.836502e-12,3.286272e-13,2.479267e-13,2.024555e-13,3.771502e-13,2.922153e-13,3.823382e-13,1.121044e-13,1.876354e-13,5.543619e-13,4.354006e-13,8.458811e-13,3.622888e-12,1.639301e-12,8.080775e-13,1.601887e-13,2.344227e-13,2.146053e-13,2.292919e-13,1.765728e-13,1.913547e-13,1.309490e-13,1.779270e-13,2.459812e-13,5.683810e-13,1.595593e-13,7.010896e-12,1.012450e-12,1.391125e-13,1.839161e-13,1.645184e-13,1.489544e-13,1.273251e-13,1.551342e-13,1.226521e-13,1.692676e-13,2.951145e-13,4.312426e-13,1.003734e-12,8.929926e-13,1.859219e-12,5.295664e-13,9.959221e-14,6.560326e-14,9.575844e-14,8.826255e-14,9.619713e-14,3.218651e-14,1.422215e-13,5.246162e-14,1.042320e-12,2.961826e-13,6.875711e-13,2.116108e-13,9.682655e-14,9.621620e-14,6.892204e-14,2.690983e-13,7.048607e-14,4.149437e-14,9.783745e-14,1.183224e-13,4.969698e-13,1.124698e-12,3.618978e-12,5.289561e-13,1.728153e-13,9.909630e-14,3.275871e-14,5.103111e-14,4.120827e-14,3.891945e-14,5.560875e-14,9.192466e-14,1.405430e-13,6.562233e-14,1.713467e-13,8.824349e-14,2.786350e-13,7.267952e-14,1.013660e-13,8.584022e-14,8.374214e-14,4.895210e-14,5.309105e-14,1.438808e-13
