#EXPORTTYPE:                 ,DATA ALL                      
#FILE:                       ,2024_01_19_SL_005P.ngb-ss5    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ASCII                         
#IDENTITY:                   ,PS-SCF3                       
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH STA 449F5             
#PROJECT:                    ,2024_01_08_SL_007B            
#DATE/TIME:                  ,1/20/2024 2:10:19 PM (UTC-5)  
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,28-06-2023 13:26              
#SENSITIVITY:                ,28-06-2023 13:53              
#LABORATORY:                 ,Tran/AAG                      
#OPERATOR:                   ,Stanley                       
#REMARK:                     ,                              
#SAMPLE:                     ,005P                          
#SAMPLE MASS /mg:            ,10.05                         
#MATERIAL:                   ,                              
#REFERENCE:                  ,Empty Al2O3                   
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open             
#SAMPLE CRUCIBLE MASS /mg:   ,0                             
#REFERENCE CRUCIBLE MASS /mg:,136.57                        
#DSC RANGE /‘V:              ,5000                          
#TG RANGE /mg:               ,35000                         
#TAU-R:                      ,---                           
#CORR. CODE:                 ,000                           
#EXO:                        ,-1                            
#RANGE:                      ,20›C....800›C/0.0....10.0K/min
#SEGMENT:                    ,S1-5/5                        
#SEG. 1:                     ,20›C/10.0(K/min)/100›C        
#SEG. 2:                     ,100›C/00:10/100›C             
#SEG. 3:                     ,100›C/10.0(K/min)/350›C       
#SEG. 4:                     ,350›C/04:00/350›C             
#SEG. 5:                     ,350›C/10.0(K/min)/800›C       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.01800,  0.00000,-3.845371e-02,100.00000,50.00000,20.00000,1.216010e-07,0.92391,1
 32.03300,  0.10000,-3.812494e-02, 99.99323,50.00000,20.00000,1.218304e-07,0.92392,1
 32.01100,  0.20000,-3.738560e-02, 99.99323,50.00000,20.00000,1.221039e-07,0.92391,1
 32.05100,  0.30000,-3.459169e-02,100.02020,50.00000,20.00000,1.222938e-07,0.92392,1
 32.05400,  0.40000,-3.007257e-02,100.04945,50.00000,20.00000,1.220450e-07,0.92392,1
 32.11100,  0.50000,-2.292393e-02,100.09562,50.00000,20.00000,1.215000e-07,0.92393,1
 32.15700,  0.60000,-1.339272e-02,100.16995,50.00000,20.00000,1.214885e-07,0.92394,1
 32.22600,  0.70000,-1.889746e-03,100.24090,50.00000,20.00000,1.218332e-07,0.92395,1
 32.32400,  0.80000, 1.191340e-02,100.30836,50.00000,20.00000,1.217356e-07,0.92397,1
 32.43400,  0.90000, 2.670191e-02,100.39055,50.00000,20.00000,1.215369e-07,0.92399,1
 32.57200,  1.00000, 4.387219e-02,100.46259,50.00000,20.00000,1.216681e-07,0.92401,1
 32.72300,  1.10000, 6.178086e-02,100.55045,50.00000,20.00000,1.217088e-07,0.92403,1
 32.89000,  1.20000, 8.034556e-02,100.62587,50.00000,20.00000,1.215406e-07,0.92406,1
 33.05900,  1.30000, 9.874482e-02,100.69562,50.00000,20.00000,1.215431e-07,0.92409,1
 33.27300,  1.40000,      0.11788,100.77891,50.00000,20.00000,1.216639e-07,0.92413,1
 33.50600,  1.50000,      0.13702,100.85771,50.00000,20.00000,1.216058e-07,0.92416,1
 33.72600,  1.60000,      0.15467,100.91741,50.00000,20.00000,1.214841e-07,0.92420,1
 33.96800,  1.70000,      0.17380,100.99622,50.00000,20.00000,1.214971e-07,0.92424,1
 34.23700,  1.80000,      0.19088,101.06935,50.00000,20.00000,1.215795e-07,0.92428,1
 34.50600,  1.90000,      0.20861,101.14587,50.00000,20.00000,1.216364e-07,0.92432,1
 34.79800,  2.00000,      0.22560,101.19881,50.00000,20.00000,1.216167e-07,0.92437,1
 35.07500,  2.10000,      0.24177,101.25731,50.00000,20.00000,1.215248e-07,0.92441,1
 35.40800,  2.20000,      0.25760,101.32716,50.00000,20.00000,1.214054e-07,0.92446,1
 35.72300,  2.30000,      0.27442,101.37672,50.00000,20.00000,1.212806e-07,0.92451,1
 36.04400,  2.40000,      0.29026,101.44876,50.00000,20.00000,1.211718e-07,0.92455,1
 36.39400,  2.50000,      0.30691,101.51065,50.00000,20.00000,1.211455e-07,0.92460,1
 36.75700,  2.60000,      0.32364,101.57592,50.00000,20.00000,1.212041e-07,0.92466,1
 37.13200,  2.70000,      0.34160,101.66368,50.00000,20.00000,1.212022e-07,0.92471,1
 37.52600,  2.80000,      0.36005,101.71552,50.00000,20.00000,1.211215e-07,0.92476,1
 37.94600,  2.90000,      0.37825,101.78866,50.00000,20.00000,1.210996e-07,0.92482,1
 38.36900,  3.00000,      0.39858,101.85960,50.00000,20.00000,1.211312e-07,0.92488,1
 38.82900,  3.10000,      0.41908,101.93950,50.00000,20.00000,1.211104e-07,0.92493,1
 39.29300,  3.20000,      0.44039,102.02507,50.00000,20.00000,1.209183e-07,0.92499,1
 39.77800,  3.30000,      0.46432,102.11065,50.00000,20.00000,1.205824e-07,0.92505,1
 40.30400,  3.40000,      0.48743,102.18269,50.00000,20.00000,1.205423e-07,0.92512,1
 40.83500,  3.50000,      0.51177,102.27154,50.00000,20.00000,1.208369e-07,0.92518,1
 41.38200,  3.60000,      0.53848,102.34358,50.00000,20.00000,1.208524e-07,0.92524,1
 41.95600,  3.70000,      0.56527,102.44269,50.00000,20.00000,1.206103e-07,0.92530,1
 42.55500,  3.80000,      0.59346,102.51134,50.00000,20.00000,1.205563e-07,0.92537,1
 43.18700,  3.90000,      0.62213,102.61493,50.00000,20.00000,1.206799e-07,0.92543,1
 43.82600,  4.00000,      0.65227,102.69592,50.00000,20.00000,1.208405e-07,0.92549,1
 44.50200,  4.10000,      0.68192,102.77930,50.00000,20.00000,1.210320e-07,0.92555,1
 45.21500,  4.20000,      0.71230,102.86259,50.00000,20.00000,1.211590e-07,0.92562,1
 45.93000,  4.30000,      0.74374,102.95264,50.00000,20.00000,1.209946e-07,0.92568,1
 46.67200,  4.40000,      0.77461,103.03592,50.00000,20.00000,1.206658e-07,0.92574,1
 47.42300,  4.50000,      0.80614,103.12826,50.00000,20.00000,1.204882e-07,0.92579,1
 48.22100,  4.60000,      0.83815,103.19463,50.00000,20.00000,1.205022e-07,0.92585,1
 49.00500,  4.70000,      0.86918,103.28468,50.00000,20.00000,1.206441e-07,0.92590,1
 49.85400,  4.80000,      0.90094,103.36796,50.00000,20.00000,1.208133e-07,0.92595,1
 50.70500,  4.90000,      0.93196,103.44786,50.00000,20.00000,1.208813e-07,0.92599,1
 51.54800,  5.00000,      0.96291,103.51662,50.00000,20.00000,1.207092e-07,0.92604,1
 52.43600,  5.10000,      0.99386,103.59532,50.00000,20.00000,1.204055e-07,0.92607,1
 53.35000,  5.20000,      1.02341,103.66408,50.00000,20.00000,1.202212e-07,0.92611,1
 54.25900,  5.30000,      1.05322,103.72139,50.00000,20.00000,1.202393e-07,0.92614,1
 55.21300,  5.40000,      1.08262,103.80020,50.00000,20.00000,1.203984e-07,0.92616,1
 56.15900,  5.50000,      1.11161,103.86896,50.00000,20.00000,1.203932e-07,0.92618,1
 57.13400,  5.60000,      1.14028,103.92517,50.00000,20.00000,1.201693e-07,0.92619,1
 58.11100,  5.70000,      1.16871,103.99045,50.00000,20.00000,1.200688e-07,0.92620,1
 59.11200,  5.80000,      1.19568,104.05353,50.00000,20.00000,1.201583e-07,0.92620,1
 60.13500,  5.90000,      1.22241,104.11204,50.00000,20.00000,1.202958e-07,0.92620,1
 61.16400,  6.00000,      1.24988,104.18070,50.00000,20.00000,1.203408e-07,0.92618,1
 62.20900,  6.10000,      1.27663,104.21791,50.00000,20.00000,1.202063e-07,0.92616,1
 63.27000,  6.20000,      1.30371,104.28657,50.00000,20.00000,1.199867e-07,0.92614,1
 64.36600,  6.30000,      1.32934,104.34169,50.00000,20.00000,1.198236e-07,0.92610,1
 65.44200,  6.40000,      1.35489,104.38448,50.00000,20.00000,1.198608e-07,0.92606,1
 66.53700,  6.50000,      1.38046,104.44527,50.00000,20.00000,1.199577e-07,0.92601,1
 67.65700,  6.60000,      1.40612,104.49254,50.00000,20.00000,1.197364e-07,0.92596,1
 68.77300,  6.70000,      1.43033,104.53871,50.00000,20.00000,1.195259e-07,0.92589,1
 69.91600,  6.80000,      1.45439,104.58368,50.00000,20.00000,1.198240e-07,0.92582,1
 71.06100,  6.90000,      1.47969,104.62647,50.00000,20.00000,1.200581e-07,0.92573,1
 72.21800,  7.00000,      1.50403,104.66478,50.00000,20.00000,1.197424e-07,0.92564,1
 73.38600,  7.10000,      1.52684,104.72438,50.00000,20.00000,1.193999e-07,0.92554,1
