#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_01_20_SL_001G-TGA-dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS                                    
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,TIC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,1/21/2024 5:46:09 AM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/AAG                              
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,001G                                  
#SAMPLE MASS /mg:            ,6.81                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,Empty Al2O3                           
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,136.57                                
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
                             ,                                      

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.98500,  0.00986,6.846428e-12,6.174885e-10,3.371912e-11,1.533729e-10,6.827354e-12,5.745036e-09,2.950954e-13,6.105715e-13,1.121807e-13,1.486301e-13,3.292566e-13,1.612579e-12,7.924422e-12,2.701733e-08,2.081871e-10,2.322197e-12,1.511574e-12,6.987292e-09,6.037712e-12,2.653980e-11,2.522373e-13,2.219574e-10,6.125361e-13,4.332072e-11,1.941776e-11,6.891915e-08,3.603935e-12,1.137733e-12,2.697945e-12,7.152658e-11,1.864433e-12,6.463534e-13,2.598476e-13,1.496135e-12,4.027468e-13,2.470601e-12,4.949355e-12,1.324703e-12,6.673342e-13,4.108721e-13,1.039821e-12,4.002100e-13,9.031779e-13,4.033190e-13,1.464367e-13,4.836184e-13,2.543736e-13,5.239016e-13,1.574871e-12,2.263424e-12,2.948163e-12,4.771906e-13,4.080302e-13,2.713108e-13,6.213289e-13,3.336436e-13,5.971056e-13,1.449871e-13,2.480221e-13,9.202296e-13,9.040553e-13,1.471702e-12,5.627437e-12,2.732670e-12,1.418658e-12,2.265453e-13,3.334910e-13,3.776079e-13,3.341967e-13,2.416515e-13,2.926922e-13,2.050114e-13,3.185946e-13,4.818255e-13,1.107761e-12,2.724743e-13,1.144886e-11,2.028465e-12,2.328777e-13,3.301150e-13,2.365398e-13,1.614857e-13,1.907444e-13,2.112865e-13,1.613522e-13,2.097988e-13,6.608874e-13,7.386500e-13,1.557418e-12,1.507312e-12,3.300260e-12,9.135538e-13,1.592159e-13,1.516438e-13,1.657963e-13,1.613331e-13,1.760960e-13,1.225948e-13,2.098560e-13,1.319027e-13,2.013656e-12,6.045633e-13,1.418506e-12,4.545313e-13,1.468754e-13,1.887035e-13,1.331997e-13,3.153521e-13,1.196575e-13,6.962776e-14,1.200581e-13,2.502346e-13,7.945925e-13,1.753456e-12,4.881434e-12,9.019381e-13,3.829104e-13,1.407719e-13,9.354591e-14,8.433342e-14,6.497383e-14,5.684853e-14,1.190662e-13,1.394367e-13,2.295399e-13,8.316993e-14,3.062725e-13,1.552868e-13,3.456408e-13,1.559544e-13,1.769543e-13,7.576942e-14,1.094532e-13,5.497932e-14,6.165505e-14,2.197170e-13
 31.98300,  0.19152,7.100751e-12,6.182266e-10,3.381640e-11,1.544582e-10,7.012367e-12,5.761439e-09,2.374554e-13,5.389887e-13,4.696846e-14,1.318645e-13,2.850056e-13,1.592972e-12,7.592141e-12,2.700207e-08,2.064705e-10,2.358437e-12,1.423836e-12,6.926638e-09,6.018638e-12,2.658558e-11,2.443218e-13,2.244770e-10,5.576235e-13,4.268175e-11,1.994610e-11,6.931531e-08,3.664970e-12,1.107216e-12,2.720833e-12,7.223803e-11,1.780510e-12,5.482012e-13,2.418232e-13,1.379138e-12,3.575617e-13,2.536805e-12,4.932551e-12,1.325389e-12,6.227404e-13,4.068285e-13,8.979517e-13,3.739458e-13,9.314829e-13,3.951556e-13,1.692867e-13,4.638201e-13,2.558613e-13,5.458551e-13,1.509296e-12,2.224305e-12,3.023313e-12,4.616839e-13,3.003406e-13,2.483273e-13,6.054216e-13,2.943897e-13,5.793673e-13,1.592541e-13,2.698803e-13,9.207254e-13,9.629738e-13,1.463271e-12,5.791622e-12,2.585633e-12,1.334335e-12,2.424526e-13,2.919292e-13,3.609759e-13,3.806025e-13,2.301121e-13,2.703190e-13,2.332020e-13,3.497797e-13,4.746157e-13,1.129180e-12,2.080822e-13,1.175213e-11,1.952171e-12,2.008533e-13,2.738094e-13,2.620602e-13,1.777744e-13,2.114582e-13,2.411556e-13,1.854420e-13,2.177334e-13,5.964380e-13,7.082850e-13,1.570885e-12,1.477138e-12,3.254083e-12,8.063799e-13,1.391125e-13,1.499653e-13,1.872349e-13,1.298618e-13,1.824856e-13,9.047508e-14,2.181911e-13,1.275921e-13,1.962578e-12,5.304819e-13,1.359454e-12,4.455858e-13,1.403332e-13,2.034855e-13,1.546764e-13,3.831011e-13,1.139355e-13,1.134014e-13,8.913994e-14,2.680683e-13,7.087809e-13,1.567680e-12,4.895740e-12,9.050852e-13,4.011256e-13,1.645756e-13,8.458138e-14,1.074886e-13,9.175301e-14,6.979942e-14,7.546425e-14,1.009846e-13,2.227116e-13,9.104729e-14,2.832890e-13,1.355648e-13,3.576380e-13,1.773357e-13,1.357174e-13,6.382942e-14,1.212215e-13,8.637428e-14,8.271217e-14,2.073574e-13
 31.98500,  0.37024,6.924092e-12,6.148983e-10,3.440577e-11,1.550246e-10,6.932259e-12,5.785853e-09,2.258778e-13,4.910570e-13,3.409386e-14,1.153278e-13,2.559567e-13,1.564266e-12,7.732732e-12,2.691071e-08,2.068520e-10,2.129555e-12,1.524925e-12,6.896502e-09,6.157875e-12,2.640057e-11,2.319431e-13,2.230599e-10,5.956370e-13,4.342562e-11,1.946163e-11,6.952626e-08,3.525734e-12,1.084328e-12,2.692223e-12,7.229906e-11,1.868248e-12,5.493838e-13,2.382946e-13,1.554786e-12,3.977305e-13,2.462933e-12,4.722667e-12,1.226493e-12,5.860239e-13,3.753764e-13,9.487259e-13,3.765208e-13,8.680254e-13,4.164797e-13,1.449680e-13,4.702288e-13,2.480030e-13,5.043894e-13,1.599323e-12,2.158462e-12,3.049215e-12,5.403620e-13,3.347689e-13,2.663708e-13,5.797297e-13,2.696705e-13,5.816943e-13,1.491260e-13,2.102184e-13,7.775980e-13,9.108454e-13,1.547729e-12,5.847794e-12,2.709229e-12,1.363975e-12,1.860905e-13,3.182131e-13,3.920656e-13,3.069592e-13,2.403736e-13,2.945042e-13,2.227688e-13,2.933216e-13,4.704005e-13,1.118423e-12,2.307224e-13,1.141834e-11,1.885414e-12,1.912403e-13,3.015804e-13,2.589512e-13,1.958179e-13,1.799107e-13,1.679325e-13,1.444531e-13,1.988125e-13,6.239230e-13,7.547862e-13,1.575615e-12,1.532222e-12,3.315156e-12,8.367831e-13,1.358128e-13,1.167011e-13,1.666927e-13,1.039600e-13,1.870060e-13,9.671211e-14,2.019405e-13,1.557827e-13,2.036411e-12,5.556589e-13,1.317703e-12,4.375941e-13,1.239681e-13,1.904964e-13,1.360416e-13,3.271776e-13,1.055431e-13,5.408287e-14,9.543419e-14,2.245998e-13,7.491213e-13,1.718895e-12,4.819388e-12,8.818728e-13,3.979403e-13,1.465893e-13,6.772041e-14,1.068211e-13,7.332801e-14,4.504204e-14,8.894920e-14,1.391888e-13,2.077389e-13,6.403923e-14,3.065968e-13,1.816845e-13,3.963000e-13,1.537418e-13,1.167965e-13,6.812096e-14,1.069355e-13,8.723259e-14,9.976387e-14,2.355671e-13
 32.00100,  0.54909,6.976048e-12,6.116863e-10,3.380877e-11,1.541301e-10,6.869316e-12,5.782610e-09,2.158642e-13,4.631907e-13,5.969047e-14,1.065540e-13,2.630901e-13,1.486808e-12,7.722623e-12,2.680047e-08,2.045631e-10,2.232552e-12,1.481056e-12,6.904703e-09,6.115913e-12,2.597523e-11,2.673817e-13,2.236855e-10,5.361468e-13,4.284769e-11,1.995182e-11,6.947705e-08,3.588676e-12,1.112938e-12,2.810478e-12,7.163149e-11,1.841545e-12,6.059939e-13,2.123928e-13,1.471778e-12,3.360468e-13,2.615292e-12,4.819903e-12,1.306697e-12,6.119257e-13,3.406817e-13,8.609110e-13,3.901201e-13,8.134180e-13,4.053980e-13,1.391697e-13,4.401499e-13,2.187061e-13,5.561548e-13,1.534721e-12,2.264073e-12,3.145402e-12,5.035120e-13,3.062153e-13,2.666569e-13,5.625254e-13,3.161341e-13,4.986483e-13,1.462460e-13,2.716923e-13,8.573633e-13,8.514506e-13,1.540729e-12,5.948769e-12,2.586300e-12,1.396877e-12,1.864338e-13,3.334528e-13,3.951174e-13,3.556544e-13,1.884174e-13,3.081799e-13,2.042294e-13,3.598887e-13,4.718691e-13,1.118308e-12,2.280712e-13,1.158047e-11,2.099037e-12,2.248478e-13,2.649212e-13,2.581119e-13,1.881313e-13,1.672649e-13,1.821041e-13,1.494503e-13,1.759243e-13,6.111628e-13,6.529528e-13,1.585533e-12,1.491824e-12,3.202851e-12,9.297853e-13,1.677036e-13,9.922981e-14,1.441288e-13,1.206493e-13,1.398754e-13,8.170128e-14,1.773357e-13,1.351070e-13,2.001717e-12,5.366999e-13,1.345950e-12,4.468256e-13,1.444531e-13,1.805401e-13,1.420116e-13,3.394800e-13,8.046150e-14,8.303642e-14,1.223850e-13,2.289105e-13,8.008104e-13,1.646645e-12,4.895224e-12,8.759981e-13,4.147440e-13,1.573277e-13,1.053333e-13,8.526802e-14,4.977226e-14,4.277229e-14,8.513451e-14,8.872032e-14,1.782513e-13,6.461144e-14,2.704525e-13,1.338863e-13,3.514391e-13,1.090527e-13,1.475811e-13,5.658150e-14,1.090717e-13,6.148338e-14,8.242607e-14,1.681995e-13
 32.02600,  0.72682,6.924016e-12,6.107098e-10,3.395182e-11,1.543666e-10,7.060051e-12,5.774790e-09,2.111530e-13,5.162149e-13,2.821922e-14,9.924888e-14,2.614880e-13,1.453601e-12,7.502534e-12,2.665417e-08,2.039909e-10,2.213478e-12,1.437187e-12,6.842142e-09,5.839348e-12,2.606487e-11,1.853085e-13,2.243569e-10,5.017764e-13,4.337793e-11,1.994801e-11,6.948392e-08,3.577232e-12,1.137733e-12,2.791405e-12,7.180315e-11,1.824379e-12,5.241304e-13,1.959324e-13,1.438876e-12,3.516680e-13,2.374547e-12,4.743857e-12,1.228343e-12,5.777079e-13,3.520495e-13,8.654696e-13,4.316813e-13,9.038073e-13,3.840548e-13,1.396656e-13,4.262072e-13,2.542210e-13,4.806620e-13,1.541091e-12,2.187053e-12,3.013318e-12,5.286509e-13,3.048611e-13,2.158070e-13,6.211954e-13,3.009701e-13,5.247599e-13,1.321507e-13,2.501965e-13,8.680254e-13,8.426386e-13,1.505061e-12,5.906960e-12,2.676308e-12,1.328784e-12,2.367878e-13,2.833652e-13,3.287226e-13,3.145128e-13,2.011967e-13,2.828503e-13,1.697254e-13,3.273302e-13,4.762369e-13,1.154815e-12,2.412891e-13,1.146984e-11,1.915932e-12,1.982594e-13,2.855778e-13,2.418614e-13,1.523304e-13,1.653957e-13,1.964474e-13,1.493549e-13,1.864529e-13,6.467158e-13,6.889254e-13,1.501781e-12,1.462718e-12,3.215612e-12,8.494669e-13,1.427746e-13,1.260853e-13,1.751995e-13,1.199055e-13,1.918507e-13,1.123142e-13,1.865673e-13,1.468182e-13,2.003528e-12,5.078035e-13,1.371394e-12,4.134089e-13,1.380634e-13,1.936054e-13,1.096249e-13,3.070164e-13,1.006222e-13,7.639885e-14,1.259708e-13,2.151775e-13,6.843096e-13,1.686413e-12,4.798351e-12,9.057337e-13,3.674418e-13,1.336384e-13,6.545067e-14,7.773400e-14,6.793022e-14,6.379128e-14,7.748604e-14,1.288891e-13,2.283001e-13,9.266854e-14,2.911282e-13,1.624012e-13,3.937250e-13,1.206493e-13,1.356792e-13,8.334160e-14,1.021481e-13,3.535271e-14,8.107185e-14,1.909351e-13
 32.10100,  0.90427,7.038572e-12,6.075455e-10,3.341776e-11,1.548835e-10,6.804466e-12,5.784518e-09,2.300549e-13,5.144983e-13,3.901482e-14,8.307457e-14,2.800846e-13,1.537753e-12,7.700269e-12,2.662289e-08,2.026558e-10,2.184868e-12,1.564979e-12,6.845766e-09,5.867958e-12,2.592182e-11,1.997280e-13,2.252190e-10,5.337053e-13,4.325396e-11,1.996136e-11,6.958405e-08,3.750801e-12,1.070976e-12,2.886772e-12,7.159716e-11,1.744270e-12,5.778795e-13,2.343273e-13,1.408244e-12,3.302485e-13,2.460530e-12,4.830070e-12,1.153137e-12,5.750948e-13,3.666979e-13,9.434617e-13,4.416567e-13,9.003359e-13,3.747088e-13,1.223660e-13,4.463297e-13,2.184963e-13,5.732447e-13,1.612522e-12,2.293904e-12,2.956899e-12,5.195528e-13,3.087330e-13,1.986217e-13,5.331904e-13,3.226763e-13,5.552393e-13,1.226902e-13,2.501202e-13,8.298784e-13,8.526331e-13,1.436301e-12,5.768181e-12,2.577698e-12,1.313812e-12,2.155781e-13,3.296190e-13,3.764445e-13,3.581530e-13,2.640819e-13,2.463055e-13,1.684475e-13,2.986050e-13,4.829508e-13,1.181232e-12,2.154827e-13,1.152706e-11,1.923561e-12,2.294445e-13,2.594280e-13,2.768803e-13,2.232647e-13,1.876163e-13,2.055264e-13,1.619434e-13,1.879597e-13,6.014925e-13,6.711871e-13,1.643326e-12,1.565697e-12,3.231195e-12,8.151346e-13,1.692867e-13,1.052761e-13,1.447773e-13,1.342678e-13,1.549435e-13,1.037502e-13,1.970959e-13,1.317120e-13,1.929428e-12,5.153185e-13,1.407882e-12,4.393679e-13,1.317883e-13,1.571369e-13,1.508617e-13,3.186900e-13,4.878044e-14,3.964424e-14,1.512051e-13,2.206898e-13,6.808382e-13,1.708500e-12,4.804568e-12,9.520257e-13,4.033190e-13,1.411533e-13,7.220268e-14,9.829521e-14,1.047420e-13,7.710457e-14,1.004124e-13,1.005650e-13,2.342892e-13,1.069736e-13,2.819347e-13,1.255894e-13,4.362017e-13,1.540661e-13,1.710224e-13,5.517006e-14,9.816170e-14,6.226540e-14,9.123802e-14,2.034092e-13
 32.16500,  1.07800,6.644417e-12,6.047264e-10,3.347498e-11,1.533290e-10,7.092475e-12,5.817705e-09,2.021122e-13,5.235582e-13,3.844261e-14,1.210690e-13,2.896786e-13,1.702930e-12,7.453553e-12,2.644951e-08,2.034187e-10,2.236366e-12,1.511574e-12,6.778246e-09,5.795479e-12,2.605724e-11,2.299786e-13,2.236454e-10,5.321604e-13,4.406649e-11,1.991558e-11,6.962773e-08,3.617287e-12,1.099586e-12,2.705574e-12,7.201487e-11,1.778603e-12,6.575876e-13,2.296734e-13,1.352798e-12,3.491885e-13,2.414620e-12,5.003047e-12,1.275398e-12,6.590372e-13,4.066569e-13,8.894640e-13,3.703982e-13,9.210306e-13,3.506762e-13,1.571178e-13,4.928881e-13,2.353382e-13,5.832964e-13,1.634380e-12,2.146408e-12,3.020547e-12,4.802996e-13,3.364092e-13,2.772427e-13,6.302172e-13,3.094196e-13,4.775721e-13,1.405621e-13,2.479076e-13,8.608347e-13,8.433252e-13,1.498500e-12,5.885044e-12,2.660649e-12,1.386043e-12,1.973629e-13,2.825642e-13,3.384882e-13,3.329951e-13,2.075863e-13,2.801037e-13,2.468014e-13,3.422075e-13,4.500872e-13,1.076404e-12,1.891232e-13,1.150799e-11,2.039909e-12,1.810551e-13,2.902889e-13,2.245617e-13,2.185917e-13,1.634121e-13,1.435947e-13,2.021122e-13,2.133083e-13,6.069475e-13,7.467753e-13,1.624748e-12,1.549312e-12,3.196271e-12,8.020311e-13,1.580524e-13,1.252079e-13,1.209354e-13,1.344204e-13,1.627255e-13,9.217262e-14,1.809406e-13,1.242161e-13,2.060959e-12,5.088907e-13,1.282226e-12,4.454333e-13,1.384640e-13,1.759815e-13,1.188564e-13,3.677660e-13,9.949684e-14,7.155419e-14,1.311398e-13,2.588749e-13,7.127100e-13,1.672222e-12,4.806514e-12,8.645922e-13,3.794199e-13,1.715755e-13,5.251884e-14,1.019573e-13,2.892494e-14,6.234169e-14,1.155949e-13,1.160717e-13,2.415752e-13,1.167202e-13,2.963543e-13,1.763630e-13,4.156405e-13,1.309872e-13,1.946163e-13,7.019996e-14,1.131725e-13,7.531166e-14,6.993294e-14,2.107906e-13
 32.25800,  1.25890,6.807515e-12,6.009594e-10,3.411013e-11,1.542941e-10,7.075310e-12,5.802447e-09,2.015972e-13,4.990107e-13,3.834724e-14,1.408672e-13,2.472210e-13,1.582996e-12,7.688539e-12,2.633374e-08,2.026558e-10,2.079964e-12,1.463890e-12,6.690699e-09,5.766868e-12,2.588940e-11,2.607060e-13,2.278283e-10,5.341250e-13,4.357058e-11,2.039814e-11,6.980893e-08,3.760338e-12,1.168251e-12,2.699852e-12,7.133013e-11,1.704216e-12,5.048281e-13,2.103329e-13,1.377078e-12,2.832317e-13,2.407105e-12,4.893451e-12,1.204616e-12,6.480127e-13,3.328043e-13,9.128481e-13,3.995234e-13,8.861643e-13,3.674227e-13,1.363277e-13,4.562479e-13,2.162838e-13,4.891306e-13,1.546680e-12,2.246010e-12,2.993444e-12,5.019480e-13,2.876186e-13,2.400875e-13,5.448443e-13,3.225619e-13,5.413157e-13,1.270008e-13,2.488041e-13,8.553416e-13,8.599001e-13,1.449119e-12,5.657612e-12,2.679722e-12,1.319686e-12,1.682186e-13,3.047848e-13,3.194147e-13,3.462702e-13,1.992512e-13,2.630901e-13,2.160549e-13,2.875233e-13,4.520327e-13,1.087829e-12,2.202702e-13,1.163387e-11,1.908302e-12,1.550007e-13,2.752400e-13,3.068447e-13,1.818180e-13,1.828671e-13,1.961613e-13,1.393986e-13,2.124882e-13,6.047350e-13,7.222658e-13,1.575024e-12,1.461898e-12,3.055356e-12,8.327204e-13,1.930141e-13,7.443428e-14,1.363850e-13,1.118183e-13,1.584911e-13,9.316444e-14,1.851177e-13,1.080608e-13,2.008964e-12,4.527003e-13,1.375953e-12,4.049975e-13,1.236629e-13,1.868725e-13,1.385212e-13,2.937031e-13,6.588936e-14,8.980751e-14,1.014423e-13,2.345753e-13,6.875330e-13,1.720516e-12,4.869933e-12,9.014803e-13,4.221064e-13,1.308727e-13,7.916451e-14,9.631157e-14,6.619453e-14,2.949715e-14,8.412361e-14,1.225567e-13,1.918507e-13,6.779671e-14,2.658367e-13,1.208973e-13,3.754526e-13,1.120663e-13,1.414394e-13,6.199837e-14,9.272575e-14,5.837441e-14,7.098198e-14,1.989269e-13
 32.32100,  1.43800,6.806771e-12,5.984684e-10,3.367907e-11,1.534492e-10,7.306098e-12,5.828577e-09,2.171421e-13,5.171305e-13,3.750801e-14,1.216602e-13,2.878284e-13,1.569740e-12,7.487791e-12,2.620442e-08,1.999855e-10,2.161980e-12,1.523018e-12,6.701761e-09,5.820274e-12,2.544498e-11,2.325916e-13,2.267964e-10,5.269533e-13,4.330164e-11,1.989460e-11,7.008130e-08,3.663063e-12,1.158714e-12,2.778053e-12,7.140833e-11,1.847267e-12,5.256563e-13,2.332973e-13,1.356879e-12,3.595072e-13,2.427342e-12,4.877581e-12,1.284419e-12,5.892473e-13,2.830410e-13,8.624941e-13,4.424959e-13,9.303576e-13,2.976894e-13,1.233578e-13,4.597193e-13,2.256298e-13,5.572802e-13,1.493179e-12,2.090256e-12,3.034852e-12,5.065256e-13,3.093243e-13,2.445507e-13,5.775934e-13,3.173739e-13,5.099589e-13,1.274013e-13,2.469730e-13,8.625895e-13,8.610254e-13,1.417266e-12,5.732952e-12,2.592824e-12,1.373550e-12,1.688099e-13,3.451258e-13,3.411585e-13,3.604609e-13,1.954746e-13,2.882099e-13,2.089214e-13,3.671557e-13,4.673487e-13,1.106502e-12,2.039814e-13,1.150417e-11,1.965523e-12,2.019405e-13,2.903843e-13,2.588558e-13,1.979351e-13,1.860905e-13,1.674747e-13,1.191044e-13,1.984119e-13,5.812365e-13,6.204706e-13,1.447040e-12,1.548721e-12,3.127549e-12,8.217531e-13,1.651669e-13,1.153278e-13,1.714992e-13,7.853508e-14,1.961041e-13,1.106358e-13,1.831722e-13,1.486874e-13,2.003662e-12,5.063540e-13,1.360618e-12,3.823763e-13,1.328373e-13,1.701641e-13,1.345158e-13,2.977276e-13,1.245022e-13,7.094383e-14,1.088047e-13,2.162266e-13,7.960421e-13,1.686184e-12,4.970488e-12,8.904749e-13,3.973490e-13,1.201534e-13,6.983757e-14,7.012367e-14,4.582405e-14,5.112648e-14,8.498192e-14,9.419441e-14,2.106190e-13,9.837151e-14,2.609157e-13,1.225948e-13,4.000956e-13,1.023579e-13,1.281452e-13,8.078575e-14,9.045601e-14,6.037712e-14,6.583214e-14,2.045536e-13
 32.42100,  1.61785,6.767728e-12,5.941540e-10,3.351694e-11,1.524459e-10,6.960869e-12,5.833346e-09,2.245998e-13,4.827410e-13,2.562523e-14,1.140308e-13,2.365017e-13,1.529342e-12,7.478692e-12,2.606022e-08,1.999855e-10,2.181053e-12,1.303673e-12,6.671053e-09,5.684852e-12,2.536106e-11,2.329159e-13,2.263749e-10,5.362994e-13,4.346567e-11,2.043247e-11,6.998422e-08,3.636360e-12,1.124382e-12,2.795219e-12,7.070261e-11,1.784325e-12,5.789667e-13,2.346325e-13,1.416637e-12,3.377634e-13,2.437241e-12,4.854522e-12,1.142188e-12,6.126123e-13,3.511721e-13,8.866602e-13,3.987795e-13,9.095865e-13,3.599077e-13,1.545811e-13,4.090220e-13,2.515507e-13,4.794603e-13,1.534759e-12,2.144920e-12,2.921880e-12,4.417139e-13,3.586489e-13,2.815914e-13,6.355005e-13,2.603245e-13,5.107218e-13,1.361942e-13,2.464580e-13,7.889658e-13,8.131891e-13,1.466800e-12,5.795494e-12,2.653744e-12,1.356288e-12,1.887035e-13,2.993488e-13,3.445917e-13,3.468996e-13,2.597141e-13,2.766705e-13,2.074146e-13,3.283221e-13,3.975779e-13,1.099445e-12,2.229977e-13,1.143742e-11,2.003670e-12,2.056789e-13,2.771473e-13,2.552700e-13,1.820278e-13,1.447964e-13,1.590633e-13,1.807880e-13,2.034092e-13,6.391627e-13,7.525545e-13,1.563599e-12,1.520416e-12,3.249257e-12,8.026987e-13,1.359272e-13,1.062870e-13,1.445484e-13,1.114941e-13,1.859379e-13,1.061344e-13,1.900196e-13,1.393604e-13,1.930820e-12,5.410105e-13,1.349040e-12,3.938776e-13,1.136303e-13,1.788807e-13,1.223850e-13,2.915096e-13,7.861137e-14,6.705284e-14,1.027966e-13,1.722813e-13,7.364184e-13,1.621258e-12,4.947238e-12,8.699518e-13,3.746134e-13,1.341724e-13,9.842873e-14,1.077175e-13,7.622719e-14,6.731987e-14,7.021904e-14,1.258564e-13,2.364826e-13,8.605004e-14,2.784062e-13,1.849842e-13,4.240328e-13,1.358890e-13,1.193905e-13,8.101464e-14,9.310722e-14,7.042884e-14,7.592201e-14,1.888180e-13
