#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_01_20_SL_001G-TGA-dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS                                    
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,1/21/2024 5:46:09 AM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/AAG                              
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,001G                                  
#SAMPLE MASS /mg:            ,6.81                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,Empty Al2O3                           
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,136.57                                
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,20›C....800›C/0.0....5.0K/min         
#SEGMENT:                    ,S1-4/4                                
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:05/100›C                     
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                
#SEG. 4:                     ,400›C/5.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.98000,  0.00000,-6.099333e-02,100.00000,50.00000,20.00000,1.101954e-07,0.92391,1
 31.98116,  0.10000,-6.001723e-02,100.02147,50.00000,20.00000,1.103801e-07,0.92391,1
 31.98900,  0.20000,-5.844680e-02,100.01997,50.00000,20.00000,1.105455e-07,0.92391,1
 31.99211,  0.30000,-5.669209e-02,100.01853,50.00000,20.00000,1.106344e-07,0.92391,1
 32.00100,  0.40000,-5.323254e-02,100.03994,50.00000,20.00000,1.106341e-07,0.92391,1
 32.00956,  0.50000,-4.988456e-02,100.07270,50.00000,20.00000,1.105483e-07,0.92391,1
 32.02600,  0.60000,-4.583555e-02,100.09971,50.00000,20.00000,1.104032e-07,0.92392,1
 32.05671,  0.70000,-4.071787e-02,100.12985,50.00000,20.00000,1.102818e-07,0.92392,1
 32.10100,  0.80000,-3.480058e-02,100.15947,50.00000,20.00000,1.102972e-07,0.92393,1
 32.11016,  0.90000,-3.042461e-02,100.19012,50.00000,20.00000,1.103501e-07,0.92393,1
 32.16500,  1.00000,-2.473601e-02,100.24097,50.00000,20.00000,1.102780e-07,0.92394,1
 32.20415,  1.10000,-1.885963e-02,100.25151,50.00000,20.00000,1.101595e-07,0.92395,1
 32.25800,  1.20000,-1.612663e-02,100.30411,50.00000,20.00000,1.101131e-07,0.92396,1
 32.30549,  1.30000,-1.080398e-02,100.30712,50.00000,20.00000,1.101934e-07,0.92396,1
 32.33600,  1.40000,-8.002574e-03,100.32394,50.00000,20.00000,1.103129e-07,0.92397,1
 32.39674,  1.50000,-4.373456e-03,100.31906,50.00000,20.00000,1.102388e-07,0.92398,1
 32.46900,  1.60000,-2.303715e-03,100.36388,50.00000,20.00000,1.100596e-07,0.92399,1
 32.49547,  1.70000, 8.012522e-04,100.35138,50.00000,20.00000,1.100491e-07,0.92400,1
 32.55700,  1.80000, 2.303678e-03,100.36388,50.00000,20.00000,1.100899e-07,0.92401,1
 32.60658,  1.90000, 4.674977e-03,100.38468,50.00000,20.00000,1.100060e-07,0.92401,1
 32.65800,  2.00000, 5.819711e-03,100.39883,50.00000,20.00000,1.100144e-07,0.92402,1
 32.71886,  2.10000, 7.698292e-03,100.40360,50.00000,20.00000,1.101930e-07,0.92403,1
 32.78100,  2.20000, 9.456819e-03,100.40367,50.00000,20.00000,1.101820e-07,0.92404,1
 32.84438,  2.30000, 1.149735e-02,100.41222,50.00000,20.00000,1.099530e-07,0.92405,1
 32.89900,  2.40000, 1.369997e-02,100.44361,50.00000,20.00000,1.098990e-07,0.92406,1
 32.97300,  2.50000, 1.603646e-02,100.46361,50.00000,20.00000,1.099564e-07,0.92408,1
 33.03900,  2.60000, 1.939770e-02,100.48355,50.00000,20.00000,1.098113e-07,0.92409,1
 33.11391,  2.70000, 2.251232e-02,100.51322,50.00000,20.00000,1.097119e-07,0.92410,1
 33.18400,  2.80000, 2.642869e-02,100.54332,50.00000,20.00000,1.099060e-07,0.92411,1
 33.28224,  2.90000, 3.201244e-02,100.57267,50.00000,20.00000,1.100803e-07,0.92413,1
 33.35600,  3.00000, 3.697479e-02,100.61468,50.00000,20.00000,1.100021e-07,0.92414,1
 33.46156,  3.10000, 4.320714e-02,100.64481,50.00000,20.00000,1.097418e-07,0.92416,1
 33.57700,  3.20000, 4.994433e-02,100.71101,50.00000,20.00000,1.094822e-07,0.92417,1
 33.67468,  3.30000, 5.837208e-02,100.74354,50.00000,20.00000,1.094467e-07,0.92419,1
 33.79800,  3.40000, 6.679190e-02,100.79750,50.00000,20.00000,1.095609e-07,0.92421,1
 33.92559,  3.50000, 7.509458e-02,100.86813,50.00000,20.00000,1.096427e-07,0.92423,1
 34.07500,  3.60000, 8.400105e-02,100.91542,50.00000,20.00000,1.096412e-07,0.92425,1
 34.21528,  3.70000, 9.462025e-02,100.97164,50.00000,20.00000,1.095812e-07,0.92428,1
 34.37300,  3.80000,      0.10412,101.03833,50.00000,20.00000,1.095720e-07,0.92430,1
 34.54776,  3.90000,      0.11673,101.11197,50.00000,20.00000,1.095856e-07,0.92433,1
 34.72400,  4.00000,      0.12787,101.19442,50.00000,20.00000,1.094652e-07,0.92436,1
 34.90188,  4.10000,      0.14008,101.24310,50.00000,20.00000,1.093697e-07,0.92438,1
 35.11300,  4.20000,      0.15185,101.33730,50.00000,20.00000,1.095431e-07,0.92442,1
 35.31730,  4.30000,      0.16526,101.38706,50.00000,20.00000,1.096258e-07,0.92445,1
 35.54200,  4.40000,      0.17790,101.45859,50.00000,20.00000,1.093666e-07,0.92448,1
 35.76524,  4.50000,      0.19127,101.55484,50.00000,20.00000,1.093039e-07,0.92451,1
 35.99200,  4.60000,      0.20563,101.62966,50.00000,20.00000,1.095394e-07,0.92455,1
 36.24147,  4.70000,      0.21919,101.69301,50.00000,20.00000,1.094963e-07,0.92458,1
 36.51200,  4.80000,      0.23203,101.73774,50.00000,20.00000,1.092222e-07,0.92462,1
 36.78257,  4.90000,      0.24748,101.83519,50.00000,20.00000,1.092041e-07,0.92466,1
 37.07600,  5.00000,      0.26060,101.92379,50.00000,20.00000,1.093140e-07,0.92470,1
 37.35421,  5.10000,      0.27578,101.98662,50.00000,20.00000,1.092708e-07,0.92474,1
 37.65600,  5.20000,      0.28905,102.05830,50.00000,20.00000,1.091988e-07,0.92478,1
 37.96677,  5.30000,      0.30421,102.12809,50.00000,20.00000,1.091928e-07,0.92482,1
 38.27600,  5.40000,      0.31858,102.21278,50.00000,20.00000,1.091642e-07,0.92486,1
 38.60609,  5.50000,      0.33244,102.28553,50.00000,20.00000,1.091393e-07,0.92491,1
 38.94300,  5.60000,      0.34568,102.35565,50.00000,20.00000,1.092440e-07,0.92495,1
 39.29019,  5.70000,      0.36098,102.43800,50.00000,20.00000,1.093862e-07,0.92499,1
 39.65200,  5.80000,      0.37557,102.50690,50.00000,20.00000,1.094130e-07,0.92504,1
 40.02887,  5.90000,      0.38919,102.57586,50.00000,20.00000,1.093533e-07,0.92508,1
 40.40600,  6.00000,      0.40278,102.64302,50.00000,20.00000,1.092315e-07,0.92513,1
 40.79306,  6.10000,      0.41728,102.72811,50.00000,20.00000,1.089613e-07,0.92517,1
 41.19000,  6.20000,      0.43071,102.80749,50.00000,20.00000,1.086341e-07,0.92522,1
 41.58539,  6.30000,      0.44503,102.87179,50.00000,20.00000,1.085847e-07,0.92526,1
 41.98900,  6.40000,      0.45912,102.94714,50.00000,20.00000,1.088015e-07,0.92531,1
 42.42742,  6.50000,      0.47236,103.00641,50.00000,20.00000,1.089957e-07,0.92535,1
 42.86100,  6.60000,      0.48522,103.06167,50.00000,20.00000,1.089714e-07,0.92540,1
 43.28510,  6.70000,      0.50004,103.13731,50.00000,20.00000,1.087066e-07,0.92544,1
 43.73700,  6.80000,      0.51423,103.20455,50.00000,20.00000,1.086252e-07,0.92548,1
 44.18829,  6.90000,      0.52737,103.24554,50.00000,20.00000,1.088715e-07,0.92553,1
 44.65100,  7.00000,      0.53960,103.33245,50.00000,20.00000,1.088663e-07,0.92557,1
 45.12194,  7.10000,      0.55440,103.39132,50.00000,20.00000,1.085386e-07,0.92561,1
 45.59700,  7.20000,      0.56727,103.45874,50.00000,20.00000,1.084406e-07,0.92565,1
 46.09516,  7.30000,      0.58022,103.53431,50.00000,20.00000,1.085953e-07,0.92569,1
 46.56600,  7.40000,      0.59264,103.59501,50.00000,20.00000,1.086841e-07,0.92573,1
 47.07917,  7.50000,      0.60546,103.63903,50.00000,20.00000,1.086626e-07,0.92577,1
 47.58400,  7.60000,      0.61800,103.69295,50.00000,20.00000,1.085954e-07,0.92580,1
 48.10457,  7.70000,      0.63074,103.75218,50.00000,20.00000,1.085421e-07,0.92584,1
 48.61000,  7.80000,      0.64288,103.79266,50.00000,20.00000,1.085311e-07,0.92587,1
 49.13221,  7.90000,      0.65507,103.86074,50.00000,20.00000,1.085300e-07,0.92591,1
 49.68300,  8.00000,      0.66655,103.93054,50.00000,20.00000,1.085282e-07,0.92594,1
 50.20661,  8.10000,      0.67842,103.95749,50.00000,20.00000,1.085475e-07,0.92597,1
 50.76400,  8.20000,      0.68998,104.02026,50.00000,20.00000,1.085859e-07,0.92600,1
 51.30783,  8.30000,      0.70192,104.08923,50.00000,20.00000,1.086183e-07,0.92602,1
 51.85100,  8.40000,      0.71269,104.12658,50.00000,20.00000,1.085822e-07,0.92605,1
 52.40187,  8.50000,      0.72410,104.18169,50.00000,20.00000,1.084763e-07,0.92607,1
 52.97500,  8.60000,      0.73430,104.23128,50.00000,20.00000,1.085207e-07,0.92609,1
 53.55197,  8.70000,      0.74503,104.28971,50.00000,20.00000,1.087047e-07,0.92611,1
 54.11800,  8.80000,      0.75484,104.31924,50.00000,20.00000,1.085866e-07,0.92613,1
 54.70782,  8.90000,      0.76501,104.36124,50.00000,20.00000,1.082447e-07,0.92615,1
 55.28500,  9.00000,      0.77429,104.42731,50.00000,20.00000,1.081669e-07,0.92616,1
 55.86302,  9.10000,      0.78471,104.45399,50.00000,20.00000,1.082010e-07,0.92617,1
 56.47100,  9.20000,      0.79314,104.51028,50.00000,20.00000,1.080418e-07,0.92618,1
 57.05159,  9.30000,      0.80349,104.55122,50.00000,20.00000,1.078922e-07,0.92619,1
 57.65400,  9.40000,      0.81152,104.59339,50.00000,20.00000,1.079348e-07,0.92620,1
 58.26851,  9.50000,      0.82072,104.62365,50.00000,20.00000,1.080626e-07,0.92620,1
 58.86200,  9.60000,      0.82833,104.65316,50.00000,20.00000,1.081957e-07,0.92620,1
 59.46796,  9.70000,      0.83688,104.69918,50.00000,20.00000,1.083164e-07,0.92620,1
 60.07400,  9.80000,      0.84514,104.73451,50.00000,20.00000,1.083667e-07,0.92620,1
 60.69369,  9.90000,      0.85277,104.78565,50.00000,20.00000,1.082944e-07,0.92619,1
 61.30600, 10.00000,      0.85967,104.79442,50.00000,20.00000,1.081983e-07,0.92618,1
 61.92950, 10.10000,      0.86775,104.84078,50.00000,20.00000,1.081707e-07,0.92617,1
 62.53600, 10.20000,      0.87373,104.87416,50.00000,20.00000,1.081751e-07,0.92616,1
 63.17137, 10.30000,      0.88134,104.90188,50.00000,20.00000,1.081686e-07,0.92614,1
 63.78400, 10.40000,      0.88670,104.95389,50.00000,20.00000,1.081283e-07,0.92612,1
 64.41990, 10.50000,      0.89426,104.96743,50.00000,20.00000,1.080603e-07,0.92610,1
 65.03200, 10.60000,      0.89896,104.99369,50.00000,20.00000,1.079885e-07,0.92608,1
 65.68067, 10.70000,      0.90581,105.02724,50.00000,20.00000,1.079092e-07,0.92605,1
 66.28500, 10.80000,      0.91148,105.05683,50.00000,20.00000,1.078263e-07,0.92603,1
 66.90695, 10.90000,      0.91686,105.08694,50.00000,20.00000,1.078190e-07,0.92600,1
 67.52800, 11.00000,      0.92231,105.11659,50.00000,20.00000,1.078977e-07,0.92596,1
 68.16305, 11.10000,      0.92692,105.13653,50.00000,20.00000,1.078845e-07,0.92593,1
 68.80400, 11.20000,      0.93109,105.15653,50.00000,20.00000,1.077969e-07,0.92589,1
 69.41257, 11.30000,      0.93687,105.18873,50.00000,20.00000,1.078755e-07,0.92585,1
 70.05800, 11.40000,      0.94134,105.21630,50.00000,20.00000,1.080114e-07,0.92581,1
 70.68050, 11.50000,      0.94588,105.22462,50.00000,20.00000,1.079575e-07,0.92576,1
 71.32500, 11.60000,      0.95088,105.25786,50.00000,20.00000,1.077804e-07,0.92571,1
 71.93921, 11.70000,      0.95434,105.27312,50.00000,20.00000,1.076281e-07,0.92566,1
 72.56300, 11.80000,      0.95812,105.32100,50.00000,20.00000,1.076292e-07,0.92561,1
 73.18313, 11.90000,      0.96224,105.31893,50.00000,20.00000,1.077552e-07,0.92556,1
 73.81500, 12.00000,      0.96623,105.34097,50.00000,20.00000,1.077857e-07,0.92550,1
 74.43868, 12.10000,      0.97001,105.37264,50.00000,20.00000,1.077076e-07,0.92544,1
 75.07400, 12.20000,      0.97277,105.38076,50.00000,20.00000,1.076473e-07,0.92538,1
 75.69032, 12.30000,      0.97644,105.41259,50.00000,20.00000,1.075885e-07,0.92531,1
 76.32300, 12.40000,      0.98005,105.42570,50.00000,20.00000,1.074999e-07,0.92525,1
 76.95153, 12.50000,      0.98338,105.45264,50.00000,20.00000,1.075267e-07,0.92518,1
 77.57600, 12.60000,      0.98589,105.46050,50.00000,20.00000,1.077053e-07,0.92511,1
 78.20202, 12.70000,      0.98862,105.48043,50.00000,20.00000,1.078044e-07,0.92503,1
 78.81700, 12.80000,      0.99186,105.50044,50.00000,20.00000,1.077893e-07,0.92496,1
 79.44319, 12.90000,      0.99404,105.51037,50.00000,20.00000,1.078290e-07,0.92488,1
 80.07500, 13.00000,      0.99652,105.52041,50.00000,20.00000,1.077176e-07,0.92480,1
 80.67564, 13.10000,      0.99871,105.54431,50.00000,20.00000,1.071883e-07,0.92472,1
 81.28100, 13.20000,      1.00069,105.58018,50.00000,20.00000,1.068919e-07,0.92464,1
 81.91911, 13.30000,      1.00382,105.58328,50.00000,20.00000,1.073568e-07,0.92455,1
 82.54800, 13.40000,      1.00488,105.60015,50.00000,20.00000,1.078971e-07,0.92446,1
 83.14669, 13.50000,      1.00712,105.60790,50.00000,20.00000,1.080137e-07,0.92437,1
 83.75800, 13.60000,      1.00981,105.63994,50.00000,20.00000,1.078311e-07,0.92428,1
 84.37963, 13.70000,      1.01124,105.63780,50.00000,20.00000,1.075856e-07,0.92418,1
 84.98600, 13.80000,      1.01317,105.66153,50.00000,20.00000,1.075286e-07,0.92409,1
 85.60507, 13.90000,      1.01541,105.67678,50.00000,20.00000,1.075998e-07,0.92399,1
 86.21400, 14.00000,      1.01569,105.68150,50.00000,20.00000,1.076265e-07,0.92388,1
 86.81400, 14.10000,      1.01780,105.69193,50.00000,20.00000,1.075854e-07,0.92378,1
 87.43100, 14.20000,      1.02017,105.70147,50.00000,20.00000,1.075085e-07,0.92368,1
 88.04475, 14.30000,      1.02134,105.72453,50.00000,20.00000,1.074656e-07,0.92357,1
 88.64500, 14.40000,      1.02271,105.73304,50.00000,20.00000,1.074786e-07,0.92346,1
 89.24750, 14.50000,      1.02396,105.75121,50.00000,20.00000,1.075006e-07,0.92335,1
 89.86000, 14.60000,      1.02490,105.78282,50.00000,20.00000,1.075129e-07,0.92324,1
 90.44693, 14.70000,      1.02631,105.76127,50.00000,20.00000,1.075192e-07,0.92312,1
 91.04700, 14.80000,      1.02758,105.78282,50.00000,20.00000,1.075010e-07,0.92301,1
 91.64767, 14.90000,      1.02933,105.79270,50.00000,20.00000,1.074596e-07,0.92289,1
 92.24200, 15.00000,      1.03052,105.80279,50.00000,20.00000,1.075179e-07,0.92277,1
 92.83464, 15.10000,      1.03152,105.83246,50.00000,20.00000,1.076554e-07,0.92265,1
 93.44100, 15.20000,      1.03322,105.83759,50.00000,20.00000,1.074855e-07,0.92252,1
 94.02550, 15.30000,      1.03401,105.84352,50.00000,20.00000,1.071056e-07,0.92240,1
 94.61500, 15.40000,      1.03556,105.84258,50.00000,20.00000,1.071280e-07,0.92227,1
 95.20671, 15.50000,      1.03686,105.87607,50.00000,20.00000,1.074372e-07,0.92215,1
 95.79400, 15.60000,      1.03877,105.86755,50.00000,20.00000,1.076060e-07,0.92202,1
 96.37968, 15.70000,      1.04057,105.86658,50.00000,20.00000,1.076477e-07,0.92188,1
 96.95700, 15.80000,      1.04223,105.88752,50.00000,20.00000,1.076223e-07,0.92175,1
 97.53128, 15.90000,      1.04384,105.90883,50.00000,20.00000,1.074355e-07,0.92162,1
 98.11215, 16.00000,      1.04592,105.90779,50.00000,20.00000,1.071974e-07,0.92148,2
 98.67659, 16.10000,      1.04423,105.91320,50.00000,20.00000,1.072982e-07,0.92135,2
 99.23354, 16.20000,      1.03509,105.92819,50.00000,20.00000,1.076041e-07,0.92122,2
 99.76467, 16.30000,      1.02026,105.90624,50.00000,20.00000,1.076083e-07,0.92109,2
100.26231, 16.40000,      0.99934,105.88017,50.00000,20.00000,1.073721e-07,0.92096,2
100.74447, 16.50000,      0.97518,105.84001,50.00000,20.00000,1.071780e-07,0.92084,2
101.19603, 16.60000,      0.94637,105.80545,50.00000,20.00000,1.070739e-07,0.92073,2
101.64904, 16.70000,      0.91434,105.76873,50.00000,20.00000,1.070442e-07,0.92061,2
102.04238, 16.80000,      0.88095,105.71654,50.00000,20.00000,1.070723e-07,0.92051,2
102.42234, 16.90000,      0.84491,105.65476,50.00000,20.00000,1.071496e-07,0.92041,2
102.79320, 17.00000,      0.80897,105.58033,50.00000,20.00000,1.072709e-07,0.92032,2
103.12135, 17.10000,      0.77172,105.53384,50.00000,20.00000,1.073303e-07,0.92023,2
103.43689, 17.20000,      0.73437,105.47434,50.00000,20.00000,1.072038e-07,0.92015,2
103.73611, 17.30000,      0.69622,105.42897,50.00000,20.00000,1.070481e-07,0.92007,2
104.02619, 17.40000,      0.65805,105.36867,50.00000,20.00000,1.070298e-07,0.91999,2
