#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_01_20_SL_005P-TGA-dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS-SCF3                               
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,TIC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,1/20/2024 9:21:35 PM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/AAG                              
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,005P                                  
#SAMPLE MASS /mg:            ,6.84                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,Empty Al2O3                           
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,136.57                                
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
                             ,                                      

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.01700,  0.01352,7.849693e-12,6.475502e-10,3.533274e-11,1.622288e-10,6.974220e-12,5.986887e-09,2.240276e-13,5.996233e-13,4.786491e-14,1.414776e-13,3.262240e-13,1.591846e-12,7.893713e-12,2.863687e-08,2.194405e-10,2.358437e-12,1.597404e-12,7.366663e-09,6.154060e-12,2.753925e-11,2.883053e-13,2.349484e-10,5.442530e-13,4.513079e-11,2.016544e-11,7.263773e-08,3.626823e-12,1.173973e-12,2.722740e-12,7.417970e-11,1.799583e-12,6.250673e-13,2.395916e-13,1.390105e-12,4.048639e-13,2.366383e-12,4.713645e-12,1.103984e-12,5.467707e-13,4.008967e-13,9.136111e-13,3.851801e-13,9.388459e-13,3.166491e-13,1.731777e-13,4.657084e-13,2.637005e-13,5.490214e-13,1.449348e-12,2.136757e-12,2.684872e-12,5.515772e-13,3.518587e-13,2.568340e-13,5.471140e-13,3.397852e-13,5.403048e-13,1.622677e-13,2.635098e-13,8.234888e-13,7.986742e-13,1.319991e-12,5.513302e-12,2.528813e-12,1.178485e-12,2.295971e-13,3.485781e-13,3.333193e-13,3.340822e-13,1.919079e-13,3.097820e-13,2.033711e-13,2.614307e-13,3.893191e-13,1.004268e-12,2.203846e-13,1.018047e-11,2.060890e-12,2.108860e-13,2.449512e-13,2.505970e-13,2.076244e-13,1.712322e-13,1.890278e-13,1.514721e-13,1.954174e-13,4.995066e-13,6.151301e-13,1.533405e-12,1.451770e-12,2.957700e-12,7.873064e-13,1.470470e-13,1.030636e-13,1.534748e-13,1.063442e-13,1.658916e-13,1.113033e-13,1.891613e-13,1.312923e-13,1.736996e-12,5.053049e-13,1.222430e-12,4.006678e-13,1.420116e-13,1.672077e-13,1.094723e-13,3.292948e-13,8.900643e-14,5.015373e-14,1.113224e-13,2.104282e-13,6.135851e-13,1.493922e-12,4.053835e-12,7.761103e-13,3.800303e-13,1.559162e-13,8.111000e-14,9.993553e-14,7.988929e-14,4.931450e-14,9.398460e-14,1.133251e-13,1.676083e-13,8.816719e-14,2.399731e-13,1.215649e-13,3.451639e-13,8.929253e-14,1.679897e-13,7.704735e-14,1.398945e-13,8.473396e-14,5.454063e-14,1.783085e-13
 32.02800,  0.18870,7.054307e-12,6.469971e-10,3.596216e-11,1.627418e-10,7.185936e-12,6.024844e-09,2.261829e-13,5.324846e-13,4.994392e-14,1.099873e-13,2.676678e-13,1.548129e-12,7.727697e-12,2.859014e-08,2.188683e-10,2.324104e-12,1.618385e-12,7.347399e-09,6.449699e-12,2.812099e-11,2.323246e-13,2.355702e-10,5.331332e-13,4.543406e-11,2.028370e-11,7.354810e-08,3.628731e-12,1.168251e-12,2.785682e-12,7.460123e-11,1.805305e-12,5.848986e-13,2.435398e-13,1.407920e-12,3.651148e-13,2.246831e-12,4.743914e-12,1.164199e-12,5.925852e-13,3.703600e-13,9.056765e-13,4.435068e-13,8.871180e-13,3.477770e-13,1.664066e-13,4.399210e-13,2.727985e-13,5.407816e-13,1.466590e-12,2.033150e-12,2.713845e-12,4.937273e-13,2.909184e-13,2.510738e-13,4.874140e-13,2.950191e-13,5.764300e-13,1.261425e-13,2.590084e-13,8.863360e-13,8.230310e-13,1.384879e-12,5.405345e-12,2.448475e-12,1.201431e-12,2.120495e-13,2.903843e-13,3.367907e-13,2.860165e-13,2.175045e-13,2.976322e-13,2.290440e-13,2.812290e-13,4.095560e-13,1.034576e-12,2.366543e-13,1.001453e-11,1.879692e-12,2.219105e-13,2.610683e-13,2.431583e-13,1.925182e-13,1.412106e-13,1.925373e-13,1.282215e-13,1.957226e-13,4.976564e-13,6.455332e-13,1.559726e-12,1.501857e-12,2.994931e-12,8.174616e-13,1.383495e-13,8.366585e-14,1.404285e-13,1.057529e-13,1.417255e-13,6.134987e-14,1.426411e-13,1.169491e-13,1.698677e-12,5.128771e-13,1.222526e-12,3.958994e-13,1.261807e-13,1.873684e-13,1.080036e-13,3.297144e-13,1.210499e-13,7.618904e-14,1.050854e-13,2.066898e-13,6.229883e-13,1.553184e-12,4.011072e-12,8.320528e-13,4.006296e-13,1.195621e-13,9.900093e-14,7.546425e-14,6.588936e-14,3.321647e-14,7.235527e-14,1.125812e-13,1.974201e-13,6.522179e-14,2.714443e-13,2.114773e-13,3.272921e-13,1.339817e-13,1.641560e-13,7.460594e-14,1.062298e-13,5.166054e-14,8.502006e-14,1.692486e-13
 32.02700,  0.36616,7.120664e-12,6.446720e-10,3.615862e-11,1.631195e-10,7.044792e-12,6.024462e-09,2.212429e-13,5.808169e-13,5.997658e-14,1.248455e-13,2.586079e-13,1.670830e-12,7.644136e-12,2.839502e-08,2.179146e-10,2.314568e-12,1.593590e-12,7.302576e-09,6.390571e-12,2.791881e-11,2.125072e-13,2.366650e-10,5.912882e-13,4.595095e-11,2.027416e-11,7.321546e-08,3.645897e-12,1.103401e-12,2.799034e-12,7.393366e-11,1.852989e-12,5.651384e-13,2.066708e-13,1.377593e-12,4.012781e-13,2.268956e-12,4.689097e-12,1.219054e-12,5.610186e-13,3.965288e-13,8.932787e-13,3.471285e-13,9.033877e-13,3.192049e-13,1.237583e-13,4.069620e-13,2.509975e-13,6.304461e-13,1.443664e-12,2.187492e-12,2.664502e-12,4.455668e-13,3.127390e-13,2.818775e-13,5.101114e-13,2.881336e-13,5.415636e-13,1.454258e-13,2.806568e-13,8.737093e-13,7.552057e-13,1.329833e-12,5.190768e-12,2.421811e-12,1.163112e-12,1.954937e-13,3.296953e-13,3.086948e-13,3.019810e-13,2.172947e-13,2.696133e-13,1.832867e-13,3.064251e-13,4.231364e-13,1.033927e-12,2.027226e-13,9.974480e-12,1.898765e-12,2.023220e-13,2.479458e-13,2.357960e-13,2.086544e-13,1.477718e-13,2.039814e-13,1.543331e-13,2.068424e-13,5.637079e-13,6.471354e-13,1.437141e-12,1.475784e-12,2.994760e-12,7.796389e-13,1.492786e-13,1.232624e-13,1.178837e-13,7.828712e-14,1.878452e-13,9.030342e-14,1.667690e-13,1.156330e-13,1.742966e-12,5.082995e-13,1.245071e-12,4.176432e-13,1.313496e-13,1.531506e-13,1.176548e-13,3.027248e-13,8.191109e-14,6.730080e-14,1.120853e-13,2.087116e-13,6.135851e-13,1.459914e-12,3.987840e-12,7.968432e-13,3.790766e-13,1.855373e-13,7.088661e-14,7.893562e-14,4.099846e-14,5.717277e-14,5.669594e-14,1.114368e-13,1.730442e-13,7.544518e-14,2.323055e-13,1.326466e-13,3.275973e-13,1.138973e-13,1.162815e-13,6.356240e-14,1.063824e-13,8.009911e-14,6.709099e-14,1.858234e-13
 32.06000,  0.54503,6.980035e-12,6.397224e-10,3.563982e-11,1.640655e-10,7.367134e-12,6.030184e-09,2.024364e-13,5.204302e-13,1.070976e-14,1.232433e-13,3.041744e-13,1.545726e-12,7.814424e-12,2.827504e-08,2.156258e-10,2.358437e-12,1.481056e-12,7.274538e-09,6.300926e-12,2.748012e-11,2.173328e-13,2.364438e-10,5.433947e-13,4.527956e-11,2.034283e-11,7.360113e-08,3.718376e-12,1.128197e-12,2.581596e-12,7.416445e-11,1.843452e-12,5.909640e-13,2.332973e-13,1.297542e-12,3.711992e-13,2.322152e-12,4.486021e-12,1.150276e-12,6.097895e-13,3.488261e-13,7.963282e-13,3.708941e-13,8.890063e-13,3.375918e-13,1.178265e-13,4.263598e-13,2.095509e-13,5.640512e-13,1.494075e-12,2.045013e-12,2.794945e-12,5.055720e-13,3.452975e-13,2.513027e-13,5.415255e-13,2.856350e-13,5.084902e-13,1.606655e-13,2.191067e-13,7.948595e-13,8.531100e-13,1.289531e-12,5.414176e-12,2.479908e-12,1.250507e-12,1.941776e-13,2.844334e-13,2.841473e-13,3.495508e-13,2.077198e-13,2.720165e-13,1.772594e-13,2.668667e-13,4.440981e-13,9.529221e-13,1.949787e-13,1.024723e-11,1.881599e-12,2.116489e-13,2.626133e-13,2.327633e-13,1.416874e-13,1.668835e-13,1.566219e-13,1.645947e-13,2.040577e-13,5.390078e-13,6.208903e-13,1.370002e-12,1.512977e-12,3.006833e-12,7.962137e-13,1.333141e-13,1.436710e-13,1.328945e-13,9.741783e-14,1.201916e-13,8.950233e-14,1.771641e-13,9.915352e-14,1.662132e-12,4.600245e-13,1.251308e-12,4.372889e-13,1.300144e-13,1.662350e-13,7.992745e-14,2.935123e-13,1.102352e-13,6.274223e-14,9.684563e-14,1.780415e-13,6.012827e-13,1.487552e-12,4.191870e-12,7.616335e-13,3.347117e-13,1.216221e-13,7.824898e-14,1.179409e-13,6.825447e-14,4.311562e-14,8.526802e-14,8.093834e-14,2.364826e-13,9.362221e-14,2.145290e-13,1.173687e-13,3.427225e-13,9.823799e-14,1.167011e-13,5.885124e-14,8.027076e-14,7.515907e-14,8.679390e-14,1.732349e-13
 32.10500,  0.72371,7.192419e-12,6.358868e-10,3.549296e-11,1.632511e-10,7.441520e-12,6.034571e-09,2.012920e-13,5.200678e-13,6.176948e-14,9.392738e-14,2.599049e-13,1.514426e-12,7.779615e-12,2.818444e-08,2.165794e-10,2.221107e-12,1.538277e-12,7.238871e-09,6.154060e-12,2.784634e-11,2.894688e-13,2.373917e-10,5.236346e-13,4.580217e-11,2.061939e-11,7.323320e-08,3.670692e-12,1.070976e-12,2.673149e-12,7.436091e-11,1.826286e-12,6.137949e-13,2.588558e-13,1.318446e-12,3.665072e-13,2.318814e-12,4.560808e-12,1.205798e-12,5.562693e-13,3.486353e-13,9.114939e-13,4.607684e-13,8.430964e-13,3.461557e-13,1.227474e-13,4.200274e-13,2.568912e-13,5.852038e-13,1.450530e-12,2.010624e-12,2.758629e-12,4.889017e-13,3.036594e-13,2.389622e-13,5.688387e-13,3.108120e-13,6.081873e-13,1.397228e-13,2.754307e-13,7.562738e-13,8.016306e-13,1.381789e-12,5.576626e-12,2.359097e-12,1.246597e-12,2.214527e-13,2.901745e-13,3.238589e-13,2.947521e-13,2.017880e-13,2.754116e-13,1.648045e-13,2.879238e-13,3.875071e-13,1.002132e-12,2.182102e-13,9.898186e-12,1.898765e-12,2.307033e-13,2.522182e-13,2.105045e-13,1.705837e-13,1.715183e-13,1.908588e-13,1.628590e-13,1.887226e-13,4.770380e-13,6.502062e-13,1.463081e-12,1.507827e-12,3.039125e-12,8.027560e-13,1.320362e-13,9.165764e-14,1.217175e-13,1.038075e-13,1.588345e-13,7.248878e-14,1.456738e-13,8.652687e-14,1.767723e-12,4.898554e-13,1.232616e-12,4.440600e-13,1.313686e-13,1.854038e-13,9.806633e-14,3.098393e-13,9.655953e-14,3.973961e-14,9.053230e-14,2.268314e-13,5.939394e-13,1.401988e-12,3.932337e-12,7.583338e-13,3.560549e-13,1.782513e-13,1.014233e-13,7.609367e-14,7.302284e-14,5.133629e-14,6.335258e-14,8.255958e-14,1.836300e-13,5.795479e-14,2.065563e-13,1.810932e-13,3.198725e-13,8.774757e-14,1.466274e-13,8.921623e-14,1.238346e-13,6.741524e-14,7.645607e-14,1.690006e-13
 32.14200,  0.90491,6.991097e-12,6.354786e-10,3.546625e-11,1.628448e-10,6.999016e-12,6.047541e-09,2.109623e-13,5.044657e-13,3.382683e-14,9.432793e-14,2.538013e-13,1.521827e-12,7.643297e-12,2.804577e-08,2.154350e-10,2.312660e-12,1.568794e-12,7.218081e-09,6.142616e-12,2.748012e-11,2.398777e-13,2.381508e-10,5.364520e-13,4.560381e-11,1.990032e-11,7.376611e-08,3.666878e-12,1.093864e-12,2.837181e-12,7.293230e-11,1.767158e-12,5.831438e-13,2.635288e-13,1.292754e-12,3.602511e-13,2.373173e-12,4.681658e-12,1.154948e-12,6.055742e-13,3.223711e-13,8.860689e-13,3.999811e-13,8.985621e-13,3.353983e-13,1.234531e-13,4.365069e-13,2.611446e-13,5.763537e-13,1.413318e-12,2.048351e-12,2.621014e-12,4.825121e-13,3.175837e-13,2.637386e-13,5.016809e-13,2.802753e-13,5.439860e-13,1.504993e-13,2.126789e-13,7.826525e-13,8.690554e-13,1.392242e-12,5.334735e-12,2.480004e-12,1.204482e-12,1.625729e-13,3.227526e-13,3.289133e-13,2.885723e-13,2.532291e-13,2.883434e-13,2.027035e-13,2.668285e-13,3.972155e-13,1.039096e-12,1.967335e-13,1.007938e-11,1.883507e-12,1.907635e-13,2.791500e-13,2.296162e-13,2.257061e-13,1.868534e-13,1.562786e-13,1.089001e-13,1.962948e-13,5.129152e-13,5.606181e-13,1.510116e-12,1.547958e-12,3.017781e-12,7.830721e-13,1.551533e-13,1.030254e-13,9.697914e-14,7.416725e-14,1.446438e-13,7.206917e-14,1.692676e-13,8.391381e-14,1.744320e-12,4.388720e-13,1.193401e-12,3.861719e-13,1.105022e-13,1.812458e-13,1.088619e-13,3.357416e-13,5.324364e-14,6.077766e-14,1.045513e-13,2.046680e-13,5.798441e-13,1.438304e-12,4.050230e-12,8.404070e-13,3.667742e-13,1.299953e-13,7.988929e-14,8.463859e-14,4.208565e-14,4.326820e-14,1.015186e-13,1.095676e-13,1.776791e-13,7.166862e-14,2.104092e-13,1.415539e-13,3.375918e-13,1.141643e-13,1.540661e-13,7.969856e-14,7.819176e-14,7.664681e-14,7.178307e-14,1.678562e-13
 32.21800,  1.08382,7.050989e-12,6.310650e-10,3.529841e-11,1.622936e-10,7.502556e-12,6.053072e-09,2.147388e-13,5.145174e-13,4.744530e-14,8.082390e-14,2.737713e-13,1.525775e-12,7.866724e-12,2.794564e-08,2.133369e-10,2.293587e-12,1.532555e-12,7.172114e-09,6.072044e-12,2.691173e-11,2.290440e-13,2.372391e-10,5.334002e-13,4.564386e-11,2.018833e-11,7.383554e-08,3.708839e-12,1.069069e-12,2.635002e-12,7.390696e-11,1.900673e-12,6.208330e-13,2.363300e-13,1.319667e-12,3.575045e-13,2.392132e-12,4.465078e-12,1.150485e-12,6.342608e-13,3.604227e-13,8.591372e-13,3.584200e-13,8.905894e-13,3.769022e-13,1.469326e-13,3.958040e-13,2.700138e-13,5.460459e-13,1.511909e-12,2.026397e-12,2.606556e-12,5.079752e-13,2.653408e-13,2.578449e-13,5.234247e-13,2.834034e-13,4.424006e-13,1.492023e-13,2.295971e-13,7.594973e-13,7.493311e-13,1.427451e-12,5.466056e-12,2.497876e-12,1.217262e-12,1.851749e-13,2.962589e-13,3.525644e-13,3.285891e-13,2.110767e-13,3.089428e-13,1.858044e-13,2.521419e-13,3.759867e-13,1.048385e-12,2.134800e-13,1.011562e-11,2.007484e-12,2.049923e-13,3.178889e-13,2.116489e-13,1.657391e-13,1.532650e-13,2.122593e-13,1.492023e-13,2.022839e-13,5.127817e-13,7.009989e-13,1.492587e-12,1.477634e-12,2.962335e-12,7.264620e-13,1.485157e-13,1.034260e-13,1.244450e-13,1.071835e-13,1.413822e-13,7.679939e-14,1.738834e-13,1.012707e-13,1.774704e-12,4.675394e-13,1.237727e-12,4.751688e-13,1.388836e-13,1.572514e-13,9.793282e-14,3.125864e-13,1.028538e-13,7.117272e-14,9.373665e-14,2.512455e-13,6.305605e-13,1.476470e-12,4.156012e-12,7.480341e-13,3.912264e-13,1.559353e-13,6.550789e-14,1.023579e-13,8.791923e-14,5.665779e-14,1.020145e-13,1.045704e-13,2.346706e-13,7.254601e-14,2.236080e-13,1.467037e-13,3.172213e-13,1.240253e-13,1.272106e-13,5.902290e-14,1.112080e-13,7.084846e-14,7.411003e-14,1.916981e-13
 32.31900,  1.25773,6.829888e-12,6.287247e-10,3.523737e-11,1.618778e-10,7.452964e-12,6.051165e-09,2.231884e-13,5.159861e-13,5.248070e-14,8.841514e-14,2.842808e-13,1.601078e-12,7.718351e-12,2.779400e-08,2.121925e-10,2.272606e-12,1.416206e-12,7.141405e-09,6.142616e-12,2.727413e-11,2.225780e-13,2.375634e-10,5.365473e-13,4.560763e-11,1.993656e-11,7.396886e-08,3.699303e-12,1.109123e-12,2.715111e-12,7.349878e-11,1.837730e-12,5.592448e-13,1.929951e-13,1.281425e-12,3.700548e-13,2.211792e-12,4.456705e-12,1.106044e-12,5.576235e-13,3.854090e-13,8.213526e-13,3.483874e-13,8.880335e-13,3.206164e-13,1.387692e-13,4.489809e-13,2.508449e-13,6.018168e-13,1.437656e-12,1.994984e-12,2.773659e-12,4.747492e-13,3.179842e-13,2.624798e-13,4.552561e-13,2.504635e-13,5.234056e-13,1.339817e-13,2.344799e-13,7.518298e-13,8.100420e-13,1.409923e-12,5.236392e-12,2.379258e-12,1.151592e-12,1.612568e-13,2.667141e-13,3.453547e-13,3.382021e-13,2.338886e-13,2.517414e-13,1.868343e-13,2.429104e-13,3.999811e-13,1.034271e-12,1.852894e-13,1.010990e-11,2.055168e-12,1.587009e-13,2.683544e-13,2.246571e-13,1.751804e-13,1.563549e-13,1.809406e-13,1.540470e-13,1.761341e-13,4.394060e-13,6.032854e-13,1.448032e-12,1.541415e-12,2.857717e-12,7.578760e-13,1.196003e-13,1.254749e-13,9.879112e-14,1.147747e-13,1.093578e-13,5.782127e-14,1.698780e-13,9.676933e-14,1.734421e-12,4.900462e-13,1.250144e-12,4.093271e-13,1.268673e-13,1.670170e-13,1.257229e-13,3.154665e-13,8.889198e-14,9.360313e-14,1.039791e-13,1.668262e-13,5.825907e-13,1.453849e-12,4.139513e-12,7.943636e-13,3.410059e-13,1.297283e-13,6.913185e-14,8.746147e-14,8.336067e-14,2.877235e-14,9.762764e-14,1.085758e-13,2.072811e-13,8.265495e-14,2.033520e-13,1.308346e-13,3.553873e-13,1.091862e-13,1.387119e-13,6.905555e-14,8.715630e-14,9.341240e-14,9.165764e-14,1.402950e-13
 32.36300,  1.43534,7.224595e-12,6.257053e-10,3.520685e-11,1.609604e-10,7.607460e-12,6.071192e-09,2.159977e-13,5.867869e-13,3.062248e-14,7.626534e-14,2.683353e-13,1.594765e-12,7.575223e-12,2.766964e-08,2.120018e-10,2.238274e-12,1.555443e-12,7.109553e-09,6.020546e-12,2.715397e-11,2.370167e-13,2.374260e-10,5.472666e-13,4.638010e-11,2.041530e-11,7.391374e-08,3.630638e-12,1.122475e-12,2.743721e-12,7.249552e-11,1.767158e-12,6.039530e-13,1.987171e-13,1.308872e-12,3.523356e-13,2.244313e-12,4.589247e-12,1.200877e-12,5.992800e-13,3.286272e-13,8.510309e-13,4.290300e-13,8.664614e-13,3.583056e-13,1.461887e-13,3.999621e-13,2.716732e-13,5.722910e-13,1.451694e-12,2.036545e-12,2.711346e-12,4.690653e-13,2.734089e-13,2.238560e-13,4.957873e-13,2.737141e-13,5.073267e-13,1.397610e-13,2.206326e-13,7.849413e-13,8.188921e-13,1.323024e-12,5.119453e-12,2.431882e-12,1.174270e-12,2.081585e-13,3.236300e-13,2.816677e-13,3.249270e-13,1.973629e-13,3.271967e-13,1.965237e-13,2.613735e-13,4.080683e-13,1.049472e-12,1.905727e-13,1.009655e-11,1.833916e-12,1.987553e-13,2.966785e-13,2.272320e-13,1.763248e-13,1.547718e-13,1.932812e-13,1.845646e-13,1.837635e-13,4.466921e-13,6.531054e-13,1.483756e-12,1.389095e-12,2.970422e-12,7.773882e-13,1.710224e-13,1.008892e-13,1.239300e-13,9.993553e-14,1.409435e-13,8.618355e-14,1.268101e-13,8.751869e-14,1.763660e-12,4.803568e-13,1.134521e-12,3.949076e-13,1.625538e-13,1.431370e-13,1.014614e-13,3.113651e-13,9.600639e-14,6.846428e-14,1.026630e-13,1.991940e-13,5.779749e-13,1.395007e-12,3.997549e-12,7.890612e-13,3.774554e-13,1.169300e-13,7.985115e-14,5.427361e-14,6.888390e-14,5.455971e-14,6.533623e-14,9.095192e-14,1.760960e-13,6.947517e-14,1.999950e-13,1.589680e-13,3.240687e-13,1.295567e-13,1.338291e-13,6.541252e-14,7.126808e-14,4.521370e-14,5.763054e-14,1.759052e-13
 32.47900,  1.61669,6.997353e-12,6.217495e-10,3.539187e-11,1.616813e-10,7.212638e-12,6.079012e-09,2.369595e-13,5.142123e-13,3.161430e-14,1.150036e-13,3.014088e-13,1.556655e-12,7.531088e-12,2.742455e-08,2.116203e-10,2.335548e-12,1.441002e-12,7.075030e-09,6.157875e-12,2.613544e-11,1.933575e-13,2.376606e-10,5.477625e-13,4.597002e-11,2.066708e-11,7.388170e-08,3.710747e-12,1.061439e-12,2.703667e-12,7.249742e-11,1.784325e-12,5.619532e-13,2.487659e-13,1.272060e-12,3.822428e-13,2.328961e-12,4.660754e-12,1.128818e-12,5.910593e-13,3.787333e-13,8.514315e-13,4.010683e-13,8.881670e-13,3.513819e-13,1.690197e-13,4.765993e-13,2.233028e-13,6.062990e-13,1.490432e-12,2.004177e-12,2.801983e-12,4.455668e-13,2.809429e-13,2.464008e-13,4.672152e-13,2.563381e-13,5.275446e-13,1.613712e-13,2.414608e-13,7.692438e-13,8.621508e-13,1.359321e-12,5.427203e-12,2.538216e-12,1.296836e-12,1.774311e-13,2.956486e-13,2.962017e-13,3.115940e-13,1.869869e-13,2.677250e-13,1.931858e-13,2.620602e-13,4.302889e-13,1.023055e-12,1.669025e-13,9.833336e-12,1.967430e-12,2.078342e-13,3.031444e-13,2.629948e-13,1.542950e-13,1.665211e-13,1.647091e-13,1.702785e-13,1.385784e-13,5.050570e-13,6.216532e-13,1.538955e-12,1.481200e-12,2.924512e-12,8.040911e-13,1.544094e-13,1.002598e-13,1.563740e-13,7.039070e-14,1.360226e-13,6.403923e-14,1.969242e-13,9.842873e-14,1.805107e-12,4.668146e-13,1.315681e-12,4.165178e-13,1.336574e-13,1.753521e-13,1.038647e-13,3.361231e-13,1.076221e-13,6.024361e-14,9.472847e-14,2.144527e-13,6.103808e-13,1.425353e-12,4.065108e-12,7.557779e-13,3.346545e-13,1.167393e-13,1.168346e-13,7.739067e-14,4.618645e-14,7.298470e-14,8.107185e-14,8.675575e-14,1.775265e-13,7.863045e-14,2.143001e-13,1.682568e-13,3.565508e-13,1.032352e-13,1.368046e-13,5.526543e-14,1.221371e-13,8.017540e-14,5.129814e-14,2.033329e-13
