#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2024_01_20_SL_005P-TGA-dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS-SCF3                               
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,                                      
#DATE/TIME:                  ,1/20/2024 9:21:35 PM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,28-06-2023 13:26                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/AAG                              
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,005P                                  
#SAMPLE MASS /mg:            ,6.84                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,Empty Al2O3                           
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,136.57                                
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,20›C....800›C/0.0....5.0K/min         
#SEGMENT:                    ,S1-4/4                                
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:05/100›C                     
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                
#SEG. 4:                     ,400›C/5.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.03500,  0.00000,-5.010130e-02,100.00000,50.00000,20.00000,1.162193e-07,0.92392,1
 32.02844,  0.10000,-4.979843e-02, 99.97442,50.00000,20.00000,1.168276e-07,0.92392,1
 32.03300,  0.20000,-4.865261e-02, 99.99503,50.00000,20.00000,1.170942e-07,0.92392,1
 32.03075,  0.30000,-4.643113e-02, 99.99910,50.00000,20.00000,1.167362e-07,0.92392,1
 32.05000,  0.40000,-4.394416e-02,100.01491,50.00000,20.00000,1.165235e-07,0.92392,1
 32.06526,  0.50000,-4.071427e-02,100.04500,50.00000,20.00000,1.167282e-07,0.92392,1
 32.08600,  0.60000,-3.597602e-02,100.07442,50.00000,20.00000,1.166450e-07,0.92393,1
 32.10879,  0.70000,-3.076119e-02,100.10355,50.00000,20.00000,1.163065e-07,0.92393,1
 32.14200,  0.80000,-2.643848e-02,100.13406,50.00000,20.00000,1.163657e-07,0.92394,1
 32.17351,  0.90000,-2.130886e-02,100.15273,50.00000,20.00000,1.166436e-07,0.92394,1
 32.21800,  1.00000,-1.569385e-02,100.19518,50.00000,20.00000,1.166660e-07,0.92395,1
 32.26988,  1.10000,-1.218058e-02,100.22736,50.00000,20.00000,1.165620e-07,0.92396,1
 32.31900,  1.20000,-8.208939e-03,100.23494,50.00000,20.00000,1.165292e-07,0.92397,1
 32.34859,  1.30000,-3.969211e-03,100.25399,50.00000,20.00000,1.164991e-07,0.92397,1
 32.40000,  1.40000,-4.828716e-04,100.28289,50.00000,20.00000,1.163897e-07,0.92398,1
 32.46271,  1.50000, 2.160345e-03,100.29026,50.00000,20.00000,1.161692e-07,0.92399,1
 32.52100,  1.60000, 3.862887e-03,100.29781,50.00000,20.00000,1.160131e-07,0.92400,1
 32.65950,  1.70000, 5.934284e-03,100.30829,50.00000,20.00000,1.161654e-07,0.92402,1
 32.61300,  1.80000, 7.604931e-03,100.31272,50.00000,20.00000,1.163983e-07,0.92402,1
 32.67921,  1.90000, 9.386195e-03,100.31257,50.00000,20.00000,1.164161e-07,0.92403,1
 32.73100,  2.00000, 1.074324e-02,100.33743,50.00000,20.00000,1.163457e-07,0.92404,1
 32.78427,  2.10000, 1.239915e-02,100.33605,50.00000,20.00000,1.163134e-07,0.92404,1
 32.84200,  2.20000, 1.339861e-02,100.34737,50.00000,20.00000,1.162822e-07,0.92405,1
 32.89380,  2.30000, 1.571963e-02,100.36855,50.00000,20.00000,1.162467e-07,0.92406,1
 32.95900,  2.40000, 1.786444e-02,100.37719,50.00000,20.00000,1.162401e-07,0.92407,1
 33.01458,  2.50000, 1.992750e-02,100.39747,50.00000,20.00000,1.161619e-07,0.92408,1
 33.09700,  2.60000, 2.208859e-02,100.41681,50.00000,20.00000,1.158931e-07,0.92410,1
 33.15937,  2.70000, 2.655923e-02,100.44648,50.00000,20.00000,1.156889e-07,0.92411,1
 33.25400,  2.80000, 3.065762e-02,100.47646,50.00000,20.00000,1.158043e-07,0.92412,1
 33.32696,  2.90000, 3.471909e-02,100.50601,50.00000,20.00000,1.160005e-07,0.92413,1
 33.40400,  3.00000, 4.031249e-02,100.53596,50.00000,20.00000,1.160655e-07,0.92415,1
 33.52421,  3.10000, 4.616409e-02,100.57948,50.00000,20.00000,1.160457e-07,0.92417,1
 33.61100,  3.20000, 5.213881e-02,100.63845,50.00000,20.00000,1.159805e-07,0.92418,1
 33.72122,  3.30000, 5.989004e-02,100.67546,50.00000,20.00000,1.158898e-07,0.92420,1
 33.85400,  3.40000, 6.734312e-02,100.72281,50.00000,20.00000,1.159079e-07,0.92422,1
 33.96370,  3.50000, 7.562708e-02,100.79444,50.00000,20.00000,1.161067e-07,0.92424,1
 34.11000,  3.60000, 8.508030e-02,100.82705,50.00000,20.00000,1.161481e-07,0.92426,1
 34.25650,  3.70000, 9.328155e-02,100.90997,50.00000,20.00000,1.158732e-07,0.92428,1
 34.41500,  3.80000,      0.10402,100.96930,50.00000,20.00000,1.156059e-07,0.92431,1
 34.58227,  3.90000,      0.11434,101.01265,50.00000,20.00000,1.155115e-07,0.92433,1
 34.74700,  4.00000,      0.12622,101.10980,50.00000,20.00000,1.155243e-07,0.92436,1
 34.93746,  4.10000,      0.13732,101.14480,50.00000,20.00000,1.156279e-07,0.92439,1
 35.14000,  4.20000,      0.14962,101.22558,50.00000,20.00000,1.157970e-07,0.92442,1
 35.33767,  4.30000,      0.16071,101.30645,50.00000,20.00000,1.158083e-07,0.92445,1
 35.56400,  4.40000,      0.17314,101.37617,50.00000,20.00000,1.155584e-07,0.92448,1
 35.78390,  4.50000,      0.18613,101.43696,50.00000,20.00000,1.153739e-07,0.92452,1
 36.01700,  4.60000,      0.19979,101.51345,50.00000,20.00000,1.153961e-07,0.92455,1
 36.27045,  4.70000,      0.21213,101.61211,50.00000,20.00000,1.154373e-07,0.92459,1
 36.53100,  4.80000,      0.22474,101.66564,50.00000,20.00000,1.154694e-07,0.92462,1
 36.80375,  4.90000,      0.23880,101.75679,50.00000,20.00000,1.155741e-07,0.92466,1
 37.08700,  5.00000,      0.25126,101.82266,50.00000,20.00000,1.156310e-07,0.92470,1
 37.37504,  5.10000,      0.26562,101.90083,50.00000,20.00000,1.155026e-07,0.92474,1
 37.65900,  5.20000,      0.27838,101.99313,50.00000,20.00000,1.153296e-07,0.92478,1
 37.97730,  5.30000,      0.29184,102.04221,50.00000,20.00000,1.152707e-07,0.92482,1
 38.30700,  5.40000,      0.30561,102.10556,50.00000,20.00000,1.153816e-07,0.92487,1
 38.62680,  5.50000,      0.31934,102.20531,50.00000,20.00000,1.155116e-07,0.92491,1
 38.96100,  5.60000,      0.33247,102.28743,50.00000,20.00000,1.153520e-07,0.92495,1
 39.31178,  5.70000,      0.34513,102.36030,50.00000,20.00000,1.150360e-07,0.92500,1
 39.67300,  5.80000,      0.36029,102.40161,50.00000,20.00000,1.149175e-07,0.92504,1
 40.03077,  5.90000,      0.37285,102.48672,50.00000,20.00000,1.150764e-07,0.92508,1
 40.41300,  6.00000,      0.38630,102.56696,50.00000,20.00000,1.153745e-07,0.92513,1
 40.79297,  6.10000,      0.39931,102.63285,50.00000,20.00000,1.153378e-07,0.92517,1
 41.18900,  6.20000,      0.41327,102.70263,50.00000,20.00000,1.149361e-07,0.92522,1
 41.57897,  6.30000,      0.42647,102.77729,50.00000,20.00000,1.148747e-07,0.92526,1
 41.99500,  6.40000,      0.43939,102.83991,50.00000,20.00000,1.151376e-07,0.92531,1
 42.43275,  6.50000,      0.45256,102.91524,50.00000,20.00000,1.151604e-07,0.92535,1
 42.86700,  6.60000,      0.46453,102.95731,50.00000,20.00000,1.150104e-07,0.92540,1
 43.27960,  6.70000,      0.47806,103.03303,50.00000,20.00000,1.149695e-07,0.92544,1
 43.75400,  6.80000,      0.49064,103.09956,50.00000,20.00000,1.149901e-07,0.92548,1
 44.19964,  6.90000,      0.50438,103.16578,50.00000,20.00000,1.149762e-07,0.92553,1
 44.64600,  7.00000,      0.51639,103.23348,50.00000,20.00000,1.149158e-07,0.92557,1
 45.13149,  7.10000,      0.52925,103.28817,50.00000,20.00000,1.148246e-07,0.92561,1
 45.59500,  7.20000,      0.54225,103.34927,50.00000,20.00000,1.147389e-07,0.92565,1
 46.09197,  7.30000,      0.55366,103.40794,50.00000,20.00000,1.147298e-07,0.92569,1
 46.56200,  7.40000,      0.56546,103.44693,50.00000,20.00000,1.148561e-07,0.92573,1
 47.08492,  7.50000,      0.57893,103.52624,50.00000,20.00000,1.149506e-07,0.92577,1
 47.58100,  7.60000,      0.59071,103.58421,50.00000,20.00000,1.148529e-07,0.92580,1
 48.10859,  7.70000,      0.60142,103.63296,50.00000,20.00000,1.147414e-07,0.92584,1
 48.63100,  7.80000,      0.61344,103.70000,50.00000,20.00000,1.147530e-07,0.92588,1
 49.14375,  7.90000,      0.62470,103.76408,50.00000,20.00000,1.148065e-07,0.92591,1
 49.66900,  8.00000,      0.63580,103.82734,50.00000,20.00000,1.148087e-07,0.92594,1
 50.21127,  8.10000,      0.64745,103.84571,50.00000,20.00000,1.146918e-07,0.92597,1
 50.75100,  8.20000,      0.65829,103.91491,50.00000,20.00000,1.145477e-07,0.92600,1
 51.31053,  8.30000,      0.66878,103.95296,50.00000,20.00000,1.145277e-07,0.92602,1
 51.85700,  8.40000,      0.67860,104.02749,50.00000,20.00000,1.145822e-07,0.92605,1
 52.42556,  8.50000,      0.68878,104.05641,50.00000,20.00000,1.146188e-07,0.92607,1
 52.96700,  8.60000,      0.69905,104.12003,50.00000,20.00000,1.145917e-07,0.92609,1
 53.54136,  8.70000,      0.70870,104.14942,50.00000,20.00000,1.145177e-07,0.92611,1
 54.12900,  8.80000,      0.71853,104.20439,50.00000,20.00000,1.144892e-07,0.92613,1
 54.68698,  8.90000,      0.72750,104.23452,50.00000,20.00000,1.145020e-07,0.92615,1
 55.27100,  9.00000,      0.73765,104.26564,50.00000,20.00000,1.144732e-07,0.92616,1
 55.86848,  9.10000,      0.74667,104.32138,50.00000,20.00000,1.144094e-07,0.92617,1
 56.44800,  9.20000,      0.75498,104.37310,50.00000,20.00000,1.143602e-07,0.92618,1
 57.04745,  9.30000,      0.76389,104.39989,50.00000,20.00000,1.143678e-07,0.92619,1
 57.63900,  9.40000,      0.77255,104.46082,50.00000,20.00000,1.144141e-07,0.92620,1
 58.25858,  9.50000,      0.78025,104.49005,50.00000,20.00000,1.143494e-07,0.92620,1
 58.84400,  9.60000,      0.78832,104.52032,50.00000,20.00000,1.141666e-07,0.92620,1
 59.46233,  9.70000,      0.79603,104.55670,50.00000,20.00000,1.140554e-07,0.92620,1
 60.07600,  9.80000,      0.80314,104.57646,50.00000,20.00000,1.140833e-07,0.92620,1
 60.69505,  9.90000,      0.81024,104.63300,50.00000,20.00000,1.142037e-07,0.92619,1
 61.29000, 10.00000,      0.81712,104.66754,50.00000,20.00000,1.142686e-07,0.92618,1
 61.92141, 10.10000,      0.82457,104.70064,50.00000,20.00000,1.141712e-07,0.92617,1
 62.53200, 10.20000,      0.83015,104.73363,50.00000,20.00000,1.140920e-07,0.92616,1
 63.15253, 10.30000,      0.83682,104.76344,50.00000,20.00000,1.141567e-07,0.92614,1
 63.78200, 10.40000,      0.84367,104.79313,50.00000,20.00000,1.142466e-07,0.92612,1
 64.38636, 10.50000,      0.84976,104.82296,50.00000,20.00000,1.142580e-07,0.92610,1
 65.01600, 10.60000,      0.85443,104.85278,50.00000,20.00000,1.141511e-07,0.92608,1
 65.66111, 10.70000,      0.86048,104.88145,50.00000,20.00000,1.139953e-07,0.92605,1
 66.27200, 10.80000,      0.86556,104.89240,50.00000,20.00000,1.139052e-07,0.92603,1
 66.90616, 10.90000,      0.87043,104.92260,50.00000,20.00000,1.139102e-07,0.92600,1
 67.52600, 11.00000,      0.87574,104.95205,50.00000,20.00000,1.140031e-07,0.92596,1
 68.15760, 11.10000,      0.88074,104.98162,50.00000,20.00000,1.141541e-07,0.92593,1
 68.79000, 11.20000,      0.88472,105.03143,50.00000,20.00000,1.142583e-07,0.92589,1
