Sheet Name,Up Mobility (cm^2/Vs),Down Mobility (cm^2/Vs),Avg (of Up and Down) Mobility (cm^2/Vs),ID_on (A),ID_off (A),ID_on_off_ratio,Threshold Voltage (V)
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-4.538601672265941e-07,-1.210170921694953e-05,0.0375038070317308,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.470037602757657e-07,-1.1741282833099833e-05,0.0125202469240709,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,8.512313076636245e-11,-3.227077216561013e-10,-0.2637777935077589,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.540730705470679e-11,9.9630081962232e-11,0.9576154628767044,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-3.227077216561013e-10,-3.227077216561013e-10,1.0,-21.700644861816592
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-3.227077216561013e-10,-3.227077216561013e-10,1.0,-21.700644861816592
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-3.227077216561013e-10,-3.227077216561013e-10,1.0,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.9630081962232e-11,9.9630081962232e-11,1.0,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-3.227077216561013e-10,-3.227077216561013e-10,1.0,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,9.9630081962232e-11,9.9630081962232e-11,1.0,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.45423982758075e-05,0.115887462275328,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.76323169398529e-06,-1.4863918295304757e-05,0.1186249587056908,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.45423982758075e-05,0.115887462275328,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.76323169398529e-06,-1.4863918295304757e-05,0.1186249587056908,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.45423982758075e-05,0.115887462275328,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.76323169398529e-06,-1.4863918295304757e-05,0.1186249587056908,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.45423982758075e-05,0.115887462275328,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.76323169398529e-06,-1.4863918295304757e-05,0.1186249587056908,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-3.0395981411857065e-06,-1.45423982758075e-05,0.2090162904039241,-21.700644861816592
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.45423982758075e-05,0.115887462275328,-21.700644861816592
AL_1_33C_1D_2,0.0539826378353938,0.0513104896555318,0.0526465637454628,-1.76323169398529e-06,-1.4863918295304757e-05,0.1186249587056908,-27.807585227638874
AL_1_33C_1D_1,0.0461297883004323,0.0506294654140611,0.0483796268572467,-1.6852816315804375e-06,-1.616794179426506e-05,0.1042360031366654,-21.700644861816592
AL_1_33C_1D_2,0.05398263783539384,0.05131048965553183,0.05264656374546284,-2.7734474770113593e-06,-1.6862280972418375e-05,0.1644764122687723,-27.807585227638874
Average,0.05093902188745688,0.04969926536177844,0.05031914362461765,-7.67932308884978e-07,-6.619685635898862e-06,0.359495178208604,-24.476526846281267
Std,0.00034435983745026064,0.0039707925573116845,0.0028183130797385376,9.728177747998646e-07,7.411031728396032e-06,0.49609413202133623,3.0879737660314537
