experiment_label,conversion_%,activation_energy_kJ_mol,r2,E_over_RT,ASTM_b
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,5,426.44318636091504,0.9964049966615335,82.99349726329048,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,6,400.2716008204342,0.9977319223527659,77.59272306618399,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,7,382.30255003831616,0.9972840888101232,73.84683913816544,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,8,368.855668079003,0.997940353297123,71.02562847922007,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,9,352.80755664052447,0.9983125002037984,67.72900935038113,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,10,341.4226639585866,0.997956025625808,65.35609073726373,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,11,334.56185593510594,0.9977567775412445,63.88921502106535,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,12,325.1632921032458,0.9986240219980614,61.94896211456126,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,13,319.31030414273783,0.9982056733668423,60.69677436313598,0.4487
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,14,315.1689822931827,0.9981938544530597,59.79117042191622,0.44874176591561676
PSSCF3_1K_min_PSSCF3_2K_min_PSSCF3_5K_min_PSSCF3_10K_min,15,311.5885960549595,0.997962780105817,59.00160901212029,0.448899678197576
