#EXPORTTYPE:                 ,DATA ALL                    
#FILE:                       ,2024_01_12_SL_001G.ngb-ss5  
#FORMAT:                     ,NETZSCH5                    
#FTYPE:                      ,ASCII                       
#IDENTITY:                   ,polystyrene                 
#DECIMAL:                    ,POINT                       
#SEPARATOR:                  ,COMMA                       
#MTYPE:                      ,TIC                         
#INSTRUMENT:                 ,NETZSCH STA 449F5           
#PROJECT:                    ,2024_01_08_SL_007B          
#DATE/TIME:                  ,1/12/2024 5:46:24 PM (UTC-5)
#CORR. FILE:                 ,                            
#TEMPCAL:                    ,28-06-2023 13:26            
#SENSITIVITY:                ,28-06-2023 13:53            
#LABORATORY:                 ,Tran/AAG                    
#OPERATOR:                   ,Stanley                     
#REMARK:                     ,                            
#SAMPLE:                     ,001G                        
#SAMPLE MASS /mg:            ,15.20                       
#MATERIAL:                   ,                            
#REFERENCE:                  ,                            
#REFERENCE MASS /mg:         ,0                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open           
#SAMPLE CRUCIBLE MASS /mg:   ,0                           
#REFERENCE CRUCIBLE MASS /mg:,0                           
#DSC RANGE /‘V:              ,5000                        
#TG RANGE /mg:               ,35000                       
                             ,                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 41.56100,  0.01358,7.892817e-12,5.782257e-10,5.707461e-11,2.717049e-10,1.305103e-11,1.130630e-08,3.858286e-13,1.167461e-12,1.334476e-13,2.612209e-13,6.009012e-13,3.274759e-12,1.167774e-11,2.612965e-08,2.041817e-10,2.717018e-12,2.429008e-12,6.948572e-09,6.371498e-12,2.739048e-11,4.503924e-13,4.768748e-10,1.326561e-12,8.843332e-11,4.802233e-11,1.419926e-07,1.017666e-11,3.157616e-12,1.251316e-11,1.731731e-10,4.059792e-12,1.341820e-12,4.431826e-13,1.617519e-12,5.699259e-13,3.857187e-12,8.460883e-12,2.528679e-12,1.415302e-12,1.080581e-12,5.085940e-12,2.028553e-12,6.233517e-12,2.305043e-12,1.413223e-12,9.214121e-13,5.667025e-13,9.262568e-13,3.013890e-12,2.508900e-12,1.031399e-11,1.160622e-12,1.336098e-12,1.002322e-12,2.681172e-12,1.701023e-12,3.847765e-12,5.248362e-13,4.651743e-13,1.217300e-12,1.376449e-12,2.117760e-12,1.168346e-11,7.184029e-12,2.728462e-12,4.952532e-13,1.092826e-12,1.354114e-12,1.736042e-12,7.976252e-13,1.776459e-12,4.658228e-13,4.874140e-13,5.648714e-13,2.180206e-12,5.884653e-13,6.733424e-11,6.543159e-12,4.911143e-13,4.530627e-13,6.863314e-13,9.829628e-13,1.190406e-12,5.571276e-13,6.802660e-13,3.338152e-13,5.811983e-13,1.544524e-12,4.906726e-12,4.432635e-12,3.767580e-12,1.270496e-12,2.238560e-13,1.794148e-13,4.895312e-13,3.087520e-13,6.404024e-13,3.261667e-13,5.247980e-13,2.958202e-13,5.484043e-12,1.972420e-12,1.149654e-11,1.793861e-12,2.665043e-13,1.754284e-13,1.403522e-13,2.722263e-13,2.197742e-13,2.118587e-13,4.490954e-13,3.890520e-13,1.443912e-12,3.234056e-12,7.707841e-12,1.683723e-12,5.652529e-13,2.118969e-13,9.791374e-14,1.455784e-13,9.675026e-14,5.854606e-14,1.479626e-13,1.724529e-13,4.519564e-13,1.809978e-13,6.955248e-13,3.243929e-13,8.710009e-13,2.097607e-13,1.382923e-13,8.502006e-14,1.809788e-13,8.137703e-14,9.993553e-14,2.111530e-13
 42.36800,  0.19869,8.138006e-12,5.969387e-10,5.891138e-11,2.796624e-10,1.320934e-11,1.127120e-08,3.092289e-13,1.078674e-12,7.025719e-14,2.448368e-13,6.572824e-13,3.290170e-12,1.194286e-11,2.710240e-08,2.129555e-10,2.688408e-12,2.404213e-12,7.198435e-09,6.340980e-12,2.725887e-11,5.002314e-13,4.729628e-10,1.320839e-12,8.823687e-11,4.968554e-11,1.419163e-07,9.930610e-12,2.923012e-12,1.247120e-11,1.785194e-10,4.576683e-12,1.347542e-12,4.449946e-13,1.661751e-12,6.528765e-13,3.946680e-12,8.659915e-12,2.531235e-12,1.439143e-12,1.079952e-12,5.133853e-12,2.011940e-12,5.986458e-12,2.250226e-12,1.484004e-12,9.358126e-13,4.679400e-13,8.744913e-13,2.905229e-12,2.735817e-12,1.029110e-11,1.107216e-12,1.362801e-12,9.677422e-13,2.639954e-12,1.675331e-12,3.770212e-12,4.550463e-13,4.408747e-13,1.414291e-12,1.409713e-12,2.080204e-12,1.174641e-11,7.103920e-12,2.644539e-12,5.161959e-13,1.150333e-12,1.233054e-12,1.810085e-12,9.513391e-13,1.878693e-12,4.445559e-13,4.017168e-13,4.926592e-13,2.129204e-12,5.621439e-13,6.643205e-11,6.396294e-12,4.378039e-13,4.609019e-13,7.500368e-13,8.784777e-13,1.217624e-12,5.470949e-13,6.217486e-13,3.499895e-13,6.729800e-13,1.614277e-12,4.826045e-12,4.424070e-12,3.845533e-12,1.230003e-12,2.376270e-13,1.780605e-13,4.167658e-13,3.408152e-13,6.108958e-13,3.212076e-13,5.192667e-13,2.810955e-13,5.778347e-12,2.032520e-12,1.168346e-11,1.790047e-12,2.825070e-13,1.937199e-13,8.696556e-14,2.936077e-13,1.622868e-13,1.977825e-13,3.543955e-13,4.525095e-13,1.272823e-12,3.168805e-12,7.632501e-12,1.726715e-12,5.211359e-13,1.939869e-13,9.383201e-14,1.118183e-13,8.259773e-14,1.030827e-13,1.780224e-13,2.030849e-13,4.539400e-13,2.221012e-13,5.770785e-13,2.770519e-13,7.880885e-13,1.369190e-13,1.610279e-13,8.536339e-14,1.903248e-13,8.442879e-14,9.957313e-14,2.623654e-13
 43.17300,  0.37659,8.424567e-12,6.229416e-10,6.005579e-11,2.812951e-10,1.296520e-11,1.124774e-08,3.518969e-13,1.290256e-12,8.107185e-14,2.382183e-13,5.559450e-13,3.221448e-12,1.246166e-11,2.815011e-08,2.186775e-10,2.829552e-12,2.545357e-12,7.479388e-09,6.430626e-12,2.870655e-11,4.638773e-13,4.731593e-10,1.353264e-12,8.806521e-11,4.893595e-11,1.410580e-07,1.037693e-11,2.871513e-12,1.253414e-11,1.855404e-10,4.473686e-12,1.429558e-12,4.363733e-13,1.777584e-12,7.256418e-13,4.006513e-12,8.677482e-12,2.491951e-12,1.414299e-12,1.029015e-12,4.868507e-12,2.089500e-12,6.144523e-12,2.339363e-12,1.399040e-12,8.265215e-13,4.820925e-13,9.298235e-13,3.180383e-12,2.885068e-12,1.024151e-11,1.187325e-12,1.296043e-12,1.012946e-12,2.650292e-12,1.603615e-12,3.879789e-12,5.022723e-13,4.240328e-13,1.287585e-12,1.449920e-12,2.185966e-12,1.196194e-11,7.481574e-12,2.736092e-12,5.357844e-13,1.142589e-12,1.355506e-12,1.918117e-12,8.123881e-13,1.831638e-12,4.373461e-13,4.435450e-13,5.424982e-13,2.070057e-12,5.350977e-13,6.698137e-11,6.625175e-12,4.491526e-13,4.473597e-13,7.291323e-13,9.503281e-13,1.248370e-12,5.161005e-13,6.451899e-13,3.521258e-13,7.241922e-13,1.645309e-12,4.972701e-12,4.636397e-12,3.779501e-12,1.261302e-12,2.179241e-13,1.863575e-13,3.927904e-13,3.394800e-13,6.118685e-13,2.668095e-13,5.062586e-13,2.388287e-13,5.749984e-12,1.987907e-12,1.192188e-11,1.839638e-12,2.185726e-13,2.046490e-13,1.483059e-13,2.037525e-13,2.060986e-13,2.346325e-13,4.367167e-13,3.864771e-13,1.356593e-12,3.161004e-12,8.028449e-12,1.781227e-12,5.884272e-13,2.137089e-13,9.940147e-14,1.070118e-13,1.069355e-13,7.990837e-14,1.918507e-13,1.979542e-13,4.032236e-13,1.626301e-13,7.165438e-13,3.725916e-13,7.778269e-13,1.943874e-13,1.211643e-13,1.057148e-13,1.968288e-13,9.696006e-14,1.161099e-13,2.072620e-13
 43.85300,  0.55534,8.927859e-12,6.931931e-10,6.114870e-11,2.883046e-10,1.305485e-11,1.108600e-08,3.351313e-13,1.275626e-12,8.477211e-14,2.459621e-13,6.570345e-13,3.454317e-12,1.308727e-11,3.169664e-08,2.469063e-10,2.985954e-12,2.713203e-12,8.462244e-09,7.275581e-12,3.267771e-11,4.111582e-13,4.634623e-10,1.418114e-12,8.650881e-11,4.783350e-11,1.383304e-07,1.030064e-11,3.067970e-12,1.294041e-11,1.930591e-10,4.689216e-12,1.454353e-12,4.262072e-13,2.109386e-12,6.961161e-13,3.998636e-12,8.681297e-12,2.346992e-12,1.543999e-12,1.122475e-12,5.158424e-12,2.142906e-12,6.266594e-12,2.322197e-12,1.460075e-12,9.566987e-13,4.646403e-13,9.747040e-13,3.064626e-12,3.355249e-12,1.035404e-11,1.181602e-12,1.292229e-12,9.659302e-13,2.886022e-12,1.607792e-12,3.809007e-12,5.606943e-13,4.357058e-13,1.271964e-12,1.393806e-12,2.185222e-12,1.201534e-11,7.369041e-12,2.825737e-12,5.348879e-13,1.133529e-12,1.389209e-12,1.893284e-12,8.665949e-13,1.873924e-12,4.488665e-13,4.307467e-13,5.336863e-13,2.060768e-12,6.383997e-13,6.728083e-11,6.360054e-12,4.039675e-13,4.463869e-13,7.596499e-13,9.190279e-13,1.196452e-12,4.687029e-13,6.154162e-13,3.048420e-13,6.632525e-13,1.502906e-12,5.221725e-12,4.539847e-12,4.030088e-12,1.345893e-12,2.857494e-13,1.466084e-13,4.173189e-13,3.673846e-13,6.435686e-13,3.278452e-13,5.308062e-13,2.790737e-13,5.751949e-12,2.064373e-12,1.183414e-11,1.818657e-12,2.620602e-13,2.181721e-13,1.457310e-13,2.849102e-13,2.070141e-13,2.445889e-13,3.683382e-13,4.513460e-13,1.357681e-12,3.221753e-12,7.806261e-12,1.782238e-12,5.953890e-13,2.227688e-13,8.555412e-14,1.445675e-13,7.582665e-14,7.887841e-14,1.342487e-13,1.888561e-13,4.456621e-13,1.663494e-13,6.446940e-13,4.532343e-13,8.160692e-13,2.068806e-13,1.198864e-13,8.616447e-14,1.779270e-13,1.086521e-13,9.930611e-14,2.359867e-13
 44.56100,  0.74081,1.062298e-11,8.319300e-10,6.318956e-11,2.957642e-10,1.249027e-11,1.073352e-08,2.887058e-13,1.332980e-12,6.911278e-14,2.441502e-13,6.390101e-13,3.432286e-12,1.445675e-11,3.840917e-08,2.995491e-10,3.314018e-12,3.182411e-12,1.028014e-08,8.824348e-12,4.084307e-11,4.819017e-13,4.396071e-10,1.389503e-12,8.232790e-11,4.500299e-11,1.324177e-07,1.057911e-11,2.987861e-12,1.282978e-11,2.007419e-10,4.738807e-12,1.475334e-12,4.572588e-13,2.260144e-12,7.065302e-13,4.140410e-12,9.186744e-12,2.612114e-12,1.458168e-12,1.168251e-12,5.091667e-12,2.030373e-12,6.304741e-12,2.362251e-12,1.555443e-12,1.028167e-12,5.093866e-13,1.008693e-12,3.286946e-12,3.471426e-12,1.073933e-11,1.261711e-12,1.395226e-12,1.051903e-12,2.814293e-12,1.646995e-12,3.840446e-12,4.844004e-13,4.526812e-13,1.355182e-12,1.495849e-12,2.318509e-12,1.234913e-11,7.616996e-12,2.751350e-12,4.709727e-13,1.086551e-12,1.385146e-12,1.825649e-12,8.204180e-13,1.957695e-12,4.358202e-13,4.242235e-13,4.965121e-13,2.241433e-12,6.020075e-13,6.839472e-11,6.505012e-12,4.784686e-13,5.618578e-13,7.770449e-13,9.802162e-13,1.271087e-12,5.537325e-13,6.330973e-13,3.348833e-13,6.831461e-13,1.641914e-12,5.207057e-12,4.537691e-12,4.093184e-12,1.440421e-12,2.495670e-13,1.753139e-13,4.219538e-13,3.136545e-13,7.271868e-13,2.439976e-13,5.197435e-13,2.841282e-13,5.865398e-12,2.008335e-12,1.220226e-11,1.948357e-12,3.143984e-13,1.888561e-13,1.479053e-13,3.143603e-13,1.913738e-13,2.328396e-13,3.633982e-13,4.207903e-13,1.562683e-12,3.152765e-12,8.356817e-12,1.811630e-12,5.785281e-13,2.372837e-13,1.275158e-13,1.191235e-13,1.074505e-13,6.232262e-14,1.712704e-13,2.031231e-13,4.395777e-13,1.863766e-13,6.705957e-13,3.899294e-13,8.368403e-13,1.776791e-13,1.547527e-13,9.608269e-14,2.162075e-13,8.114815e-14,1.052189e-13,2.160740e-13
 45.21000,  0.92319,1.253986e-11,1.035595e-09,6.692415e-11,3.078225e-10,1.194096e-11,1.016208e-08,3.102398e-13,1.390067e-12,7.651329e-14,2.767277e-13,6.812578e-13,3.756307e-12,1.594829e-11,4.789329e-08,3.752708e-10,3.623009e-12,3.506660e-12,1.287833e-08,1.084423e-11,5.027300e-11,5.236918e-13,4.105887e-10,1.332283e-12,7.718760e-11,4.260355e-11,1.243687e-07,1.073742e-11,3.102302e-12,1.412678e-11,2.092659e-10,5.074501e-12,1.486778e-12,4.496103e-13,2.449143e-12,8.067042e-13,4.427351e-12,9.402275e-12,2.625465e-12,1.446724e-12,1.105309e-12,5.459785e-12,2.215385e-12,6.358147e-12,2.366066e-12,1.467705e-12,1.120567e-12,5.158907e-13,1.018859e-12,3.201802e-12,4.185213e-12,1.120853e-11,1.322746e-12,1.439095e-12,1.032829e-12,2.980232e-12,1.727104e-12,3.891945e-12,5.927950e-13,4.426867e-13,1.461002e-12,1.550132e-12,2.283108e-12,1.272678e-11,7.416725e-12,2.751350e-12,5.055910e-13,1.211330e-12,1.441432e-12,1.970875e-12,9.297662e-13,1.993877e-12,4.784495e-13,4.535204e-13,4.874521e-13,2.338269e-12,5.112940e-13,6.864267e-11,6.634712e-12,4.726702e-13,5.401331e-13,7.341867e-13,1.016303e-12,1.160518e-12,6.101900e-13,7.576662e-13,3.304583e-13,6.681734e-13,1.770355e-12,5.286250e-12,4.786315e-12,4.387507e-12,1.507980e-12,2.804279e-13,1.845074e-13,4.739862e-13,4.338938e-13,6.130892e-13,2.990246e-13,5.429560e-13,3.265291e-13,6.196800e-12,2.244275e-12,1.281643e-11,1.994133e-12,2.892590e-13,2.255344e-13,1.136303e-13,3.468996e-13,2.166653e-13,2.550602e-13,4.106241e-13,5.233103e-13,1.532470e-12,3.415502e-12,8.210752e-12,1.900227e-12,6.225306e-13,2.181339e-13,1.070499e-13,1.309872e-13,1.031017e-13,1.042080e-13,1.748753e-13,2.041531e-13,4.968745e-13,1.824284e-13,6.961733e-13,3.880793e-13,8.118731e-13,1.799107e-13,1.492786e-13,1.023579e-13,2.207661e-13,1.031971e-13,1.141643e-13,2.953625e-13
 45.83000,  1.11442,1.471424e-11,1.292133e-09,7.176882e-11,3.247426e-10,1.130390e-11,9.463227e-09,2.868366e-13,1.509544e-12,7.464409e-14,2.229786e-13,6.157213e-13,3.876852e-12,1.881123e-11,5.975567e-08,4.649162e-10,4.336357e-12,3.983498e-12,1.609165e-08,1.345539e-11,6.178194e-11,4.739481e-13,3.741430e-10,1.427650e-12,7.075792e-11,3.761011e-11,1.142979e-07,1.066685e-11,3.434181e-12,1.373959e-11,2.158520e-10,5.383491e-12,1.545906e-12,3.940302e-13,2.835439e-12,7.273203e-13,4.409861e-12,9.995460e-12,2.686501e-12,1.460075e-12,1.227379e-12,5.679130e-12,2.297401e-12,6.842613e-12,2.581596e-12,1.479149e-12,1.029015e-12,5.283839e-13,1.121608e-12,3.258355e-12,4.237456e-12,1.136303e-11,1.412392e-12,1.547813e-12,1.069069e-12,2.861976e-12,1.774788e-12,4.145622e-12,6.600100e-13,5.033595e-13,1.338741e-12,1.627895e-12,2.274754e-12,1.340389e-11,7.866859e-12,2.902031e-12,4.762751e-13,1.167041e-12,1.479694e-12,1.834251e-12,1.001636e-12,2.032539e-12,4.566866e-13,4.851252e-13,5.078035e-13,2.435486e-12,6.393534e-13,6.995493e-11,6.621361e-12,4.669863e-13,5.681902e-13,7.468134e-13,1.017696e-12,1.332046e-12,6.110292e-13,6.637484e-13,3.132540e-13,7.186228e-13,1.633198e-12,5.395922e-12,4.762874e-12,4.487395e-12,1.621372e-12,3.063869e-13,1.948070e-13,4.660898e-13,4.011637e-13,7.180315e-13,3.271586e-13,5.260187e-13,2.853489e-13,6.374642e-12,2.249043e-12,1.318455e-11,1.929283e-12,2.629948e-13,2.583981e-13,1.531315e-13,3.835016e-13,2.549267e-13,2.403736e-13,4.041201e-13,4.781062e-13,1.624748e-12,3.466810e-12,8.547705e-12,1.964504e-12,6.486041e-13,3.195673e-13,7.874489e-14,1.110172e-13,8.437157e-14,9.024620e-14,1.839352e-13,2.456570e-13,4.749400e-13,1.953030e-13,7.514483e-13,3.627878e-13,8.450037e-13,2.077961e-13,1.459599e-13,8.963585e-14,2.033520e-13,9.079933e-14,1.241589e-13,2.674007e-13
 46.35000,  1.30122,1.785755e-11,1.598835e-09,7.629686e-11,3.480161e-10,9.909630e-12,8.574015e-09,3.085423e-13,1.414844e-12,5.795479e-14,2.294636e-13,7.102686e-13,4.179720e-12,2.122593e-11,7.352617e-08,5.723000e-10,5.110740e-12,4.435539e-12,1.980240e-08,1.585865e-11,7.565409e-11,5.397707e-13,3.304818e-10,1.381874e-12,6.307321e-11,3.336817e-11,1.021671e-07,1.091289e-11,3.897667e-12,1.416683e-11,2.201016e-10,5.141258e-12,1.515388e-12,3.850275e-13,2.769787e-12,7.299715e-13,4.541754e-12,1.015568e-11,2.789497e-12,1.566887e-12,1.236916e-12,5.702019e-12,2.327919e-12,7.000923e-12,2.564430e-12,1.500130e-12,1.055717e-12,5.165964e-13,1.100608e-12,3.532175e-12,4.568838e-12,1.157284e-11,1.349449e-12,1.521110e-12,1.109123e-12,3.117561e-12,1.942634e-12,4.370689e-12,8.116442e-13,5.194384e-13,1.538726e-12,1.704609e-12,2.284195e-12,1.363468e-11,7.538795e-12,2.884865e-12,5.059344e-13,1.088458e-12,1.531421e-12,2.000000e-12,9.425651e-13,1.991760e-12,5.030542e-13,4.625613e-13,4.768282e-13,2.273095e-12,6.212145e-13,6.907755e-11,6.281853e-12,4.963785e-13,5.823046e-13,7.627588e-13,9.458840e-13,1.270000e-12,5.492693e-13,6.856447e-13,3.031635e-13,7.104594e-13,1.725475e-12,5.403037e-12,4.917484e-12,4.878230e-12,1.841652e-12,2.591229e-13,2.057171e-13,4.767138e-13,3.795725e-13,7.505327e-13,3.301722e-13,6.093127e-13,3.627497e-13,6.628109e-12,2.397053e-12,1.384068e-11,2.181053e-12,3.106403e-13,2.534199e-13,1.588154e-13,3.832155e-13,2.719593e-13,2.662373e-13,4.367739e-13,4.868990e-13,1.811344e-12,3.579534e-12,8.925189e-12,1.994583e-12,6.965548e-13,3.005314e-13,1.129627e-13,1.179790e-13,9.839058e-14,1.184750e-13,2.029324e-13,2.411938e-13,5.444437e-13,2.159023e-13,7.381350e-13,4.062945e-13,9.552110e-13,2.054882e-13,1.903057e-13,9.129524e-14,1.693439e-13,1.026058e-13,6.339073e-14,2.271748e-13
 46.82900,  1.48139,2.172184e-11,1.964474e-09,8.585077e-11,3.771986e-10,8.620262e-12,7.410914e-09,2.703953e-13,1.513702e-12,8.934974e-14,2.260113e-13,6.860835e-13,4.068484e-12,2.465725e-11,8.999995e-08,6.995201e-10,5.841255e-12,5.301475e-12,2.431233e-08,1.989841e-11,9.344583e-11,5.298906e-13,2.771351e-10,1.317024e-12,5.414492e-11,3.017902e-11,8.615206e-08,1.174259e-11,4.975319e-12,1.476383e-11,2.228405e-10,5.221367e-12,1.492500e-12,3.859049e-13,3.119710e-12,6.815249e-13,4.834857e-12,1.039028e-11,2.861976e-12,1.597404e-12,1.324654e-12,6.060600e-12,2.442360e-12,7.281303e-12,2.598762e-12,1.555443e-12,1.038551e-12,4.953104e-13,1.036655e-12,3.442815e-12,4.819026e-12,1.157665e-11,1.399040e-12,1.589775e-12,1.189232e-12,3.129005e-12,1.753807e-12,4.736900e-12,1.109123e-12,5.365282e-13,1.581261e-12,1.678726e-12,2.497399e-12,1.367283e-11,7.597923e-12,2.852440e-12,5.378061e-13,1.125270e-12,1.512462e-12,1.828167e-12,9.525978e-13,1.909878e-12,4.849726e-13,4.617792e-13,5.241686e-13,2.112018e-12,5.463129e-13,6.651980e-11,6.443977e-12,5.366427e-13,5.413157e-13,7.428652e-13,9.838021e-13,1.297790e-12,5.588633e-13,7.075983e-13,3.731638e-13,7.791621e-13,1.768848e-12,5.693813e-12,5.075107e-12,5.308337e-12,1.961624e-12,3.068256e-13,2.394390e-13,4.940516e-13,4.317576e-13,8.183008e-13,3.168780e-13,6.403452e-13,2.913380e-13,6.900498e-12,2.539151e-12,1.506710e-11,2.184868e-12,3.057957e-13,3.134638e-13,2.023029e-13,3.836924e-13,2.189541e-13,2.900219e-13,4.919153e-13,5.784136e-13,1.802608e-12,3.812059e-12,9.726524e-12,2.299309e-12,7.414919e-13,3.320032e-13,1.292705e-13,1.482296e-13,1.054096e-13,8.120537e-14,1.606655e-13,2.353954e-13,5.705935e-13,1.819897e-13,8.547121e-13,3.999049e-13,1.042491e-12,2.073383e-13,1.729107e-13,1.073933e-13,1.670551e-13,1.177883e-13,1.430225e-13,3.094387e-13
 47.26400,  1.65835,2.525043e-11,2.370930e-09,9.838974e-11,4.232706e-10,7.451057e-12,6.166560e-09,2.661800e-13,1.596004e-12,5.684853e-14,2.396488e-13,6.340128e-13,4.500060e-12,2.622318e-11,1.085758e-07,8.397102e-10,6.939888e-12,5.393028e-12,2.893518e-08,2.324200e-11,1.102687e-10,6.143099e-13,2.290337e-10,1.454353e-12,4.566866e-11,2.632618e-11,7.093866e-08,1.262951e-11,6.276131e-12,1.486492e-11,2.227528e-10,4.902839e-12,1.543999e-12,4.184824e-13,3.194726e-12,7.935435e-13,4.931388e-12,1.127911e-11,2.999306e-12,1.770973e-12,1.284599e-12,6.447792e-12,2.486229e-12,7.660866e-12,2.696037e-12,1.652718e-12,1.133919e-12,6.394488e-13,1.177970e-12,3.686193e-12,4.687361e-12,1.154613e-11,1.441002e-12,1.608849e-12,1.198769e-12,3.220558e-12,1.860619e-12,5.124092e-12,1.332283e-12,5.068308e-13,1.720344e-12,1.566440e-12,2.474854e-12,1.352406e-11,7.479667e-12,2.812386e-12,5.135828e-13,1.159850e-12,1.434680e-12,1.873562e-12,1.021377e-12,1.930954e-12,5.000407e-13,4.382044e-13,4.743486e-13,2.463200e-12,5.225473e-13,6.497865e-11,6.152153e-12,4.373270e-13,7.046229e-13,8.677584e-13,9.912216e-13,1.273814e-12,6.512553e-13,7.864481e-13,3.790575e-13,9.206874e-13,1.864540e-12,6.377560e-12,5.502601e-12,5.869309e-12,2.182514e-12,3.610903e-13,2.777958e-13,5.601412e-13,5.037218e-13,9.025675e-13,4.162699e-13,7.315928e-13,3.324610e-13,7.438028e-12,2.778141e-12,1.609707e-11,2.497673e-12,3.409868e-13,3.757387e-13,1.637745e-13,5.311304e-13,3.615290e-13,3.018475e-13,5.343729e-13,6.009966e-13,1.905815e-12,4.332842e-12,1.109791e-11,2.409935e-12,7.357889e-13,3.296953e-13,1.371288e-13,1.674747e-13,1.350689e-13,9.703636e-14,2.185917e-13,2.722263e-13,5.971247e-13,2.562428e-13,8.082872e-13,4.799753e-13,1.157790e-12,2.316570e-13,1.900768e-13,1.025677e-13,1.309109e-13,1.105404e-13,1.261044e-13,3.123188e-13
