#EXPORTTYPE:                 ,DATA ALL                                                                    
#FILE:                       ,2024_02_16_SL_001H_280C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                    
#FTYPE:                      ,ANSI                                                                        
#IDENTITY:                   ,PS                                                                          
#DECIMAL:                    ,POINT                                                                       
#SEPARATOR:                  ,COMMA                                                                       
#MTYPE:                      ,TIC                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                           
#PROJECT:                    ,2024_02_16_SL_005                                                           
#DATE/TIME:                  ,2/16/2024 3:54:24 PM (UTC-5)                                                
#CORR. FILE:                 ,                                                                            
#TEMPCAL:                    ,28-06-2023 13:26                                                            
#SENSITIVITY:                ,28-06-2023 13:53                                                            
#LABORATORY:                 ,Tran/AAG                                                                    
#OPERATOR:                   ,Stanley                                                                     
#REMARK:                     ,                                                                            
#SAMPLE:                     ,001H_control                                                                
#SAMPLE MASS /mg:            ,5.58                                                                        
#MATERIAL:                   ,                                                                            
#REFERENCE:                  ,                                                                            
#REFERENCE MASS /mg:         ,0                                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                                           
#DSC RANGE /µV:              ,5000                                                                        
#TG RANGE /mg:               ,35000                                                                       
                             ,                                                                            

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 28.78500,  0.01356,8.168123e-12,7.860543e-10,2.457905e-11,1.135665e-10,5.711555e-12,5.110651e-09,2.073765e-13,7.424647e-13,4.179954e-14,9.196281e-14,2.377415e-13,1.244518e-12,6.360051e-12,3.524679e-08,2.642632e-10,2.627373e-12,1.635551e-12,8.720309e-09,7.414818e-12,3.316599e-11,1.716518e-13,1.925403e-10,2.525616e-13,3.746134e-11,1.287937e-11,6.046540e-08,2.024650e-12,6.333453e-13,1.499110e-12,9.877121e-11,1.715660e-12,5.617243e-13,1.368809e-13,8.147913e-13,1.433086e-13,7.896143e-13,1.178638e-12,4.220110e-13,1.772785e-13,2.198696e-13,2.253437e-13,1.583386e-13,1.837254e-13,2.236652e-13,7.716179e-14,2.107525e-13,1.170063e-13,1.434994e-13,3.064060e-13,1.143867e-12,4.037195e-13,1.941395e-13,1.227474e-13,9.318352e-14,1.338291e-13,1.047993e-13,1.264858e-13,6.211281e-14,1.244450e-13,2.444363e-13,2.081013e-13,3.033543e-13,1.108390e-12,7.861430e-13,2.220440e-13,9.755135e-14,7.885933e-14,8.814812e-14,9.617806e-14,1.090145e-13,5.537987e-14,8.360863e-14,8.181572e-14,9.505272e-14,1.598072e-13,7.214546e-14,1.220809e-12,2.460003e-13,5.948067e-14,9.055137e-14,3.825188e-14,6.760598e-14,3.790855e-14,6.604195e-14,5.141258e-14,5.324364e-14,1.085758e-13,1.397419e-13,3.095913e-13,5.238062e-13,5.185992e-13,2.198887e-13,8.320809e-14,5.179405e-14,5.431175e-14,2.409935e-14,5.219459e-14,2.619743e-14,4.111290e-14,4.637718e-14,2.253818e-13,1.023769e-13,2.403736e-13,8.902549e-14,6.056786e-14,6.814003e-14,3.083229e-14,1.049900e-13,2.964973e-14,3.035545e-14,6.442070e-14,3.540993e-14,1.055050e-13,2.075863e-13,3.772265e-13,1.069546e-13,6.106376e-14,3.451347e-14,3.499031e-14,5.000114e-14,4.084587e-14,2.057075e-14,4.483223e-14,3.657341e-14,5.034447e-14,3.680229e-14,7.874489e-14,6.674767e-14,4.887581e-14,3.661156e-14,1.397133e-14,3.434181e-14,8.667946e-14,3.157615e-14,2.612114e-14,4.298210e-14
 29.05400,  0.18752,9.461403e-12,9.057045e-10,2.587986e-11,1.155120e-10,5.604744e-12,4.792887e-09,1.578808e-13,6.666476e-13,1.250267e-14,7.225990e-14,1.971340e-13,1.316673e-12,7.101552e-12,4.028391e-08,3.043175e-10,3.048897e-12,1.700401e-12,9.979355e-09,7.922172e-12,3.717333e-11,1.929951e-13,1.770698e-10,2.925396e-13,3.484255e-11,1.176739e-11,5.632282e-08,1.912117e-12,6.321818e-13,1.457454e-12,1.010314e-10,1.725197e-12,6.140810e-13,1.230717e-13,9.006601e-13,1.595402e-13,8.592707e-13,1.210738e-12,3.893381e-13,1.736355e-13,2.155781e-13,1.864338e-13,1.607800e-13,2.190495e-13,2.150440e-13,5.915642e-14,2.299023e-13,1.323032e-13,1.460171e-13,3.232294e-13,1.189529e-12,3.964716e-13,1.618862e-13,9.776115e-14,7.983208e-14,1.336765e-13,9.032249e-14,1.089954e-13,7.035255e-14,9.078025e-14,2.451610e-13,2.360439e-13,3.203684e-13,1.065685e-12,7.319361e-13,1.943493e-13,3.891945e-14,8.213997e-14,9.675026e-14,6.329536e-14,1.021481e-13,7.496834e-14,5.801201e-14,7.527351e-14,8.124352e-14,1.709652e-13,5.675316e-14,1.270229e-12,2.578831e-13,4.662514e-14,9.484291e-14,5.131721e-14,3.853798e-14,5.394935e-14,5.906105e-14,4.342079e-14,4.933357e-14,1.255703e-13,1.183605e-13,3.186709e-13,5.270868e-13,5.646044e-13,2.831936e-13,4.221916e-14,5.768776e-14,5.190849e-14,3.146171e-14,6.073952e-14,2.846718e-14,4.630089e-14,4.691124e-14,2.305698e-13,8.963585e-14,2.065945e-13,1.264477e-13,7.102013e-14,4.336357e-14,4.134178e-14,9.394646e-14,2.146721e-14,2.295494e-14,2.476692e-14,4.801750e-14,1.003742e-13,2.178478e-13,4.087931e-13,1.023388e-13,8.572579e-14,5.026817e-14,2.133369e-14,2.245903e-14,3.067970e-14,5.084038e-14,6.201744e-14,3.357887e-14,5.213737e-14,8.668899e-15,7.300377e-14,5.944252e-14,7.163048e-14,3.859520e-14,5.534172e-14,2.713203e-14,6.901741e-14,3.884316e-14,1.784325e-14,3.630638e-14
 29.29600,  0.36414,1.077175e-11,1.031971e-09,2.675915e-11,1.176978e-10,5.059242e-12,4.448801e-09,1.983929e-13,6.734759e-13,5.350113e-15,6.110191e-14,2.422619e-13,1.300231e-12,7.703912e-12,4.551978e-08,3.411293e-10,3.314018e-12,1.881599e-12,1.125633e-08,9.139061e-12,4.233271e-11,1.935101e-13,1.630813e-10,2.965832e-13,3.214937e-11,1.109409e-11,5.176158e-08,1.875877e-12,6.816393e-13,1.442558e-12,1.044379e-10,1.671791e-12,5.836588e-13,1.319027e-13,1.010867e-12,1.937962e-13,7.482630e-13,1.130973e-12,3.850848e-13,1.795673e-13,2.093983e-13,2.255726e-13,1.581669e-13,2.075291e-13,2.191830e-13,6.573677e-14,2.495480e-13,1.059055e-13,1.389217e-13,2.925396e-13,1.339637e-12,4.473406e-13,1.812077e-13,9.467125e-14,1.106548e-13,1.358890e-13,1.085758e-13,1.144695e-13,5.322456e-14,1.350117e-13,2.609348e-13,2.479458e-13,3.440768e-13,1.111118e-12,7.872111e-13,1.738262e-13,7.071495e-14,6.541252e-14,1.009846e-13,7.431984e-14,1.063633e-13,5.772591e-14,6.766319e-14,8.790016e-14,7.864952e-14,1.744556e-13,6.945610e-14,1.201698e-12,1.899815e-13,7.637977e-14,7.512093e-14,3.342629e-14,4.921913e-14,5.305290e-14,6.772041e-14,5.438805e-14,4.927635e-14,1.132488e-13,1.644611e-13,4.289347e-13,5.215174e-13,5.525690e-13,2.381992e-13,5.709648e-14,4.080772e-14,5.833626e-14,4.532814e-14,5.047798e-14,6.373405e-14,5.751610e-14,1.679421e-14,2.266598e-13,7.931709e-14,1.958561e-13,8.582115e-14,4.101753e-14,4.473686e-14,5.995750e-14,9.533882e-14,4.937172e-14,4.210472e-14,3.350258e-14,5.434990e-14,1.374721e-13,2.010441e-13,4.216868e-13,1.065350e-13,6.587028e-14,2.745628e-14,5.139351e-14,4.118919e-14,2.886772e-14,2.009392e-14,5.143165e-14,3.556252e-14,4.557610e-14,4.368782e-14,5.883217e-14,4.572868e-14,7.378578e-14,1.589775e-14,7.273674e-14,4.529953e-15,6.663322e-14,3.502846e-14,3.781319e-14,4.284859e-14
 29.61300,  0.54552,1.204205e-11,1.170254e-09,2.780247e-11,1.208030e-10,4.837990e-12,4.067332e-09,1.801968e-13,8.669001e-13,3.900528e-15,7.565498e-14,2.112103e-13,1.365138e-12,8.301733e-12,5.120978e-08,3.851890e-10,3.499031e-12,2.217293e-12,1.266032e-08,1.028156e-11,4.753595e-11,1.828289e-13,1.487190e-10,2.996922e-13,2.910900e-11,9.581566e-12,4.693713e-08,1.851082e-12,6.812388e-13,1.376945e-12,1.066982e-10,1.702309e-12,5.584246e-13,9.743690e-14,9.253222e-13,1.756573e-13,8.362871e-13,1.256057e-12,3.772265e-13,1.711559e-13,2.358532e-13,2.703953e-13,1.713848e-13,2.047253e-13,2.032948e-13,8.986473e-14,2.257824e-13,1.097202e-13,1.686573e-13,3.084660e-13,1.325256e-12,4.410273e-13,1.791477e-13,1.107883e-13,9.020805e-14,1.118565e-13,1.194477e-13,7.428169e-14,5.324364e-14,1.156521e-13,2.750111e-13,2.433300e-13,3.589541e-13,1.104995e-12,7.564455e-13,2.151775e-13,6.751061e-14,5.450249e-14,9.072304e-14,1.034451e-13,1.164532e-13,7.813453e-14,5.129814e-14,5.059242e-14,4.839897e-14,1.631641e-13,6.039619e-14,1.129085e-12,2.501774e-13,5.652428e-14,8.772850e-14,4.685402e-14,7.233619e-14,7.600784e-15,6.764412e-14,5.581856e-14,4.055977e-14,8.988380e-14,1.353359e-13,3.891283e-13,5.652720e-13,6.327921e-13,2.497387e-13,5.181312e-14,5.574226e-14,5.434990e-14,3.573418e-14,6.213188e-14,5.686760e-14,4.084587e-14,3.451347e-14,2.590275e-13,8.723259e-14,2.044392e-13,1.101017e-13,6.581306e-14,4.744530e-14,3.184318e-14,8.948326e-14,2.959251e-14,1.496315e-14,3.237724e-14,5.455971e-14,1.166058e-13,2.141666e-13,4.065806e-13,1.286411e-13,6.949425e-14,3.096580e-14,5.314827e-14,4.361153e-14,1.641274e-14,4.260063e-14,3.958702e-14,4.635811e-14,6.350517e-14,2.636909e-14,4.528999e-14,4.090309e-14,6.964684e-14,4.357338e-14,5.318642e-14,2.442360e-14,4.326820e-14,3.586769e-14,4.143715e-14,7.437706e-14
 30.05200,  0.72379,1.355076e-11,1.312351e-09,2.901173e-11,1.236755e-10,4.378318e-12,3.692728e-09,1.636982e-13,8.078867e-13,2.846718e-14,7.773400e-14,2.282619e-13,1.477481e-12,8.748492e-12,5.688358e-08,4.307747e-10,3.916740e-12,2.131462e-12,1.399356e-08,1.131916e-11,5.203348e-11,1.997471e-13,1.330806e-10,2.854442e-13,2.642155e-11,8.498192e-12,4.203104e-08,1.812935e-12,7.157046e-13,1.377040e-12,1.077911e-10,1.795769e-12,5.827624e-13,9.583473e-14,1.063396e-12,1.676083e-13,8.098513e-13,1.223460e-12,3.825289e-13,1.302242e-13,2.148724e-13,2.112293e-13,1.801777e-13,2.041912e-13,1.591396e-13,5.728722e-14,2.560139e-13,9.779930e-14,1.983547e-13,3.509432e-13,1.328593e-12,4.047495e-13,1.964092e-13,1.274204e-13,1.259899e-13,1.280498e-13,9.572029e-14,8.969307e-14,6.045341e-14,1.048374e-13,2.253056e-13,2.674770e-13,3.115749e-13,1.062480e-12,7.043940e-13,2.057362e-13,8.582115e-14,7.868767e-14,9.545326e-14,7.678032e-14,1.348400e-13,8.152962e-14,8.078575e-14,8.624077e-14,7.281303e-14,1.757336e-13,7.967949e-14,1.099578e-12,1.876354e-13,4.103660e-14,1.061344e-13,7.622719e-14,3.569603e-14,6.852150e-14,5.099297e-14,6.274223e-14,6.852150e-14,1.180172e-13,1.200962e-13,4.183489e-13,6.108767e-13,6.147486e-13,2.932644e-13,3.268242e-14,2.974510e-14,5.309105e-14,4.391670e-14,4.750252e-14,5.045891e-14,6.365776e-14,3.912926e-14,2.457523e-13,8.702278e-14,2.154446e-13,1.212597e-13,2.707481e-14,9.406089e-14,4.176140e-14,1.112461e-13,4.288674e-14,2.100944e-14,2.850533e-14,6.308556e-14,1.415348e-13,2.681064e-13,4.658037e-13,8.572579e-14,8.975029e-14,4.031181e-14,3.897667e-14,6.058693e-14,1.723290e-14,8.382797e-15,6.917000e-14,2.238274e-14,7.744789e-14,2.949715e-14,5.896568e-14,4.250527e-14,8.309364e-14,3.966331e-14,5.160332e-14,2.440453e-14,4.227638e-14,4.311562e-14,1.721382e-14,6.005287e-14
 30.51600,  0.90505,1.467991e-11,1.460934e-09,3.044414e-11,1.284934e-10,3.693581e-12,3.302485e-09,1.290417e-13,8.942324e-13,1.986504e-14,1.079464e-13,2.363110e-13,1.483127e-12,9.068489e-12,6.291997e-08,4.742622e-10,4.042625e-12,2.287865e-12,1.543418e-08,1.249027e-11,5.772310e-11,2.000141e-13,1.184360e-10,2.985096e-13,2.311802e-11,7.561683e-12,3.732656e-08,1.685142e-12,8.025652e-13,1.260253e-12,1.094848e-10,1.763344e-12,6.232744e-13,1.288891e-13,1.034309e-12,1.572323e-13,8.176523e-13,1.243812e-12,3.346735e-13,1.426220e-13,1.908016e-13,2.214336e-13,1.413059e-13,1.953220e-13,2.188969e-13,5.482674e-14,1.902294e-13,1.082897e-13,1.628399e-13,3.248888e-13,1.318466e-12,4.113299e-13,1.723385e-13,1.240253e-13,1.264286e-13,8.097649e-14,6.699562e-14,7.674217e-14,7.765770e-14,1.033688e-13,2.433109e-13,2.069378e-13,3.164583e-13,1.047641e-12,6.948000e-13,1.767635e-13,5.572319e-14,6.367683e-14,1.090527e-13,6.281852e-14,1.040554e-13,6.253242e-14,5.928993e-14,8.357048e-14,7.063866e-14,1.248455e-13,4.614830e-14,1.108314e-12,2.209187e-13,6.243706e-14,1.056767e-13,5.879402e-14,6.066323e-14,5.415916e-14,5.110741e-14,2.890587e-14,2.673149e-14,1.288891e-13,1.554775e-13,4.299074e-13,5.784517e-13,7.290560e-13,2.647686e-13,5.410194e-14,4.059792e-14,5.288124e-14,2.999306e-14,5.608559e-14,4.832268e-14,6.382942e-14,5.808830e-14,2.834797e-13,9.587288e-14,2.199650e-13,9.850502e-14,4.967689e-14,6.533623e-14,4.479408e-14,1.249981e-13,1.694679e-14,4.567146e-14,2.902031e-14,5.478859e-14,1.111698e-13,2.227306e-13,4.393679e-13,1.023197e-13,8.208275e-14,3.842354e-14,4.126549e-14,6.533623e-14,4.157066e-14,3.643990e-14,2.524376e-14,5.410194e-14,3.226280e-14,4.191399e-14,8.568764e-14,7.065773e-14,6.598473e-14,4.170418e-14,2.131462e-14,3.960610e-14,5.017280e-14,3.617287e-14,5.301476e-14,5.337715e-14
 31.11000,  1.07845,1.590443e-11,1.605320e-09,3.223520e-11,1.326572e-10,3.369331e-12,2.955914e-09,1.424694e-13,8.681017e-13,2.126694e-15,8.749962e-14,2.347088e-13,1.577045e-12,9.655952e-12,6.938264e-08,5.227089e-10,4.462242e-12,2.181053e-12,1.684067e-08,1.345730e-11,6.352716e-11,1.857471e-13,1.042491e-10,2.915478e-13,2.058697e-11,6.463051e-12,3.319543e-08,1.700401e-12,8.296114e-13,1.218692e-12,1.132861e-10,1.812935e-12,6.213480e-13,9.184837e-14,1.058284e-12,1.292705e-13,9.073359e-13,1.333610e-12,4.352480e-13,1.582241e-13,2.220249e-13,2.457523e-13,1.606655e-13,1.943874e-13,1.673222e-13,6.587028e-14,2.315998e-13,9.537697e-14,1.508617e-13,3.500849e-13,1.331569e-12,3.980166e-13,1.953983e-13,8.534432e-14,1.024723e-13,9.520530e-14,1.281071e-13,9.232521e-14,6.180764e-14,9.839058e-14,2.761173e-13,2.008724e-13,3.431612e-13,1.085712e-12,7.326036e-13,1.817799e-13,8.431434e-14,6.482124e-14,5.694389e-14,7.361412e-14,1.060009e-13,2.930641e-14,6.703377e-14,6.615639e-14,9.041786e-14,1.850605e-13,3.458977e-14,1.170722e-12,2.463055e-13,5.892753e-14,1.027012e-13,6.833076e-14,5.230903e-14,5.421638e-14,5.368233e-14,6.236076e-14,5.671501e-14,1.333904e-13,2.089024e-13,3.906733e-13,6.051356e-13,7.536226e-13,3.349024e-13,3.682137e-14,4.225731e-14,7.605553e-14,4.393578e-14,6.476402e-14,3.472328e-14,7.231713e-14,4.754067e-14,2.828884e-13,9.692192e-14,2.367496e-13,1.255512e-13,9.060860e-14,5.278587e-14,4.380226e-14,1.007366e-13,5.248070e-14,5.473137e-14,4.176140e-14,4.038811e-14,1.315403e-13,2.736187e-13,4.918390e-13,1.281834e-13,6.361961e-14,5.957604e-14,3.636360e-14,4.273415e-14,3.613472e-14,2.089500e-14,3.581047e-14,5.867958e-14,4.916191e-14,3.388405e-14,5.410194e-14,5.766869e-14,9.257317e-14,4.240990e-14,1.494408e-14,2.936363e-14,2.245903e-14,4.950523e-14,5.942345e-14,5.028724e-14
 31.84000,  1.25805,1.695919e-11,1.750660e-09,3.442293e-11,1.373931e-10,3.035545e-12,2.616978e-09,1.533794e-13,8.472544e-13,2.135277e-14,8.099556e-14,2.762890e-13,1.500465e-12,9.810448e-12,7.509992e-08,5.650521e-10,4.698753e-12,2.545357e-12,1.821300e-08,1.430035e-11,6.813151e-11,1.780415e-13,9.148508e-11,2.784824e-13,1.809788e-11,5.604744e-12,2.907632e-08,1.557350e-12,1.091957e-12,1.334190e-12,1.149760e-10,1.904488e-12,6.387240e-13,6.709099e-14,1.203567e-12,1.431942e-13,8.891589e-13,1.371738e-12,4.073816e-13,1.871777e-13,1.979733e-13,2.435589e-13,1.744556e-13,2.177906e-13,1.911259e-13,6.100655e-14,2.477741e-13,1.098156e-13,1.630878e-13,3.714281e-13,1.376468e-12,4.037005e-13,1.771641e-13,9.945870e-14,1.121426e-13,1.356411e-13,6.297111e-14,9.163856e-14,9.284019e-14,1.088619e-13,2.897739e-13,2.309132e-13,3.010654e-13,1.080981e-12,6.803614e-13,1.864529e-13,6.497383e-14,9.583473e-14,7.914543e-14,7.193566e-14,1.018047e-13,5.949974e-14,8.826255e-14,7.372856e-14,8.938790e-14,1.628971e-13,2.642631e-14,1.229678e-12,2.285099e-13,5.795479e-14,1.201725e-13,6.772041e-14,3.464699e-14,4.004478e-14,3.216743e-14,2.810478e-14,6.779671e-14,1.292705e-13,1.592731e-13,4.358202e-13,5.981928e-13,8.082872e-13,3.698641e-13,7.161140e-14,5.560875e-14,6.670952e-14,4.679680e-14,5.354881e-14,3.115654e-14,6.966591e-14,3.985405e-14,3.328615e-13,1.196957e-13,2.633762e-13,1.110554e-13,2.844811e-14,8.191109e-14,4.384041e-14,1.166630e-13,2.232552e-14,5.360603e-14,4.160881e-14,6.249428e-14,1.418591e-13,2.506733e-13,5.277163e-13,1.403332e-13,9.596824e-14,5.610466e-14,2.640724e-14,4.597664e-14,3.031730e-14,2.861977e-14,3.640175e-14,3.232002e-14,5.270958e-14,2.923012e-14,6.125450e-14,3.911018e-14,6.951332e-14,3.817558e-14,4.446983e-14,2.875328e-14,4.868508e-14,4.134178e-14,3.224373e-14,6.520271e-14
 32.56200,  1.43823,1.842403e-11,1.869106e-09,3.548533e-11,1.400386e-10,2.667427e-12,2.268124e-09,1.303387e-13,8.414942e-13,2.028465e-14,9.173393e-14,2.714634e-13,1.500942e-12,1.008511e-11,7.956236e-08,6.016732e-10,5.042076e-12,2.665520e-12,1.927082e-08,1.502323e-11,7.298952e-11,2.447033e-13,7.947641e-11,2.855015e-13,1.550961e-11,4.981041e-12,2.510789e-08,1.574516e-12,1.011848e-12,1.311302e-12,1.152087e-10,1.788139e-12,5.899721e-13,1.311016e-13,1.215068e-12,1.559925e-13,8.446604e-13,1.349708e-12,4.132944e-13,2.102375e-13,1.826382e-13,2.189541e-13,1.336574e-13,2.024364e-13,1.827335e-13,6.554604e-14,2.039051e-13,9.238243e-14,1.634121e-13,3.291804e-13,1.370860e-12,3.967768e-13,2.008724e-13,1.013470e-13,8.246422e-14,1.073170e-13,1.319218e-13,1.271725e-13,6.945610e-14,1.284313e-13,2.585506e-13,2.072620e-13,3.440577e-13,9.959901e-13,6.449991e-13,1.614475e-13,6.411552e-14,9.198189e-14,6.859779e-14,8.637428e-14,1.132679e-13,4.826546e-14,9.192466e-14,8.738518e-14,1.076603e-13,1.318073e-13,5.429268e-14,1.292506e-12,2.770138e-13,7.349968e-14,1.120281e-13,5.450249e-14,5.751610e-14,6.695747e-14,4.801750e-14,3.886223e-14,1.031208e-13,1.645565e-13,1.766872e-13,4.147822e-13,6.398493e-13,8.540636e-13,3.197390e-13,8.826255e-14,5.568504e-14,5.261421e-14,3.218651e-14,6.323814e-14,4.462242e-14,6.178856e-14,3.169060e-14,2.871418e-13,8.223534e-14,2.510929e-13,1.311588e-13,5.764961e-14,7.639885e-14,5.486488e-14,1.197910e-13,5.864143e-14,5.318642e-14,2.892494e-14,7.634163e-14,1.554585e-13,2.763081e-13,5.135637e-13,1.031017e-13,9.568214e-14,5.103111e-14,2.318382e-14,2.072334e-14,5.053520e-14,4.424095e-14,2.913475e-14,5.053520e-14,5.810737e-14,3.897667e-14,4.437447e-14,4.559517e-14,6.602287e-14,4.738808e-14,4.576683e-14,1.685143e-14,6.155968e-14,3.388405e-14,5.757332e-14,6.476402e-14
 33.35300,  1.61839,1.894665e-11,1.971531e-09,3.639895e-11,1.432925e-10,2.207756e-12,1.951885e-09,1.517391e-13,8.262354e-13,4.279137e-14,7.363319e-14,2.535343e-13,1.542598e-12,1.016712e-11,8.353670e-08,6.299019e-10,5.316734e-12,2.596855e-12,2.015735e-08,1.601505e-11,7.575327e-11,2.137279e-13,6.835466e-11,2.557278e-13,1.354504e-11,4.252433e-12,2.157890e-08,1.502037e-12,1.099586e-12,1.225471e-12,1.152545e-10,1.811027e-12,6.147104e-13,1.099873e-13,1.229202e-12,1.513576e-13,8.405977e-13,1.360942e-12,3.900057e-13,1.704502e-13,1.855564e-13,2.298832e-13,1.391506e-13,2.073383e-13,1.878262e-13,3.226280e-14,2.007961e-13,9.850502e-14,1.853275e-13,3.559405e-13,1.339065e-12,3.801638e-13,2.258205e-13,9.263038e-14,9.070396e-14,1.041508e-13,1.207066e-13,9.810447e-14,6.426811e-14,8.624077e-14,1.845264e-13,2.433682e-13,3.127390e-13,1.101047e-12,5.926997e-13,1.747799e-13,7.063866e-14,9.119987e-14,9.369850e-14,7.304191e-14,1.049709e-13,4.448891e-14,9.991646e-14,5.564690e-14,8.860588e-14,1.455784e-13,5.206108e-14,1.269981e-12,2.818584e-13,4.052162e-14,1.086903e-13,5.784035e-14,6.884575e-14,3.815651e-14,5.227089e-14,4.622459e-14,6.932259e-14,1.482487e-13,1.922131e-13,3.984171e-13,6.351000e-13,7.847506e-13,3.325945e-13,7.483483e-14,5.766869e-14,4.553795e-14,3.458977e-14,5.251884e-14,2.839088e-14,5.854606e-14,2.713203e-14,3.285128e-13,8.416176e-14,2.739048e-13,8.515358e-14,9.407997e-14,8.585930e-14,4.464150e-14,1.628208e-13,4.038811e-14,4.555702e-14,5.345344e-14,5.072594e-14,1.311398e-13,2.578831e-13,5.095774e-13,1.320934e-13,7.126808e-14,3.998756e-14,1.633644e-14,4.973412e-14,4.321098e-14,4.927635e-14,3.716469e-14,4.448891e-14,5.272865e-14,3.739357e-14,5.385399e-14,4.912376e-14,6.701469e-14,6.258964e-14,4.542351e-14,1.069069e-14,5.581856e-14,4.689217e-14,3.542900e-14,4.641533e-14
