#EXPORTTYPE:                 ,DATA ALL                                                                           
#FILE:                       ,2024_03_13_Styrofoam-SCF3_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                           
#FTYPE:                      ,ANSI                                                                               
#IDENTITY:                   ,Styrofoam-SCF3                                                                     
#DECIMAL:                    ,POINT                                                                              
#SEPARATOR:                  ,COMMA                                                                              
#MTYPE:                      ,TIC                                                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                  
#PROJECT:                    ,005a-E                                                                             
#DATE/TIME:                  ,3/13/2024 1:05:54 PM (UTC-4)                                                       
#CORR. FILE:                 ,                                                                                   
#TEMPCAL:                    ,28-06-2023 13:26                                                                   
#SENSITIVITY:                ,28-06-2023 13:53                                                                   
#LABORATORY:                 ,Tran/AAG                                                                           
#OPERATOR:                   ,Stanley                                                                            
#REMARK:                     ,                                                                                   
#SAMPLE:                     ,005a-F4                                                                            
#SAMPLE MASS /mg:            ,5.25                                                                               
#MATERIAL:                   ,                                                                                   
#REFERENCE:                  ,                                                                                   
#REFERENCE MASS /mg:         ,0                                                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                  
#DSC RANGE /µV:              ,5000                                                                               
#TG RANGE /mg:               ,35000                                                                              
                             ,                                                                                   

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.88100,  0.01326,1.058483e-11,9.657860e-10,8.166033e-11,2.940190e-10,1.526833e-12,8.844050e-10,2.436542e-13,9.004885e-13,9.753227e-14,1.358509e-13,2.109623e-13,1.183692e-12,4.865451e-12,3.447546e-08,2.663612e-10,3.098488e-12,1.269340e-12,7.935816e-09,6.320000e-12,2.885151e-11,1.105595e-13,3.404909e-11,1.691151e-13,7.167604e-12,2.259972e-12,1.177360e-08,1.542091e-12,8.639437e-13,2.253087e-12,1.468154e-10,2.964973e-12,7.989985e-13,1.100635e-13,1.928589e-12,1.444531e-13,7.740694e-13,1.022579e-12,3.029347e-13,1.235867e-13,1.728535e-13,2.218533e-13,1.891422e-13,2.178478e-13,2.049923e-13,6.672859e-14,7.218653e-13,1.255703e-13,1.117992e-13,1.637936e-13,2.712338e-12,1.605892e-13,2.223873e-13,1.105785e-13,8.769035e-14,1.203442e-13,7.504463e-14,1.174641e-13,6.117821e-14,1.077557e-13,1.844120e-13,1.718998e-13,1.831341e-13,7.594591e-13,2.555752e-13,9.985923e-14,4.118919e-14,8.852959e-14,6.381035e-14,6.646157e-14,8.702278e-14,6.480217e-14,2.329826e-14,6.024361e-14,4.765511e-14,5.984306e-14,3.018379e-14,1.893520e-13,1.455402e-13,3.087044e-14,4.076958e-14,4.525185e-14,6.083488e-14,3.731728e-14,5.579948e-14,3.926277e-14,5.089760e-14,5.690575e-14,4.597664e-14,1.017475e-13,1.448154e-13,6.804758e-13,2.900028e-13,3.590584e-14,3.363609e-14,3.516197e-14,2.739906e-14,4.195213e-14,3.026009e-14,3.357887e-14,1.494408e-14,6.043434e-14,3.005028e-14,6.869316e-14,4.557610e-14,1.708031e-14,1.180935e-13,3.888130e-14,1.846790e-13,3.849983e-14,1.893044e-14,3.111839e-14,2.791405e-14,8.858681e-14,4.553795e-14,2.654076e-14,4.117012e-14,3.067970e-14,2.291679e-14,4.469871e-14,1.000000e-17,1.755714e-14,1.000000e-17,1.036644e-14,1.000000e-17,2.951622e-14,2.217293e-14,5.712509e-15,3.411293e-14,3.689766e-14,1.389504e-14,4.137993e-14,2.081871e-14,6.869316e-14,1.734734e-14,1.610756e-14,1.175880e-14
 28.14600,  0.18737,9.972572e-12,9.753227e-10,8.234316e-11,2.960084e-10,1.500130e-12,8.831023e-10,3.046322e-13,9.179980e-13,8.595467e-14,1.550198e-13,2.878857e-13,1.216289e-12,4.910693e-12,3.523134e-08,2.686500e-10,3.129005e-12,1.475334e-12,7.963473e-09,6.451607e-12,2.914333e-11,1.296139e-13,3.368860e-11,1.742077e-13,7.131136e-12,2.232296e-12,1.175815e-08,1.503944e-12,9.032923e-13,2.267563e-12,1.478835e-10,2.873421e-12,8.362299e-13,1.256084e-13,1.995212e-12,1.422596e-13,7.315546e-13,9.392846e-13,2.612972e-13,1.650524e-13,1.693630e-13,2.511501e-13,1.441288e-13,2.397251e-13,2.288723e-13,4.858971e-14,6.782824e-13,5.646706e-14,1.084805e-13,1.578045e-13,2.756188e-12,1.575184e-13,2.246761e-13,5.763054e-14,8.376122e-14,8.660316e-14,8.240700e-14,9.760857e-14,7.288933e-14,1.146030e-13,1.938915e-13,1.405048e-13,1.872921e-13,8.209711e-13,3.092480e-13,7.927894e-14,4.256248e-14,3.613472e-14,5.148888e-14,4.920006e-14,8.658409e-14,6.066323e-14,6.917000e-14,3.132820e-14,3.552437e-14,5.728722e-14,3.319740e-14,2.044582e-13,1.243877e-13,5.467415e-14,4.355431e-14,2.427101e-14,5.393028e-14,3.611565e-14,5.017280e-14,5.957604e-14,2.753258e-14,1.486778e-14,4.935265e-14,1.271343e-13,1.453114e-13,6.855303e-13,2.416325e-13,7.079125e-14,3.328323e-15,1.244545e-14,7.867813e-15,4.130363e-14,3.762245e-14,4.387856e-14,2.268791e-14,6.403923e-14,3.857613e-14,6.772041e-14,2.217293e-14,2.882958e-14,1.048756e-13,2.562523e-14,2.152729e-13,3.823280e-14,2.511024e-14,9.222031e-15,2.974510e-14,1.021099e-13,5.196571e-14,9.822845e-16,5.015373e-14,1.933098e-14,3.031730e-14,3.539085e-14,2.161980e-14,1.000000e-17,9.183884e-15,5.768776e-14,2.770424e-14,2.638817e-14,1.137733e-14,3.703117e-14,7.563591e-14,2.665520e-14,1.320839e-14,3.996849e-14,3.376961e-14,8.194923e-14,2.375603e-14,2.949715e-14,2.038002e-14
 28.42300,  0.36146,9.833336e-12,9.787560e-10,8.268267e-11,2.970975e-10,1.563072e-12,8.768996e-10,2.943897e-13,9.359461e-13,1.109219e-13,1.379681e-13,2.644825e-13,1.231738e-12,5.021854e-12,3.481821e-08,2.684593e-10,3.220558e-12,1.391411e-12,8.058650e-09,6.617546e-12,2.890301e-11,1.063061e-13,3.357416e-11,1.733494e-13,7.035539e-12,2.267525e-12,1.161796e-08,1.441002e-12,8.895594e-13,2.274373e-12,1.485568e-10,2.930641e-12,8.830553e-13,1.132107e-13,2.050201e-12,1.617908e-13,7.048899e-13,1.005222e-12,2.321148e-13,1.351833e-13,1.459408e-13,2.256489e-13,1.555729e-13,1.975346e-13,1.700306e-13,9.194374e-14,7.110125e-13,9.755135e-14,1.099873e-13,1.373196e-13,2.821572e-12,1.473141e-13,2.056026e-13,6.970406e-14,9.007454e-14,1.056194e-13,1.162434e-13,1.334858e-13,3.659248e-14,1.296139e-13,1.504803e-13,1.744747e-13,1.649189e-13,8.192927e-13,2.719784e-13,8.202553e-14,3.190041e-14,4.452705e-14,2.652168e-14,6.850243e-14,1.001453e-13,5.640984e-14,4.176140e-14,3.539085e-14,5.396843e-14,4.982948e-14,3.075600e-14,1.879787e-13,1.196384e-13,3.415108e-14,5.131721e-14,6.672859e-14,2.972603e-14,1.494408e-14,4.487038e-14,1.313210e-14,2.787590e-14,2.871514e-14,6.087303e-14,1.220035e-13,1.339245e-13,6.791979e-13,2.314472e-13,3.180504e-14,4.370689e-14,3.943443e-14,5.000114e-14,2.755165e-14,4.315376e-14,3.237724e-14,3.830910e-14,7.477760e-14,3.466606e-14,5.385399e-14,6.585121e-14,2.984047e-14,1.126957e-13,2.106666e-14,1.963520e-13,5.581856e-14,1.807213e-14,2.724647e-14,1.589775e-14,9.510994e-14,4.803658e-14,4.784584e-14,1.448631e-14,1.000000e-17,4.014969e-15,3.184318e-14,2.314568e-14,3.586769e-14,1.826286e-14,5.273819e-15,1.471520e-14,3.054619e-14,2.377510e-14,2.337456e-14,2.476692e-14,3.003120e-14,2.747536e-14,4.015922e-14,2.757072e-14,5.640984e-14,6.506920e-14,2.776146e-14,1.765251e-14
 28.70700,  0.53565,9.928703e-12,9.861946e-10,8.245950e-11,2.967942e-10,1.524925e-12,8.725051e-10,2.877522e-13,8.824450e-13,1.104260e-13,1.512814e-13,2.217388e-13,1.332542e-12,5.049891e-12,3.535646e-08,2.724647e-10,3.262520e-12,1.389503e-12,8.029467e-09,6.466865e-12,2.938557e-11,1.114941e-13,3.383929e-11,1.913357e-13,6.973683e-12,2.263005e-12,1.164943e-08,1.473427e-12,8.678347e-13,2.235176e-12,1.493083e-10,2.903938e-12,8.461672e-13,1.261234e-13,1.996700e-12,1.532269e-13,8.079439e-13,9.455215e-13,2.196026e-13,1.146603e-13,1.457691e-13,2.417088e-13,1.045513e-13,1.881885e-13,2.128315e-13,6.485939e-14,6.997591e-13,7.460594e-14,9.661675e-14,1.297855e-13,2.764943e-12,1.790905e-13,2.202892e-13,7.987023e-14,5.597114e-14,1.439381e-13,8.051872e-14,9.301185e-14,5.740165e-14,9.356499e-14,1.625729e-13,1.543331e-13,2.196407e-13,7.159906e-13,2.664852e-13,7.939339e-14,3.375053e-14,5.448341e-14,5.023003e-14,3.224373e-14,8.860588e-14,2.585411e-14,2.532005e-14,1.452446e-14,4.578591e-14,5.967140e-14,3.881454e-15,1.750851e-13,1.302814e-13,3.516197e-14,4.157066e-14,6.030082e-14,5.188942e-14,3.058433e-14,5.579948e-14,4.958153e-14,3.001213e-14,3.258705e-14,5.372047e-14,1.019001e-13,1.236629e-13,7.057482e-13,2.830791e-13,5.564690e-14,2.829552e-14,3.960610e-14,2.520561e-14,4.105568e-14,1.442909e-14,3.647804e-14,2.718925e-14,6.884575e-14,2.497673e-14,4.622459e-14,5.635261e-14,3.148079e-14,1.193333e-13,9.069443e-15,1.825237e-13,2.615929e-14,2.635002e-14,2.530098e-14,1.221657e-14,9.942055e-14,5.965233e-14,2.882958e-14,1.559258e-14,2.600670e-14,3.786087e-15,1.742363e-14,1.904488e-14,2.377510e-14,2.438545e-14,7.257461e-15,2.387047e-14,2.341270e-14,2.886772e-14,2.186775e-14,1.507759e-14,2.522469e-14,2.842903e-14,8.869171e-16,1.000000e-17,6.314278e-14,1.952171e-14,3.121376e-14,2.730370e-14
 29.12200,  0.71094,1.006412e-11,9.902000e-10,8.223826e-11,2.979367e-10,1.524925e-12,8.662794e-10,2.661991e-13,9.421646e-13,1.044178e-13,1.832294e-13,2.430058e-13,1.238490e-12,5.030169e-12,3.541464e-08,2.730370e-10,3.273964e-12,1.339912e-12,8.079821e-09,6.632805e-12,2.916622e-11,1.234150e-13,3.269106e-11,1.679134e-13,6.832310e-12,2.208188e-12,1.139919e-08,1.498222e-12,8.599001e-13,2.358544e-12,1.503192e-10,2.985954e-12,8.303934e-13,1.279545e-13,2.019626e-12,1.501751e-13,7.213503e-13,9.140688e-13,2.641773e-13,1.427555e-13,1.324749e-13,2.116871e-13,1.704502e-13,2.128506e-13,2.049923e-13,7.472038e-14,6.847292e-13,8.282662e-14,1.017666e-13,1.692486e-13,2.757409e-12,1.486683e-13,1.725292e-13,8.664131e-14,7.376671e-14,7.061958e-14,9.058952e-14,1.124287e-13,6.812096e-14,1.013470e-13,1.466465e-13,1.501369e-13,1.942921e-13,8.333880e-13,2.378368e-13,9.358406e-14,2.467155e-14,8.318901e-14,5.404472e-14,6.064415e-14,8.086205e-14,4.683495e-14,3.863335e-14,3.142357e-14,4.588127e-14,4.002571e-14,1.730919e-14,1.869297e-13,8.669853e-14,3.863335e-14,6.388664e-14,3.897667e-14,5.419731e-14,6.787300e-14,2.242088e-14,1.738548e-14,2.989769e-14,4.326820e-14,6.064415e-14,1.026249e-13,1.299000e-13,7.533556e-13,2.807713e-13,6.104470e-14,4.471779e-14,4.395485e-14,4.387856e-14,4.727364e-14,1.070976e-14,3.830910e-14,2.043724e-14,6.558418e-14,2.907753e-14,5.724907e-14,4.755974e-14,1.745224e-15,1.060772e-13,4.687309e-14,1.925564e-13,1.555443e-14,1.719475e-14,2.228737e-14,4.328728e-14,1.007366e-13,5.404472e-14,7.295608e-15,1.189232e-14,3.357887e-14,2.530098e-14,3.033638e-14,1.263618e-14,1.668930e-15,1.757622e-14,4.243851e-15,1.400948e-14,2.333641e-14,1.344681e-15,2.221107e-14,4.597664e-14,2.497673e-14,7.276535e-15,2.125740e-14,2.621651e-14,8.082390e-14,2.610207e-14,3.080368e-15,1.790047e-14
 29.64900,  0.88809,1.024723e-11,9.961129e-10,8.317858e-11,2.964833e-10,1.505852e-12,8.636779e-10,2.624035e-13,9.028346e-13,7.605553e-14,1.658344e-13,2.394962e-13,1.338893e-12,4.946227e-12,3.547090e-08,2.730370e-10,3.220558e-12,1.399040e-12,8.122355e-09,6.857872e-12,2.948284e-11,7.679939e-14,3.233057e-11,1.796818e-13,6.952168e-12,2.107307e-12,1.134082e-08,1.505852e-12,8.730227e-13,2.299759e-12,1.505653e-10,2.823829e-12,7.993418e-13,1.249409e-13,2.118866e-12,1.813030e-13,7.668406e-13,9.373575e-13,2.888012e-13,1.207256e-13,1.361561e-13,2.331066e-13,1.368809e-13,2.105236e-13,1.984882e-13,4.839897e-14,6.989390e-13,8.423805e-14,8.328438e-14,1.379490e-13,2.854150e-12,1.824093e-13,2.328396e-13,8.780480e-14,6.930351e-14,1.129818e-13,8.902549e-14,8.667946e-14,5.602837e-14,8.780480e-14,1.500797e-13,1.819134e-13,2.057362e-13,7.890421e-13,2.920055e-13,6.945610e-14,5.394935e-14,8.099556e-14,6.669045e-14,5.393028e-14,9.739876e-14,6.560326e-14,3.613472e-14,1.788139e-14,5.026817e-14,5.976677e-14,4.164696e-14,1.642704e-13,9.808541e-14,5.858421e-14,6.407738e-14,2.003670e-14,2.709389e-14,2.528191e-14,5.646706e-14,3.081322e-14,1.635552e-14,3.548622e-14,5.459785e-14,1.231861e-13,1.526928e-13,6.818300e-13,2.711010e-13,4.149437e-14,4.351616e-14,3.209114e-14,5.235672e-15,2.036095e-14,6.608963e-15,5.429268e-14,2.856255e-14,5.232811e-14,1.938820e-14,4.355431e-14,5.679131e-14,5.774498e-14,1.256657e-13,2.287865e-14,1.622295e-13,4.210472e-14,4.149437e-14,1.378059e-14,2.800941e-14,7.153511e-14,7.475853e-14,5.671501e-14,1.000000e-17,1.992226e-14,2.415657e-14,3.729820e-14,9.164810e-15,1.767159e-14,1.000000e-17,1.830101e-14,1.317024e-14,2.635002e-14,1.492500e-14,2.720833e-14,1.996040e-14,2.163887e-14,3.909111e-14,1.646996e-14,5.731583e-15,9.257317e-14,3.254890e-14,3.783226e-14,2.490044e-14
 30.11400,  1.06510,1.019192e-11,1.003361e-09,8.266741e-11,2.980874e-10,1.471519e-12,8.503607e-10,2.546024e-13,9.627640e-13,6.930351e-14,1.211071e-13,2.503490e-13,1.284763e-12,5.103851e-12,3.581709e-08,2.745628e-10,3.268242e-12,1.318932e-12,8.167750e-09,6.743431e-12,2.970600e-11,1.207638e-13,3.266054e-11,1.807880e-13,6.947839e-12,2.094375e-12,1.128341e-08,1.431465e-12,8.895022e-13,2.221444e-12,1.506683e-10,3.006935e-12,7.880312e-13,1.417828e-13,2.165615e-12,1.546383e-13,7.902819e-13,9.342295e-13,2.685833e-13,1.096249e-13,1.923466e-13,1.797008e-13,1.718616e-13,2.325153e-13,1.798534e-13,5.839348e-14,6.466395e-13,9.377479e-14,1.044178e-13,1.562214e-13,2.805245e-12,1.476002e-13,1.866245e-13,7.384300e-14,9.154319e-14,1.057911e-13,8.072853e-14,9.675026e-14,6.073952e-14,1.200581e-13,1.546955e-13,1.579380e-13,1.610088e-13,8.019549e-13,2.998066e-13,7.569313e-14,4.511833e-14,4.288674e-14,6.989479e-14,3.787041e-14,9.047508e-14,6.691933e-14,4.708290e-14,2.165794e-14,4.294395e-14,3.548622e-14,1.738548e-14,1.643085e-13,1.034832e-13,2.726555e-14,3.598213e-14,5.591393e-14,5.461693e-14,3.836632e-14,4.494667e-14,3.424644e-14,1.814842e-14,2.892494e-14,3.149986e-14,1.246738e-13,1.393986e-13,7.390696e-13,2.712917e-13,5.087852e-14,3.245354e-14,2.461433e-14,3.554344e-14,4.073143e-14,1.938820e-14,1.351357e-14,3.434181e-14,6.783486e-14,2.104759e-14,5.881310e-14,3.865242e-14,3.075600e-14,6.533623e-14,5.309105e-14,1.834393e-13,4.847527e-14,3.796578e-14,2.879143e-14,3.319740e-14,7.929802e-14,7.504463e-14,3.624916e-14,7.915497e-16,1.645088e-14,5.541801e-14,3.026009e-14,7.963180e-15,1.704216e-14,3.001213e-14,2.907753e-14,1.833916e-14,2.785683e-14,6.008148e-16,2.762794e-14,3.102303e-14,3.148079e-14,9.584427e-15,1.154900e-14,7.724762e-16,3.439903e-14,2.676964e-14,3.108024e-14,1.633644e-14
 30.82900,  1.23829,1.025867e-11,1.005650e-09,8.369356e-11,3.003324e-10,1.576424e-12,8.480414e-10,2.618504e-13,9.368425e-13,1.116657e-13,1.501942e-13,2.528667e-13,1.191875e-12,5.111079e-12,3.606371e-08,2.736092e-10,3.247261e-12,1.313210e-12,8.199221e-09,6.735802e-12,2.993488e-11,1.167202e-13,3.151041e-11,1.801777e-13,6.928727e-12,2.092335e-12,1.119720e-08,1.444817e-12,9.107691e-13,2.305729e-12,1.505271e-10,2.881050e-12,8.675867e-13,1.261425e-13,2.049133e-12,1.396847e-13,7.411105e-13,9.558213e-13,2.832508e-13,1.208973e-13,1.492977e-13,2.106762e-13,1.708126e-13,2.219486e-13,2.135181e-13,5.787849e-14,6.398112e-13,9.978294e-14,1.047802e-13,1.681614e-13,2.841981e-12,1.556492e-13,1.992130e-13,5.446434e-14,6.821633e-14,1.018047e-13,7.901192e-14,1.110363e-13,3.546715e-14,1.147938e-13,1.627064e-13,1.526737e-13,2.088642e-13,8.071047e-13,2.464580e-13,6.783486e-14,2.755165e-14,4.160881e-14,6.503105e-14,6.630898e-14,1.070690e-13,5.509376e-14,5.547523e-14,3.247261e-14,3.699303e-14,7.161140e-14,4.682541e-15,1.801395e-13,1.129818e-13,3.466606e-14,7.594108e-14,2.711296e-14,2.219200e-14,4.221916e-14,4.553795e-14,2.297401e-14,8.172989e-15,5.612373e-14,5.101204e-14,1.320362e-13,1.409817e-13,7.335955e-13,3.059292e-13,4.733086e-14,1.973152e-14,4.387856e-14,1.366615e-14,6.188393e-14,4.860878e-14,3.272056e-14,1.746178e-14,6.657600e-14,4.986763e-14,7.328987e-14,4.593849e-14,3.909111e-14,1.030636e-13,1.727104e-14,2.084065e-13,2.038002e-14,1.067162e-14,2.520561e-14,2.528191e-14,7.456779e-14,4.361153e-14,5.259514e-14,1.809120e-14,3.994942e-14,2.665520e-14,2.827644e-14,2.158165e-14,2.034187e-14,3.453255e-14,3.279686e-14,1.212120e-14,1.400948e-14,2.161980e-14,2.453804e-14,4.734993e-14,3.771782e-14,1.534462e-14,1.049995e-14,2.032280e-14,5.358696e-14,4.221916e-14,1.347542e-14,2.043724e-14
 31.63800,  1.41840,1.047230e-11,1.008511e-09,8.288484e-11,2.973951e-10,1.460075e-12,8.424681e-10,2.681446e-13,9.165293e-13,1.153851e-13,1.380444e-13,2.811718e-13,1.230460e-12,5.146022e-12,3.610681e-08,2.768517e-10,3.212929e-12,1.416206e-12,8.239275e-09,6.655693e-12,2.959728e-11,1.041889e-13,3.144747e-11,1.655483e-13,6.857735e-12,2.251198e-12,1.113330e-08,1.435280e-12,9.206110e-13,2.331727e-12,1.504031e-10,3.041267e-12,8.140093e-13,1.204777e-13,2.089741e-12,1.686764e-13,7.906252e-13,9.734833e-13,2.842998e-13,1.117039e-13,1.635456e-13,2.053165e-13,1.521587e-13,2.302456e-13,1.825237e-13,5.917549e-14,6.757265e-13,7.378578e-14,7.308006e-14,1.614094e-13,2.904065e-12,1.851559e-13,1.974964e-13,7.355690e-14,8.774757e-14,1.054287e-13,1.123905e-13,8.234978e-14,2.154350e-14,9.097099e-14,1.888943e-13,1.663303e-13,1.856709e-13,7.256037e-13,2.501011e-13,7.416725e-14,4.364967e-14,5.438805e-14,4.391670e-14,4.572868e-14,1.020718e-13,5.515099e-14,5.272865e-14,4.273415e-14,4.193306e-14,5.976677e-14,3.251076e-14,1.723385e-13,1.213932e-13,3.087044e-14,7.769585e-14,3.834724e-14,4.895210e-14,3.701210e-14,2.953529e-14,3.680229e-14,2.100944e-14,4.511833e-14,5.478859e-14,1.149654e-13,1.131725e-13,7.099253e-13,2.494717e-13,3.447533e-14,2.396584e-14,3.754616e-14,2.303123e-14,1.444817e-14,3.048897e-14,1.904488e-14,3.846169e-14,5.539894e-14,3.026009e-14,5.679131e-14,1.971245e-14,5.445480e-15,1.186275e-13,1.431465e-14,1.888371e-13,3.005028e-14,3.479958e-14,2.638817e-14,5.540848e-15,9.268760e-14,7.468224e-14,4.427910e-14,3.020286e-14,1.112938e-14,9.088516e-15,4.376412e-14,3.615379e-14,3.058433e-14,6.799698e-15,1.809120e-14,1.938820e-14,2.058983e-14,2.641678e-15,4.282951e-14,4.212380e-14,2.816200e-14,1.292229e-14,3.771782e-14,9.431839e-15,5.263329e-14,4.220009e-14,3.140450e-14,2.263069e-14
 32.40500,  1.59404,1.015758e-11,1.014233e-09,8.358484e-11,2.987168e-10,1.498222e-12,8.251188e-10,2.747059e-13,1.028625e-12,6.581306e-14,1.502132e-13,2.522373e-13,1.220123e-12,5.089088e-12,3.613981e-08,2.779961e-10,3.209114e-12,1.334190e-12,8.275133e-09,6.695747e-12,3.012371e-11,1.081562e-13,3.133684e-11,1.875210e-13,6.663796e-12,2.126285e-12,1.097289e-08,1.503944e-12,9.404480e-13,2.250969e-12,1.521350e-10,3.037453e-12,8.710963e-13,8.051872e-14,2.027695e-12,1.423740e-13,7.711893e-13,1.029311e-12,3.142649e-13,1.213551e-13,1.875210e-13,2.177906e-13,1.306629e-13,2.423000e-13,2.479839e-13,5.295753e-14,6.533152e-13,6.217003e-14,1.090145e-13,1.223087e-13,2.811291e-12,1.406384e-13,2.023602e-13,8.513451e-14,8.185387e-14,9.152413e-14,8.444786e-14,9.348869e-14,4.748344e-14,1.189327e-13,1.952076e-13,1.579189e-13,2.073193e-13,7.987505e-13,2.406979e-13,7.281303e-14,2.673149e-14,7.205009e-14,4.288674e-14,8.280754e-14,9.745598e-14,6.958961e-14,3.083229e-14,2.501488e-14,3.432274e-14,4.532814e-14,3.140450e-14,2.076626e-13,1.086712e-13,2.820015e-14,5.316734e-14,5.003929e-14,3.111839e-14,4.090309e-14,3.376961e-14,2.713203e-14,3.594399e-14,2.104759e-14,6.836891e-14,1.267147e-13,1.312351e-13,6.925494e-13,3.090572e-13,5.602837e-14,4.565239e-14,1.317024e-14,3.354073e-14,3.729820e-14,3.638267e-14,4.313469e-14,1.883507e-14,7.082939e-14,1.797676e-14,4.040718e-14,4.620552e-14,2.890587e-14,1.261616e-13,2.230644e-14,1.915836e-13,4.633903e-14,1.601219e-14,1.837730e-14,3.037453e-14,1.098347e-13,7.143974e-14,6.655693e-14,3.598213e-14,1.126289e-14,4.072189e-15,2.579689e-14,1.349449e-14,9.260178e-15,1.002312e-14,3.891945e-14,2.884865e-14,1.025200e-14,4.892349e-15,1.893044e-14,2.570152e-14,2.861977e-14,1.000000e-17,8.077621e-15,5.655289e-15,6.487846e-14,5.925178e-14,7.276535e-15,2.314568e-14
