#EXPORTTYPE:                 ,DATA ALL                            
#FILE:                       ,2024_03_13_Styrofoam_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ASCII                               
#IDENTITY:                   ,Styrofoam                           
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,DSC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F5                   
#PROJECT:                    ,                                    
#DATE/TIME:                  ,3/14/2024 8:19:19 PM (UTC-4)        
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,28-06-2023 13:26                    
#SENSITIVITY:                ,28-06-2023 13:53                    
#LABORATORY:                 ,Tran/AAG                            
#OPERATOR:                   ,Stanley                             
#REMARK:                     ,                                    
#SAMPLE:                     ,Styrofoam                           
#SAMPLE MASS /mg:            ,5.73                                
#MATERIAL:                   ,                                    
#REFERENCE:                  ,-----                               
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                   
#DSC RANGE /‘V:              ,5000                                
#TG RANGE /mg:               ,35000                               
#TAU-R:                      ,---                                 
#CORR. CODE:                 ,000                                 
#EXO:                        ,-1                                  
#RANGE:                      ,100›C/1.0(K/min)/400›C              
#SEGMENT:                    ,S3/4                                
#SEG. 3:                     ,100›C/1.0(K/min)/400›C              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
106.99100, 21.00083,-2.506919e-02,104.75637,50.00000,20.00000,0.91917
108.99100, 30.32921,      0.18685,104.58920,50.00000,20.00000,0.91858
110.99100, 32.64253,      0.24843,104.70222,50.00000,20.00000,0.91798
112.99100, 34.65061,      0.27765,104.70884,50.00000,20.00000,0.91735
114.99100, 36.56894,      0.29158,104.74383,50.00000,20.00000,0.91670
116.99100, 38.45458,      0.29771,104.79215,50.00000,20.00000,0.91603
118.99100, 40.35628,      0.29903,104.77842,50.00000,20.00000,0.91534
120.99100, 42.27740,      0.29963,104.82614,50.00000,20.00000,0.91463
122.99100, 44.22777,      0.29909,104.84904,50.00000,20.00000,0.91389
124.99100, 46.20329,      0.29891,104.89492,50.00000,20.00000,0.91314
126.99100, 48.19142,      0.30343,104.92580,50.00000,20.00000,0.91236
128.99100, 50.18992,      0.30530,104.94093,50.00000,20.00000,0.91157
130.99100, 52.18626,      0.30863,105.00252,50.00000,20.00000,0.91075
132.99100, 54.18710,      0.31202,105.02204,50.00000,20.00000,0.90991
134.99100, 56.19080,      0.31452,105.04126,50.00000,20.00000,0.90906
136.99100, 58.18688,      0.31813,105.11684,50.00000,20.00000,0.90818
138.99100, 60.18745,      0.32117,105.14828,50.00000,20.00000,0.90728
140.99100, 62.18571,      0.32327,105.20356,50.00000,20.00000,0.90637
142.99100, 64.18162,      0.32697,105.26573,50.00000,20.00000,0.90543
144.99100, 66.17918,      0.32998,105.30713,50.00000,20.00000,0.90448
146.99100, 68.16922,      0.33326,105.41456,50.00000,20.00000,0.90350
148.99100, 70.16176,      0.33615,105.44220,50.00000,20.00000,0.90251
150.99100, 72.16130,      0.33657,105.46500,50.00000,20.00000,0.90150
152.99100, 74.16553,      0.34235,105.53944,50.00000,20.00000,0.90047
154.99100, 76.17257,      0.34295,105.58421,50.00000,20.00000,0.89942
156.99100, 78.17132,      0.34896,105.61783,50.00000,20.00000,0.89835
158.99100, 80.16548,      0.35228,105.67791,50.00000,20.00000,0.89727
160.99100, 82.16223,      0.35247,105.72808,50.00000,20.00000,0.89617
162.99100, 84.16459,      0.35507,105.77309,50.00000,20.00000,0.89505
164.99100, 86.16436,      0.35913,105.79729,50.00000,20.00000,0.89391
166.99100, 88.16073,      0.36040,105.85843,50.00000,20.00000,0.89276
168.99100, 90.16294,      0.36205,105.91926,50.00000,20.00000,0.89158
170.99100, 92.16571,      0.36391,105.94604,50.00000,20.00000,0.89039
172.99100, 94.16603,      0.36603,105.97513,50.00000,20.00000,0.88919
174.99100, 96.16085,      0.36855,106.03576,50.00000,20.00000,0.88797
176.99100, 98.15566,      0.36812,106.05854,50.00000,20.00000,0.88673
178.99100,100.15903,      0.36727,106.10443,50.00000,20.00000,0.88547
180.99100,102.15960,      0.36829,106.15428,50.00000,20.00000,0.88420
182.99100,104.16103,      0.36940,106.22767,50.00000,20.00000,0.88292
184.99100,106.15760,      0.37076,106.26089,50.00000,20.00000,0.88162
186.99100,108.16059,      0.37029,106.28776,50.00000,20.00000,0.88030
188.99100,110.16011,      0.36920,106.31187,50.00000,20.00000,0.87897
190.99100,112.16491,      0.36862,106.36000,50.00000,20.00000,0.87762
192.99100,114.17190,      0.37061,106.41468,50.00000,20.00000,0.87626
194.99100,116.16774,      0.37170,106.45654,50.00000,20.00000,0.87488
196.99100,118.16321,      0.37251,106.49716,50.00000,20.00000,0.87349
198.99100,120.15573,      0.37323,106.55227,50.00000,20.00000,0.87208
200.99100,122.15507,      0.37145,106.59455,50.00000,20.00000,0.87066
202.99100,124.15924,      0.37162,106.64590,50.00000,20.00000,0.86923
204.99100,126.16298,      0.37009,106.69530,50.00000,20.00000,0.86778
206.99100,128.16258,      0.37325,106.74046,50.00000,20.00000,0.86632
208.99100,130.16286,      0.37208,106.77984,50.00000,20.00000,0.86485
210.99100,132.16071,      0.37249,106.80207,50.00000,20.00000,0.86337
212.99100,134.16742,      0.37154,106.85098,50.00000,20.00000,0.86187
214.99100,136.16346,      0.37325,106.86459,50.00000,20.00000,0.86035
216.99100,138.16032,      0.37268,106.88199,50.00000,20.00000,0.85883
218.99100,140.16535,      0.37250,106.91650,50.00000,20.00000,0.85729
220.99100,142.16449,      0.37414,106.92733,50.00000,20.00000,0.85575
222.99100,144.16380,      0.37167,106.95193,50.00000,20.00000,0.85419
224.99100,146.16568,      0.37182,106.99241,50.00000,20.00000,0.85261
226.99100,148.16666,      0.37018,107.00984,50.00000,20.00000,0.85103
228.99100,150.16629,      0.36801,107.03468,50.00000,20.00000,0.84944
230.99100,152.17148,      0.36702,107.03722,50.00000,20.00000,0.84783
232.99100,154.17263,      0.36403,107.10683,50.00000,20.00000,0.84622
234.99100,156.17460,      0.36408,107.14146,50.00000,20.00000,0.84459
236.99100,158.17552,      0.35906,107.16393,50.00000,20.00000,0.84295
238.99100,160.17457,      0.35809,107.19069,50.00000,20.00000,0.84131
240.99100,162.17557,      0.35624,107.20847,50.00000,20.00000,0.83965
242.99100,164.16846,      0.35382,107.22200,50.00000,20.00000,0.83798
244.99100,166.17442,      0.34907,107.26931,50.00000,20.00000,0.83630
246.99100,168.17531,      0.34553,107.30073,50.00000,20.00000,0.83462
248.99100,170.18195,      0.34409,107.32882,50.00000,20.00000,0.83292
250.99100,172.18696,      0.34060,107.33968,50.00000,20.00000,0.83122
252.99100,174.18622,      0.33719,107.35819,50.00000,20.00000,0.82951
254.99100,176.18597,      0.33326,107.40775,50.00000,20.00000,0.82779
256.99100,178.18411,      0.32758,107.39585,50.00000,20.00000,0.82606
258.99100,180.17808,      0.32510,107.45321,50.00000,20.00000,0.82432
260.99100,182.17958,      0.31809,107.46382,50.00000,20.00000,0.82257
262.99100,184.18141,      0.31505,107.46160,50.00000,20.00000,0.82082
264.99100,186.17620,      0.30904,107.46859,50.00000,20.00000,0.81906
266.99100,188.18886,      0.30244,107.52654,50.00000,20.00000,0.81729
268.99100,190.19861,      0.29982,107.54193,50.00000,20.00000,0.81551
270.99100,192.19849,      0.29435,107.54800,50.00000,20.00000,0.81373
272.99100,194.19854,      0.29073,107.56981,50.00000,20.00000,0.81194
274.99100,196.19803,      0.28480,107.59013,50.00000,20.00000,0.81014
276.99100,198.19566,      0.28018,107.58218,50.00000,20.00000,0.80834
278.99100,200.19692,      0.27341,107.61304,50.00000,20.00000,0.80653
280.99100,202.19263,      0.26902,107.61454,50.00000,20.00000,0.80472
282.99100,204.18956,      0.25903,107.61957,50.00000,20.00000,0.80290
284.99100,206.19381,      0.25541,107.61817,50.00000,20.00000,0.80107
286.99100,208.19579,      0.24753,107.66386,50.00000,20.00000,0.79924
288.99100,210.19634,      0.24181,107.64005,50.00000,20.00000,0.79740
290.99100,212.19762,      0.23401,107.65740,50.00000,20.00000,0.79556
292.99100,214.19880,      0.22411,107.65639,50.00000,20.00000,0.79371
294.99100,216.19984,      0.21825,107.64085,50.00000,20.00000,0.79186
296.99100,218.19728,      0.20920,107.62475,50.00000,20.00000,0.79001
298.99100,220.20608,      0.20358,107.63531,50.00000,20.00000,0.78815
300.99100,222.20253,      0.19320,107.58953,50.00000,20.00000,0.78628
302.99100,224.20903,      0.18594,107.58673,50.00000,20.00000,0.78441
304.99100,226.21684,      0.17899,107.52827,50.00000,20.00000,0.78254
306.99100,228.21507,      0.17353,107.50458,50.00000,20.00000,0.78067
308.99100,230.21156,      0.16091,107.44602,50.00000,20.00000,0.77879
310.99100,232.20498,      0.15317,107.39863,50.00000,20.00000,0.77691
312.99100,234.20810,      0.14339,107.34066,50.00000,20.00000,0.77502
314.99100,236.20996,      0.13337,107.24454,50.00000,20.00000,0.77313
316.99100,238.21344,      0.12496,107.18131,50.00000,20.00000,0.77124
318.99100,240.21090,      0.11828,107.11015,50.00000,20.00000,0.76935
320.99100,242.21311,      0.10454,106.97937,50.00000,20.00000,0.76745
322.99100,244.21184, 9.917875e-02,106.87206,50.00000,20.00000,0.76556
324.99100,246.20915, 8.627729e-02,106.70340,50.00000,20.00000,0.76366
326.99100,248.20976, 7.765276e-02,106.55691,50.00000,20.00000,0.76176
328.99100,250.20235, 6.535673e-02,106.40498,50.00000,20.00000,0.75985
330.99100,252.20950, 5.234414e-02,106.15766,50.00000,20.00000,0.75795
332.99100,254.21641, 4.298267e-02,105.90076,50.00000,20.00000,0.75604
334.99100,256.20844, 3.505369e-02,105.63434,50.00000,20.00000,0.75414
336.99100,258.21443, 1.827329e-02,105.27144,50.00000,20.00000,0.75223
338.99100,260.22023, 1.169608e-02,104.90245,50.00000,20.00000,0.75032
340.99100,262.22449,-4.790239e-04,104.46995,50.00000,20.00000,0.74841
342.99100,264.22108,-1.270210e-02,103.94007,50.00000,20.00000,0.74650
344.99100,266.22477,-2.180770e-02,103.36100,50.00000,20.00000,0.74459
346.99100,268.22061,-3.733127e-02,102.66136,50.00000,20.00000,0.74269
348.99100,270.21555,-5.150211e-02,101.85321,50.00000,20.00000,0.74078
350.99100,272.20761,     -0.16700,100.80926,50.00000,20.00000,0.73887
352.99100,274.21150,     -0.19651, 99.54975,50.00000,20.00000,0.73696
354.99100,276.21870,     -0.21122, 98.03077,50.00000,20.00000,0.73505
356.99100,278.22568,     -0.24011, 96.28896,50.00000,20.00000,0.73314
358.99100,280.22776,     -0.26447, 94.29530,50.00000,20.00000,0.73124
360.99100,282.23176,     -0.27734, 91.96778,50.00000,20.00000,0.72933
362.99100,284.23240,     -0.31160, 89.22890,50.00000,20.00000,0.72743
364.99100,286.23776,     -0.30456, 86.00170,50.00000,20.00000,0.72552
366.99100,288.23490,     -0.28379, 82.37276,50.00000,20.00000,0.72362
368.99100,290.23684,     -0.31351, 78.04420,50.00000,20.00000,0.72172
370.99100,292.23023,     -0.36945, 73.38877,50.00000,20.00000,0.71982
372.99100,294.23910,     -0.28494, 67.95026,50.00000,20.00000,0.71793
374.99100,296.24578,     -0.28663, 62.20298,50.00000,20.00000,0.71603
376.99100,298.24477,     -0.30778, 56.10696,50.00000,20.00000,0.71414
378.99100,300.23383,     -0.33681, 49.73258,50.00000,20.00000,0.71225
380.99100,302.23869,     -0.39434, 43.23422,50.00000,20.00000,0.71036
382.99100,304.23612,     -0.45984, 36.95510,50.00000,20.00000,0.70848
384.99100,306.23306,     -0.53144, 31.12908,50.00000,20.00000,0.70659
386.99100,308.23723,     -0.61907, 25.95870,50.00000,20.00000,0.70471
388.99100,310.23071,     -0.71071, 21.67124,50.00000,20.00000,0.70284
390.99100,312.22344,     -0.80000, 18.25553,50.00000,20.00000,0.70096
392.99100,314.22473,     -0.88516, 15.63457,50.00000,20.00000,0.69909
394.99100,316.22193,     -0.95199, 13.74710,50.00000,20.00000,0.69723
396.99100,318.22788,     -1.01289, 12.44382,50.00000,20.00000,0.69536
398.99100,320.22840,     -1.06260, 11.50455,50.00000,20.00000,0.69350

