#EXPORTTYPE:                 ,DATA ALL                                                                                        
#FILE:                       ,2024_03_27_PS-SCF3_P40042_rGPC_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                                        
#FTYPE:                      ,ANSI                                                                                            
#IDENTITY:                   ,polystyrene-scf3                                                                                
#DECIMAL:                    ,POINT                                                                                           
#SEPARATOR:                  ,COMMA                                                                                           
#MTYPE:                      ,DSC                                                                                             
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                               
#PROJECT:                    ,PS-SCF3                                                                                         
#DATE/TIME:                  ,3/27/2024 1:25:16 PM (UTC-4)                                                                    
#CORR. FILE:                 ,                                                                                                
#TEMPCAL:                    ,28-06-2023 13:26                                                                                
#SENSITIVITY:                ,28-06-2023 13:53                                                                                
#LABORATORY:                 ,Tran/AAG                                                                                        
#OPERATOR:                   ,Stanley                                                                                         
#REMARK:                     ,                                                                                                
#SAMPLE:                     ,005a-F1v2-rGPC                                                                                  
#SAMPLE MASS /mg:            ,3.19                                                                                            
#MATERIAL:                   ,                                                                                                
#REFERENCE:                  ,-----                                                                                           
#REFERENCE MASS /mg:         ,0                                                                                               
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                               
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                               
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                               
#DSC RANGE /µV:              ,5000                                                                                            
#TG RANGE /mg:               ,35000                                                                                           
#TAU-R:                      ,---                                                                                             
#CORR. CODE:                 ,000                                                                                             
#EXO:                        ,-1                                                                                              
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                                                  
#SEGMENT:                    ,S4/5                                                                                            
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                                          
#SEG. 2:                     ,100°C/00:10/100°C                                                                               
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                                         
#SEG. 4:                     ,350°C/04:00/350°C                                                                               
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                                         

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW)
348.45200, 41.99333,      6.87825,    80.69687,50.00000,20.00000,6.052470e-08,0.74129
352.95599, 42.99333,      1.19714,    75.74263,50.00000,20.00000,6.049804e-08,0.73699
353.78500, 43.99333,-5.587687e-02,    71.53323,50.00000,20.00000,6.076799e-08,0.73620
354.61401, 44.99333,     -0.58344,    67.48652,50.00000,20.00000,6.093387e-08,0.73541
354.36401, 45.99333,     -1.34563,    63.55016,50.00000,20.00000,6.085232e-08,0.73565
353.90701, 46.99333,     -1.52646,    60.15611,50.00000,20.00000,6.086151e-08,0.73608
353.35501, 47.99333,     -1.65070,    56.86865,50.00000,20.00000,6.080489e-08,0.73661
352.79001, 48.99333,     -1.67285,    54.02100,50.00000,20.00000,6.102689e-08,0.73715
352.30301, 49.99333,     -1.65331,    51.27241,50.00000,20.00000,6.142481e-08,0.73761
351.87900, 50.99333,     -1.65143,    48.82194,50.00000,20.00000,6.093189e-08,0.73802
351.52100, 51.99333,     -1.63577,    46.55925,50.00000,20.00000,6.105611e-08,0.73836
351.23700, 52.99333,     -1.60862,    44.63009,50.00000,20.00000,6.068765e-08,0.73863
351.00101, 53.99333,     -1.60327,    42.37461,50.00000,20.00000,6.149681e-08,0.73886
350.79901, 54.99333,     -1.58959,    40.45611,50.00000,20.00000,6.122324e-08,0.73905
350.66501, 55.99333,     -1.57410,    38.66144,50.00000,20.00000,6.104701e-08,0.73918
350.56100, 56.99333,     -1.58133,    37.03009,50.00000,20.00000,6.116909e-08,0.73928
350.45901, 57.99333,     -1.57239,    35.54075,50.00000,20.00000,6.130364e-08,0.73937
350.38800, 58.99333,     -1.57548,    34.04765,50.00000,20.00000,6.100267e-08,0.73944
350.31201, 59.99333,     -1.57630,    32.48370,50.00000,20.00000,6.084188e-08,0.73951
350.25800, 60.99333,     -1.57231,    31.14326,50.00000,20.00000,6.116025e-08,0.73957
350.22601, 61.99333,     -1.56998,    29.84169,50.00000,20.00000,6.086842e-08,0.73960
350.18799, 62.99333,     -1.56764,    28.62163,50.00000,20.00000,6.106904e-08,0.73963
350.14401, 63.99333,     -1.56626,    27.40188,50.00000,20.00000,6.113742e-08,0.73968
350.13199, 64.99333,     -1.56332,    26.25266,50.00000,20.00000,6.124177e-08,0.73969
350.11600, 65.99333,     -1.56523,    25.17461,50.00000,20.00000,6.087346e-08,0.73970
350.09201, 66.99333,     -1.56615,    24.18871,50.00000,20.00000,6.092608e-08,0.73972
350.08899, 67.99333,     -1.56711,    23.13542,50.00000,20.00000,6.101517e-08,0.73973
350.06500, 68.99333,     -1.56998,    22.19216,50.00000,20.00000,6.099640e-08,0.73975
350.05801, 69.99333,     -1.56382,    21.28056,50.00000,20.00000,6.098879e-08,0.73976
350.06000, 70.99333,     -1.64821,    20.46489,50.00000,20.00000,6.115668e-08,0.73976
350.04800, 71.99333,     -1.68795,    19.57492,50.00000,20.00000,6.099448e-08,0.73977
350.04401, 72.99333,     -1.69117,    18.81944,50.00000,20.00000,6.088131e-08,0.73977
350.03400, 73.99333,     -1.69115,    18.11379,50.00000,20.00000,6.125274e-08,0.73978
350.03101, 74.99333,     -1.69567,    17.41850,50.00000,20.00000,6.116794e-08,0.73978
350.03101, 75.99333,     -1.71474,    16.74138,50.00000,20.00000,6.096160e-08,0.73978
350.02600, 76.99333,     -1.73736,    16.12069,50.00000,20.00000,6.093447e-08,0.73979
350.01599, 77.99333,     -1.76352,    15.54263,50.00000,20.00000,6.093877e-08,0.73980
350.01401, 78.99333,     -1.78292,    14.95047,50.00000,20.00000,6.094728e-08,0.73980
350.02899, 79.99333,     -1.80106,    14.42915,50.00000,20.00000,6.096640e-08,0.73978
350.02301, 80.99333,     -1.81882,    13.92194,50.00000,20.00000,6.071442e-08,0.73979
350.02200, 81.99333,     -1.83531,    13.42194,50.00000,20.00000,6.113106e-08,0.73979
350.02600, 82.99333,     -1.82724,    12.95361,50.00000,20.00000,6.077127e-08,0.73979
350.02499, 83.99333,     -1.82788,    12.55298,50.00000,20.00000,6.088663e-08,0.73979
350.02600, 84.99333,     -1.85472,    12.11317,50.00000,20.00000,6.068672e-08,0.73979
350.02899, 85.99333,     -1.88479,    11.74451,50.00000,20.00000,6.077650e-08,0.73978
350.02499, 86.99333,     -1.91226,    11.31536,50.00000,20.00000,6.074943e-08,0.73979
350.03601, 87.99333,     -1.92360,    10.92163,50.00000,20.00000,6.069918e-08,0.73978
350.02301, 88.99333,     -1.95072,    10.57053,50.00000,20.00000,6.071476e-08,0.73979
350.02600, 89.99333,     -1.95881,    10.23009,50.00000,20.00000,6.060556e-08,0.73979
350.02701, 90.99333,     -1.96949,     9.84357,50.00000,20.00000,6.075747e-08,0.73979
350.03101, 91.99333,     -1.97338,     9.53511,50.00000,20.00000,6.097830e-08,0.73978
350.03201, 92.99333,     -1.98405,     9.21223,50.00000,20.00000,6.089945e-08,0.73978
350.02600, 93.99333,     -1.99502,     8.90031,50.00000,20.00000,6.090700e-08,0.73979
350.02399, 94.99333,     -1.99987,     8.66614,50.00000,20.00000,6.078014e-08,0.73979
350.02399, 95.99333,     -2.00827,     8.33292,50.00000,20.00000,6.083243e-08,0.73979
350.09100, 96.99333,     -2.01782,     8.12006,50.00000,20.00000,6.086252e-08,0.73973
350.03000, 97.99333,     -2.02736,     7.82571,50.00000,20.00000,6.074266e-08,0.73978
350.01999, 98.99333,     -2.02960,     7.52414,50.00000,20.00000,6.076706e-08,0.73979
350.01501, 99.99333,     -2.04187,     7.34326,50.00000,20.00000,6.072382e-08,0.73980
350.02701,100.99333,     -2.03899,     7.08433,50.00000,20.00000,6.059759e-08,0.73979
350.04001,101.99333,     -2.04582,     6.82194,50.00000,20.00000,6.092558e-08,0.73977
350.02802,102.99333,     -2.05322,     6.58088,50.00000,20.00000,6.080593e-08,0.73979
350.03799,103.99333,     -2.05842,     6.33981,50.00000,20.00000,6.065846e-08,0.73978
350.03201,104.99333,     -2.06293,     6.08433,50.00000,20.00000,6.048796e-08,0.73978
350.03699,105.99333,     -2.06294,     5.91411,50.00000,20.00000,6.086160e-08,0.73978
350.03601,106.99333,     -2.07587,     5.69436,50.00000,20.00000,6.076419e-08,0.73978
350.03000,107.99333,     -2.07586,     5.49216,50.00000,20.00000,6.064904e-08,0.73978
350.02899,108.99333,     -2.07003,     5.30063,50.00000,20.00000,6.068595e-08,0.73978
350.03900,109.99333,     -2.07911,     5.11975,50.00000,20.00000,6.084227e-08,0.73978
350.03201,110.99333,     -2.08136,     4.95298,50.00000,20.00000,6.090647e-08,0.73978
350.03601,111.99333,     -2.08816,     4.74734,50.00000,20.00000,6.056490e-08,0.73978
350.03299,112.99333,     -2.09171,     4.57712,50.00000,20.00000,6.085412e-08,0.73978
350.03201,113.99333,     -2.09623,     4.40690,50.00000,20.00000,6.056547e-08,0.73978
350.02301,114.99333,     -2.09847,     4.27931,50.00000,20.00000,6.045856e-08,0.73979
350.03101,115.99333,     -2.09849,     4.09843,50.00000,20.00000,6.070124e-08,0.73978
350.01801,116.99333,     -2.10201,     3.97085,50.00000,20.00000,6.044742e-08,0.73980
350.03000,117.99333,     -2.09719,     3.88558,50.00000,20.00000,6.049467e-08,0.73978
350.03201,118.99333,     -2.11045,     3.71536,50.00000,20.00000,6.050969e-08,0.73978
350.03201,119.99333,     -2.10496,     3.49561,50.00000,20.00000,6.071006e-08,0.73978
